Time,A,A_SE,A_SE_L,A_SE_H
182,1.14,0.68,0.47,1.82
187,1.31,0.73,0.59,2.04
194,3.03,1.1,1.93,4.13
200,6.11,1.56,4.55,7.68
206,11.09,2.11,8.98,13.19
213,12.8,2.26,10.54,15.06
222,17.77,2.67,15.11,20.44
228,9.89,1.99,7.9,11.87
235,11.09,2.11,8.98,13.19
240,9.54,1.95,7.59,11.5
248,8.34,1.83,6.52,10.17
543,1.64,0.81,0.83,2.45
548,2.04,0.9,1.13,2.94
554,2.43,0.99,1.45,3.42
562,3.63,1.2,2.42,4.83
568,8.99,1.9,7.1,10.89
574,16.75,2.59,14.16,19.33
582,20.72,2.88,17.84,23.6
590,17.14,2.62,14.52,19.76
597,10.58,2.06,8.53,12.64
604,7.8,1.77,6.03,9.57
613,5.22,1.44,3.77,6.66
