Panel,Location,Time after sowing,time,Total bugs,% C. tomentosicollis,% C. shadabi,A_tomentosicollis,A_shadabi,A,A_SE,A_SE_L,A_SE_H,Comments
A,Aborney,33,169,0.18,0.048666667,0.399333333,0.1,0.4,7.19,2.68,4.51,9.87,"Columns H,I are scaled per 50 plants"
A,Aborney,35,171,0.18,0.048666667,0.399333333,0.1,0.4,7.19,2.68,4.51,9.87,"For Aborney, Calavi, and Hunkpogon, total bugs is per 2m row, with plants every 0.25m"
A,Aborney,37,173,0.273333333,0.048666667,0.399333333,0.1,0.7,10.92,3.3,7.61,14.22,"For Paouignan, total bugs is per 2m row, rows are an average of 32m, with plants an average of every 0.325m"
A,Aborney,39,175,0.486666667,0.048666667,0.399333333,0.1,1.2,19.43,4.41,15.03,23.84,"Sowing assumed to be on May 16 (panel A) and Sept 1 (panels B,C)"
A,Aborney,43,179,0.78,0.048666667,0.399333333,0.2,1.9,31.15,5.58,25.57,36.73,A (column J) is scaled by 16 to better convert from adults per row for model fitting
A,Aborney,45,181,0.46,0.048666667,0.399333333,0.1,1.1,18.37,4.29,14.08,22.66,
A,Aborney,47,183,0.926666667,0.048666667,0.399333333,0.3,2.3,37,6.08,30.92,43.09,
A,Aborney,48,184,1.246666667,0.048666667,0.399333333,0.4,3.1,49.78,7.06,42.73,56.84,
A,Aborney,51,187,1.486666667,0.048666667,0.399333333,0.5,3.7,59.37,7.71,51.66,67.07,
A,Aborney,53,189,1.646666667,0.048666667,0.399333333,0.5,4.1,65.76,8.11,57.65,73.87,
A,Aborney,54,190,1.406666667,0.048666667,0.399333333,0.4,3.5,56.17,7.49,48.68,63.67,
A,Aborney,56,192,1.246666667,0.048666667,0.399333333,0.4,3.1,49.78,7.06,42.73,56.84,
A,Aborney,58,194,1.406666667,0.048666667,0.399333333,0.4,3.5,56.17,7.49,48.68,63.67,
A,Aborney,60,196,1.566666667,0.048666667,0.399333333,0.5,3.9,62.56,7.91,54.65,70.47,
A,Aborney,62,198,1.42,0.048666667,0.399333333,0.4,3.5,56.71,7.53,49.18,64.24,
A,Aborney,65,201,1.153333333,0.048666667,0.399333333,0.4,2.9,46.06,6.79,39.27,52.84,
A,Aborney,68,204,0.913333333,0.048666667,0.399333333,0.3,2.3,36.47,6.04,30.43,42.51,
B,Aborney,46,290,0.247191011,0.5923,0.1257,0.9,0.2,3.11,1.76,1.34,4.87,
B,Aborney,50,294,0.516853933,0.5923,0.1257,1.9,0.4,6.5,2.55,3.95,9.04,
B,Aborney,51,295,2.202247191,0.5923,0.1257,8.2,1.7,27.67,5.26,22.41,32.94,
B,Aborney,53,297,3.95505618,0.5923,0.1257,14.6,3.1,49.7,7.05,42.65,56.75,
B,Aborney,54,298,5.842696629,0.5923,0.1257,21.6,4.6,73.42,8.57,64.85,81.99,
B,Aborney,55,299,7.93258427,0.5923,0.1257,29.4,6.2,99.69,9.98,89.7,109.67,
B,Aborney,57,301,6.516853933,0.5923,0.1257,24.1,5.1,81.9,9.05,72.85,90.94,
B,Aborney,58,302,5.370786517,0.5923,0.1257,19.9,4.2,67.49,8.22,59.28,75.71,
B,Aborney,60,304,2.808988764,0.5923,0.1257,10.4,2.2,35.3,5.94,29.36,41.24,
B,Aborney,62,306,0.651685393,0.5923,0.1257,2.4,0.5,8.19,2.86,5.33,11.05,
B,Aborney,69,313,0.112359551,0.5923,0.1257,0.4,0.1,1.41,1.19,0.22,2.6,
A,Calavi,54,190,0.02,0.048666667,0.399333333,0,0,,,,,
A,Calavi,57,193,0.66,0.048666667,0.399333333,0.2,1.6,,,,,
A,Calavi,60,196,0.686666667,0.048666667,0.399333333,0.2,1.7,,,,,
A,Calavi,63,199,0.473333333,0.048666667,0.399333333,0.1,1.2,,,,,
A,Calavi,67,203,0.46,0.048666667,0.399333333,0.1,1.1,,,,,
