period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD,degree_days,DD_rollMean,DD_rollSD
historical,1961,1,15,15,CGCM3.1 (T47),High (A2),-1.7416028,5.25563812,1.75701766,274.9070177,,-1.8321746,0.57079896,5.59291824,0.44879377,,,
historical,1961,2,45,45,CGCM3.1 (T47),High (A2),-2.02648,6.11093378,2.04222689,275.1922269,,-1.9919193,1.45704154,6.23895081,1.21246515,,,
historical,1961,3,75,75,CGCM3.1 (T47),High (A2),0.993213,10.1051407,5.54917685,278.6991769,,1.23003392,1.15766074,9.99405495,0.96111102,,,
historical,1961,4,105,105,CGCM3.1 (T47),High (A2),5.28223038,13.7349968,9.50861359,282.6586136,,5.70958217,0.60970858,14.4863761,0.6857925,,,
historical,1961,5,135,135,CGCM3.1 (T47),High (A2),9.65197086,17.4344902,13.54323053,286.6932305,,10.204158,0.51377633,18.1542746,0.49736843,,,
historical,1961,6,165,165,CGCM3.1 (T47),High (A2),15.1813135,21.3625393,18.2719264,291.4219264,,15.2953021,0.63570099,21.8271329,0.57029733,,,
historical,1961,7,195,195,CGCM3.1 (T47),High (A2),19.3208427,26.461607,22.89122485,296.0412249,,18.6584082,0.57395744,24.9951232,0.96610772,,,
historical,1961,8,225,225,CGCM3.1 (T47),High (A2),19.3207645,26.1316414,22.72620295,295.876203,,19.813907,0.36545389,26.24626,0.70473169,,,
historical,1961,9,255,255,CGCM3.1 (T47),High (A2),17.0839233,24.4995937,20.7917585,293.9417585,,16.9452594,1.37904899,23.4860776,1.27412357,,,
historical,1961,10,285,285,CGCM3.1 (T47),High (A2),12.4669275,19.9000282,16.18347785,289.3334779,,10.7400241,1.25421708,18.3843422,1.15099267,,,
historical,1961,11,315,315,CGCM3.1 (T47),High (A2),3.58562899,12.39956,7.992594495,281.1425945,,5.09235009,1.16047914,13.1405883,0.87789634,,,
historical,1961,12,345,345,CGCM3.1 (T47),High (A2),-0.2143883,7.29350281,3.539557255,276.6895573,,-0.2357325,0.6098352,7.6668028,0.63060949,,,
historical,1962,1,375,375,CGCM3.1 (T47),High (A2),-1.3879827,5.50201321,2.057015255,275.2070153,,-2.1003494,0.88030331,5.47119447,0.52111732,,,
historical,1962,2,405,405,CGCM3.1 (T47),High (A2),-4.502037,4.27778912,-0.11212394,273.0378761,,-1.9444525,1.3360065,6.16413927,1.12438301,,,
historical,1962,3,435,435,CGCM3.1 (T47),High (A2),-0.5224785,8.42808342,3.95280246,277.1028025,,1.09368442,1.11667078,9.74774102,1.09291928,,,
historical,1962,4,465,465,CGCM3.1 (T47),High (A2),5.7643466,14.8090153,10.28668095,283.436681,,5.9482992,0.84183602,14.661427,0.77873338,,,
historical,1962,5,495,495,CGCM3.1 (T47),High (A2),10.2983847,18.3091526,14.30376865,287.4537687,,10.3621046,0.62817321,18.2799541,0.56277299,,,
historical,1962,6,525,525,CGCM3.1 (T47),High (A2),15.2597694,21.1005802,18.1801748,291.3301748,,15.2714684,0.58372889,21.7644133,0.54641445,,,
historical,1962,7,555,555,CGCM3.1 (T47),High (A2),18.2074127,24.5079269,21.3576698,294.5076698,,18.7257802,0.55343976,25.0445044,0.89155649,,,
historical,1962,8,585,585,CGCM3.1 (T47),High (A2),19.4123955,25.2937126,22.35305405,295.5030541,,19.8449475,0.34357202,26.4618598,0.85979957,,,
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),15.9847679,22.7320423,19.3584051,292.5084051,,16.9602582,1.25951903,23.4992085,1.16362908,,,
historical,1962,10,645,645,CGCM3.1 (T47),High (A2),9.7288866,17.1266518,13.4277692,286.5777692,,10.6526937,1.16801963,18.2731402,1.09112232,,,
historical,1962,11,675,675,CGCM3.1 (T47),High (A2),5.02832556,12.8952923,8.96180893,282.1118089,,5.03434563,1.07042584,13.0590589,0.82992829,,,
historical,1962,12,705,705,CGCM3.1 (T47),High (A2),0.18176585,7.92389965,4.05283275,277.2028328,,-0.1784992,0.57692749,7.74170487,0.60882059,,,
historical,1963,1,735,735,CGCM3.1 (T47),High (A2),-1.8464142,6.02555895,2.089572375,275.2395724,,-2.2713984,0.9477821,5.37118566,0.55926971,,,
historical,1963,2,765,765,CGCM3.1 (T47),High (A2),-0.5231193,7.04863358,3.26275714,276.4127571,,-1.9304369,1.23753677,6.20654875,1.04786466,,,
historical,1963,3,795,795,CGCM3.1 (T47),High (A2),2.3727777,10.3881035,6.3804406,279.5304406,,1.28343998,1.16484968,9.89189887,1.0909104,,,
historical,1963,4,825,825,CGCM3.1 (T47),High (A2),5.51533937,13.8998413,9.707590335,282.8575903,,6.21486574,1.08439316,14.9173659,1.02168069,,,
historical,1963,5,855,855,CGCM3.1 (T47),High (A2),10.5936403,18.5148525,14.5542464,287.7042464,,10.6606231,1.02524943,18.5441973,0.91107877,,,
historical,1963,6,885,885,CGCM3.1 (T47),High (A2),16.1333961,22.4611034,19.29724975,292.4472498,,15.3035744,0.54800431,21.8163586,0.52678512,,,
historical,1963,7,915,915,CGCM3.1 (T47),High (A2),19.2316265,25.3578644,22.29474545,295.4447455,,18.8900011,0.69158293,25.1686978,0.89705724,,,
historical,1963,8,945,945,CGCM3.1 (T47),High (A2),19.907793,25.8369026,22.8723478,296.0223478,,19.8128386,0.3307968,26.5309162,0.81963264,,,
historical,1963,9,975,975,CGCM3.1 (T47),High (A2),18.6648426,24.2001076,21.4324751,294.5824751,,16.9775596,1.16711439,23.5790789,1.10074236,,,
historical,1963,10,1005,1005,CGCM3.1 (T47),High (A2),11.2331867,18.3271999,14.7801933,287.9301933,,10.7043512,1.09120213,18.3189328,1.01845241,,,
historical,1963,11,1035,1035,CGCM3.1 (T47),High (A2),4.84882259,13.3461952,9.097508895,282.2475089,,5.24697322,1.15922735,13.3172172,1.05997622,,,
historical,1963,12,1065,1065,CGCM3.1 (T47),High (A2),-0.3947228,7.08580351,3.345540355,276.4955404,,0.20637573,1.21256997,8.19956809,1.41238116,,,
historical,1964,1,1095,1095,CGCM3.1 (T47),High (A2),-1.6433278,5.52122164,1.93894692,275.0889469,,-2.0115495,1.18054955,5.60637156,0.87834871,,,
historical,1964,2,1125,1125,CGCM3.1 (T47),High (A2),-0.628498,7.88138914,3.62644557,276.7764456,,-1.8950515,1.16246686,6.21380944,0.98042963,,,
historical,1964,3,1155,1155,CGCM3.1 (T47),High (A2),0.37582591,9.31780529,4.8468156,277.9968156,,1.0841911,1.24280588,9.673172,1.21321796,,,
historical,1964,4,1185,1185,CGCM3.1 (T47),High (A2),6.81050682,15.6351728,11.22283981,284.3728398,,6.06236458,1.11275757,14.7726724,1.04965627,,,
historical,1964,5,1215,1215,CGCM3.1 (T47),High (A2),10.9693546,18.4210358,14.6951952,287.8451952,,10.7050467,0.96824864,18.6387914,0.89824207,,,
historical,1964,6,1245,1245,CGCM3.1 (T47),High (A2),15.3005962,21.8884602,18.5945282,291.7445282,,15.1580558,0.67331354,21.7928386,0.49778854,,,
historical,1964,7,1275,1275,CGCM3.1 (T47),High (A2),18.697588,24.8642597,21.78092385,294.9309239,,18.9662651,0.68618291,25.1361514,0.84478171,,,
