day,time,latitude,longitude,T
0,01.01.25,-35.34031414,148.75,282.36368
0.5,01.01.25,-35.34031414,148.75,291.62686
1,02.01.25,-35.34031414,148.75,281.79144
1.5,02.01.25,-35.34031414,148.75,291.427
2,03.01.25,-35.34031414,148.75,284.29388
2.5,03.01.25,-35.34031414,148.75,289.73953
3,04.01.25,-35.34031414,148.75,285.22046
3.5,04.01.25,-35.34031414,148.75,290.49426
4,05.01.25,-35.34031414,148.75,284.1949
4.5,05.01.25,-35.34031414,148.75,288.21268
5,06.01.25,-35.34031414,148.75,280.83456
5.5,06.01.25,-35.34031414,148.75,287.60336
6,07.01.25,-35.34031414,148.75,286.67035
6.5,07.01.25,-35.34031414,148.75,289.00943
7,08.01.25,-35.34031414,148.75,279.51953
7.5,08.01.25,-35.34031414,148.75,290.74402
8,09.01.25,-35.34031414,148.75,277.62802
8.5,09.01.25,-35.34031414,148.75,288.9141
9,10.01.25,-35.34031414,148.75,276.29254
9.5,10.01.25,-35.34031414,148.75,285.71262
10,11.01.25,-35.34031414,148.75,276.75705
10.5,11.01.25,-35.34031414,148.75,284.34814
11,12.01.25,-35.34031414,148.75,283.64215
11.5,12.01.25,-35.34031414,148.75,286.9412
12,13.01.25,-35.34031414,148.75,286.40027
12.5,13.01.25,-35.34031414,148.75,288.66745
13,14.01.25,-35.34031414,148.75,287.61163
13.5,14.01.25,-35.34031414,148.75,290.54706
14,15.01.25,-35.34031414,148.75,281.54623
14.5,15.01.25,-35.34031414,148.75,289.9164
15,16.01.25,-35.34031414,148.75,282.33978
15.5,16.01.25,-35.34031414,148.75,289.4391
16,17.01.25,-35.34031414,148.75,283.29462
16.5,17.01.25,-35.34031414,148.75,286.86505
17,18.01.25,-35.34031414,148.75,285.19693
17.5,18.01.25,-35.34031414,148.75,287.94284
18,19.01.25,-35.34031414,148.75,286.21494
18.5,19.01.25,-35.34031414,148.75,287.7971
19,20.01.25,-35.34031414,148.75,285.4451
19.5,20.01.25,-35.34031414,148.75,288.86618
20,21.01.25,-35.34031414,148.75,280.89203
20.5,21.01.25,-35.34031414,148.75,287.41843
21,22.01.25,-35.34031414,148.75,278.3031
21.5,22.01.25,-35.34031414,148.75,284.28006
22,23.01.25,-35.34031414,148.75,274.93817
22.5,23.01.25,-35.34031414,148.75,284.07758
23,24.01.25,-35.34031414,148.75,278.48047
23.5,24.01.25,-35.34031414,148.75,285.2524
24,25.01.25,-35.34031414,148.75,280.88266
24.5,25.01.25,-35.34031414,148.75,284.8717
25,26.01.25,-35.34031414,148.75,282.29623
25.5,26.01.25,-35.34031414,148.75,284.72424
26,27.01.25,-35.34031414,148.75,282.28574
26.5,27.01.25,-35.34031414,148.75,285.24753
27,28.01.25,-35.34031414,148.75,282.77356
27.5,28.01.25,-35.34031414,148.75,288.968
28,29.01.25,-35.34031414,148.75,285.71805
28.5,29.01.25,-35.34031414,148.75,288.98532
29,30.01.25,-35.34031414,148.75,282.8181
29.5,30.01.25,-35.34031414,148.75,286.91696
30,31.01.25,-35.34031414,148.75,281.025
30.5,31.01.25,-35.34031414,148.75,284.83438
31,01.02.25,-35.34031414,148.75,276.5738
31.5,01.02.25,-35.34031414,148.75,286.12894
32,02.02.25,-35.34031414,148.75,279.39075
32.5,02.02.25,-35.34031414,148.75,285.15787
33,03.02.25,-35.34031414,148.75,277.9487
33.5,03.02.25,-35.34031414,148.75,283.2523
34,04.02.25,-35.34031414,148.75,275.3339
34.5,04.02.25,-35.34031414,148.75,283.02356
35,05.02.25,-35.34031414,148.75,275.3026
35.5,05.02.25,-35.34031414,148.75,281.8285
36,06.02.25,-35.34031414,148.75,272.84348
36.5,06.02.25,-35.34031414,148.75,282.7132
37,07.02.25,-35.34031414,148.75,272.36682
37.5,07.02.25,-35.34031414,148.75,279.61258
38,08.02.25,-35.34031414,148.75,271.93103
38.5,08.02.25,-35.34031414,148.75,280.94446
39,09.02.25,-35.34031414,148.75,273.50598
39.5,09.02.25,-35.34031414,148.75,282.00458
40,10.02.25,-35.34031414,148.75,274.1159
40.5,10.02.25,-35.34031414,148.75,282.7475
41,11.02.25,-35.34031414,148.75,276.7407
41.5,11.02.25,-35.34031414,148.75,284.33978
42,12.02.25,-35.34031414,148.75,279.01608
42.5,12.02.25,-35.34031414,148.75,286.073
43,13.02.25,-35.34031414,148.75,273.28552
43.5,13.02.25,-35.34031414,148.75,281.5813
44,14.02.25,-35.34031414,148.75,272.90045
44.5,14.02.25,-35.34031414,148.75,280.7537
45,15.02.25,-35.34031414,148.75,277.69766
45.5,15.02.25,-35.34031414,148.75,281.22998
46,16.02.25,-35.34031414,148.75,275.19467
46.5,16.02.25,-35.34031414,148.75,283.3004
47,17.02.25,-35.34031414,148.75,277.42233
47.5,17.02.25,-35.34031414,148.75,283.33203
48,18.02.25,-35.34031414,148.75,278.23727
48.5,18.02.25,-35.34031414,148.75,285.521
49,19.02.25,-35.34031414,148.75,274.81744
49.5,19.02.25,-35.34031414,148.75,280.53067
50,20.02.25,-35.34031414,148.75,276.166
50.5,20.02.25,-35.34031414,148.75,282.5929
51,21.02.25,-35.34031414,148.75,275.52075
51.5,21.02.25,-35.34031414,148.75,285.6775
52,22.02.25,-35.34031414,148.75,271.50037
52.5,22.02.25,-35.34031414,148.75,278.24615
53,23.02.25,-35.34031414,148.75,273.3021
