day,time,latitude,longitude,T
0,01.01.25,-30.62827225,116.25,287.16025
0.5,01.01.25,-30.62827225,116.25,294.07544
1,02.01.25,-30.62827225,116.25,281.35883
1.5,02.01.25,-30.62827225,116.25,290.5647
2,03.01.25,-30.62827225,116.25,280.43695
2.5,03.01.25,-30.62827225,116.25,289.7398
3,04.01.25,-30.62827225,116.25,281.46048
3.5,04.01.25,-30.62827225,116.25,292.17157
4,05.01.25,-30.62827225,116.25,282.99582
4.5,05.01.25,-30.62827225,116.25,292.8352
5,06.01.25,-30.62827225,116.25,286.6765
5.5,06.01.25,-30.62827225,116.25,289.7135
6,07.01.25,-30.62827225,116.25,284.63824
6.5,07.01.25,-30.62827225,116.25,292.89703
7,08.01.25,-30.62827225,116.25,285.51535
7.5,08.01.25,-30.62827225,116.25,294.0035
8,09.01.25,-30.62827225,116.25,286.87204
8.5,09.01.25,-30.62827225,116.25,298.56982
9,10.01.25,-30.62827225,116.25,287.60403
9.5,10.01.25,-30.62827225,116.25,300.15955
10,11.01.25,-30.62827225,116.25,286.5309
10.5,11.01.25,-30.62827225,116.25,299.0869
11,12.01.25,-30.62827225,116.25,285.76025
11.5,12.01.25,-30.62827225,116.25,297.50482
12,13.01.25,-30.62827225,116.25,286.19833
12.5,13.01.25,-30.62827225,116.25,290.91473
13,14.01.25,-30.62827225,116.25,288.5551
13.5,14.01.25,-30.62827225,116.25,291.2064
14,15.01.25,-30.62827225,116.25,282.49875
14.5,15.01.25,-30.62827225,116.25,293.99066
15,16.01.25,-30.62827225,116.25,283.0205
15.5,16.01.25,-30.62827225,116.25,293.39688
16,17.01.25,-30.62827225,116.25,285.51346
16.5,17.01.25,-30.62827225,116.25,293.04523
17,18.01.25,-30.62827225,116.25,285.56873
17.5,18.01.25,-30.62827225,116.25,290.72818
18,19.01.25,-30.62827225,116.25,282.9278
18.5,19.01.25,-30.62827225,116.25,291.9524
19,20.01.25,-30.62827225,116.25,283.567
19.5,20.01.25,-30.62827225,116.25,291.61618
20,21.01.25,-30.62827225,116.25,283.6338
20.5,21.01.25,-30.62827225,116.25,291.2536
21,22.01.25,-30.62827225,116.25,283.9329
21.5,22.01.25,-30.62827225,116.25,294.8661
