day,time,latitude,longitude,T
0,01.01.25,42.87958115,-82.5,279.06717
0.5,01.01.25,42.87958115,-82.5,285.87134
1,02.01.25,42.87958115,-82.5,278.72797
1.5,02.01.25,42.87958115,-82.5,288.97272
2,03.01.25,42.87958115,-82.5,282.6664
2.5,03.01.25,42.87958115,-82.5,288.30444
3,04.01.25,42.87958115,-82.5,279.90732
3.5,04.01.25,42.87958115,-82.5,293.75034
4,05.01.25,42.87958115,-82.5,285.31
4.5,05.01.25,42.87958115,-82.5,294.51917
5,06.01.25,42.87958115,-82.5,285.64822
5.5,06.01.25,42.87958115,-82.5,303.11737
6,07.01.25,42.87958115,-82.5,292.32278
6.5,07.01.25,42.87958115,-82.5,305.16132
7,08.01.25,42.87958115,-82.5,287.27042
7.5,08.01.25,42.87958115,-82.5,302.54242
8,09.01.25,42.87958115,-82.5,282.53662
8.5,09.01.25,42.87958115,-82.5,291.49664
9,10.01.25,42.87958115,-82.5,284.4049
9.5,10.01.25,42.87958115,-82.5,296.62585
10,11.01.25,42.87958115,-82.5,288.645
10.5,11.01.25,42.87958115,-82.5,300.42117
11,12.01.25,42.87958115,-82.5,293.52075
11.5,12.01.25,42.87958115,-82.5,301.9143
12,13.01.25,42.87958115,-82.5,283.18564
12.5,13.01.25,42.87958115,-82.5,300.8672
13,14.01.25,42.87958115,-82.5,283.2425
13.5,14.01.25,42.87958115,-82.5,293.52335
14,15.01.25,42.87958115,-82.5,287.61954
14.5,15.01.25,42.87958115,-82.5,298.32025
15,16.01.25,42.87958115,-82.5,292.0726
15.5,16.01.25,42.87958115,-82.5,305.87393
16,17.01.25,42.87958115,-82.5,296.58002
16.5,17.01.25,42.87958115,-82.5,305.02234
17,18.01.25,42.87958115,-82.5,286.39023
17.5,18.01.25,42.87958115,-82.5,300.64548
18,19.01.25,42.87958115,-82.5,284.12744
18.5,19.01.25,42.87958115,-82.5,287.93536
19,20.01.25,42.87958115,-82.5,280.494
19.5,20.01.25,42.87958115,-82.5,292.4408
20,21.01.25,42.87958115,-82.5,287.74918
20.5,21.01.25,42.87958115,-82.5,299.85406
21,22.01.25,42.87958115,-82.5,290.8909
21.5,22.01.25,42.87958115,-82.5,300.08017
22,23.01.25,42.87958115,-82.5,292.3178
22.5,23.01.25,42.87958115,-82.5,302.4514
23,24.01.25,42.87958115,-82.5,295.75793
23.5,24.01.25,42.87958115,-82.5,304.8806
24,25.01.25,42.87958115,-82.5,296.13452
24.5,25.01.25,42.87958115,-82.5,302.19992
25,26.01.25,42.87958115,-82.5,296.13144
25.5,26.01.25,42.87958115,-82.5,304.49408
26,27.01.25,42.87958115,-82.5,295.57178
26.5,27.01.25,42.87958115,-82.5,301.33798
27,28.01.25,42.87958115,-82.5,290.07233
27.5,28.01.25,42.87958115,-82.5,299.5889
28,29.01.25,42.87958115,-82.5,292.75934
28.5,29.01.25,42.87958115,-82.5,297.98016
29,30.01.25,42.87958115,-82.5,286.77252
29.5,30.01.25,42.87958115,-82.5,294.38736
30,31.01.25,42.87958115,-82.5,283.8165
30.5,31.01.25,42.87958115,-82.5,291.18555
31,01.02.25,42.87958115,-82.5,284.6599
31.5,01.02.25,42.87958115,-82.5,294.75946
32,02.02.25,42.87958115,-82.5,288.14682
32.5,02.02.25,42.87958115,-82.5,296.95734
33,03.02.25,42.87958115,-82.5,289.6294
33.5,03.02.25,42.87958115,-82.5,298.2289
34,04.02.25,42.87958115,-82.5,290.96265
34.5,04.02.25,42.87958115,-82.5,299.66492
35,05.02.25,42.87958115,-82.5,293.71677
35.5,05.02.25,42.87958115,-82.5,303.06476
36,06.02.25,42.87958115,-82.5,295.68213
36.5,06.02.25,42.87958115,-82.5,305.15265
37,07.02.25,42.87958115,-82.5,297.07465
37.5,07.02.25,42.87958115,-82.5,304.5571
38,08.02.25,42.87958115,-82.5,297.60663
38.5,08.02.25,42.87958115,-82.5,305.0435
39,09.02.25,42.87958115,-82.5,296.06076
39.5,09.02.25,42.87958115,-82.5,304.64764
40,10.02.25,42.87958115,-82.5,298.00977
40.5,10.02.25,42.87958115,-82.5,306.89764
41,11.02.25,42.87958115,-82.5,295.6521
41.5,11.02.25,42.87958115,-82.5,303.04156
42,12.02.25,42.87958115,-82.5,292.2094
42.5,12.02.25,42.87958115,-82.5,301.74573
43,13.02.25,42.87958115,-82.5,296.83804
43.5,13.02.25,42.87958115,-82.5,307.38333
44,14.02.25,42.87958115,-82.5,297.38284
44.5,14.02.25,42.87958115,-82.5,304.94357
45,15.02.25,42.87958115,-82.5,296.32083
45.5,15.02.25,42.87958115,-82.5,307.50632
46,16.02.25,42.87958115,-82.5,298.29916
46.5,16.02.25,42.87958115,-82.5,305.46542
47,17.02.25,42.87958115,-82.5,300.87207
47.5,17.02.25,42.87958115,-82.5,311.56778
48,18.02.25,42.87958115,-82.5,299.63287
48.5,18.02.25,42.87958115,-82.5,307.6964
49,19.02.25,42.87958115,-82.5,298.63306
49.5,19.02.25,42.87958115,-82.5,303.9507
50,20.02.25,42.87958115,-82.5,299.04688
50.5,20.02.25,42.87958115,-82.5,307.99048
51,21.02.25,42.87958115,-82.5,298.33298
51.5,21.02.25,42.87958115,-82.5,301.54904
52,22.02.25,42.87958115,-82.5,296.665
52.5,22.02.25,42.87958115,-82.5,307.12646
53,23.02.25,42.87958115,-82.5,298.49908
53.5,23.02.25,42.87958115,-82.5,303.77048
54,24.02.25,42.87958115,-82.5,298.78024
54.5,24.02.25,42.87958115,-82.5,309.34763
55,25.02.25,42.87958115,-82.5,298.9483
