day,time,latitude,longitude,T
0,01.01.25,35.34031414,51.25,283.71375
0.5,01.01.25,35.34031414,51.25,290.7132
1,02.01.25,35.34031414,51.25,282.07367
1.5,02.01.25,35.34031414,51.25,287.57748
2,03.01.25,35.34031414,51.25,281.65088
2.5,03.01.25,35.34031414,51.25,290.37863
3,04.01.25,35.34031414,51.25,282.30072
3.5,04.01.25,35.34031414,51.25,290.8029
4,05.01.25,35.34031414,51.25,282.2676
4.5,05.01.25,35.34031414,51.25,291.754
5,06.01.25,35.34031414,51.25,281.56174
5.5,06.01.25,35.34031414,51.25,293.12814
6,07.01.25,35.34031414,51.25,284.63223
6.5,07.01.25,35.34031414,51.25,296.52768
7,08.01.25,35.34031414,51.25,286.92557
7.5,08.01.25,35.34031414,51.25,298.4492
8,09.01.25,35.34031414,51.25,288.19238
8.5,09.01.25,35.34031414,51.25,297.24573
9,10.01.25,35.34031414,51.25,288.13205
9.5,10.01.25,35.34031414,51.25,296.526
10,11.01.25,35.34031414,51.25,288.8759
10.5,11.01.25,35.34031414,51.25,296.01767
11,12.01.25,35.34031414,51.25,288.23785
11.5,12.01.25,35.34031414,51.25,298.2947
12,13.01.25,35.34031414,51.25,290.2844
12.5,13.01.25,35.34031414,51.25,298.3814
13,14.01.25,35.34031414,51.25,288.3534
13.5,14.01.25,35.34031414,51.25,296.21747
14,15.01.25,35.34031414,51.25,286.84558
14.5,15.01.25,35.34031414,51.25,295.86554
15,16.01.25,35.34031414,51.25,286.3145
15.5,16.01.25,35.34031414,51.25,297.0272
16,17.01.25,35.34031414,51.25,290.071
16.5,17.01.25,35.34031414,51.25,298.82785
17,18.01.25,35.34031414,51.25,289.13083
17.5,18.01.25,35.34031414,51.25,299.53134
18,19.01.25,35.34031414,51.25,287.8789
18.5,19.01.25,35.34031414,51.25,299.03677
19,20.01.25,35.34031414,51.25,288.0198
19.5,20.01.25,35.34031414,51.25,298.9837
20,21.01.25,35.34031414,51.25,288.20673
20.5,21.01.25,35.34031414,51.25,299.9057
21,22.01.25,35.34031414,51.25,289.847
21.5,22.01.25,35.34031414,51.25,303.9576
22,23.01.25,35.34031414,51.25,289.02563
22.5,23.01.25,35.34031414,51.25,300.889
23,24.01.25,35.34031414,51.25,287.48102
23.5,24.01.25,35.34031414,51.25,296.91507
24,25.01.25,35.34031414,51.25,286.49472
24.5,25.01.25,35.34031414,51.25,296.4158
25,26.01.25,35.34031414,51.25,288.60596
25.5,26.01.25,35.34031414,51.25,297.4995
26,27.01.25,35.34031414,51.25,286.2413
26.5,27.01.25,35.34031414,51.25,293.127
27,28.01.25,35.34031414,51.25,285.85312
27.5,28.01.25,35.34031414,51.25,296.102
28,29.01.25,35.34031414,51.25,288.12003
28.5,29.01.25,35.34031414,51.25,299.91058
29,30.01.25,35.34031414,51.25,289.52078
29.5,30.01.25,35.34031414,51.25,302.0074
30,31.01.25,35.34031414,51.25,288.24054
30.5,31.01.25,35.34031414,51.25,300.31375
31,01.02.25,35.34031414,51.25,288.01144
31.5,01.02.25,35.34031414,51.25,298.30447
32,02.02.25,35.34031414,51.25,287.45526
32.5,02.02.25,35.34031414,51.25,300.82938
33,03.02.25,35.34031414,51.25,291.3529
33.5,03.02.25,35.34031414,51.25,304.94092
34,04.02.25,35.34031414,51.25,293.12177
34.5,04.02.25,35.34031414,51.25,304.68042
35,05.02.25,35.34031414,51.25,291.8946
35.5,05.02.25,35.34031414,51.25,304.0462
36,06.02.25,35.34031414,51.25,291.9064
36.5,06.02.25,35.34031414,51.25,304.27274
37,07.02.25,35.34031414,51.25,290.443
37.5,07.02.25,35.34031414,51.25,303.32312
38,08.02.25,35.34031414,51.25,289.0383
38.5,08.02.25,35.34031414,51.25,301.7402
39,09.02.25,35.34031414,51.25,288.57553
39.5,09.02.25,35.34031414,51.25,300.99216
40,10.02.25,35.34031414,51.25,289.24405
40.5,10.02.25,35.34031414,51.25,300.57278
41,11.02.25,35.34031414,51.25,290.8204
41.5,11.02.25,35.34031414,51.25,298.18488
42,12.02.25,35.34031414,51.25,291.0281
42.5,12.02.25,35.34031414,51.25,302.24487
43,13.02.25,35.34031414,51.25,292.7702
43.5,13.02.25,35.34031414,51.25,305.1546
44,14.02.25,35.34031414,51.25,293.50406
44.5,14.02.25,35.34031414,51.25,305.57748
45,15.02.25,35.34031414,51.25,291.7768
45.5,15.02.25,35.34031414,51.25,305.5959
46,16.02.25,35.34031414,51.25,290.4827
46.5,16.02.25,35.34031414,51.25,303.46017
47,17.02.25,35.34031414,51.25,291.19394
47.5,17.02.25,35.34031414,51.25,302.97064
48,18.02.25,35.34031414,51.25,291.34067
48.5,18.02.25,35.34031414,51.25,303.70755
49,19.02.25,35.34031414,51.25,289.79474
49.5,19.02.25,35.34031414,51.25,299.55316
50,20.02.25,35.34031414,51.25,288.998
50.5,20.02.25,35.34031414,51.25,300.9423
51,21.02.25,35.34031414,51.25,292.36316
51.5,21.02.25,35.34031414,51.25,301.89194
52,22.02.25,35.34031414,51.25,294.34805
52.5,22.02.25,35.34031414,51.25,305.8857
53,23.02.25,35.34031414,51.25,292.9202
53.5,23.02.25,35.34031414,51.25,308.1147
54,24.02.25,35.34031414,51.25,287.8582
54.5,24.02.25,35.34031414,51.25,301.9123
55,25.02.25,35.34031414,51.25,287.12152
55.5,25.02.25,35.34031414,51.25,298.0539
56,26.02.25,35.34031414,51.25,286.10178
56.5,26.02.25,35.34031414,51.25,297.81622
57,27.02.25,35.34031414,51.25,285.20853
57.5,27.02.25,35.34031414,51.25,299.0946
58,28.02.25,35.34031414,51.25,285.81232
58.5,28.02.25,35.34031414,51.25,299.6314
59,01.03.25,35.34031414,51.25,285.7765
59.5,01.03.25,35.34031414,51.25,299.95605
60,02.03.25,35.34031414,51.25,287.54602
60.5,02.03.25,35.34031414,51.25,301.3763
61,03.03.25,35.34031414,51.25,289.40872
61.5,03.03.25,35.34031414,51.25,302.6015
62,04.03.25,35.34031414,51.25,289.92438
62.5,04.03.25,35.34031414,51.25,303.72906
63,05.03.25,35.34031414,51.25,291.89072
63.5,05.03.25,35.34031414,51.25,306.08823
64,06.03.25,35.34031414,51.25,293.4061
64.5,06.03.25,35.34031414,51.25,307.08008
65,07.03.25,35.34031414,51.25,294.0926
65.5,07.03.25,35.34031414,51.25,306.74066
66,08.03.25,35.34031414,51.25,294.87817
66.5,08.03.25,35.34031414,51.25,307.7027
67,09.03.25,35.34031414,51.25,293.70175
67.5,09.03.25,35.34031414,51.25,306.6867
68,10.03.25,35.34031414,51.25,291.07837
68.5,10.03.25,35.34031414,51.25,303.15082
69,11.03.25,35.34031414,51.25,290.15347
69.5,11.03.25,35.34031414,51.25,303.09088
70,12.03.25,35.34031414,51.25,289.27194
70.5,12.03.25,35.34031414,51.25,302.73978
71,13.03.25,35.34031414,51.25,288.18546
71.5,13.03.25,35.34031414,51.25,301.61002
72,14.03.25,35.34031414,51.25,288.63345
72.5,14.03.25,35.34031414,51.25,301.86093
73,15.03.25,35.34031414,51.25,290.52393
73.5,15.03.25,35.34031414,51.25,302.84015
74,16.03.25,35.34031414,51.25,290.5697
74.5,16.03.25,35.34031414,51.25,303.14023
75,17.03.25,35.34031414,51.25,290.1107
75.5,17.03.25,35.34031414,51.25,303.79593
76,18.03.25,35.34031414,51.25,291.2346
76.5,18.03.25,35.34031414,51.25,304.27667
