"day","time","latitude","longitude","T"
0,2015-01-01,54.1884816753927,-1.25,282.17136
0.5,2015-01-01,54.1884816753927,-1.25,282.17136
1,2015-01-02,54.1884816753927,-1.25,276.2975
1.5,2015-01-02,54.1884816753927,-1.25,282.7398
2,2015-01-03,54.1884816753927,-1.25,276.40936
2.5,2015-01-03,54.1884816753927,-1.25,279.43814
3,2015-01-04,54.1884816753927,-1.25,275.91943
3.5,2015-01-04,54.1884816753927,-1.25,281.25296
4,2015-01-05,54.1884816753927,-1.25,275.76398
4.5,2015-01-05,54.1884816753927,-1.25,278.41806
5,2015-01-06,54.1884816753927,-1.25,276.82355
5.5,2015-01-06,54.1884816753927,-1.25,279.66656
6,2015-01-07,54.1884816753927,-1.25,276.95285
6.5,2015-01-07,54.1884816753927,-1.25,280.16364
7,2015-01-08,54.1884816753927,-1.25,274.3792
7.5,2015-01-08,54.1884816753927,-1.25,278.24628
8,2015-01-09,54.1884816753927,-1.25,273.985
8.5,2015-01-09,54.1884816753927,-1.25,281.5693
9,2015-01-10,54.1884816753927,-1.25,281.45572
9.5,2015-01-10,54.1884816753927,-1.25,285.3668
10,2015-01-11,54.1884816753927,-1.25,277.374
10.5,2015-01-11,54.1884816753927,-1.25,280.65607
11,2015-01-12,54.1884816753927,-1.25,276.42764
11.5,2015-01-12,54.1884816753927,-1.25,280.30072
12,2015-01-13,54.1884816753927,-1.25,275.29947
12.5,2015-01-13,54.1884816753927,-1.25,278.7757
13,2015-01-14,54.1884816753927,-1.25,277.52536
13.5,2015-01-14,54.1884816753927,-1.25,279.9055
14,2015-01-15,54.1884816753927,-1.25,275.84668
14.5,2015-01-15,54.1884816753927,-1.25,279.40887
15,2015-01-16,54.1884816753927,-1.25,273.22995
15.5,2015-01-16,54.1884816753927,-1.25,276.04828
16,2015-01-17,54.1884816753927,-1.25,272.96573
16.5,2015-01-17,54.1884816753927,-1.25,274.4517
17,2015-01-18,54.1884816753927,-1.25,272.21042
17.5,2015-01-18,54.1884816753927,-1.25,273.9877
18,2015-01-19,54.1884816753927,-1.25,274.01193
18.5,2015-01-19,54.1884816753927,-1.25,279.9778
19,2015-01-20,54.1884816753927,-1.25,274.69022
19.5,2015-01-20,54.1884816753927,-1.25,280.1318
20,2015-01-21,54.1884816753927,-1.25,275.17355
20.5,2015-01-21,54.1884816753927,-1.25,280.18073
21,2015-01-22,54.1884816753927,-1.25,280.5304
21.5,2015-01-22,54.1884816753927,-1.25,285.9546
22,2015-01-23,54.1884816753927,-1.25,276.79346
22.5,2015-01-23,54.1884816753927,-1.25,285.9761
23,2015-01-24,54.1884816753927,-1.25,275.67453
23.5,2015-01-24,54.1884816753927,-1.25,280.01898
24,2015-01-25,54.1884816753927,-1.25,279.84036
24.5,2015-01-25,54.1884816753927,-1.25,280.8085
25,2015-01-26,54.1884816753927,-1.25,279.95755
25.5,2015-01-26,54.1884816753927,-1.25,281.4724
26,2015-01-27,54.1884816753927,-1.25,279.00574
26.5,2015-01-27,54.1884816753927,-1.25,279.94675
27,2015-01-28,54.1884816753927,-1.25,279.28464
27.5,2015-01-28,54.1884816753927,-1.25,286.3903
28,2015-01-29,54.1884816753927,-1.25,285.67236
28.5,2015-01-29,54.1884816753927,-1.25,287.13882
29,2015-01-30,54.1884816753927,-1.25,278.3747
29.5,2015-01-30,54.1884816753927,-1.25,284.5338
30,2015-01-31,54.1884816753927,-1.25,278.60553
30.5,2015-01-31,54.1884816753927,-1.25,283.0568
31,2015-02-01,54.1884816753927,-1.25,279.02728
31.5,2015-02-01,54.1884816753927,-1.25,283.00327
32,2015-02-02,54.1884816753927,-1.25,276.965
32.5,2015-02-02,54.1884816753927,-1.25,282.04367
33,2015-02-03,54.1884816753927,-1.25,275.60043
33.5,2015-02-03,54.1884816753927,-1.25,280.86163
34,2015-02-04,54.1884816753927,-1.25,276.515
34.5,2015-02-04,54.1884816753927,-1.25,281.23682
35,2015-02-05,54.1884816753927,-1.25,274.30493
35.5,2015-02-05,54.1884816753927,-1.25,280.20108
36,2015-02-06,54.1884816753927,-1.25,273.89243
36.5,2015-02-06,54.1884816753927,-1.25,278.6768
37,2015-02-07,54.1884816753927,-1.25,273.7566
37.5,2015-02-07,54.1884816753927,-1.25,279.56677
38,2015-02-08,54.1884816753927,-1.25,276.49298
38.5,2015-02-08,54.1884816753927,-1.25,279.9433
39,2015-02-09,54.1884816753927,-1.25,273.2942
39.5,2015-02-09,54.1884816753927,-1.25,277.89474
40,2015-02-10,54.1884816753927,-1.25,272.96094
40.5,2015-02-10,54.1884816753927,-1.25,275.8958
41,2015-02-11,54.1884816753927,-1.25,272.7498
41.5,2015-02-11,54.1884816753927,-1.25,276.3274
42,2015-02-12,54.1884816753927,-1.25,276.29
42.5,2015-02-12,54.1884816753927,-1.25,281.60138
43,2015-02-13,54.1884816753927,-1.25,277.50024
43.5,2015-02-13,54.1884816753927,-1.25,282.5879
44,2015-02-14,54.1884816753927,-1.25,275.69592
44.5,2015-02-14,54.1884816753927,-1.25,281.8551
45,2015-02-15,54.1884816753927,-1.25,275.2967
45.5,2015-02-15,54.1884816753927,-1.25,282.0727
46,2015-02-16,54.1884816753927,-1.25,279.31683
46.5,2015-02-16,54.1884816753927,-1.25,284.21457
47,2015-02-17,54.1884816753927,-1.25,280.9448
47.5,2015-02-17,54.1884816753927,-1.25,285.2834
48,2015-02-18,54.1884816753927,-1.25,280.23322
48.5,2015-02-18,54.1884816753927,-1.25,283.97852
49,2015-02-19,54.1884816753927,-1.25,278.547
49.5,2015-02-19,54.1884816753927,-1.25,283.9572
50,2015-02-20,54.1884816753927,-1.25,278.086
50.5,2015-02-20,54.1884816753927,-1.25,286.3633
51,2015-02-21,54.1884816753927,-1.25,279.5842
51.5,2015-02-21,54.1884816753927,-1.25,285.95273
52,2015-02-22,54.1884816753927,-1.25,275.76306
52.5,2015-02-22,54.1884816753927,-1.25,281.17844
53,2015-02-23,54.1884816753927,-1.25,275.29645
53.5,2015-02-23,54.1884816753927,-1.25,282.95975
54,2015-02-24,54.1884816753927,-1.25,278.06512
54.5,2015-02-24,54.1884816753927,-1.25,283.44824
55,2015-02-25,54.1884816753927,-1.25,276.8138
55.5,2015-02-25,54.1884816753927,-1.25,282.96753
56,2015-02-26,54.1884816753927,-1.25,275.8142
56.5,2015-02-26,54.1884816753927,-1.25,283.24713
57,2015-02-27,54.1884816753927,-1.25,278.8632
57.5,2015-02-27,54.1884816753927,-1.25,285.90002
58,2015-02-28,54.1884816753927,-1.25,276.39346
58.5,2015-02-28,54.1884816753927,-1.25,281.7523
59,2015-03-01,54.1884816753927,-1.25,275.06998
59.5,2015-03-01,54.1884816753927,-1.25,282.87543
60,2015-03-02,54.1884816753927,-1.25,275.84402
60.5,2015-03-02,54.1884816753927,-1.25,283.37894
61,2015-03-03,54.1884816753927,-1.25,278.82816
61.5,2015-03-03,54.1884816753927,-1.25,283.5321
62,2015-03-04,54.1884816753927,-1.25,280.288
62.5,2015-03-04,54.1884816753927,-1.25,284.62473
63,2015-03-05,54.1884816753927,-1.25,281.8475
63.5,2015-03-05,54.1884816753927,-1.25,286.6621
64,2015-03-06,54.1884816753927,-1.25,278.32047
64.5,2015-03-06,54.1884816753927,-1.25,283.7738
65,2015-03-07,54.1884816753927,-1.25,279.11935
65.5,2015-03-07,54.1884816753927,-1.25,287.99875
66,2015-03-08,54.1884816753927,-1.25,282.30017
66.5,2015-03-08,54.1884816753927,-1.25,286.90625
67,2015-03-09,54.1884816753927,-1.25,278.01004
67.5,2015-03-09,54.1884816753927,-1.25,285.9232
68,2015-03-10,54.1884816753927,-1.25,280.24982
68.5,2015-03-10,54.1884816753927,-1.25,287.49362
69,2015-03-11,54.1884816753927,-1.25,279.83102
69.5,2015-03-11,54.1884816753927,-1.25,286.1279
70,2015-03-12,54.1884816753927,-1.25,275.99045
70.5,2015-03-12,54.1884816753927,-1.25,284.0583
71,2015-03-13,54.1884816753927,-1.25,276.59122
71.5,2015-03-13,54.1884816753927,-1.25,284.45508
72,2015-03-14,54.1884816753927,-1.25,278.65268
72.5,2015-03-14,54.1884816753927,-1.25,285.0092
73,2015-03-15,54.1884816753927,-1.25,279.32086
73.5,2015-03-15,54.1884816753927,-1.25,284.6042
74,2015-03-16,54.1884816753927,-1.25,277.4262
74.5,2015-03-16,54.1884816753927,-1.25,286.81604
75,2015-03-17,54.1884816753927,-1.25,278.8699
75.5,2015-03-17,54.1884816753927,-1.25,286.83398
76,2015-03-18,54.1884816753927,-1.25,280.99863
