day,time,latitude,longitude,T
0,01.01.25,33.45549738,-101.25,293.45117
0.5,01.01.25,33.45549738,-101.25,311.7368
1,02.01.25,33.45549738,-101.25,291.22205
1.5,02.01.25,33.45549738,-101.25,308.27975
2,03.01.25,33.45549738,-101.25,291.53174
2.5,03.01.25,33.45549738,-101.25,305.5814
3,04.01.25,33.45549738,-101.25,292.49295
3.5,04.01.25,33.45549738,-101.25,303.4538
4,05.01.25,33.45549738,-101.25,293.42517
4.5,05.01.25,33.45549738,-101.25,306.33652
5,06.01.25,33.45549738,-101.25,293.40338
5.5,06.01.25,33.45549738,-101.25,306.90628
6,07.01.25,33.45549738,-101.25,293.15213
6.5,07.01.25,33.45549738,-101.25,306.35025
7,08.01.25,33.45549738,-101.25,292.05304
7.5,08.01.25,33.45549738,-101.25,304.86188
8,09.01.25,33.45549738,-101.25,292.99844
8.5,09.01.25,33.45549738,-101.25,304.67456
9,10.01.25,33.45549738,-101.25,293.9845
9.5,10.01.25,33.45549738,-101.25,306.19513
10,11.01.25,33.45549738,-101.25,294.56723
10.5,11.01.25,33.45549738,-101.25,308.0587
11,12.01.25,33.45549738,-101.25,294.9758
11.5,12.01.25,33.45549738,-101.25,308.1192
12,13.01.25,33.45549738,-101.25,296.10645
12.5,13.01.25,33.45549738,-101.25,305.03976
13,14.01.25,33.45549738,-101.25,292.74734
13.5,14.01.25,33.45549738,-101.25,303.7259
14,15.01.25,33.45549738,-101.25,291.96503
14.5,15.01.25,33.45549738,-101.25,303.2126
15,16.01.25,33.45549738,-101.25,293.00314
15.5,16.01.25,33.45549738,-101.25,305.1068
16,17.01.25,33.45549738,-101.25,293.75977
16.5,17.01.25,33.45549738,-101.25,303.6648
17,18.01.25,33.45549738,-101.25,293.16177
17.5,18.01.25,33.45549738,-101.25,299.95312
18,19.01.25,33.45549738,-101.25,287.39133
18.5,19.01.25,33.45549738,-101.25,293.86475
19,20.01.25,33.45549738,-101.25,285.5888
19.5,20.01.25,33.45549738,-101.25,298.69357
20,21.01.25,33.45549738,-101.25,288.91638
20.5,21.01.25,33.45549738,-101.25,302.6951
21,22.01.25,33.45549738,-101.25,290.65973
21.5,22.01.25,33.45549738,-101.25,305.91318
22,23.01.25,33.45549738,-101.25,291.45743
