"day","T"
119,289.75000038147
119.5,296.949999237061
120,286.04999961853
120.5,296.54999961853
121,284.849999809265
121.5,296.25000038147
122,286.450000190735
122.5,297.15
124,289.75000038147
124.5,298.75000038147
125,285.04999961853
125.5,291.54999961853
126,282.450000190735
126.5,293.75000038147
127,287.25000038147
127.5,289.449999237061
128,287.15
128.5,290.949999237061
129,286.15
129.5,291.04999961853
130,288.54999961853
130.5,297.949999237061
131,291.04999961853
131.5,299.949999237061
132,284.25000038147
132.5,296.25000038147
133,284.15
133.5,294.04999961853
134,289.850000762939
134.5,293.75000038147
135,289.54999961853
135.5,297.949999237061
136,289.449999237061
136.5,298.15
137,288.54999961853
137.5,293.15
138,288.450000190735
138.5,292.75000038147
139,287.450000190735
139.5,294.04999961853
140,291.949999237061
140.5,294.850000762939
141,280.249999904633
141.5,292.54999961853
142,277.550000095367
142.5,290.15
143,284.450000190735
143.5,288.54999961853
144,286.25000038147
144.5,293.15
145,283.450000190735
145.5,294.350000762939
146,278.749999904633
146.5,296.54999961853
147,282.75000038147
147.5,297.449999237061
148,282.849999809265
148.5,299.449999237061
149,282.04999961853
149.5,297.15
150,285.65
150.5,291.350000762939
151,288.450000190735
151.5,294.54999961853
152,288.15
152.5,292.350000762939
153,287.849999809265
153.5,292.850000762939
154,287.54999961853
154.5,294.949999237061
155,288.75000038147
155.5,295.65
156,283.15
156.5,295.449999237061
157,286.15
157.5,295.65
158,284.25000038147
158.5,297.350000762939
159,280.950000190735
159.5,296.04999961853
160,287.849999809265
160.5,296.350000762939
161,287.54999961853
161.5,296.949999237061
162,283.849999809265
162.5,296.449999237061
163,287.65
163.5,296.449999237061
164,279.849999809265
164.5,291.949999237061
165,278.15
165.5,291.949999237061
166,278.050000095367
166.5,289.850000762939
167,274.949999952316
167.5,286.950000190735
168,276.15
168.5,286.25000038147
169,274.850000047684
169.5,289.15
170,274.449999952316
170.5,289.949999237061
171,279.450000190735
171.5,291.350000762939
172,278.15
172.5,292.449999237061
173,282.75000038147
173.5,288.950000190735
174,281.349999809265
174.5,286.349999809265
175,279.749999904633
175.5,288.349999809265
176,274.949999952316
176.5,290.25000038147
177,276.050000095367
177.5,288.950000190735
178,276.449999952316
178.5,284.54999961853
179,279.249999904633
179.5,289.65
180,282.04999961853
180.5,290.449999237061
181,279.849999809265
181.5,291.850000762939
182,281.25000038147
182.5,291.949999237061
183,280.950000190735
183.5,292.350000762939
184,280.249999904633
184.5,293.04999961853
185,284.04999961853
185.5,289.850000762939
186,277.749999904633
186.5,289.350000762939
187,274.850000047684
187.5,290.25000038147
188,274.350000047684
188.5,292.949999237061
189,275.249999904633
189.5,292.54999961853
190,274.949999952316
190.5,292.54999961853
191,279.349999809265
191.5,291.949999237061
192,278.15
192.5,293.449999237061
193,278.749999904633
193.5,293.350000762939
194,281.050000095367
194.5,291.850000762939
195,280.050000095367
195.5,288.54999961853
196,280.849999809265
196.5,289.949999237061
197,272.65
197.5,291.850000762939
198,276.050000095367
198.5,291.949999237061
199,276.449999952316
199.5,293.949999237061
200,279.849999809265
200.5,291.850000762939
201,277.050000095367
201.5,288.950000190735
202,276.550000095367
202.5,286.75000038147
203,274.350000047684
203.5,286.450000190735
204,270.050000095367
204.5,287.349999809265
205,273.15
205.5,288.54999961853
206,274.549999976158
206.5,288.25000038147
207,271.449999952316
207.5,288.75000038147
208,270.949999952316
208.5,289.54999961853
209,270.850000047684
209.5,288.15
210,280.249999904633
210.5,286.450000190735
211,280.950000190735
211.5,284.15
212,280.950000190735
212.5,286.65
213,274.350000047684
213.5,284.349999809265
214,279.050000095367
214.5,284.54999961853
215,277.050000095367
215.5,283.450000190735
216,279.249999904633
216.5,286.75000038147
217,278.050000095367
217.5,284.849999809265
218,280.450000190735
218.5,284.15
219,270.350000047684
219.5,285.849999809265
220,270.249999904633
220.5,283.54999961853
221,269.850000047684
221.5,285.349999809265
222,270.949999952316
222.5,284.04999961853
223,274.949999952316
223.5,284.950000190735
224,273.55000000596
224.5,285.450000190735
225,275.949999952316
225.5,285.65
226,272.549999976158
226.5,285.04999961853
227,279.349999809265
227.5,286.25000038147
228,274.350000047684
228.5,285.75000038147
229,272.65
229.5,285.25000038147
230,269.050000095367
230.5,283.75000038147
231,279.550000095367
231.5,284.04999961853
232,278.749999904633
232.5,281.849999809265
233,278.15
233.5,284.849999809265
234,278.15
234.5,285.25000038147
235,280.249999904633
235.5,284.349999809265
236,279.15
236.5,283.349999809265
237,279.950000190735
237.5,284.75000038147
238,270.949999952316
238.5,284.75000038147
239,279.849999809265
239.5,281.450000190735
240,279.450000190735
240.5,283.04999961853
241,278.050000095367
241.5,281.950000190735
242,271.449999952316
242.5,281.15
243,268.15
243.5,283.54999961853
244,273.04999999851
244.5,282.25000038147
245,274.350000047684
245.5,282.54999961853
246,268.849999809265
246.5,282.950000190735
247,268.849999809265
247.5,284.849999809265
248,273.25000000149
248.5,282.54999961853
249,274.350000047684
249.5,283.54999961853
250,274.750000023842
250.5,282.04999961853
251,277.550000095367
251.5,282.54999961853
252,271.449999952316
252.5,286.65
253,271.449999952316
253.5,282.849999809265
254,275.949999952316
254.5,278.749999904633
255,271.549999976158
255.5,282.849999809265
256,273.849999988079
256.5,284.349999809265
257,270.350000047684
257.5,283.950000190735
258,277.050000095367
258.5,283.849999809265
259,273.25000000149
259.5,281.050000095367
260,275.049999976158
260.5,284.349999809265
261,270.350000047684
261.5,279.550000095367
262,268.849999809265
262.5,283.65
263,269.249999904633
263.5,282.849999809265
264,271.449999952316
264.5,282.25000038147
265,268.550000095367
265.5,282.25000038147
266,270.949999952316
266.5,284.15
267,268.249999904633
267.5,283.75000038147
268,271.449999952316
268.5,284.75000038147
269,270.749999904633
269.5,286.349999809265
270,271.449999952316
270.5,286.54999961853
271,275.049999976158
271.5,284.849999809265
272,279.849999809265
272.5,285.950000190735
273,281.75000038147
273.5,283.950000190735
274,280.349999809265
274.5,284.950000190735
275,279.349999809265
275.5,286.54999961853
276,279.249999904633
276.5,287.849999809265
277,276.050000095367
277.5,283.849999809265
278,278.749999904633
278.5,282.950000190735
279,277.849999809265
279.5,283.950000190735
280,275.350000047684
280.5,283.15
281,269.249999904633
281.5,283.15
282,274.449999952316
282.5,283.950000190735
283,269.350000047684
283.5,282.25000038147
284,269.249999904633
284.5,284.15
285,277.550000095367
285.5,286.04999961853
286,280.65
286.5,284.950000190735
287,275.550000095367
287.5,285.950000190735
288,274.250000023842
288.5,286.54999961853
289,279.349999809265
289.5,284.25000038147
290,277.050000095367
290.5,284.950000190735
291,278.15
291.5,284.75000038147
292,274.350000047684
292.5,284.15
293,277.050000095367
293.5,282.849999809265
294,276.65
294.5,283.349999809265
295,277.349999809265
295.5,285.349999809265
296,277.050000095367
296.5,284.950000190735
297,280.349999809265
297.5,287.75000038147
298,279.349999809265
298.5,287.849999809265
299,280.249999904633
299.5,290.350000762939
300,277.349999809265
300.5,282.65
301,276.65
301.5,282.349999809265
302,275.350000047684
302.5,285.15
303,274.750000023842
303.5,285.450000190735
304,279.749999904633
304.5,283.75000038147
305,276.65
305.5,284.25000038147
306,277.849999809265
306.5,285.25000038147
307,280.349999809265
307.5,285.65
308,272.049999976158
308.5,287.54999961853
309,273.35000000298
309.5,290.54999961853
310,273.950000011921
310.5,292.25000038147
311,273.849999988079
311.5,286.950000190735
312,273.750000023842
312.5,286.04999961853
313,274.449999952316
313.5,281.75000038147
314,267.749999904633
314.5,284.25000038147
315,277.15
315.5,288.75000038147
316,278.849999809265
316.5,290.350000762939
317,274.350000047684
317.5,291.54999961853
318,274.250000023842
318.5,293.350000762939
319,274.250000023842
319.5,294.75000038147
320,277.050000095367
320.5,292.350000762939
321,276.449999952316
321.5,291.25000038147
322,275.550000095367
322.5,288.75000038147
323,270.949999952316
323.5,284.25000038147
324,273.04999999851
324.5,287.15
325,270.749999904633
325.5,291.850000762939
326,272.049999976158
326.5,294.449999237061
327,273.65
327.5,293.15
328,280.15
328.5,291.54999961853
329,281.450000190735
329.5,290.15
330,281.54999961853
330.5,285.54999961853
331,281.15
331.5,287.15
332,273.950000011921
332.5,289.850000762939
333,276.65
333.5,292.850000762939
334,277.950000190735
334.5,293.449999237061
335,277.15
335.5,294.75000038147
336,284.25000038147
336.5,294.65
337,280.849999809265
337.5,296.449999237061
338,282.25000038147
338.5,286.450000190735
339,277.349999809265
339.5,286.65
340,275.449999952316
340.5,288.450000190735
341,275.449999952316
341.5,285.849999809265
342,272.049999976158
342.5,286.54999961853
343,273.04999999851
343.5,289.25000038147
344,277.550000095367
344.5,290.04999961853
345,279.249999904633
345.5,292.15
346,278.65
346.5,288.04999961853
347,284.04999961853
347.5,289.75000038147
348,276.350000047684
348.5,289.75000038147
349,276.550000095367
349.5,289.65
350,274.15
350.5,290.850000762939
351,274.850000047684
351.5,292.75000038147
352,276.249999904633
352.5,293.850000762939
353,277.550000095367
353.5,296.54999961853
354,286.25000038147
354.5,294.949999237061
355,284.450000190735
355.5,294.25000038147
356,283.25000038147
356.5,292.850000762939
357,283.75000038147
357.5,286.849999809265
358,278.749999904633
358.5,286.950000190735
359,277.050000095367
359.5,289.75000038147
360,283.54999961853
360.5,293.75000038147
361,277.050000095367
361.5,296.850000762939
362,277.249999904633
362.5,298.350000762939
363,279.349999809265
363.5,299.54999961853
364,286.04999961853
364.5,292.949999237061
365,284.15
365.5,300.54999961853
366,288.849999809265
366.5,295.04999961853
367,286.950000190735
367.5,293.04999961853
368,281.349999809265
368.5,289.850000762939
369,277.349999809265
369.5,286.04999961853
370,275.949999952316
370.5,288.950000190735
371,273.04999999851
371.5,290.75000038147
372,273.04999999851
372.5,292.15
373,279.450000190735
373.5,294.850000762939
374,282.54999961853
374.5,295.25000038147
375,282.15
375.5,293.850000762939
376,284.25000038147
376.5,289.65
377,284.25000038147
377.5,294.75000038147
378,281.349999809265
378.5,298.850000762939
379,284.450000190735
379.5,294.54999961853
380,283.75000038147
380.5,299.54999961853
381,281.54999961853
381.5,297.75000038147
382,286.450000190735
382.5,298.449999237061
383,282.450000190735
383.5,293.65
384,284.349999809265
384.5,296.350000762939
385,283.25000038147
385.5,294.25000038147
386,284.75000038147
386.5,298.850000762939
387,283.54999961853
387.5,295.949999237061
388,280.349999809265
388.5,298.449999237061
389,282.25000038147
389.5,302.25000038147
390,286.54999961853
390.5,298.65
391,281.65
391.5,291.04999961853
392,277.849999809265
392.5,287.950000190735
393,281.349999809265
393.5,292.04999961853
394,278.749999904633
394.5,292.25000038147
395,274.350000047684
395.5,295.449999237061
396,277.050000095367
396.5,301.350000762939
397,283.15
397.5,303.75000038147
398,282.450000190735
398.5,289.54999961853
399,278.849999809265
399.5,293.04999961853
400,282.950000190735
400.5,295.75000038147
401,279.15
401.5,295.949999237061
402,283.04999961853
402.5,296.850000762939
403,277.550000095367
403.5,300.25000038147
404,278.749999904633
404.5,305.249998474121
405,281.75000038147
405.5,307.749998474121
406,286.54999961853
406.5,294.449999237061
407,283.75000038147
407.5,297.25000038147
408,284.849999809265
408.5,299.15
409,281.050000095367
409.5,300.850000762939
410,282.04999961853
410.5,303.25000038147
411,285.15
411.5,307.550001525879
412,289.54999961853
412.5,297.850000762939
413,282.15
413.5,301.949999237061
414,281.050000095367
414.5,301.850000762939
415,284.04999961853
415.5,301.949999237061
416,282.75000038147
416.5,296.15
417,277.15
417.5,299.449999237061
418,286.54999961853
418.5,299.25000038147
419,286.04999961853
419.5,301.54999961853
420,286.75000038147
420.5,303.65
