day,T
593,289.15
593.5,301.15
629,292.15
629.5,301.15
647,287.15
647.5,297.15
778,287.15
778.5,295.15
824,285.15
824.5,291.15
833,288.15
833.5,297.15
848,286.15
848.5,294.15
856,285.15
856.5,294.15
859,286.15
859.5,294.15
872,284.15
872.5,295.15
891,284.15
891.5,295.15
898,281.15
898.5,291.15
913,287.15
955,287.15
955.5,297.15
970,290.15
980,286.15
980.5,295.15
982,288.15
988,291.15
988.5,297.15
997,290.15
997.5,298.15
998,290.15
998.5,298.15
1000,290.15
1000.5,300.15
1004,291.15
1004.5,299.15
1005,291.15
1005.5,299.15
1006,287.15
1006.5,296.15
1007,288.15
1007.5,294.15
1008,287.15
1008.5,294.15
1009,288.15
1011,290.15
1011.5,297.15
1012,290.15
1012.5,299.15
1014,286.15
1014.5,298.15
1017,290.15
1017.5,300.15
1022,292.15
1022.5,301.15
1026,290.15
1026.5,300.15
1028,288.15
1028.5,300.15
1029,290.15
1029.5,300.15
1030,290.15
1030.5,298.15
1031,286.15
1031.5,298.15
1032,286.15
1032.5,293.15
1033,286.15
1034,287.15
1034.5,296.15
1035,286.15
1035.5,294.15
1036,286.15
1036.5,295.15
1037,286.15
1037.5,296.15
1038,288.15
1038.5,297.15
1039,288.15
1041,287.15
1041.5,297.15
1042,286.15
1042.5,298.15
1043,289.15
1043.5,298.15
1046,288.15
1046.5,294.15
1047,291.15
1048,289.15
1048.5,295.15
1049,289.15
1050,288.15
1055,292.15
1055.5,301.15
1056,289.15
1056.5,298.15
1057,289.15
1057.5,293.15
1058,288.15
1058.5,291.15
1064,292.15
1064.5,297.15
1066,291.15
1066.5,300.15
1067,292.15
1067.5,301.15
1068,292.15
1068.5,301.15
1070,290.15
1070.5,300.15
1071,291.15
1071.5,297.15
1072,291.15
1073,289.15
1073.5,298.15
1076,291.15
1076.5,298.15
1077,292.15
1078,292.15
1078.5,300.15
1079,291.15
1080,291.15
1080.5,299.15
1081,291.15
1081.5,298.15
1082,291.15
1082.5,299.15
1084.5,300.15
1085,289.15
1085.5,299.15
1086,290.15
1087,291.15
1087.5,301.15
1089,290.15
1089.5,297.15
1090,289.15
1090.5,298.15
1091,289.15
1091.5,298.15
1093,289.15
1093.5,298.15
1094,290.15
1094.5,300.15
1095,291.15
1096,291.15
1096.5,301.15
1097,292.15
1097.5,300.15
1098,291.15
1098.5,301.15
1099,291.15
1099.5,298.15
1100,289.15
1100.5,299.15
1101,291.15
1106,288.15
1107,287.15
1107.5,297.15
1108,290.15
1109,291.15
1109.5,300.15
1110,290.15
1110.5,301.15
1111,286.15
1111.5,295.15
1112,286.15
1112.5,295.15
1113,285.15
1113.5,295.15
1114,287.15
1114.5,296.15
1115,288.15
1115.5,298.15
1116,288.15
1116.5,296.15
1118,289.15
1119,291.15
1119.5,299.15
1120,293.15
1120.5,301.15
1121,291.15
1121.5,298.15
1122,291.15
1123,291.15
1123.5,302.15
1124,285.15
1124.5,296.15
1125.5,293.15
1126,286.15
1126.5,294.15
1127,289.15
1128,289.15
1128.5,299.15
1129,288.15
1129.5,296.15
1131,288.15
1132,287.15
1132.5,295.15
1133,286.15
1134,290.15
1135,289.15
1135.5,301.15
1136,289.15
1136.5,297.15
1137,289.15
1137.5,295.15
1138,290.15
1138.5,296.15
1139,285.15
1139.5,294.15
1141,286.15
1141.5,292.15
1142,284.15
1143,285.15
1143.5,293.15
1144,286.15
1144.5,295.15
1145,286.15
1145.5,292.15
1146,288.15
1147,287.15
1148,290.15
1149,289.15
1149.5,300.15
