"day","T"
157,265.65
157.5,272.549999976158
158,265.550000095367
158.5,272.349999988079
159,272.049999976158
159.5,274.449999952316
160,270.249999904633
160.5,274.750000023842
161,272.15
161.5,274.949999952316
162,271.949999952316
162.5,276.15
163,269.249999904633
163.5,278.65
164,267.65
164.5,284.54999961853
165,271.350000047684
165.5,281.65
166,269.949999952316
166.5,286.450000190735
167,271.549999976158
167.5,290.75000038147
168,279.65
168.5,293.04999961853
169,273.849999988079
169.5,283.75000038147
170,271.549999976158
170.5,284.54999961853
171,274.250000023842
171.5,288.950000190735
172,271.350000047684
172.5,280.15
173,269.749999904633
173.5,277.749999904633
174,270.749999904633
174.5,286.75000038147
175,274.250000023842
175.5,279.749999904633
176,270.449999952316
176.5,274.750000023842
177,268.050000095367
177.5,283.65
178,272.349999988079
178.5,288.349999809265
179,276.249999904633
179.5,293.850000762939
180,282.15
180.5,290.15
181,279.550000095367
181.5,295.949999237061
182,281.54999961853
182.5,298.25000038147
183,276.550000095367
183.5,286.75000038147
184,273.750000023842
184.5,283.25000038147
185,275.949999952316
185.5,282.950000190735
186,276.15
186.5,287.25000038147
187,274.850000047684
187.5,289.350000762939
188,276.249999904633
188.5,295.850000762939
189,282.849999809265
189.5,295.949999237061
190,283.349999809265
190.5,295.15
191,279.450000190735
191.5,288.450000190735
192,279.749999904633
192.5,289.25000038147
193,271.850000047684
193.5,282.15
194,271.350000047684
194.5,290.949999237061
195,274.549999976158
195.5,282.65
196,272.74999999404
196.5,284.54999961853
197,273.25000000149
197.5,291.850000762939
198,282.450000190735
198.5,294.350000762939
199,284.75000038147
199.5,294.449999237061
200,283.65
200.5,295.449999237061
201,282.849999809265
201.5,298.04999961853
202,280.849999809265
202.5,295.949999237061
203,278.849999809265
203.5,285.75000038147
204,275.249999904633
204.5,281.950000190735
205,274.350000047684
205.5,292.15
206,276.550000095367
206.5,295.75000038147
207,281.15
207.5,294.04999961853
208,284.849999809265
208.5,297.65
209,283.950000190735
209.5,290.65
210,281.349999809265
210.5,284.450000190735
211,280.849999809265
211.5,287.54999961853
212,282.75000038147
212.5,291.65
213,281.65
213.5,287.349999809265
214,280.249999904633
214.5,285.15
215,279.749999904633
215.5,294.25000038147
216,279.749999904633
216.5,285.75000038147
217,279.65
217.5,284.04999961853
218,280.349999809265
218.5,292.25000038147
219,278.950000190735
219.5,285.349999809265
220,275.350000047684
220.5,282.450000190735
221,274.449999952316
221.5,288.65
222,281.050000095367
222.5,296.65
223,287.75000038147
223.5,299.54999961853
224,283.849999809265
224.5,292.65
225,283.54999961853
225.5,292.850000762939
226,285.349999809265
226.5,302.949999237061
227,292.65
227.5,305.449999237061
228,292.949999237061
228.5,304.850000762939
229,287.849999809265
229.5,303.54999961853
230,286.65
230.5,292.04999961853
231,286.65
231.5,291.449999237061
232,285.950000190735
232.5,291.65
233,283.849999809265
233.5,292.54999961853
234,283.15
234.5,296.04999961853
235,283.849999809265
235.5,301.449999237061
236,288.04999961853
236.5,299.15
237,287.54999961853
237.5,294.04999961853
238,285.04999961853
238.5,289.25000038147
239,283.349999809265
239.5,288.349999809265
240,280.65
240.5,289.25000038147
241,283.950000190735
241.5,289.54999961853
243,283.65
243.5,293.75000038147
244,284.950000190735
244.5,297.850000762939
245,286.54999961853
245.5,302.449999237061
246,292.65
246.5,304.850000762939
247,293.65
247.5,303.15
248,291.850000762939
248.5,301.75000038147
249,287.450000190735
249.5,293.850000762939
250,286.15
250.5,296.75000038147
251,289.850000762939
251.5,301.350000762939
252,284.75000038147
252.5,291.449999237061
253,284.15
253.5,292.850000762939
254,285.450000190735
254.5,295.449999237061
255,289.65
255.5,296.25000038147
256,290.54999961853
256.5,297.449999237061
257,288.25000038147
257.5,299.65
258,287.349999809265
258.5,295.949999237061
259,287.65
259.5,299.949999237061
260,287.75000038147
260.5,302.54999961853
261,294.949999237061
261.5,303.04999961853
262,292.04999961853
262.5,301.04999961853
263,289.350000762939
263.5,299.54999961853
264,286.349999809265
264.5,293.15
265,284.75000038147
265.5,293.350000762939
266,284.15
266.5,300.04999961853
267,287.950000190735
267.5,301.449999237061
268,291.449999237061
268.5,302.25000038147
269,288.54999961853
269.5,295.25000038147
270,286.349999809265
270.5,301.54999961853
271,291.350000762939
271.5,295.949999237061
272,289.350000762939
272.5,302.350000762939
273,289.350000762939
273.5,303.65
274,291.850000762939
274.5,303.65
275,295.65
275.5,306.550001525879
276,293.15
276.5,306.550001525879
277,288.75000038147
277.5,297.350000762939
278,288.15
278.5,301.350000762939
279,289.54999961853
279.5,300.15
280,292.449999237061
280.5,296.949999237061
281,290.949999237061
281.5,296.850000762939
282,288.54999961853
282.5,297.350000762939
283,287.349999809265
283.5,301.850000762939
284,294.15
284.5,300.25000038147
285,293.350000762939
285.5,301.65
286,293.75000038147
286.5,302.75000038147
287,292.350000762939
287.5,303.04999961853
288,294.449999237061
288.5,305.65
289,292.54999961853
289.5,303.54999961853
290,294.65
290.5,306.449999237061
291,299.15
291.5,307.850000762939
292,295.949999237061
292.5,307.850000762939
293,292.04999961853
293.5,298.04999961853
294,289.449999237061
294.5,301.850000762939
295,287.65
295.5,299.350000762939
296,290.25000038147
296.5,302.04999961853
297,292.949999237061
297.5,300.04999961853
298,287.04999961853
298.5,296.449999237061
299,284.75000038147
299.5,298.25000038147
300,289.75000038147
300.5,297.850000762939
301,285.04999961853
301.5,293.850000762939
302,283.25000038147
302.5,295.449999237061
303,280.550000095367
303.5,299.25000038147
304,287.849999809265
304.5,299.04999961853
305,286.950000190735
305.5,298.850000762939
306,285.15
306.5,297.449999237061
307,285.849999809265
307.5,299.15
308,289.75000038147
308.5,300.04999961853
309,293.25000038147
309.5,296.15
310,284.349999809265
310.5,294.949999237061
311,282.75000038147
311.5,300.04999961853
312,285.450000190735
312.5,297.25000038147
313,284.349999809265
313.5,298.15
314,288.15
314.5,295.449999237061
315,290.25000038147
315.5,298.04999961853
316,288.849999809265
316.5,297.65
318,290.15
318.5,295.65
319,289.75000038147
319.5,296.04999961853
320,287.349999809265
320.5,294.850000762939
321,283.15
321.5,296.449999237061
322,284.54999961853
322.5,296.15
323,286.15
323.5,292.04999961853
324,287.04999961853
324.5,293.350000762939
325,283.950000190735
325.5,293.850000762939
326,282.25000038147
326.5,295.949999237061
327,284.849999809265
327.5,293.75000038147
328,282.950000190735
328.5,297.65
329,288.349999809265
329.5,300.54999961853
330,285.849999809265
330.5,291.949999237061
331,281.950000190735
331.5,289.850000762939
332,284.349999809265
332.5,293.54999961853
333,288.04999961853
333.5,291.75000038147
334,289.65
334.5,294.449999237061
335,288.349999809265
335.5,291.65
336,284.54999961853
336.5,292.54999961853
337,283.450000190735
337.5,295.65
338,287.15
338.5,298.75000038147
339,286.04999961853
339.5,295.449999237061
340,283.950000190735
340.5,290.449999237061
341,282.349999809265
341.5,287.849999809265
342,278.450000190735
342.5,290.75000038147
343,280.450000190735
343.5,291.449999237061
344,289.54999961853
344.5,296.25000038147
345,282.04999961853
345.5,292.25000038147
346,279.749999904633
346.5,292.54999961853
347,281.25000038147
347.5,291.75000038147
348,284.25000038147
348.5,295.65
349,282.04999961853
349.5,286.15
350,278.349999809265
350.5,286.65
351,282.75000038147
351.5,286.54999961853
352,280.249999904633
352.5,291.04999961853
353,279.050000095367
353.5,293.54999961853
354,288.349999809265
354.5,297.449999237061
355,281.950000190735
355.5,291.949999237061
356,277.849999809265
356.5,285.349999809265
357,276.449999952316
357.5,285.65
358,275.65
358.5,290.15
359,276.350000047684
359.5,294.350000762939
360,280.950000190735
360.5,290.350000762939
361,283.75000038147
361.5,287.450000190735
362,279.749999904633
362.5,291.65
363,272.549999976158
363.5,279.849999809265
364,273.750000023842
364.5,279.950000190735
365,276.350000047684
365.5,282.849999809265
366,274.449999952316
366.5,285.349999809265
367,273.950000011921
367.5,286.950000190735
368,282.950000190735
368.5,288.04999961853
369,284.450000190735
369.5,290.350000762939
370,279.15
370.5,287.450000190735
371,277.249999904633
371.5,281.54999961853
372,278.349999809265
372.5,283.349999809265
373,275.850000047684
373.5,284.15
374,275.049999976158
374.5,279.550000095367
375,274.15
375.5,279.950000190735
376,275.249999904633
376.5,281.450000190735
377,274.449999952316
377.5,282.65
378,277.050000095367
378.5,278.849999809265
379,276.249999904633
379.5,279.550000095367
380,274.15
380.5,282.65
381,273.450000011921
381.5,290.75000038147
382,275.15
382.5,289.850000762939
383,272.849999988079
383.5,281.050000095367
384,270.249999904633
384.5,276.749999904633
385,269.550000095367
385.5,276.15
386,268.349999809265
386.5,278.65
387,275.550000095367
387.5,285.950000190735
388,274.449999952316
388.5,288.75000038147
389,281.75000038147
389.5,284.04999961853
390,281.75000038147
390.5,285.349999809265
391,279.849999809265
391.5,291.850000762939
392,278.050000095367
392.5,281.050000095367
393,276.350000047684
393.5,280.349999809265
394,274.449999952316
394.5,277.849999809265
395,274.250000023842
395.5,278.65
396,274.549999976158
396.5,280.349999809265
397,272.94999999702
397.5,281.65
398,275.65
398.5,280.550000095367
399,274.350000047684
399.5,277.550000095367
400,274.949999952316
400.5,279.849999809265
401,273.55000000596
401.5,277.050000095367
402,271.750000023842
402.5,276.749999904633
403,270.65
403.5,279.550000095367
404,269.550000095367
404.5,282.75000038147
405,269.15
405.5,280.450000190735
406,269.550000095367
406.5,280.849999809265
407,274.750000023842
407.5,285.349999809265
408,279.450000190735
408.5,286.54999961853
409,280.450000190735
409.5,288.15
410,281.950000190735
410.5,289.350000762939
411,284.950000190735
411.5,289.65
412,275.949999952316
412.5,288.950000190735
413,272.65
413.5,281.65
414,271.949999952316
414.5,275.65
415,267.349999809265
415.5,272.549999976158
416,266.65
416.5,270.850000047684
417,265.349999809265
417.5,272.94999999702
418,270.749999904633
418.5,277.249999904633
419,265.749999904633
419.5,270.949999952316
420,266.050000095367
420.5,271.65
421,268.65
421.5,275.949999952316
422,272.349999988079
422.5,281.15
423,276.15
423.5,280.450000190735
424,276.850000047684
424.5,282.25000038147
425,273.04999999851
425.5,281.450000190735
426,274.449999952316
426.5,283.15
427,274.549999976158
427.5,280.249999904633
428,270.350000047684
428.5,280.65
429,279.450000190735
429.5,283.849999809265
430,271.850000047684
430.5,279.550000095367
431,270.249999904633
431.5,277.15
432,270.65
432.5,279.849999809265
433,276.65
433.5,278.849999809265
434,276.949999952316
434.5,285.54999961853
435,276.449999952316
435.5,279.450000190735
436,272.849999988079
436.5,280.349999809265
437,272.849999988079
437.5,276.949999952316
438,273.750000023842
438.5,277.65
439,273.04999999851
439.5,277.15
440,272.450000011921
440.5,278.550000095367
441,272.549999976158
441.5,276.449999952316
442,272.450000011921
442.5,277.450000190735
443,273.450000011921
443.5,284.450000190735
444,273.950000011921
444.5,284.04999961853
445,271.850000047684
445.5,279.550000095367
446,273.950000011921
446.5,281.54999961853
447,276.249999904633
447.5,282.04999961853
448,280.349999809265
448.5,283.65
449,275.749999904633
449.5,280.849999809265
450,270.65
450.5,276.249999904633
451,271.949999952316
451.5,275.350000047684
452,267.550000095367
452.5,272.65
453,266.15
453.5,271.750000023842
454,271.750000023842
454.5,278.349999809265
455,275.15
455.5,281.75000038147
456,271.750000023842
456.5,275.15
457,271.750000023842
457.5,273.25000000149
458,270.350000047684
458.5,273.65
459,262.450000190735
459.5,270.550000095367
460,258.75000038147
460.5,270.65
461,266.550000095367
461.5,273.55000000596
462,265.349999809265
462.5,272.250000023842
463,257.65
463.5,266.749999904633
464,258.15
464.5,269.949999952316
465,264.349999809265
465.5,270.15
466,269.65
466.5,272.349999988079
467,265.550000095367
467.5,270.550000095367
468,258.15
468.5,265.65
469,256.54999961853
469.5,273.849999988079
470,268.15
470.5,276.15
471,261.75000038147
471.5,269.249999904633
472,259.65
472.5,268.950000190735
473,258.75000038147
473.5,268.249999904633
474,261.54999961853
474.5,269.449999952316
475,263.849999809265
475.5,269.749999904633
476,260.849999809265
476.5,270.050000095367
477,256.54999961853
477.5,264.54999961853
478,253.75000038147
478.5,258.75000038147
479,253.25000038147
479.5,261.54999961853
480,254.75000038147
480.5,262.54999961853
481,256.25000038147
481.5,266.050000095367
482,260.75000038147
482.5,267.950000190735
483,259.950000190735
483.5,267.749999904633
484,259.849999809265
484.5,267.950000190735
485,260.65
485.5,269.15
486,261.450000190735
486.5,269.749999904633
487,258.75000038147
487.5,262.04999961853
488,258.04999961853
488.5,265.349999809265
489,256.65
489.5,265.349999809265
490,260.349999809265
490.5,270.15
491,257.849999809265
491.5,268.950000190735
492,256.449999237061
492.5,266.550000095367
493,256.04999961853
493.5,277.349999809265
494,266.550000095367
494.5,277.050000095367
495,263.450000190735
495.5,273.04999999851
496,267.849999809265
496.5,276.749999904633
497,264.54999961853
497.5,268.349999809265
498,258.849999809265
498.5,267.749999904633
499,267.349999809265
499.5,272.849999988079
500,272.250000023842
500.5,274.449999952316
501,272.849999988079
501.5,275.249999904633
502,269.850000047684
502.5,274.049999976158
503,271.050000095367
503.5,274.750000023842
504,272.049999976158
504.5,276.550000095367
506,268.849999809265
506.5,273.65
507,260.75000038147
507.5,271.750000023842
508,258.25000038147
508.5,263.950000190735
509,261.65
509.5,267.15
510,262.25000038147
510.5,271.850000047684
511,265.15
511.5,276.749999904633
512,274.750000023842
512.5,282.75000038147
513,271.449999952316
513.5,279.050000095367
514,271.850000047684
514.5,280.349999809265
515,275.449999952316
515.5,294.25000038147
516,274.949999952316
516.5,289.25000038147
517,268.450000190735
517.5,275.550000095367
518,268.550000095367
518.5,273.25000000149
519,269.449999952316
519.5,273.65
520,268.849999809265
520.5,276.350000047684
521,271.850000047684
521.5,278.249999904633
522,266.65
522.5,273.25000000149
523,268.249999904633
523.5,286.15
524,273.35000000298
524.5,288.15
525,273.25000000149
525.5,283.25000038147
526,273.25000000149
526.5,285.25000038147
527,272.049999976158
527.5,285.950000190735
528,280.550000095367
528.5,298.75000038147
529,276.949999952316
529.5,290.949999237061
530,274.350000047684
530.5,279.950000190735
531,272.450000011921
531.5,285.54999961853
532,270.749999904633
532.5,282.04999961853
533,276.550000095367
533.5,284.349999809265
534,279.249999904633
534.5,293.449999237061
535,275.749999904633
535.5,288.349999809265
536,273.849999988079
536.5,289.04999961853
537,268.249999904633
537.5,282.950000190735
538,266.950000190735
538.5,270.850000047684
539,267.349999809265
539.5,271.350000047684
540,266.249999904633
540.5,270.15
541,269.249999904633
541.5,272.849999988079
542,269.449999952316
542.5,275.749999904633
543,270.550000095367
543.5,277.450000190735
544,271.050000095367
544.5,279.849999809265
545,274.750000023842
545.5,282.15
546,270.65
546.5,282.75000038147
547,272.049999976158
