"day","T"
1,259.15
1.5,269.350000047684
2,263.15
2.5,271.949999952316
3,261.75000038147
3.5,269.050000095367
4,263.04999961853
4.5,268.249999904633
5,262.75000038147
5.5,266.550000095367
6,263.349999809265
6.5,266.749999904633
7,262.849999809265
7.5,266.550000095367
8,260.15
8.5,266.749999904633
9,255.65
9.5,267.349999809265
10,253.04999961853
10.5,266.450000190735
11,252.949999237061
11.5,265.550000095367
12,252.850000762939
12.5,264.950000190735
13,250.350000762939
13.5,269.550000095367
14,251.949999237061
14.5,271.050000095367
15,254.04999961853
15.5,268.349999809265
16,255.65
16.5,276.350000047684
17,259.25000038147
17.5,273.04999999851
18,261.54999961853
18.5,275.949999952316
19,263.950000190735
19.5,273.55000000596
20,263.15
20.5,270.15
21,258.25000038147
21.5,272.15
22,257.65
22.5,275.65
23,260.04999961853
23.5,278.349999809265
24,262.849999809265
24.5,279.249999904633
25,267.349999809265
25.5,278.950000190735
26,265.849999809265
26.5,280.050000095367
27,263.25000038147
27.5,281.54999961853
28,264.54999961853
28.5,282.04999961853
29,266.749999904633
29.5,278.749999904633
30,266.950000190735
30.5,280.450000190735
31,264.04999961853
31.5,283.849999809265
32,264.450000190735
32.5,284.65
33,265.249999904633
33.5,275.550000095367
34,265.550000095367
34.5,270.15
35,262.54999961853
35.5,274.449999952316
36,263.75000038147
36.5,276.050000095367
37,262.54999961853
37.5,276.550000095367
38,262.15
38.5,277.050000095367
39,264.849999809265
39.5,277.749999904633
40,267.349999809265
40.5,274.850000047684
41,262.75000038147
41.5,276.15
42,261.04999961853
42.5,280.15
43,266.050000095367
43.5,278.749999904633
44,268.550000095367
44.5,278.749999904633
45,266.15
45.5,282.450000190735
46,267.950000190735
46.5,278.749999904633
47,265.15
47.5,277.849999809265
48,263.65
48.5,281.25000038147
49,267.749999904633
49.5,278.050000095367
50,263.75000038147
50.5,278.15
51,271.250000023842
51.5,273.450000011921
52,272.349999988079
52.5,280.749999904633
53,269.949999952316
53.5,273.950000011921
54,268.950000190735
54.5,278.849999809265
55,269.949999952316
55.5,272.450000011921
56,269.550000095367
56.5,272.65
57,270.050000095367
57.5,273.450000011921
58,269.949999952316
58.5,272.94999999702
59,264.349999809265
59.5,271.250000023842
60,262.54999961853
60.5,267.450000190735
61,263.75000038147
61.5,271.750000023842
62,260.65
62.5,275.449999952316
63,264.54999961853
63.5,276.850000047684
64,270.350000047684
64.5,273.750000023842
65,269.949999952316
65.5,278.849999809265
66,267.849999809265
66.5,286.25000038147
67,270.449999952316
67.5,286.75000038147
68,272.15
68.5,289.449999237061
69,271.65
69.5,284.75000038147
70,269.850000047684
70.5,281.050000095367
71,265.849999809265
71.5,280.550000095367
72,270.350000047684
72.5,280.749999904633
73,269.949999952316
73.5,290.850000762939
74,274.250000023842
74.5,294.25000038147
75,276.550000095367
75.5,294.949999237061
76,275.15
76.5,291.65
77,271.949999952316
77.5,282.950000190735
78,270.749999904633
78.5,285.450000190735
79,271.750000023842
79.5,284.349999809265
80,269.749999904633
80.5,283.54999961853
81,271.15
81.5,284.75000038147
82,269.249999904633
82.5,283.849999809265
83,274.250000023842
83.5,282.849999809265
84,274.049999976158
84.5,290.350000762939
85,278.450000190735
85.5,284.54999961853
86,276.65
86.5,287.25000038147
87,275.550000095367
87.5,284.75000038147
88,275.15
88.5,289.449999237061
89,272.65
89.5,288.349999809265
90,277.65
90.5,290.350000762939
91,278.349999809265
91.5,289.04999961853
92,277.349999809265
92.5,290.15
93,273.950000011921
93.5,292.949999237061
94,275.350000047684
94.5,296.850000762939
95,277.950000190735
95.5,295.75000038147
96,281.849999809265
96.5,291.15
97,274.250000023842
97.5,290.04999961853
98,276.65
98.5,288.849999809265
99,273.55000000596
99.5,289.75000038147
100,278.349999809265
100.5,287.849999809265
101,275.949999952316
101.5,288.349999809265
102,275.850000047684
102.5,288.950000190735
103,279.65
103.5,290.25000038147
104,276.249999904633
104.5,292.65
105,278.450000190735
105.5,293.850000762939
106,279.349999809265
106.5,291.949999237061
107,278.450000190735
107.5,293.65
108,278.65
108.5,291.949999237061
109,280.349999809265
109.5,288.950000190735
110,277.950000190735
110.5,287.849999809265
111,274.449999952316
111.5,297.15
112,279.450000190735
112.5,290.25000038147
113,274.850000047684
113.5,292.25000038147
114,278.050000095367
114.5,295.350000762939
115,281.15
115.5,295.15
116,281.450000190735
116.5,291.350000762939
117,281.15
117.5,295.54999961853
118,287.15
118.5,296.25000038147
119,286.349999809265
119.5,296.350000762939
120,280.65
120.5,299.949999237061
121,283.15
121.5,303.75000038147
122,283.450000190735
122.5,303.54999961853
123,289.15
123.5,300.54999961853
124,285.75000038147
124.5,303.350000762939
125,282.54999961853
125.5,299.54999961853
126,284.04999961853
126.5,300.15
127,283.75000038147
127.5,301.75000038147
128,284.349999809265
128.5,303.449999237061
129,288.450000190735
129.5,298.350000762939
130,284.849999809265
130.5,305.550001525879
131,289.350000762939
131.5,306.65
132,291.25000038147
132.5,303.949999237061
133,287.75000038147
133.5,295.949999237061
134,285.950000190735
