"day","T"
61,281.450000190735
61.5,278.15
62,275.949999952316
62.5,277.849999809265
63,273.750000023842
63.5,276.249999904633
64,274.250000023842
64.5,272.74999999404
65.5,273.750000023842
66,273.750000023842
66.5,273.04999999851
67,271.449999952316
67.5,279.950000190735
68,272.549999976158
68.5,280.349999809265
69,273.15
69.5,279.65
70,267.550000095367
70.5,278.749999904633
71,268.749999904633
72,265.950000190735
72.5,278.15
73,267.050000095367
73.5,277.849999809265
74,263.75000038147
74.5,276.350000047684
75,268.749999904633
76,270.350000047684
76.5,276.449999952316
77,269.850000047684
77.5,282.54999961853
78,269.850000047684
78.5,282.349999809265
79,274.850000047684
79.5,279.249999904633
80,273.750000023842
80.5,278.450000190735
81,273.15
81.5,279.050000095367
82,274.850000047684
82.5,279.349999809265
83,282.54999961853
83.5,279.65
84.5,279.849999809265
85,274.250000023842
85.5,282.450000190735
86,269.850000047684
86.5,280.950000190735
87,272.049999976158
87.5,281.050000095367
88,273.750000023842
88.5,281.75000038147
89,274.250000023842
89.5,281.54999961853
90,275.350000047684
90.5,284.849999809265
91,278.749999904633
91.5,285.950000190735
92,275.350000047684
92.5,283.950000190735
93,275.350000047684
93.5,278.450000190735
94,277.550000095367
94.5,277.050000095367
95,277.550000095367
95.5,276.449999952316
96,272.549999976158
96.5,278.050000095367
97,272.549999976158
97.5,277.550000095367
98,273.15
98.5,281.15
99,271.449999952316
99.5,275.949999952316
100,273.15
100.5,276.050000095367
101,275.350000047684
101.5,275.350000047684
102,273.750000023842
102.5,275.850000047684
103,273.15
103.5,275.449999952316
104,273.750000023842
104.5,280.349999809265
105,272.549999976158
105.5,278.550000095367
106,270.350000047684
106.5,278.15
107,271.449999952316
107.5,284.849999809265
108,268.749999904633
108.5,286.54999961853
109,269.249999904633
109.5,283.349999809265
110,272.049999976158
110.5,281.25000038147
111,272.049999976158
111.5,278.749999904633
112,273.15
112.5,278.849999809265
113,274.850000047684
113.5,275.949999952316
114,275.350000047684
114.5,275.749999904633
115,270.350000047684
115.5,275.049999976158
116,272.549999976158
116.5,275.049999976158
117,278.15
117.5,276.050000095367
118,278.749999904633
118.5,274.549999976158
119,280.349999809265
119.5,274.750000023842
120,282.54999961853
120.5,276.15
121,280.950000190735
121.5,276.449999952316
122,281.450000190735
122.5,274.250000023842
123,276.449999952316
123.5,276.050000095367
124,278.15
124.5,277.050000095367
125,277.050000095367
125.5,279.249999904633
126,275.949999952316
126.5,279.849999809265
127,274.250000023842
127.5,281.950000190735
128,272.549999976158
128.5,280.050000095367
129,273.15
129.5,279.849999809265
130,275.949999952316
130.5,281.050000095367
131,277.550000095367
131.5,284.450000190735
132,277.550000095367
132.5,278.550000095367
133,278.15
134,279.249999904633
134.5,282.04999961853
