"day","T"
1,279.15
1.5,283.15
2.5,284.15
4.5,282.15
5.5,279.15
7,273.15
7.5,277.15
8,272.15
8.5,275.15
9,273.15
9.5,279.15
10.5,279.15
11,276.15
13,273.15
14,275.15
14.5,282.15
15.5,281.15
16.5,279.15
17,266.15
17.5,276.15
18,268.15
18.5,272.15
19,270.15
19.5,276.15
20,273.15
20.5,275.15
21,273.15
21.5,278.15
22,276.15
22.5,280.15
23,276.15
24,278.15
24.5,285.15
25,278.15
25.5,283.15
26.5,283.15
27.5,281.15
28,276.15
28.5,284.15
29.5,284.15
30.5,282.15
31,274.15
31.5,280.15
32.5,282.15
33.5,286.15
34,276.15
34.5,282.15
35.5,282.15
36,277.15
36.5,283.15
37,279.15
37.5,285.15
38.5,284.15
40,275.15
40.5,280.15
41,274.15
41.5,280.15
42,274.15
42.5,281.15
44,272.15
44.5,278.15
45.5,277.15
46,260.15
46.5,276.15
47.5,280.15
48,268.15
48.5,278.15
49.5,281.15
50,278.15
50.5,287.15
51.5,287.15
52.5,284.15
53.5,281.15
54.5,278.15
56,272.15
56.5,278.15
57,272.15
57.5,280.15
58.5,281.15
59,275.15
59.5,285.15
60,275.15
60.5,283.15
61,274.15
61.5,282.15
62.5,286.15
63,279.15
63.5,285.15
64,276.15
64.5,281.15
65,275.15
65.5,280.15
66,274.15
66.5,282.15
67,273.15
67.5,283.15
68,271.15
68.5,285.15
69,271.15
69.5,284.15
70.5,285.15
71,272.15
71.5,282.15
73,274.15
73.5,280.15
74.5,281.15
75,272.15
75.5,283.15
76,279.15
76.5,287.15
77,280.15
77.5,285.15
78,276.15
78.5,285.15
79,277.15
79.5,283.15
80,274.15
80.5,287.15
81.5,290.15
82.5,291.15
83.5,285.15
84,278.15
84.5,284.15
85,276.15
85.5,283.15
86,275.15
86.5,286.15
87,276.15
87.5,286.15
88,274.15
88.5,286.15
89.5,284.15
90,275.15
90.5,284.15
91,276.15
91.5,282.15
92,273.15
92.5,279.15
93.5,282.15
94,276.15
94.5,286.15
95,278.15
95.5,284.15
96,276.15
96.5,282.15
97.5,282.15
98.5,279.15
99,269.15
99.5,280.15
100,270.15
100.5,285.15
101,276.15
101.5,283.15
102,275.15
102.5,281.15
103,277.15
103.5,285.15
104,280.15
104.5,287.15
105,280.15
105.5,291.15
106,278.15
106.5,290.15
107,279.15
107.5,288.15
108.5,286.15
109,275.15
109.5,281.15
111,274.15
111.5,281.15
112,276.15
112.5,282.15
113,279.15
113.5,282.15
114.5,284.15
115,274.15
115.5,290.15
116,275.15
116.5,286.15
117,278.15
117.5,285.15
118.5,284.15
119,272.15
119.5,284.15
120,274.15
120.5,282.15
121,276.15
121.5,285.15
122.5,288.15
123,275.15
123.5,284.15
124,280.15
124.5,288.15
125,283.15
125.5,289.15
126,280.15
126.5,288.15
127,279.15
127.5,287.15
128,281.15
128.5,285.15
129,282.15
129.5,287.15
130,278.15
130.5,285.15
131,276.15
131.5,285.15
132,281.15
132.5,285.15
133.5,287.15
134,274.15
134.5,287.15
135,275.15
135.5,287.15
136,273.15
136.5,287.15
137,274.15
137.5,289.15
138,280.15
138.5,288.15
139,279.15
139.5,291.15
140,281.15
140.5,285.15
141,281.15
141.5,284.15
142,282.15
142.5,293.15
143,281.15
143.5,284.15
144,282.15
144.5,292.15
145,281.15
145.5,294.15
146,285.15
146.5,296.15
147,284.15
147.5,296.15
148,284.15
148.5,292.15
149,280.15
149.5,293.15
150,285.15
150.5,290.15
151.5,287.15
152,277.15
152.5,288.15
153,276.15
153.5,290.15
154,281.15
154.5,289.15
155,279.15
155.5,289.15
156,277.15
156.5,293.15
157,281.15
157.5,295.15
158,284.15
158.5,298.15
159.5,296.15
160,285.15
160.5,292.15
161,285.15
161.5,290.15
162,284.15
162.5,290.15
163,286.15
163.5,292.15
164.5,289.15
165.5,291.15
166,282.15
166.5,297.15
167,283.15
167.5,298.15
168.5,295.15
169,282.15
169.5,297.15
170.5,292.15
171.5,286.15
172.5,293.15
173.5,296.15
174.5,295.15
175.5,290.15
176.5,291.15
177.5,292.15
178.5,294.15
179.5,294.15
180.5,294.15
181.5,296.15
182,283.15
182.5,298.15
183.5,296.15
184,283.15
184.5,295.15
185,285.15
185.5,297.15
186,284.15
186.5,298.15
187,287.15
188.5,288.15
189,280.15
189.5,292.15
190,280.15
190.5,294.15
191,287.15
191.5,294.15
192,287.15
192.5,292.15
193,287.15
193.5,293.15
194,286.15
194.5,293.15
195,288.15
195.5,292.15
196,288.15
197.5,292.15
198.5,288.15
199,283.15
199.5,289.15
200,284.15
200.5,293.15
201,285.15
201.5,292.15
202,284.15
202.5,290.15
203.5,288.15
204,278.15
204.5,293.15
205,279.15
205.5,291.15
206,282.15
206.5,291.15
207.5,290.15
208,282.15
208.5,290.15
209.5,291.15
210,282.15
210.5,297.15
211,286.15
211.5,298.15
212.5,298.15
213,286.15
213.5,298.15
214,286.15
214.5,295.15
215.5,293.15
216,281.15
216.5,289.15
217,284.15
217.5,291.15
219,283.15
219.5,289.15
220,282.15
220.5,290.15
221,285.15
222,286.15
222.5,294.15
223.5,289.15
224,281.15
224.5,295.15
225,285.15
225.5,298.15
226,281.15
226.5,299.15
227,282.15
227.5,300.15
228,282.15
228.5,301.15
229.5,294.15
230,280.15
230.5,294.15
231,282.15
231.5,289.15
232.5,286.15
233,283.15
233.5,290.15
234,283.15
234.5,292.15
235,283.15
235.5,295.15
236,283.15
236.5,294.15
237,286.15
237.5,291.15
238.5,292.15
239,284.15
239.5,293.15
240,285.15
240.5,294.15
241,282.15
241.5,289.15
242,282.15
242.5,292.15
243,283.15
243.5,290.15
244.5,292.15
245,284.15
245.5,289.15
246,286.15
246.5,292.15
247.5,296.15
248,288.15
248.5,296.15
249,285.15
249.5,294.15
250.5,295.15
251,284.15
251.5,297.15
252,283.15
252.5,295.15
253.5,288.15
254,277.15
254.5,292.15
255,278.15
255.5,292.15
256,283.15
256.5,288.15
257,285.15
257.5,289.15
258,283.15
258.5,293.15
259,286.15
259.5,294.15
260.5,291.15
261,280.15
261.5,291.15
262.5,290.15
263,279.15
263.5,289.15
264.5,288.15
265,279.15
265.5,283.15
266.5,286.15
267,278.15
267.5,288.15
268,282.15
268.5,286.15
269.5,287.15
270,277.15
270.5,286.15
271,280.15
271.5,286.15
272,278.15
272.5,287.15
273.5,284.15
274,275.15
274.5,288.15
275,276.15
275.5,292.15
276,284.15
277,284.15
278.5,290.15
279,282.15
279.5,290.15
280,284.15
280.5,287.15
281,284.15
281.5,288.15
282,284.15
284.5,283.15
285,272.15
285.5,285.15
286,276.15
286.5,284.15
287,275.15
287.5,282.15
288,279.15
288.5,283.15
289.5,282.15
290,274.15
291.5,289.15
293,277.15
293.5,286.15
294.5,284.15
295,275.15
296.5,286.15
297,278.15
297.5,287.15
298,282.15
298.5,288.15
299.5,284.15
300,277.15
300.5,283.15
301,275.15
301.5,284.15
302,275.15
302.5,285.15
303,273.15
303.5,283.15
304,281.15
305,281.15
305.5,284.15
306,280.15
308,282.15
309,277.15
310,274.15
310.5,281.15
311,274.15
311.5,284.15
312,284.15
312.5,288.15
313.5,286.15
314,279.15
314.5,282.15
315.5,282.15
316,275.15
316.5,287.15
317,278.15
317.5,283.15
318,276.15
318.5,280.15
319.5,281.15
320.5,279.15
321,271.15
322,274.15
324.5,279.15
325,269.15
325.5,278.15
326,272.15
327.5,284.15
328.5,286.15
329,273.15
329.5,278.15
330.5,275.15
331,270.15
331.5,276.15
332,268.15
332.5,273.15
333.5,276.15
334.5,275.15
335,262.15
335.5,274.15
336,262.15
337,276.15
337.5,285.15
338,283.15
338.5,286.15
339.5,284.15
341,271.15
342,274.15
342.5,278.15
343,271.15
343.5,278.15
346,275.15
346.5,282.15
347.5,282.15
348.5,278.15
349,272.15
351.5,278.15
