"day","T"
1,291.449999237061
1.5,303.75000038147
2,289.449999237061
2.5,303.54999961853
3,289.449999237061
3.5,301.04999961853
4,290.449999237061
4.5,303.54999961853
5,290.449999237061
5.5,308.249998474121
6,293.949999237061
6.5,311.550001525879
7,298.04999961853
7.5,313.15
8,294.25000038147
8.5,313.65
9,293.850000762939
9.5,309.449999237061
10,291.04999961853
10.5,313.749998474121
11,290.54999961853
11.5,306.949999237061
12,289.54999961853
12.5,305.15
13,289.350000762939
13.5,311.949999237061
14,289.25000038147
14.5,300.850000762939
15,284.849999809265
15.5,299.949999237061
16,285.04999961853
16.5,300.949999237061
17,286.04999961853
17.5,301.850000762939
18,288.75000038147
18.5,305.350000762939
19,292.04999961853
19.5,310.350000762939
20,296.04999961853
20.5,312.550001525879
21,297.25000038147
21.5,315.350000762939
22,297.350000762939
22.5,311.949999237061
23,292.54999961853
23.5,307.15
24,290.350000762939
24.5,303.850000762939
25,287.75000038147
25.5,305.350000762939
26,288.54999961853
26.5,305.949999237061
27,287.75000038147
27.5,307.249998474121
28,288.25000038147
28.5,307.050001525879
29,290.04999961853
29.5,305.15
30,288.849999809265
30.5,307.249998474121
31,292.04999961853
31.5,309.249998474121
32,295.25000038147
32.5,311.850000762939
33,290.949999237061
33.5,312.15
34,290.350000762939
34.5,305.350000762939
35,288.75000038147
35.5,306.449999237061
36,293.15
36.5,312.350000762939
37,297.04999961853
37.5,312.850000762939
38,289.850000762939
38.5,306.949999237061
39,290.25000038147
39.5,305.249998474121
40,289.25000038147
40.5,301.25000038147
41,288.950000190735
41.5,301.949999237061
42,290.75000038147
42.5,304.25000038147
43,292.04999961853
43.5,303.15
44,290.850000762939
44.5,302.04999961853
45,286.349999809265
45.5,299.449999237061
46,285.950000190735
46.5,304.850000762939
47,287.450000190735
47.5,308.550001525879
48,291.25000038147
48.5,309.550001525879
49,295.04999961853
49.5,314.749998474121
50,291.54999961853
50.5,304.75000038147
51,287.04999961853
51.5,306.050001525879
52,283.75000038147
52.5,299.54999961853
53,283.950000190735
53.5,298.449999237061
54,287.75000038147
54.5,303.850000762939
55,289.350000762939
55.5,311.850000762939
56,288.450000190735
56.5,302.949999237061
57,287.950000190735
57.5,303.949999237061
58,286.54999961853
58.5,304.949999237061
59,284.54999961853
59.5,305.850000762939
60,288.450000190735
60.5,314.949999237061
61,290.54999961853
61.5,309.449999237061
62,292.25000038147
62.5,309.15
63,290.850000762939
63.5,308.15
64,291.04999961853
64.5,309.249998474121
65,289.54999961853
65.5,297.350000762939
66,282.04999961853
66.5,298.54999961853
67,286.65
67.5,301.350000762939
68,290.949999237061
68.5,312.050001525879
69,288.849999809265
69.5,298.449999237061
70,287.450000190735
70.5,296.350000762939
71,285.04999961853
71.5,297.350000762939
72,282.04999961853
72.5,299.949999237061
73,285.950000190735
73.5,297.54999961853
74,282.15
74.5,298.65
75,285.65
75.5,303.949999237061
76,289.949999237061
76.5,307.65
77,286.950000190735
77.5,300.04999961853
78,285.349999809265
78.5,300.350000762939
79,287.04999961853
79.5,307.15
80,291.350000762939
80.5,306.949999237061
81,290.949999237061
81.5,307.15
82,288.950000190735
82.5,307.749998474121
83,289.850000762939
83.5,306.350000762939
84,292.350000762939
84.5,308.850000762939
85,288.349999809265
85.5,305.350000762939
86,289.449999237061
86.5,311.449999237061
87,293.350000762939
87.5,311.850000762939
88,287.75000038147
88.5,305.850000762939
89,289.65
89.5,305.749998474121
90,289.850000762939
90.5,299.949999237061
91,285.349999809265
91.5,298.04999961853
92,283.950000190735
92.5,294.75000038147
93,286.450000190735
93.5,300.75000038147
94,289.25000038147
94.5,300.449999237061
95,290.350000762939
95.5,295.350000762939
96,290.25000038147
96.5,296.949999237061
97,288.950000190735
97.5,298.75000038147
98,289.449999237061
98.5,307.050001525879
99,291.65
99.5,301.75000038147
100,289.850000762939
100.5,300.54999961853
101,286.450000190735
101.5,295.949999237061
102,284.349999809265
102.5,292.949999237061
103,278.950000190735
103.5,294.25000038147
104,278.950000190735
104.5,297.75000038147
105,282.75000038147
105.5,298.75000038147
106,281.849999809265
106.5,303.54999961853
107,285.04999961853
107.5,304.75000038147
108,287.54999961853
108.5,301.25000038147
109,283.54999961853
109.5,296.949999237061
110,286.75000038147
110.5,288.25000038147
111,283.450000190735
111.5,288.450000190735
112,285.25000038147
112.5,291.65
113,285.950000190735
113.5,293.54999961853
114,285.450000190735
114.5,288.25000038147
115,285.450000190735
115.5,291.65
116,287.349999809265
116.5,292.65
117,287.450000190735
117.5,293.04999961853
118,285.450000190735
118.5,294.449999237061
119,285.54999961853
119.5,295.54999961853
120,288.15
120.5,293.850000762939
121,288.450000190735
121.5,296.449999237061
122,284.25000038147
122.5,293.15
123,280.050000095367
123.5,289.25000038147
124,278.15
124.5,291.54999961853
125,280.349999809265
125.5,293.75000038147
126,280.249999904633
126.5,293.54999961853
127,279.749999904633
127.5,293.04999961853
128,278.849999809265
128.5,296.15
129,280.749999904633
129.5,295.949999237061
130,282.25000038147
130.5,295.15
131,285.25000038147
131.5,302.04999961853
132,283.950000190735
132.5,299.949999237061
133,287.04999961853
133.5,297.350000762939
134,283.04999961853
134.5,296.350000762939
135,283.15
135.5,296.25000038147
136,284.349999809265
136.5,292.25000038147
137,277.849999809265
137.5,291.949999237061
138,277.550000095367
138.5,292.350000762939
139,278.749999904633
139.5,293.15
140,282.849999809265
140.5,296.25000038147
141,282.849999809265
141.5,296.949999237061
142,282.15
142.5,293.54999961853
143,279.550000095367
143.5,297.25000038147
144,279.849999809265
144.5,297.449999237061
145,282.349999809265
145.5,296.449999237061
146,280.050000095367
146.5,297.25000038147
147,281.25000038147
147.5,296.949999237061
148,279.550000095367
148.5,295.350000762939
149,283.950000190735
149.5,291.25000038147
150,273.15
150.5,287.54999961853
151,272.549999976158
151.5,290.449999237061
152,279.550000095367
152.5,292.75000038147
153,276.749999904633
153.5,294.04999961853
154,282.75000038147
154.5,291.949999237061
155,282.04999961853
155.5,289.75000038147
156,284.54999961853
156.5,291.25000038147
157,283.15
157.5,291.25000038147
158,281.75000038147
158.5,291.25000038147
159,282.54999961853
159.5,290.850000762939
160,279.550000095367
160.5,288.849999809265
