Species,Latitude,Habitat,Subfamily,Name,Lat,Lon,Elev,Code,WMO,Start,End,Years_of_data
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,Cotonou,6.35,2.38,4,BN000005344,65344,1941,2021,80
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,Cotonou,6.35,2.38,4,BN000005344,65344,1941,2021,80
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,Murtala_Muhammed,6.58,3.32,41,NIM00065201,65201,1998,2021,23
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,,,,,,,,,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,,,,,,,,,
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,,,,,,,,,
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,,,,,,,,,
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,,,,,,,,,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,,,,,,,,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,,,,,,,,,
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,
