Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,24.44093760407555,22.057003927183093,30.417677529765303,26.76218017014909,34.10106236778154,38.9426565900882,-0.0699079005569276,-0.10719599642355726
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,18.868268328479285,16.966161844981993,23.90121851225044,17.990252621347178,26.899427874283965,19.685658676084405,-0.07071178213852342,-0.21974318258843664
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,13.312402835543443,12.527529286335858,17.65190900560919,12.37659189027396,20.437872816984704,13.81571153,-0.038402898199626896,-0.2581147834010997
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,16.63184124304566,13.94223881648732,25.640243717105374,16.935155986793195,33.24428390139624,23.532826028225276,-0.08090420700700905,-0.2618521655070625
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,27.783709779217688,29.623318337014265,40.34466773060875,23.10406320705184,171.38956714716812,25.060982387149643,0.010733492057990608,-0.10059308049219129
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,36.51125488273155,41.49871976638346,56.87213221737155,28.419677268437642,190.46304965311683,32.853408053860235,0.02618599719334218,-0.14938569449955408
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,27.49448940719624,27.63595090737835,31.169361010310435,19.4691313771602,188.26004982868673,159.6307385656651,7.514153975356847e-4,-0.0621492963791162
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,35.219811447215186,32.34282047141162,53.33452713787121,44.28289327928185,196.12583533692512,162.17788687869682,-0.01466910756994954,-0.04615217491892149
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,2.44077207091385,2.461852872968358,2.2955690504992816,2.6490830829234264,2.453557992,3.640873615,0.008591931441296103,0.14408219963693641
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,2.3303427054787886,2.304369245165823,2.182340971028877,2.5039962056440936,2.5161946,3.800982035,-0.010322516514805948,0.12783400561117841
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,2.467426222992188,2.5076762714861633,2.175095845537944,2.7421727769580473,2.338994336,4.078186569,0.017208271039599217,0.24244476469741372
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,28.735061166368258,24.57378248832626,41.85943130336811,42.68133925389062,118.43741899487027,159.34963284430577,-0.03513483081071052,0.006939596940710996
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,27.507681197636458,24.081871787912146,40.31015082393899,43.42690279365636,116.35630892225778,158.32957928577255,-0.02944240360884282,0.026786273976770737
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,23.588231777449508,21.477208716203897,33.00283795577191,28.265244273398206,154.8468193,108.51360541729647,-0.01363297658155779,-0.030595356777688123
