"day","time","latitude","longitude","T"
0,2025-01-01,12.7225130890052,358.75,299.5974
0.5,2025-01-01,12.7225130890052,358.75,313.23627
1,2025-01-02,12.7225130890052,358.75,298.50323
1.5,2025-01-02,12.7225130890052,358.75,312.65607
2,2025-01-03,12.7225130890052,358.75,302.49023
2.5,2025-01-03,12.7225130890052,358.75,312.60287
3,2025-01-04,12.7225130890052,358.75,303.2358
3.5,2025-01-04,12.7225130890052,358.75,313.31537
4,2025-01-05,12.7225130890052,358.75,302.62357
4.5,2025-01-05,12.7225130890052,358.75,314.59915
5,2025-01-06,12.7225130890052,358.75,301.55106
5.5,2025-01-06,12.7225130890052,358.75,313.50723
6,2025-01-07,12.7225130890052,358.75,303.26663
6.5,2025-01-07,12.7225130890052,358.75,313.86185
7,2025-01-08,12.7225130890052,358.75,305.19995
7.5,2025-01-08,12.7225130890052,358.75,313.14362
8,2025-01-09,12.7225130890052,358.75,303.7106
8.5,2025-01-09,12.7225130890052,358.75,311.9121
9,2025-01-10,12.7225130890052,358.75,303.36215
9.5,2025-01-10,12.7225130890052,358.75,314.3796
10,2025-01-11,12.7225130890052,358.75,304.63995
10.5,2025-01-11,12.7225130890052,358.75,314.46664
11,2025-01-12,12.7225130890052,358.75,302.8852
11.5,2025-01-12,12.7225130890052,358.75,314.60492
12,2025-01-13,12.7225130890052,358.75,302.01825
12.5,2025-01-13,12.7225130890052,358.75,307.9684
13,2025-01-14,12.7225130890052,358.75,299.81958
13.5,2025-01-14,12.7225130890052,358.75,312.44986
14,2025-01-15,12.7225130890052,358.75,303.1589
14.5,2025-01-15,12.7225130890052,358.75,313.31363
15,2025-01-16,12.7225130890052,358.75,303.5092
15.5,2025-01-16,12.7225130890052,358.75,316.89206
16,2025-01-17,12.7225130890052,358.75,303.15118
16.5,2025-01-17,12.7225130890052,358.75,316.54916
17,2025-01-18,12.7225130890052,358.75,304.21432
17.5,2025-01-18,12.7225130890052,358.75,314.18445
18,2025-01-19,12.7225130890052,358.75,304.1154
18.5,2025-01-19,12.7225130890052,358.75,314.48132
19,2025-01-20,12.7225130890052,358.75,305.50232
19.5,2025-01-20,12.7225130890052,358.75,315.30444
20,2025-01-21,12.7225130890052,358.75,304.9735
20.5,2025-01-21,12.7225130890052,358.75,315.1271
21,2025-01-22,12.7225130890052,358.75,304.53482
21.5,2025-01-22,12.7225130890052,358.75,314.6744
22,2025-01-23,12.7225130890052,358.75,303.611
22.5,2025-01-23,12.7225130890052,358.75,313.51785
23,2025-01-24,12.7225130890052,358.75,303.78714
23.5,2025-01-24,12.7225130890052,358.75,314.03
24,2025-01-25,12.7225130890052,358.75,303.92093
24.5,2025-01-25,12.7225130890052,358.75,314.89648
25,2025-01-26,12.7225130890052,358.75,304.00003
25.5,2025-01-26,12.7225130890052,358.75,314.0666
26,2025-01-27,12.7225130890052,358.75,303.44647
26.5,2025-01-27,12.7225130890052,358.75,314.57214
27,2025-01-28,12.7225130890052,358.75,302.27133
27.5,2025-01-28,12.7225130890052,358.75,309.26535
28,2025-01-29,12.7225130890052,358.75,301.3793
28.5,2025-01-29,12.7225130890052,358.75,311.08963
29,2025-01-30,12.7225130890052,358.75,301.15598
29.5,2025-01-30,12.7225130890052,358.75,310.4502
30,2025-01-31,12.7225130890052,358.75,302.00928
30.5,2025-01-31,12.7225130890052,358.75,309.8375
31,2025-02-01,12.7225130890052,358.75,301.50558
31.5,2025-02-01,12.7225130890052,358.75,310.08728
