"day","time","latitude","longitude","T"
0,2025-01-01,43.8219895287958,286.25,274.6479
0.5,2025-01-01,43.8219895287958,286.25,286.97934
1,2025-01-02,43.8219895287958,286.25,272.49786
1.5,2025-01-02,43.8219895287958,286.25,285.4271
2,2025-01-03,43.8219895287958,286.25,276.23328
2.5,2025-01-03,43.8219895287958,286.25,285.26276
3,2025-01-04,43.8219895287958,286.25,280.1093
3.5,2025-01-04,43.8219895287958,286.25,286.864
4,2025-01-05,43.8219895287958,286.25,279.7367
4.5,2025-01-05,43.8219895287958,286.25,290.79648
5,2025-01-06,43.8219895287958,286.25,278.55444
5.5,2025-01-06,43.8219895287958,286.25,292.02194
6,2025-01-07,43.8219895287958,286.25,287.72214
6.5,2025-01-07,43.8219895287958,286.25,302.47754
7,2025-01-08,43.8219895287958,286.25,286.95648
7.5,2025-01-08,43.8219895287958,286.25,298.83746
8,2025-01-09,43.8219895287958,286.25,278.96628
8.5,2025-01-09,43.8219895287958,286.25,289.1914
9,2025-01-10,43.8219895287958,286.25,280.1492
9.5,2025-01-10,43.8219895287958,286.25,293.45056
10,2025-01-11,43.8219895287958,286.25,282.77798
10.5,2025-01-11,43.8219895287958,286.25,298.6459
11,2025-01-12,43.8219895287958,286.25,287.6872
11.5,2025-01-12,43.8219895287958,286.25,298.8195
12,2025-01-13,43.8219895287958,286.25,282.67133
12.5,2025-01-13,43.8219895287958,286.25,295.57748
13,2025-01-14,43.8219895287958,286.25,278.2507
13.5,2025-01-14,43.8219895287958,286.25,290.45712
14,2025-01-15,43.8219895287958,286.25,278.71402
14.5,2025-01-15,43.8219895287958,286.25,294.596
15,2025-01-16,43.8219895287958,286.25,284.84842
15.5,2025-01-16,43.8219895287958,286.25,296.9584
16,2025-01-17,43.8219895287958,286.25,289.2315
16.5,2025-01-17,43.8219895287958,286.25,306.33487
17,2025-01-18,43.8219895287958,286.25,292.2612
17.5,2025-01-18,43.8219895287958,286.25,298.56024
18,2025-01-19,43.8219895287958,286.25,281.97995
18.5,2025-01-19,43.8219895287958,286.25,291.7978
19,2025-01-20,43.8219895287958,286.25,276.3021
19.5,2025-01-20,43.8219895287958,286.25,287.4895
20,2025-01-21,43.8219895287958,286.25,279.5765
20.5,2025-01-21,43.8219895287958,286.25,296.1951
21,2025-01-22,43.8219895287958,286.25,285.60867
21.5,2025-01-22,43.8219895287958,286.25,300.5046
22,2025-01-23,43.8219895287958,286.25,286.78833
22.5,2025-01-23,43.8219895287958,286.25,301.18478
23,2025-01-24,43.8219895287958,286.25,287.99344
23.5,2025-01-24,43.8219895287958,286.25,301.11725
24,2025-01-25,43.8219895287958,286.25,290.96317
24.5,2025-01-25,43.8219895287958,286.25,300.26163
25,2025-01-26,43.8219895287958,286.25,291.76428
25.5,2025-01-26,43.8219895287958,286.25,298.33167
26,2025-01-27,43.8219895287958,286.25,291.87686
26.5,2025-01-27,43.8219895287958,286.25,298.86948
27,2025-01-28,43.8219895287958,286.25,286.16833
27.5,2025-01-28,43.8219895287958,286.25,295.09543
28,2025-01-29,43.8219895287958,286.25,284.64108
28.5,2025-01-29,43.8219895287958,286.25,296.63638
29,2025-01-30,43.8219895287958,286.25,281.9629
29.5,2025-01-30,43.8219895287958,286.25,292.65094
30,2025-01-31,43.8219895287958,286.25,278.55618
30.5,2025-01-31,43.8219895287958,286.25,290.3587
31,2025-02-01,43.8219895287958,286.25,278.84216
31.5,2025-02-01,43.8219895287958,286.25,292.80963
32,2025-02-02,43.8219895287958,286.25,279.91568
32.5,2025-02-02,43.8219895287958,286.25,295.37405
33,2025-02-03,43.8219895287958,286.25,279.9606
33.5,2025-02-03,43.8219895287958,286.25,297.20224
34,2025-02-04,43.8219895287958,286.25,284.91498
34.5,2025-02-04,43.8219895287958,286.25,296.52002
35,2025-02-05,43.8219895287958,286.25,289.98245
35.5,2025-02-05,43.8219895287958,286.25,297.7938
36,2025-02-06,43.8219895287958,286.25,290.15756
36.5,2025-02-06,43.8219895287958,286.25,300.37076
37,2025-02-07,43.8219895287958,286.25,289.10464
37.5,2025-02-07,43.8219895287958,286.25,305.497
38,2025-02-08,43.8219895287958,286.25,291.45972
38.5,2025-02-08,43.8219895287958,286.25,300.0066
39,2025-02-09,43.8219895287958,286.25,287.34634
39.5,2025-02-09,43.8219895287958,286.25,300.11978
40,2025-02-10,43.8219895287958,286.25,288.31274
40.5,2025-02-10,43.8219895287958,286.25,296.89523
41,2025-02-11,43.8219895287958,286.25,287.05054
41.5,2025-02-11,43.8219895287958,286.25,296.46872
42,2025-02-12,43.8219895287958,286.25,283.2987
42.5,2025-02-12,43.8219895287958,286.25,297.57336
43,2025-02-13,43.8219895287958,286.25,286.869
43.5,2025-02-13,43.8219895287958,286.25,299.85852
44,2025-02-14,43.8219895287958,286.25,293.60205
44.5,2025-02-14,43.8219895287958,286.25,297.18164
45,2025-02-15,43.8219895287958,286.25,288.39886
45.5,2025-02-15,43.8219895287958,286.25,304.45078
46,2025-02-16,43.8219895287958,286.25,291.92596
46.5,2025-02-16,43.8219895287958,286.25,309.58554
47,2025-02-17,43.8219895287958,286.25,293.08374
47.5,2025-02-17,43.8219895287958,286.25,302.3422
48,2025-02-18,43.8219895287958,286.25,294.5508
48.5,2025-02-18,43.8219895287958,286.25,307.5048
49,2025-02-19,43.8219895287958,286.25,295.0271
49.5,2025-02-19,43.8219895287958,286.25,308.6511
50,2025-02-20,43.8219895287958,286.25,294.7351
50.5,2025-02-20,43.8219895287958,286.25,304.5458
51,2025-02-21,43.8219895287958,286.25,294.84592
51.5,2025-02-21,43.8219895287958,286.25,302.9477
52,2025-02-22,43.8219895287958,286.25,294.4931
52.5,2025-02-22,43.8219895287958,286.25,301.78293
53,2025-02-23,43.8219895287958,286.25,293.5339
53.5,2025-02-23,43.8219895287958,286.25,301.32498
54,2025-02-24,43.8219895287958,286.25,293.30154
54.5,2025-02-24,43.8219895287958,286.25,298.6107
55,2025-02-25,43.8219895287958,286.25,293.4613
55.5,2025-02-25,43.8219895287958,286.25,298.5771
56,2025-02-26,43.8219895287958,286.25,294.3249
56.5,2025-02-26,43.8219895287958,286.25,303.21375
57,2025-02-27,43.8219895287958,286.25,283.01288
57.5,2025-02-27,43.8219895287958,286.25,296.75854
58,2025-02-28,43.8219895287958,286.25,283.2106
58.5,2025-02-28,43.8219895287958,286.25,295.961
59,2025-03-01,43.8219895287958,286.25,288.2298
59.5,2025-03-01,43.8219895287958,286.25,293.05185
60,2025-03-02,43.8219895287958,286.25,285.4729
60.5,2025-03-02,43.8219895287958,286.25,299.52512
61,2025-03-03,43.8219895287958,286.25,288.51505
61.5,2025-03-03,43.8219895287958,286.25,296.91727
62,2025-03-04,43.8219895287958,286.25,291.81427
62.5,2025-03-04,43.8219895287958,286.25,301.72156
63,2025-03-05,43.8219895287958,286.25,285.42438
63.5,2025-03-05,43.8219895287958,286.25,301.1611
64,2025-03-06,43.8219895287958,286.25,290.39127
64.5,2025-03-06,43.8219895287958,286.25,296.54227
65,2025-03-07,43.8219895287958,286.25,292.10632
65.5,2025-03-07,43.8219895287958,286.25,299.87872
66,2025-03-08,43.8219895287958,286.25,287.16476
66.5,2025-03-08,43.8219895287958,286.25,302.09418
67,2025-03-09,43.8219895287958,286.25,291.52866
67.5,2025-03-09,43.8219895287958,286.25,299.2145
68,2025-03-10,43.8219895287958,286.25,292.18036
68.5,2025-03-10,43.8219895287958,286.25,301.15472
69,2025-03-11,43.8219895287958,286.25,291.15463
69.5,2025-03-11,43.8219895287958,286.25,302.51788
70,2025-03-12,43.8219895287958,286.25,290.4868
70.5,2025-03-12,43.8219895287958,286.25,300.6252
71,2025-03-13,43.8219895287958,286.25,292.46283
71.5,2025-03-13,43.8219895287958,286.25,301.8165
72,2025-03-14,43.8219895287958,286.25,292.7512
72.5,2025-03-14,43.8219895287958,286.25,300.30154
73,2025-03-15,43.8219895287958,286.25,290.00937
73.5,2025-03-15,43.8219895287958,286.25,298.84665
74,2025-03-16,43.8219895287958,286.25,288.58957
74.5,2025-03-16,43.8219895287958,286.25,301.9507
75,2025-03-17,43.8219895287958,286.25,287.0807
75.5,2025-03-17,43.8219895287958,286.25,302.8508
76,2025-03-18,43.8219895287958,286.25,292.19574
76.5,2025-03-18,43.8219895287958,286.25,299.3867
77,2025-03-19,43.8219895287958,286.25,293.09738
77.5,2025-03-19,43.8219895287958,286.25,297.7235
78,2025-03-20,43.8219895287958,286.25,292.46118
78.5,2025-03-20,43.8219895287958,286.25,302.14597
79,2025-03-21,43.8219895287958,286.25,293.39932
79.5,2025-03-21,43.8219895287958,286.25,299.51038
80,2025-03-22,43.8219895287958,286.25,289.73615
80.5,2025-03-22,43.8219895287958,286.25,301.04517
81,2025-03-23,43.8219895287958,286.25,289.5316
81.5,2025-03-23,43.8219895287958,286.25,302.1491
82,2025-03-24,43.8219895287958,286.25,288.96844
82.5,2025-03-24,43.8219895287958,286.25,301.8728
83,2025-03-25,43.8219895287958,286.25,288.0884
83.5,2025-03-25,43.8219895287958,286.25,304.87695
84,2025-03-26,43.8219895287958,286.25,293.7268
84.5,2025-03-26,43.8219895287958,286.25,301.20264
85,2025-03-27,43.8219895287958,286.25,294.22546
85.5,2025-03-27,43.8219895287958,286.25,299.32788
86,2025-03-28,43.8219895287958,286.25,294.45468
86.5,2025-03-28,43.8219895287958,286.25,298.5255
87,2025-03-29,43.8219895287958,286.25,294.98428
87.5,2025-03-29,43.8219895287958,286.25,300.67502
88,2025-03-30,43.8219895287958,286.25,294.59854
88.5,2025-03-30,43.8219895287958,286.25,302.19003
89,2025-03-31,43.8219895287958,286.25,294.43893
89.5,2025-03-31,43.8219895287958,286.25,299.30478
90,2025-04-01,43.8219895287958,286.25,294.7638
90.5,2025-04-01,43.8219895287958,286.25,300.53586
91,2025-04-02,43.8219895287958,286.25,293.6971
91.5,2025-04-02,43.8219895287958,286.25,303.56134
92,2025-04-03,43.8219895287958,286.25,293.79407
92.5,2025-04-03,43.8219895287958,286.25,302.78412
93,2025-04-04,43.8219895287958,286.25,294.48093
93.5,2025-04-04,43.8219895287958,286.25,300.60095
94,2025-04-05,43.8219895287958,286.25,292.79144
94.5,2025-04-05,43.8219895287958,286.25,304.98126
95,2025-04-06,43.8219895287958,286.25,291.5249
95.5,2025-04-06,43.8219895287958,286.25,307.15646
96,2025-04-07,43.8219895287958,286.25,293.02267
96.5,2025-04-07,43.8219895287958,286.25,308.44046
97,2025-04-08,43.8219895287958,286.25,290.3972
97.5,2025-04-08,43.8219895287958,286.25,308.30643
98,2025-04-09,43.8219895287958,286.25,293.1202
98.5,2025-04-09,43.8219895287958,286.25,309.55673
99,2025-04-10,43.8219895287958,286.25,293.87097
99.5,2025-04-10,43.8219895287958,286.25,308.88855
100,2025-04-11,43.8219895287958,286.25,294.27054
100.5,2025-04-11,43.8219895287958,286.25,303.45178
101,2025-04-12,43.8219895287958,286.25,295.12027
101.5,2025-04-12,43.8219895287958,286.25,302.97958
102,2025-04-13,43.8219895287958,286.25,294.11942
102.5,2025-04-13,43.8219895287958,286.25,305.0243
103,2025-04-14,43.8219895287958,286.25,294.7219
103.5,2025-04-14,43.8219895287958,286.25,305.69196
104,2025-04-15,43.8219895287958,286.25,294.64172
104.5,2025-04-15,43.8219895287958,286.25,302.60666
105,2025-04-16,43.8219895287958,286.25,293.7115
105.5,2025-04-16,43.8219895287958,286.25,302.39682
106,2025-04-17,43.8219895287958,286.25,294.16812
106.5,2025-04-17,43.8219895287958,286.25,305.02017
107,2025-04-18,43.8219895287958,286.25,293.38785
107.5,2025-04-18,43.8219895287958,286.25,300.3068
108,2025-04-19,43.8219895287958,286.25,284.40906
108.5,2025-04-19,43.8219895287958,286.25,298.82266
109,2025-04-20,43.8219895287958,286.25,286.16034
109.5,2025-04-20,43.8219895287958,286.25,302.49313
110,2025-04-21,43.8219895287958,286.25,292.78162
110.5,2025-04-21,43.8219895287958,286.25,308.63687
