day,time,latitude,longitude,T
0,01.01.25,39.10994764,-92.5,287.98398
0.5,01.01.25,39.10994764,-92.5,297.2453
1,02.01.25,39.10994764,-92.5,288.10544
1.5,02.01.25,39.10994764,-92.5,294.57678
2,03.01.25,39.10994764,-92.5,284.13705
2.5,03.01.25,39.10994764,-92.5,300.55408
3,04.01.25,39.10994764,-92.5,287.78217
3.5,04.01.25,39.10994764,-92.5,299.19882
4,05.01.25,39.10994764,-92.5,290.1604
4.5,05.01.25,39.10994764,-92.5,303.1751
5,06.01.25,39.10994764,-92.5,291.71167
5.5,06.01.25,39.10994764,-92.5,304.43704
6,07.01.25,39.10994764,-92.5,293.657
6.5,07.01.25,39.10994764,-92.5,307.67767
7,08.01.25,39.10994764,-92.5,294.5201
7.5,08.01.25,39.10994764,-92.5,305.3431
8,09.01.25,39.10994764,-92.5,287.57318
8.5,09.01.25,39.10994764,-92.5,298.6231
9,10.01.25,39.10994764,-92.5,288.7223
9.5,10.01.25,39.10994764,-92.5,303.28427
10,11.01.25,39.10994764,-92.5,294.76627
10.5,11.01.25,39.10994764,-92.5,302.01825
11,12.01.25,39.10994764,-92.5,294.45908
11.5,12.01.25,39.10994764,-92.5,307.1445
12,13.01.25,39.10994764,-92.5,295.60968
12.5,13.01.25,39.10994764,-92.5,304.8146
13,14.01.25,39.10994764,-92.5,294.709
13.5,14.01.25,39.10994764,-92.5,305.06488
14,15.01.25,39.10994764,-92.5,295.6999
14.5,15.01.25,39.10994764,-92.5,306.31042
15,16.01.25,39.10994764,-92.5,296.36548
15.5,16.01.25,39.10994764,-92.5,306.3963
16,17.01.25,39.10994764,-92.5,297.08884
16.5,17.01.25,39.10994764,-92.5,304.9253
17,18.01.25,39.10994764,-92.5,290.3925
17.5,18.01.25,39.10994764,-92.5,301.96954
18,19.01.25,39.10994764,-92.5,285.67487
18.5,19.01.25,39.10994764,-92.5,297.0866
19,20.01.25,39.10994764,-92.5,287.74207
19.5,20.01.25,39.10994764,-92.5,299.30505
20,21.01.25,39.10994764,-92.5,290.1141
20.5,21.01.25,39.10994764,-92.5,301.49142
21,22.01.25,39.10994764,-92.5,291.46515
21.5,22.01.25,39.10994764,-92.5,304.05148
22,23.01.25,39.10994764,-92.5,293.0625
22.5,23.01.25,39.10994764,-92.5,305.69153
23,24.01.25,39.10994764,-92.5,294.13632
23.5,24.01.25,39.10994764,-92.5,307.20386
24,25.01.25,39.10994764,-92.5,296.16202
24.5,25.01.25,39.10994764,-92.5,308.76846
25,26.01.25,39.10994764,-92.5,297.67084
25.5,26.01.25,39.10994764,-92.5,310.09335
26,27.01.25,39.10994764,-92.5,296.78867
26.5,27.01.25,39.10994764,-92.5,306.5085
27,28.01.25,39.10994764,-92.5,290.54364
27.5,28.01.25,39.10994764,-92.5,303.22958
28,29.01.25,39.10994764,-92.5,295.66888
28.5,29.01.25,39.10994764,-92.5,307.34094
29,30.01.25,39.10994764,-92.5,291.25214
29.5,30.01.25,39.10994764,-92.5,303.48532
30,31.01.25,39.10994764,-92.5,287.45593
30.5,31.01.25,39.10994764,-92.5,297.88492
31,01.02.25,39.10994764,-92.5,289.71204
31.5,01.02.25,39.10994764,-92.5,301.60986
32,02.02.25,39.10994764,-92.5,293.56693
32.5,02.02.25,39.10994764,-92.5,314.57556
33,03.02.25,39.10994764,-92.5,299.16406
33.5,03.02.25,39.10994764,-92.5,312.62115
34,04.02.25,39.10994764,-92.5,299.02362
34.5,04.02.25,39.10994764,-92.5,313.41913
35,05.02.25,39.10994764,-92.5,300.26553
35.5,05.02.25,39.10994764,-92.5,311.96753
36,06.02.25,39.10994764,-92.5,300.64087
36.5,06.02.25,39.10994764,-92.5,312.5469
37,07.02.25,39.10994764,-92.5,299.98785
37.5,07.02.25,39.10994764,-92.5,314.91248
38,08.02.25,39.10994764,-92.5,301.51666
38.5,08.02.25,39.10994764,-92.5,313.39124
39,09.02.25,39.10994764,-92.5,301.1412
39.5,09.02.25,39.10994764,-92.5,313.34308
40,10.02.25,39.10994764,-92.5,301.79047
40.5,10.02.25,39.10994764,-92.5,314.05685
41,11.02.25,39.10994764,-92.5,302.28403
41.5,11.02.25,39.10994764,-92.5,314.99844
42,12.02.25,39.10994764,-92.5,302.19534
42.5,12.02.25,39.10994764,-92.5,313.84332
43,13.02.25,39.10994764,-92.5,301.8507
43.5,13.02.25,39.10994764,-92.5,316.64114
44,14.02.25,39.10994764,-92.5,298.26047
44.5,14.02.25,39.10994764,-92.5,315.9047
45,15.02.25,39.10994764,-92.5,302.82013
45.5,15.02.25,39.10994764,-92.5,315.0148
46,16.02.25,39.10994764,-92.5,303.18988
46.5,16.02.25,39.10994764,-92.5,315.45255
47,17.02.25,39.10994764,-92.5,302.77954
47.5,17.02.25,39.10994764,-92.5,319.67932
48,18.02.25,39.10994764,-92.5,301.83755
48.5,18.02.25,39.10994764,-92.5,316.55057
49,19.02.25,39.10994764,-92.5,301.65735
49.5,19.02.25,39.10994764,-92.5,315.03973
50,20.02.25,39.10994764,-92.5,297.6798
50.5,20.02.25,39.10994764,-92.5,309.86694
51,21.02.25,39.10994764,-92.5,299.54108
51.5,21.02.25,39.10994764,-92.5,308.34155
52,22.02.25,39.10994764,-92.5,298.8539
52.5,22.02.25,39.10994764,-92.5,310.36633
53,23.02.25,39.10994764,-92.5,301.57535
53.5,23.02.25,39.10994764,-92.5,311.19174
54,24.02.25,39.10994764,-92.5,301.71597
54.5,24.02.25,39.10994764,-92.5,307.54935
55,25.02.25,39.10994764,-92.5,299.80402
55.5,25.02.25,39.10994764,-92.5,304.632
56,26.02.25,39.10994764,-92.5,298.47107
56.5,26.02.25,39.10994764,-92.5,309.95862
57,27.02.25,39.10994764,-92.5,299.96478
57.5,27.02.25,39.10994764,-92.5,314.7372
58,28.02.25,39.10994764,-92.5,301.59354
58.5,28.02.25,39.10994764,-92.5,314.73224
59,01.03.25,39.10994764,-92.5,301.79953
59.5,01.03.25,39.10994764,-92.5,315.02704
60,02.03.25,39.10994764,-92.5,302.4298
60.5,02.03.25,39.10994764,-92.5,315.4726
61,03.03.25,39.10994764,-92.5,303.39114
61.5,03.03.25,39.10994764,-92.5,316.18286
62,04.03.25,39.10994764,-92.5,301.27792
62.5,04.03.25,39.10994764,-92.5,317.46713
63,05.03.25,39.10994764,-92.5,303.11575
63.5,05.03.25,39.10994764,-92.5,318.20673
64,06.03.25,39.10994764,-92.5,304.20294
64.5,06.03.25,39.10994764,-92.5,317.15778
65,07.03.25,39.10994764,-92.5,304.63992
65.5,07.03.25,39.10994764,-92.5,318.19153
66,08.03.25,39.10994764,-92.5,302.77426
66.5,08.03.25,39.10994764,-92.5,315.95038
67,09.03.25,39.10994764,-92.5,299.45093
67.5,09.03.25,39.10994764,-92.5,309.32922
68,10.03.25,39.10994764,-92.5,297.761
68.5,10.03.25,39.10994764,-92.5,305.42438
69,11.03.25,39.10994764,-92.5,298.23334
69.5,11.03.25,39.10994764,-92.5,309.8518
70,12.03.25,39.10994764,-92.5,299.66034
70.5,12.03.25,39.10994764,-92.5,311.80832
71,13.03.25,39.10994764,-92.5,300.6979
71.5,13.03.25,39.10994764,-92.5,313.56952
72,14.03.25,39.10994764,-92.5,299.4204
72.5,14.03.25,39.10994764,-92.5,309.33313
73,15.03.25,39.10994764,-92.5,297.97513
73.5,15.03.25,39.10994764,-92.5,308.53845
74,16.03.25,39.10994764,-92.5,300.65378
74.5,16.03.25,39.10994764,-92.5,310.15204
75,17.03.25,39.10994764,-92.5,302.14322
75.5,17.03.25,39.10994764,-92.5,313.26743
76,18.03.25,39.10994764,-92.5,300.98303
76.5,18.03.25,39.10994764,-92.5,311.2089
77,19.03.25,39.10994764,-92.5,300.55566
77.5,19.03.25,39.10994764,-92.5,315.51474
78,20.03.25,39.10994764,-92.5,302.5656
78.5,20.03.25,39.10994764,-92.5,317.85522
79,21.03.25,39.10994764,-92.5,301.0643
79.5,21.03.25,39.10994764,-92.5,313.97772
80,22.03.25,39.10994764,-92.5,300.46118
80.5,22.03.25,39.10994764,-92.5,307.49252
81,23.03.25,39.10994764,-92.5,299.1949
81.5,23.03.25,39.10994764,-92.5,308.03644
82,24.03.25,39.10994764,-92.5,299.4992
82.5,24.03.25,39.10994764,-92.5,305.4887
83,25.03.25,39.10994764,-92.5,299.18832
83.5,25.03.25,39.10994764,-92.5,311.33362
84,26.03.25,39.10994764,-92.5,300.75043
84.5,26.03.25,39.10994764,-92.5,311.77277
85,27.03.25,39.10994764,-92.5,296.96698
85.5,27.03.25,39.10994764,-92.5,307.98846
86,28.03.25,39.10994764,-92.5,294.54565
86.5,28.03.25,39.10994764,-92.5,305.45078
87,29.03.25,39.10994764,-92.5,295.37143
87.5,29.03.25,39.10994764,-92.5,307.08386
88,30.03.25,39.10994764,-92.5,295.87073
88.5,30.03.25,39.10994764,-92.5,308.14343
89,31.03.25,39.10994764,-92.5,296.9237
89.5,31.03.25,39.10994764,-92.5,312.10037
