"day","T"
59,289.75000038147
59.5,296.949999237061
60,286.04999961853
60.5,296.54999961853
61,284.849999809265
61.5,296.25000038147
62,286.450000190735
62.5,297.15
64,289.75000038147
64.5,298.75000038147
65,285.04999961853
65.5,291.54999961853
66,282.450000190735
66.5,293.75000038147
67,287.25000038147
67.5,289.449999237061
68,287.15
68.5,290.949999237061
69,286.15
69.5,291.04999961853
70,288.54999961853
70.5,297.949999237061
71,291.04999961853
71.5,299.949999237061
72,284.25000038147
72.5,296.25000038147
73,284.15
73.5,294.04999961853
74,289.850000762939
74.5,293.75000038147
75,289.54999961853
75.5,297.949999237061
76,289.449999237061
76.5,298.15
77,288.54999961853
77.5,293.15
78,288.450000190735
78.5,292.75000038147
79,287.450000190735
79.5,294.04999961853
80,291.949999237061
80.5,294.850000762939
81,280.249999904633
81.5,292.54999961853
82,277.550000095367
82.5,290.15
83,284.450000190735
83.5,288.54999961853
84,286.25000038147
84.5,293.15
85,283.450000190735
85.5,294.350000762939
86,278.749999904633
86.5,296.54999961853
87,282.75000038147
87.5,297.449999237061
88,282.849999809265
88.5,299.449999237061
89,282.04999961853
89.5,297.15
90,285.65
90.5,291.350000762939
91,288.450000190735
91.5,294.54999961853
92,288.15
92.5,292.350000762939
93,287.849999809265
93.5,292.850000762939
94,287.54999961853
94.5,294.949999237061
95,288.75000038147
95.5,295.65
96,283.15
96.5,295.449999237061
97,286.15
97.5,295.65
98,284.25000038147
98.5,297.350000762939
99,280.950000190735
99.5,296.04999961853
100,287.849999809265
100.5,296.350000762939
101,287.54999961853
101.5,296.949999237061
102,283.849999809265
102.5,296.449999237061
103,287.65
103.5,296.449999237061
104,279.849999809265
104.5,291.949999237061
105,278.15
105.5,291.949999237061
106,278.050000095367
106.5,289.850000762939
107,274.949999952316
107.5,286.950000190735
108,276.15
108.5,286.25000038147
109,274.850000047684
109.5,289.15
110,274.449999952316
110.5,289.949999237061
111,279.450000190735
111.5,291.350000762939
112,278.15
112.5,292.449999237061
113,282.75000038147
113.5,288.950000190735
114,281.349999809265
114.5,286.349999809265
115,279.749999904633
115.5,288.349999809265
116,274.949999952316
116.5,290.25000038147
117,276.050000095367
117.5,288.950000190735
118,276.449999952316
118.5,284.54999961853
119,279.249999904633
119.5,289.65
120,282.04999961853
120.5,290.449999237061
121,279.849999809265
121.5,291.850000762939
122,281.25000038147
122.5,291.949999237061
123,280.950000190735
123.5,292.350000762939
124,280.249999904633
124.5,293.04999961853
125,284.04999961853
125.5,289.850000762939
126,277.749999904633
