"day","T"
0,263.349999809265
0.5,277.550000095367
1,260.950000190735
1.5,278.450000190735
2,260.04999961853
2.5,281.450000190735
3,262.849999809265
3.5,279.050000095367
4,271.250000023842
4.5,276.449999952316
5,270.65
5.5,272.65
6,269.850000047684
6.5,273.849999988079
7.5,273.35000000298
8,263.15
9,260.849999809265
9.5,273.750000023842
10,258.04999961853
10.5,267.349999809265
11,249.54999961853
11.5,264.15
12,249.850000762939
12.5,269.249999904633
13,255.25000038147
13.5,275.049999976158
14,258.15
14.5,276.449999952316
15,256.65
15.5,278.550000095367
16,259.25000038147
16.5,273.55000000596
17,256.850000762939
17.5,272.549999976158
18,259.950000190735
18.5,276.449999952316
19,258.450000190735
19.5,268.15
20,253.04999961853
20.5,267.15
21,251.449999237061
21.5,273.04999999851
22,253.25000038147
22.5,273.15
23,255.25000038147
23.5,276.449999952316
24,254.25000038147
24.5,276.449999952316
25,256.75000038147
25.5,276.749999904633
26,257.15
26.5,278.550000095367
27,255.949999237061
27.5,280.349999809265
28,260.04999961853
28.5,280.749999904633
29,259.25000038147
29.5,282.25000038147
30,259.54999961853
30.5,273.950000011921
31,273.950000011921
31.5,282.04999961853
32,271.449999952316
32.5,275.350000047684
33,267.550000095367
33.5,271.449999952316
34,259.849999809265
34.5,270.65
35,256.449999237061
35.5,275.65
36,260.75000038147
36.5,277.249999904633
37,261.65
37.5,272.549999976158
38,269.449999952316
38.5,275.449999952316
39,268.450000190735
39.5,277.65
40,265.349999809265
40.5,271.449999952316
41,261.950000190735
41.5,278.550000095367
42,269.850000047684
42.5,275.350000047684
43,270.350000047684
43.5,275.350000047684
44,267.450000190735
44.5,282.54999961853
45,272.94999999702
45.5,283.450000190735
46,270.65
46.5,280.249999904633
47,270.949999952316
47.5,290.25000038147
48,272.849999988079
48.5,280.749999904633
49,271.549999976158
49.5,279.950000190735
50,273.04999999851
50.5,277.849999809265
51,272.94999999702
51.5,287.75000038147
52,273.65
52.5,276.249999904633
53,272.94999999702
53.5,277.349999809265
54,273.04999999851
54.5,275.249999904633
55,270.949999952316
55.5,273.04999999851
56,268.849999809265
56.5,270.949999952316
57,268.849999809265
57.5,270.949999952316
58,266.349999809265
58.5,274.850000047684
59,267.15
59.5,274.250000023842
60,266.849999809265
60.5,276.050000095367
61,267.249999904633
61.5,279.749999904633
62,271.549999976158
62.5,275.65
63,273.04999999851
63.5,275.350000047684
64,272.74999999404
64.5,282.450000190735
65,269.65
65.5,290.54999961853
66,272.349999988079
66.5,290.449999237061
67,276.050000095367
67.5,294.04999961853
68,275.049999976158
68.5,283.54999961853
69,269.449999952316
69.5,276.949999952316
70,267.450000190735
70.5,278.349999809265
71,273.950000011921
71.5,284.450000190735
72,273.65
72.5,291.949999237061
73,275.350000047684
73.5,294.449999237061
74,275.15
74.5,295.04999961853
75,276.550000095367
75.5,299.04999961853
76,276.65
76.5,284.75000038147
77,273.950000011921
77.5,287.04999961853
78,275.949999952316
78.5,286.950000190735
79,272.549999976158
79.5,288.54999961853
80,270.350000047684
80.5,284.65
81,270.449999952316
81.5,286.04999961853
82,276.249999904633
82.5,285.349999809265
83,271.850000047684
83.5,295.949999237061
84,283.349999809265
84.5,291.04999961853
85,281.050000095367
85.5,291.949999237061
86,273.750000023842
86.5,289.15
87,270.65
87.5,289.350000762939
88,277.65
88.5,290.54999961853
89,278.249999904633
89.5,292.949999237061
90,279.950000190735
90.5,291.25000038147
91,280.450000190735
91.5,287.849999809265
92,275.449999952316
92.5,293.449999237061
93,275.15
93.5,295.850000762939
94,279.249999904633
94.5,296.350000762939
95,281.849999809265
95.5,297.75000038147
96,278.550000095367
96.5,290.850000762939
97,281.849999809265
97.5,295.04999961853
98,275.850000047684
98.5,286.54999961853
99,281.050000095367
99.5,294.75000038147
100,273.950000011921
100.5,294.65
101,278.249999904633
101.5,298.350000762939
102,280.050000095367
102.5,291.65
103,280.15
103.5,292.949999237061
104,281.15
104.5,295.15
105,283.25000038147
105.5,289.949999237061
106,280.65
106.5,288.25000038147
107,280.849999809265
107.5,284.15
108,276.65
108.5,295.75000038147
109,280.65
109.5,295.54999961853
110,275.350000047684
110.5,295.850000762939
111,280.15
111.5,292.65
112,277.450000190735
112.5,300.54999961853
113,277.950000190735
113.5,295.449999237061
114,283.65
114.5,296.949999237061
115,283.450000190735
115.5,287.04999961853
116,280.65
116.5,289.65
117,283.25000038147
117.5,297.449999237061
118,281.849999809265
118.5,298.350000762939
119,280.65
119.5,301.449999237061
120,281.450000190735
120.5,303.850000762939
121,285.54999961853
121.5,301.25000038147
122,289.25000038147
122.5,301.449999237061
123,290.15
123.5,296.449999237061
124,286.25000038147
124.5,301.65
125,286.75000038147
125.5,297.04999961853
126,282.04999961853
126.5,302.850000762939
127,284.15
127.5,307.15
128,286.75000038147
128.5,305.550001525879
129,288.950000190735
129.5,303.350000762939
130,287.15
130.5,304.949999237061
131,287.849999809265
131.5,304.54999961853
132,284.15
132.5,296.15
133,284.15
133.5,295.350000762939
134,284.75000038147
134.5,298.75000038147
135,288.15
135.5,297.54999961853
136,281.450000190735
136.5,299.350000762939
137,283.65
137.5,298.75000038147
138,282.450000190735
138.5,302.25000038147
139,287.75000038147
139.5,299.65
140,284.75000038147
140.5,305.350000762939
141,286.15
141.5,310.949999237061
142,291.75000038147
142.5,307.449999237061
143,290.65
143.5,304.54999961853
