"day","T"
8,269.249999904633
15,272.549999976158
16.5,285.349999809265
17,270.350000047684
19.5,283.15
29.5,283.15
33,268.15
40,270.350000047684
40.5,287.04999961853
54,272.549999976158
57.5,290.350000762939
60,274.850000047684
60.5,292.54999961853
62,277.050000095367
62.5,291.449999237061
63,277.050000095367
65,278.15
65.5,293.15
73.5,298.75000038147
81.5,297.04999961853
88.5,297.04999961853
89.5,297.04999961853
91.5,297.04999961853
96.5,299.25000038147
105.5,299.25000038147
110.5,300.350000762939
113,280.349999809265
122,290.949999237061
123,290.350000762939
124.5,309.249998474121
126,289.850000762939
132.5,304.25000038147
142,284.25000038147
144,286.450000190735
145,286.450000190735
149.5,308.749998474121
150,290.350000762939
150.5,308.749998474121
151,290.350000762939
155,290.350000762939
156,290.949999237061
156.5,309.249998474121
157,295.350000762939
165,292.54999961853
165.5,309.249998474121
167,290.949999237061
173,296.449999237061
174.5,314.249998474121
175,296.449999237061
183,298.75000038147
191,294.850000762939
192.5,313.749998474121
209,297.04999961853
211,295.350000762939
211.5,310.949999237061
216.5,313.749998474121
222,292.54999961853
250.5,304.850000762939
259,292.04999961853
259.5,307.550001525879
261.5,309.249998474121
262,287.04999961853
269,287.04999961853
269.5,303.75000038147
271,276.449999952316
274,284.25000038147
274.5,299.850000762939
287,286.450000190735
287.5,303.75000038147
289,285.950000190735
289.5,302.04999961853
290,287.54999961853
292,284.25000038147
300,285.349999809265
305,281.450000190735
308,283.15
308.5,289.850000762939
309.5,292.04999961853
313.5,292.04999961853
323.5,292.54999961853
325,279.249999904633
345,269.850000047684
3649,275.350000047684
3649.5,280.349999809265
3650,274.250000023842
3650.5,289.25000038147
3651,274.850000047684
3651.5,280.349999809265
3652.5,280.349999809265
3653.5,279.249999904633
3654,268.749999904633
3654.5,278.15
3655,267.550000095367
3655.5,277.050000095367
3656,270.949999952316
3656.5,277.050000095367
3657.5,284.25000038147
3658,269.249999904633
3658.5,284.25000038147
3659.5,280.349999809265
3660,272.549999976158
3660.5,284.25000038147
3661,272.549999976158
3661.5,284.25000038147
3662,272.049999976158
3662.5,283.15
3663,270.350000047684
3663.5,284.849999809265
3664,270.949999952316
3664.5,283.75000038147
3665,268.15
3665.5,280.349999809265
3666.5,277.050000095367
3667.5,279.249999904633
3668,268.15
3668.5,282.04999961853
3669,268.749999904633
3669.5,282.04999961853
3670,270.949999952316
3671,274.850000047684
3671.5,283.75000038147
3672,272.049999976158
3672.5,285.349999809265
3673,272.049999976158
3673.5,287.04999961853
3674,275.350000047684
3674.5,287.04999961853
3675.5,285.349999809265
3676,272.049999976158
3676.5,287.04999961853
3677.5,287.04999961853
3678,267.550000095367
3678.5,283.15
3679,273.15
3679.5,284.25000038147
3680,270.350000047684
3680.5,282.04999961853
3681,270.350000047684
3681.5,284.25000038147
3682,270.350000047684
3682.5,284.25000038147
3683,275.949999952316
3683.5,284.849999809265
3684,275.350000047684
3684.5,288.15
3685.5,283.15
3686,274.250000023842
3686.5,280.950000190735
3687.5,280.349999809265
3688,273.15
3688.5,280.349999809265
3689,273.15
3689.5,278.749999904633
3690,274.250000023842
3690.5,285.349999809265
3691,274.850000047684
3691.5,285.950000190735
3692,273.15
3692.5,285.950000190735
3693,277.050000095367
3693.5,283.15
3694.5,280.349999809265
3695,273.15
3695.5,279.249999904633
3696.5,283.15
3697,270.949999952316
3697.5,284.25000038147
3698,273.15
3698.5,287.04999961853
3699,280.349999809265
3699.5,287.04999961853
3700.5,285.950000190735
3701,271.449999952316
3701.5,280.950000190735
3702,272.049999976158
3702.5,282.04999961853
3703,274.250000023842
3703.5,279.249999904633
3704,271.449999952316
3704.5,284.25000038147
3705,272.049999976158
3705.5,282.54999961853
3706.5,280.349999809265
3707.5,278.15
3708,267.550000095367
3708.5,279.249999904633
3709.5,280.349999809265
3710,269.249999904633
3710.5,282.04999961853
3711,270.949999952316
3711.5,283.15
3712,273.15
3712.5,285.950000190735
3713,277.050000095367
3713.5,284.25000038147
3714,268.15
3714.5,278.749999904633
3715,277.050000095367
3716,276.449999952316
3716.5,288.15
3717,274.250000023842
3717.5,290.350000762939
3718,275.350000047684
3718.5,290.350000762939
3719,278.15
3719.5,290.350000762939
3720,278.749999904633
3720.5,290.350000762939
3721.5,283.15
3722,275.949999952316
3722.5,287.04999961853
3723,275.350000047684
3723.5,289.25000038147
3724,277.050000095367
3724.5,292.04999961853
3725.5,288.15
3726,278.15
3726.5,290.949999237061
3727,278.15
3727.5,290.350000762939
3728,277.050000095367
3728.5,290.350000762939
3729,278.15
3729.5,294.25000038147
3730,280.950000190735
3730.5,292.04999961853
3731.5,290.350000762939
3732.5,290.350000762939
3733,278.15
3733.5,292.04999961853
3734,279.249999904633
3734.5,290.350000762939
3735.5,289.25000038147
3736,273.15
3736.5,288.15
3737,277.050000095367
3737.5,292.04999961853
3738,279.249999904633
3738.5,297.04999961853
3739,282.04999961853
3739.5,295.949999237061
3740,280.349999809265
3741,279.249999904633
3741.5,289.25000038147
3742,280.950000190735
3742.5,290.350000762939
3743,280.349999809265
3743.5,292.04999961853
3744.5,291.449999237061
3745,275.949999952316
3745.5,288.15
3746,277.050000095367
3746.5,287.04999961853
3747.5,289.25000038147
3748,277.050000095367
3748.5,290.350000762939
3749,277.550000095367
3749.5,285.349999809265
3750,278.15
3750.5,290.949999237061
3751,280.950000190735
3752,280.950000190735
3752.5,293.15
3753.5,293.75000038147
3754,279.249999904633
3754.5,294.25000038147
3755.5,295.350000762939
3756,280.950000190735
3756.5,294.25000038147
3757,280.950000190735
3757.5,295.350000762939
3758,280.349999809265
3758.5,295.350000762939
3759,282.04999961853
3759.5,294.25000038147
3760,280.950000190735
3760.5,295.350000762939
3761,282.54999961853
3761.5,297.04999961853
3762,285.950000190735
3762.5,300.949999237061
3763,288.15
3763.5,299.25000038147
3764,289.25000038147
3764.5,299.25000038147
3765,291.449999237061
3765.5,302.04999961853
3766,288.75000038147
3766.5,302.54999961853
3767,284.25000038147
3767.5,300.949999237061
3768.5,299.25000038147
3769,288.15
3769.5,298.15
3770,287.04999961853
3770.5,299.25000038147
3771,290.350000762939
3771.5,299.850000762939
3772,289.25000038147
3772.5,300.949999237061
3773,290.949999237061
3774,290.949999237061
3774.5,300.350000762939
3775.5,299.25000038147
3776,285.349999809265
3776.5,300.350000762939
3777,286.450000190735
3778,285.950000190735
3778.5,302.04999961853
3779,288.75000038147
3779.5,300.949999237061
3780,289.25000038147
3780.5,302.04999961853
3781,289.850000762939
3781.5,304.25000038147
3782,289.25000038147
3782.5,300.350000762939
3783.5,300.350000762939
3784,288.15
3784.5,300.350000762939
3785,288.15
3785.5,300.350000762939
3786.5,295.949999237061
3787,280.950000190735
3788,284.25000038147
3788.5,300.949999237061
3789,287.04999961853
3789.5,303.15
3790,290.949999237061
3790.5,305.350000762939
3791,289.25000038147
3791.5,305.350000762939
3792,290.949999237061
3792.5,305.949999237061
3793,288.15
3794,287.04999961853
3794.5,304.25000038147
3795,290.350000762939
3795.5,305.949999237061
3796,290.949999237061
3797,293.15
3797.5,306.449999237061
3798,292.04999961853
3798.5,307.550001525879
3799,293.15
3799.5,309.249998474121
3800,294.25000038147
3800.5,309.249998474121
3801.5,309.249998474121
3802,289.25000038147
3802.5,307.050001525879
3803,290.350000762939
3803.5,305.350000762939
3804,290.350000762939
3804.5,305.949999237061
3805,290.949999237061
3805.5,304.25000038147
3806.5,305.949999237061
3808,293.15
3808.5,308.15
3809,290.949999237061
3810,290.949999237061
3810.5,305.949999237061
3811.5,308.15
3812,295.350000762939
3812.5,307.050001525879
3813,295.350000762939
3813.5,305.949999237061
3814,294.25000038147
3814.5,305.949999237061
3815.5,305.949999237061
3816,290.949999237061
3816.5,305.949999237061
3817,290.949999237061
3817.5,305.350000762939
3818,290.350000762939
3818.5,302.04999961853
3820,290.949999237061
3820.5,303.15
3821,290.350000762939
3821.5,305.350000762939
3822,293.15
3822.5,307.050001525879
3823,294.25000038147
3823.5,305.350000762939
3824,292.04999961853
3824.5,305.949999237061
3825,295.350000762939
3825.5,308.15
3826,295.350000762939
3826.5,308.15
3827,295.350000762939
3827.5,308.15
3828,295.949999237061
3828.5,309.249998474121
3829,295.350000762939
3829.5,309.249998474121
3830,295.350000762939
3830.5,307.050001525879
3831,293.15
3831.5,304.25000038147
3832,292.04999961853
3832.5,304.25000038147
3833,293.15
3833.5,305.350000762939
3834,292.04999961853
3834.5,307.050001525879
3835,293.15
3835.5,308.15
3836,297.04999961853
3836.5,309.249998474121
3837,297.04999961853
3837.5,309.249998474121
3838.5,310.949999237061
3839.5,309.249998474121
3840,293.15
3840.5,303.15
3841,290.350000762939
3841.5,304.25000038147
3842,293.15
3842.5,304.850000762939
3843,294.25000038147
3843.5,307.050001525879
3844,295.350000762939
3844.5,309.249998474121
3845,296.449999237061
3845.5,309.850000762939
3846,295.350000762939
3846.5,311.449999237061
3847,298.15
3847.5,310.949999237061
3848,299.850000762939
3848.5,312.050001525879
3849,297.04999961853
3849.5,308.15
3850,296.449999237061
3850.5,308.15
3851,296.449999237061
3851.5,310.350000762939
3852.5,310.350000762939
3853,295.350000762939
3853.5,308.749998474121
3854,295.350000762939
3854.5,308.15
3855,295.350000762939
3855.5,307.050001525879
3856,294.25000038147
3856.5,308.15
3858,292.04999961853
3858.5,306.449999237061
3859,295.350000762939
3859.5,306.449999237061
3860,295.350000762939
3860.5,309.249998474121
3861,294.25000038147
3861.5,307.550001525879
3862,294.25000038147
3862.5,305.949999237061
3863,294.25000038147
3863.5,305.949999237061
3864,295.350000762939
3864.5,305.949999237061
3865,292.54999961853
3865.5,305.949999237061
3866,293.15
3866.5,307.050001525879
3867,293.75000038147
3867.5,308.15
3868,295.350000762939
3868.5,309.249998474121
3869,294.850000762939
3869.5,307.550001525879
3870,297.04999961853
3870.5,308.749998474121
3871.5,309.249998474121
3872,296.449999237061
3872.5,308.749998474121
3873.5,309.850000762939
3874.5,309.850000762939
3875.5,307.050001525879
3876,292.54999961853
3876.5,304.25000038147
3877,292.04999961853
3877.5,304.25000038147
3878.5,305.949999237061
3879,289.25000038147
3879.5,302.04999961853
3880,290.350000762939
3880.5,303.75000038147
3881,290.949999237061
3881.5,306.449999237061
3882,291.449999237061
3882.5,305.949999237061
3883,293.15
3883.5,307.050001525879
3884,292.54999961853
3884.5,308.15
3885,293.15
3885.5,309.249998474121
3886,294.25000038147
3886.5,306.449999237061
3887,293.15
3887.5,305.949999237061
3888,292.04999961853
3888.5,307.050001525879
3889,293.15
3889.5,309.249998474121
3890,294.850000762939
3890.5,309.850000762939
3891,294.850000762939
3891.5,309.249998474121
3892,294.850000762939
3892.5,309.850000762939
3893,293.75000038147
3893.5,307.050001525879
3894,294.25000038147
3894.5,307.550001525879
3895,293.15
3895.5,306.449999237061
3896,294.25000038147
3896.5,305.350000762939
3897,293.75000038147
3897.5,305.949999237061
3898,293.15
3899,293.15
3899.5,307.050001525879
3900,292.54999961853
3900.5,309.249998474121
3901,292.04999961853
3901.5,306.449999237061
3902.5,305.949999237061
3903,290.350000762939
3903.5,304.25000038147
3904,289.25000038147
3904.5,304.25000038147
3905,290.350000762939
3905.5,302.04999961853
3906,292.04999961853
3906.5,302.04999961853
3907,289.25000038147
3908,285.950000190735
3908.5,301.449999237061
3909,287.54999961853
3909.5,303.15
3910,289.850000762939
3910.5,304.25000038147
3911,290.350000762939
3911.5,303.75000038147
3912,289.25000038147
3912.5,301.449999237061
3913,290.949999237061
3913.5,300.350000762939
3914,289.25000038147
3914.5,300.949999237061
3915,288.75000038147
3915.5,300.350000762939
3916,287.04999961853
3916.5,302.04999961853
3917,285.950000190735
3917.5,301.449999237061
3918,288.75000038147
3918.5,303.75000038147
3919,289.25000038147
3919.5,303.75000038147
3920,287.54999961853
3920.5,303.15
3921,284.25000038147
3921.5,300.350000762939
3922,285.349999809265
3922.5,299.850000762939
3923,284.849999809265
3923.5,298.75000038147
3924,285.950000190735
3924.5,302.54999961853
3925,287.04999961853
3925.5,301.449999237061
3926,285.950000190735
3926.5,300.949999237061
3927,285.950000190735
3927.5,300.949999237061
3928,285.950000190735
3928.5,300.949999237061
3929,287.04999961853
3929.5,302.04999961853
3930,288.15
3930.5,302.54999961853
3931,285.349999809265
3931.5,300.350000762939
3932,285.950000190735
3932.5,300.350000762939
3933,285.950000190735
3933.5,295.949999237061
3934,284.25000038147
3934.5,295.949999237061
3935,282.54999961853
3935.5,294.850000762939
3936,282.04999961853
3936.5,294.850000762939
3937,283.15
3937.5,295.949999237061
3938,282.04999961853
3939,282.54999961853
3940,284.849999809265
3940.5,299.25000038147
3941,285.349999809265
3941.5,298.15
3942,284.25000038147
3942.5,298.75000038147
3943,282.54999961853
3943.5,298.15
3944,282.04999961853
3944.5,299.850000762939
3945,284.25000038147
3945.5,299.850000762939
3946,284.25000038147
3946.5,298.15
3947,283.15
3947.5,293.15
3948,283.15
3948.5,295.350000762939
3949,283.15
3949.5,295.350000762939
3950,281.450000190735
3950.5,295.949999237061
3951,282.54999961853
3951.5,295.949999237061
3952,282.04999961853
3952.5,295.949999237061
3953,284.25000038147
3953.5,294.25000038147
3955,280.349999809265
3955.5,293.15
3956,280.349999809265
3956.5,295.350000762939
3957,280.950000190735
3957.5,294.25000038147
3958,280.349999809265
3958.5,295.949999237061
3959,280.349999809265
3959.5,293.15
3960,279.249999904633
3960.5,290.350000762939
3961,280.349999809265
3961.5,290.949999237061
3962,280.349999809265
3962.5,290.949999237061
3963,278.749999904633
3963.5,293.15
3964,277.550000095367
3964.5,290.949999237061
3965,278.15
3965.5,290.350000762939
3966,278.15
3966.5,288.15
3967,279.249999904633
3967.5,285.950000190735
3968,275.949999952316
3968.5,290.350000762939
3969,278.15
3969.5,290.949999237061
3970,278.15
3970.5,290.350000762939
3971,279.849999809265
3971.5,288.75000038147
3972,279.249999904633
3972.5,290.949999237061
3973,275.949999952316
3973.5,290.350000762939
3974.5,283.15
3975.5,283.15
3976,278.749999904633
3976.5,284.25000038147
3977,277.050000095367
3977.5,286.450000190735
3978,275.949999952316
3978.5,280.950000190735
3979.5,278.15
3980,273.15
3980.5,277.550000095367
3981,273.15
3981.5,278.15
3982.5,275.949999952316
3983,273.15
3983.5,280.349999809265
3984,275.949999952316
3984.5,278.749999904633
3985.5,280.950000190735
3986,275.949999952316
3986.5,279.849999809265
3987,275.949999952316
3987.5,280.950000190735
3988,273.15
3988.5,282.04999961853
3989.5,282.04999961853
3990,273.15
3990.5,285.349999809265
3991,273.750000023842
3991.5,284.25000038147
3992,273.15
3992.5,284.25000038147
3993,273.750000023842
3994,273.15
3994.5,282.04999961853
3995,272.049999976158
3995.5,283.15
3996,273.15
3996.5,283.15
3997,271.449999952316
3997.5,282.04999961853
3998.5,282.54999961853
3999,272.049999976158
3999.5,284.25000038147
4000,270.949999952316
4000.5,284.25000038147
4001.5,284.25000038147
4002,272.049999976158
4002.5,285.950000190735
4003,276.449999952316
4004.5,289.25000038147
4005,276.449999952316
4005.5,282.54999961853
4006,275.350000047684
4006.5,287.04999961853
4007.5,289.25000038147
4008,272.049999976158
4008.5,286.450000190735
4009,272.049999976158
4009.5,287.04999961853
4010,274.250000023842
4010.5,283.15
4011,274.250000023842
4011.5,285.950000190735
4012,273.15
4012.5,283.15
4013.5,284.25000038147
4014,272.049999976158
4014.5,284.25000038147
4016,272.049999976158
4016.5,280.349999809265
4017,270.949999952316
4017.5,282.04999961853
4018,270.949999952316
4018.5,280.349999809265
4019.5,280.950000190735
4020,269.249999904633
4020.5,282.04999961853
4022,269.249999904633
4022.5,280.950000190735
4023,268.15
4024,269.249999904633
4025,269.249999904633
4025.5,285.349999809265
4026,274.250000023842
4026.5,280.950000190735
4027,272.049999976158
4028,272.049999976158
4028.5,285.950000190735
4030,272.049999976158
4030.5,284.25000038147
4031,275.350000047684
4032,272.049999976158
4032.5,285.950000190735
4033,270.949999952316
4033.5,285.950000190735
4034,270.949999952316
4034.5,285.950000190735
4035,270.949999952316
4036,270.949999952316
4036.5,285.349999809265
4037,270.949999952316
4037.5,284.25000038147
4038.5,285.950000190735
4039,275.350000047684
4039.5,280.349999809265
4040.5,280.349999809265
4041,272.049999976158
4041.5,282.04999961853
4042,270.949999952316
4042.5,283.75000038147
4043,270.949999952316
4044,270.350000047684
4044.5,284.849999809265
4045,274.250000023842
4045.5,280.349999809265
4046,272.049999976158
4046.5,282.04999961853
4047,270.949999952316
4047.5,283.15
4048,270.350000047684
4048.5,284.25000038147
4049,275.350000047684
4049.5,285.950000190735
4050.5,285.349999809265
4051,272.049999976158
4051.5,286.450000190735
4052.5,285.349999809265
4053,274.250000023842
4053.5,287.04999961853
4054,275.350000047684
4054.5,285.950000190735
4055,275.949999952316
4055.5,288.15
4056,275.949999952316
4057.5,289.25000038147
4058,275.350000047684
4058.5,292.54999961853
4059,277.050000095367
4059.5,292.54999961853
4060.5,292.54999961853
4061.5,290.350000762939
4062,275.350000047684
4062.5,289.25000038147
4063,275.350000047684
4063.5,289.25000038147
4064,275.949999952316
4064.5,290.949999237061
4065,276.449999952316
4065.5,290.949999237061
4066,277.050000095367
4066.5,292.04999961853
4067.5,285.950000190735
4068,270.350000047684
4068.5,285.950000190735
4069,268.15
4069.5,283.15
4070,269.249999904633
4070.5,287.54999961853
4071,273.15
4071.5,290.350000762939
4072,275.949999952316
4072.5,295.949999237061
4073,277.050000095367
4073.5,295.350000762939
4074,277.050000095367
4074.5,293.15
4075,277.550000095367
4075.5,295.350000762939
4076.5,295.949999237061
4077,275.350000047684
4077.5,289.850000762939
4078,276.449999952316
4078.5,291.449999237061
4079.5,289.25000038147
4080,275.350000047684
4080.5,290.350000762939
4081,269.249999904633
4082,273.15
4082.5,285.950000190735
4083,277.050000095367
4083.5,285.349999809265
4084.5,285.950000190735
4085,275.350000047684
4085.5,286.450000190735
4086,273.15
4086.5,285.349999809265
4087,273.15
4087.5,282.04999961853
4088,275.949999952316
4088.5,282.04999961853
4089,278.15
4089.5,287.04999961853
4090,275.949999952316
4090.5,288.75000038147
4091,275.949999952316
4091.5,285.950000190735
4092,276.449999952316
4092.5,289.25000038147
4093,273.15
4093.5,287.04999961853
4094.5,289.25000038147
4095.5,288.15
4096,278.15
