"day","T","...3"
277,301.3500008,NA
278,303.9499992,NA
279,303.15,NA
280,303.15,NA
281,303.65,NA
282,303.15,NA
283,299.15,NA
284,302.7500004,NA
285,303.15,NA
287,304.15,NA
288,304.65,NA
289,303.15,NA
293,303.8500008,NA
295,304.15,NA
296,304.15,NA
297,304.65,NA
299,305.15,NA
300,305.15,NA
301,305.15,NA
302,303.7500004,NA
305,305.65,NA
306,304.9499992,NA
307,305.15,NA
308,306.15,NA
309,305.8500008,NA
310,305.9499992,NA
311,306.15,NA
313,304.15,NA
315,305.15,NA
316,306.65,NA
317,306.15,NA
319,305.65,NA
323,306.15,NA
324,305.65,NA
325,305.15,NA
326,305.4499992,NA
327,304.15,NA
328,306.2499985,NA
329,305.7499985,NA
333,306.2499985,NA
351,305.15,NA
352,305.15,NA
356,305.9499992,NA
359,306.3500008,NA
360,307.65,NA
361,306.15,NA
364,305.65,NA
367,306.2499985,NA
368,305.3500008,NA
369,304.15,NA
371,305.7499985,NA
372,304.7500004,NA
373,304.5499996,NA
375,304.15,NA
376,304.9499992,NA
377,305.65,NA
379,305.65,NA
380,306.0500015,NA
381,306.15,NA
384,305.3500008,NA
385,304.8500008,NA
386,303.9499992,NA
387,304.8500008,NA
388,305.9499992,NA
389,305.5500015,NA
392,306.3500008,NA
393,304.15,NA
394,304.8500008,NA
396,306.15,NA
397,306.15,NA
398,302.0499996,NA
400,307.7499985,NA
402,308.15,NA
403,307.0500015,NA
404,307.15,NA
405,305.65,NA
408,306.7499985,NA
409,307.2499985,NA
410,306.15,NA
412,302.65,NA
414,307.15,NA
417,306.2499985,NA
418,306.8500008,NA
419,307.7499985,NA
421,306.15,NA
423,304.7500004,NA
424,307.15,NA
425,306.65,NA
426,307.15,NA
427,307.15,NA
428,304.9499992,NA
429,305.65,NA
430,306.15,NA
431,306.65,NA
432,305.15,NA
433,306.3500008,NA
434,305.7499985,NA
435,306.15,NA
436,302.65,NA
437,304.8500008,NA
440,307.15,NA
442,306.15,NA
443,306.15,NA
445,304.65,NA
450,307.15,NA
451,307.4499992,NA
452,305.8500008,NA
456,304.15,NA
458,304.15,NA
459,306.15,NA
460,303.65,NA
461,306.65,NA
462,307.65,NA
468,306.65,NA
470,305.65,NA
473,306.15,NA
474,305.7499985,NA
476,303.65,NA
480,305.15,NA
481,301.65,NA
482,299.15,NA
483,305.65,NA
484,302.65,NA
486,304.15,NA
487,305.15,NA
489,305.3500008,NA
490,306.15,NA
491,301.15,NA
493,304.9499992,NA
495,303.15,NA
496,305.15,NA
499,305.65,NA
500,304.15,NA
501,305.2499985,NA
504,302.2500004,NA
506,305.15,NA
511,304.65,NA
513,304.15,NA
514,302.3500008,NA
518,301.65,NA
519,303.65,NA
520,304.2500004,NA
522,304.65,NA
524,302.15,NA
525,304.3500008,NA
526,303.65,NA
528,305.0499996,NA
529,303.65,NA
530,299.7500004,NA
531,304.15,NA
534,301.5499996,NA
535,303.15,NA
536,304.65,NA
537,304.15,NA
538,302.7500004,NA
539,300.7500004,NA
540,302.65,NA
