"day","T"
305,295.350000762939
305.5,302.54999961853
306,287.54999961853
306.5,298.15
307,294.25000038147
307.5,300.350000762939
308,297.04999961853
308.5,302.04999961853
309,295.949999237061
310.5,303.15
311,290.350000762939
311.5,297.54999961853
312,290.350000762939
312.5,300.350000762939
313,295.350000762939
313.5,300.350000762939
314,294.850000762939
314.5,300.350000762939
315,295.949999237061
315.5,300.949999237061
316,294.850000762939
316.5,301.449999237061
317,291.449999237061
317.5,301.449999237061
318,292.04999961853
318.5,299.850000762939
319,288.15
319.5,298.75000038147
320,294.850000762939
320.5,298.75000038147
321,293.15
321.5,299.25000038147
322,293.75000038147
322.5,298.75000038147
323,294.25000038147
323.5,299.850000762939
324,295.350000762939
324.5,297.04999961853
325,291.449999237061
325.5,301.449999237061
326,291.449999237061
326.5,299.850000762939
327,287.54999961853
327.5,299.25000038147
328,286.450000190735
328.5,297.54999961853
329,285.349999809265
329.5,299.850000762939
330,287.04999961853
330.5,299.850000762939
331,289.25000038147
331.5,294.25000038147
332,285.349999809265
332.5,297.54999961853
333,294.25000038147
335,295.949999237061
335.5,300.350000762939
336,295.949999237061
336.5,299.850000762939
337,291.449999237061
337.5,299.850000762939
338,296.449999237061
338.5,301.449999237061
339,296.449999237061
339.5,302.04999961853
340,296.449999237061
340.5,302.04999961853
341,294.850000762939
341.5,302.04999961853
342,289.25000038147
342.5,302.04999961853
343,288.75000038147
343.5,302.04999961853
344,292.04999961853
344.5,298.15
345,291.449999237061
345.5,298.15
346,291.449999237061
346.5,299.850000762939
347,294.850000762939
347.5,300.949999237061
348,294.25000038147
348.5,299.850000762939
349,292.04999961853
349.5,299.850000762939
350,289.850000762939
350.5,299.25000038147
351,290.949999237061
351.5,300.350000762939
352,292.54999961853
352.5,300.949999237061
353,290.350000762939
353.5,302.54999961853
354,283.15
354.5,299.25000038147
355,283.75000038147
355.5,295.949999237061
356,290.949999237061
356.5,298.75000038147
357,293.15
357.5,299.25000038147
358.5,300.949999237061
359,290.949999237061
359.5,297.04999961853
360,290.949999237061
360.5,300.949999237061
361,289.850000762939
361.5,301.449999237061
362,284.849999809265
363,292.04999961853
363.5,296.449999237061
364,295.350000762939
364.5,299.850000762939
365,292.54999961853
365.5,302.04999961853
366,288.75000038147
366.5,295.949999237061
367,294.25000038147
367.5,302.54999961853
368,292.04999961853
368.5,302.04999961853
369,279.249999904633
369.5,294.850000762939
370,292.54999961853
370.5,294.850000762939
371,294.850000762939
371.5,300.350000762939
372,296.449999237061
372.5,300.949999237061
373,295.949999237061
373.5,301.449999237061
374,292.04999961853
374.5,301.449999237061
375,293.75000038147
375.5,301.449999237061
376,295.350000762939
376.5,300.949999237061
377,290.949999237061
377.5,300.949999237061
378,289.850000762939
378.5,300.949999237061
379,290.949999237061
379.5,299.850000762939
380,294.25000038147
380.5,300.350000762939
381,293.75000038147
381.5,298.75000038147
382,292.54999961853
382.5,299.25000038147
383,293.75000038147
383.5,299.25000038147
384,289.850000762939
384.5,300.350000762939
385,295.350000762939
385.5,300.350000762939
386,294.25000038147
386.5,300.949999237061
387,294.850000762939
387.5,301.449999237061
388,295.949999237061
388.5,300.949999237061
389,295.949999237061
389.5,301.449999237061
390,294.25000038147
390.5,301.449999237061
391,288.75000038147
391.5,301.449999237061
392,292.54999961853
392.5,302.04999961853
393,290.350000762939
