Species,Latitude,Habitat,Subfamily,TPC,Model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,134.99999999999974,125.4
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,278.00000000000125,228.36712328767123
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,426.0000000000031,176.62465753424658
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,349.000000000001,149.3068493150685
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,259.99999999999915,327.4547945205479
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,567.0000000000032,474.8109589041096
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,178.00000000000057,241.44109589041096
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,460.9999999999976,386.7780821917808
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,184.00000000000017,1.1643835616438356
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,116.9999999999997,22.676712328767124
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,184.99999999999997,179.04383561643834
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,265.00000000000114,289.9068493150685
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,233.00000000000063,285.1287671232877
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,816.0000000000048,435.66301369863015
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,437.00000000000193,416.1506849315069
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,286.00000000000074,129.54794520547946
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,304.00000000000085,350.63835616438354
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,159.99999999999977,428.6246575342466
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,129.99999999999983,136.26027397260273
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,240.00000000000142,90.31506849315069
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,212.00000000000108,135.93424657534246
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,194.00000000000028,358.35068493150686
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,291.00000000000085,253.6821917808219
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,214.99999999999923,198.72328767123287
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,80.99999999999996,170.86027397260273
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,125.00000000000021,255.84657534246574
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,321.0000000000014,258.8712328767123
