Species,Latitude,Habitat,Subfamily,TPC,Model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,95.00662836942112,40.02465753424657
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,196.64162615996432,107.45205479452055
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,328.4042456681482,89.32876712328768
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,266.2332636792814,54.35890410958904
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,381.36986301369814,188.73150684931508
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,536.9863013698647,218.2958904109589
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,87.81173164734805,76.4904109589041
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,446.7323968240135,229.28493150684932
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,101.02739726027387,1.1616438356164382
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,61.64383561643839,7.671232876712328
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,166.8554949016374,70.52328767123288
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,210.1143269131729,121.28219178082192
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,183.33504995365092,122.4
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,875.3758770464397,69.63835616438357
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,400.93551620447624,121.71232876712328
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,190.4443701971265,27.66849315068493
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,200.46775810223838,67.58082191780822
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,96.89274974941534,280.7178082191781
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,191.94487736855015,116.75616438356164
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,310.1873720673911,21.383561643835616
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,305.463706502913,160.4958904109589
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,92.46575342465748,486.5945205479452
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,347.60273972602766,197.1917808219178
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,116.95906432748522,74.59452054794521
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,38.86136209074129,51.56164383561644
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,60.235111240649005,69.55890410958904
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,145.7301078402796,78.852054794520555
