Time,J,A,S,tau
0.0,1.0,1.0,0.6511784861138288,30.3030303030303
1.0,9.83106957807904,5.323544952959949,0.6514433885242219,30.352847113585817
2.0,20.487492269192362,9.501861160233153,0.6516739485430213,30.401591793295967
3.0,27.177437486563242,13.539486681375418,0.6518694502978193,30.449244493466963
4.0,29.908597738761895,17.44079922414146,0.6520290267842261,30.49578642812014
5.0,29.79751118068974,21.210021819030267,0.65215185906498,30.54120003250053
6.0,27.861132655524877,24.851225058513137,0.6522372690506206,30.585470313641153
7.0,24.81345719001114,28.368350611183608,0.6522843620171991,30.628579672613142
8.0,21.111383368706854,31.76520254111833,0.6522925163243335,30.67051153617859
9.0,17.03597649675727,35.04544508809665,0.65226098921652,30.711252985371768
10.0,12.757103592385137,38.21263688357214,0.6521889042696339,30.750785037861363
11.0,8.376918843486845,41.27019702076093,0.6520755479412971,30.789094672652602
12.0,3.95693371679252,44.22143420111181,0.6519201977742572,30.826167339497157
13.0,-0.4655721277204243,47.06954452135701,0.6517222195746474,30.861988850032787
14.0,-4.867770777250731,49.8176049054626,0.6514808367898886,30.89654920861783
15.0,-9.235571283719496,52.46860926580109,0.6511953082416797,30.92983004921771
16.0,-13.560094161071861,55.02542986874349,0.6508649009131736,30.961821429585314
17.0,-17.835700414486883,57.49085860885007,0.6504891445933267,30.992506302750108
18.0,-22.05873058022342,59.86759444986447,0.6500671649543528,31.021865988190847
19.0,-26.226681157628107,62.15821172153999,0.6495984199711925,31.04989847823178
20.0,-30.337901653394614,64.36523072056572,0.6490823483028622,31.07658620345471
21.0,-34.391146255057976,66.49106527205193,0.648517412892311,31.101917188763778
22.0,-38.3855975873137,68.53805546756837,0.6479042042849922,31.12588428271882
23.0,-42.32060638280143,70.50847455971184,0.6472419031478427,31.14846957790851
24.0,-46.1955877918569,72.40449567145089,0.6465293500837345,31.169665436868595
25.0,-50.01012180464073,74.2282174244435,0.645766869592242,31.18947380210127
26.0,-53.7638405455159,75.98169285269127,0.6449533524021237,31.207872862042635
27.0,-57.4564622620389,77.66689850869089,0.6440886917681802,31.22484927341553
28.0,-61.08767343677128,79.28572961371506,0.6431723292695727,31.240398279015885
29.0,-64.6571821177262,80.84002930447562,0.6422037249191598,31.25451422479858
30.0,-68.16468114380729,82.33156583951273,0.6411821487924867,31.267195478974994
31.0,-71.61007396990702,83.76206385328447,0.6401085516436993,31.278435545034096
32.0,-77.33246424467394,87.45603208645566,0.6396320546074906,31.28112978282303
33.0,-86.5569534235829,94.55372863384076,0.6381654154148451,31.238547133471855
34.0,-93.3191802493336,99.09838144178632,0.6366264380434481,31.19331595726355
35.0,-97.19067274266753,100.72691876751996,0.6350243238039248,31.14526210004897
36.0,-98.95496612910887,100.2779530896015,0.6333703750237938,31.094506222327052
37.0,-99.36592592760393,98.54099713453601,0.6316768795318326,31.041573834943666
38.0,-98.94754731503187,96.0604811664376,0.6299567156644421,30.987425669694257
39.0,-98.03237337397142,93.1796392993411,0.6282222757413544,30.93330058891498
40.0,-96.8289554738688,90.11124147413416,0.6264890374083729,30.880386038215335
41.0,-95.46540133511924,86.98416069341653,0.624770493804497,30.8295522238422
42.0,-94.01634740957931,83.87223334452982,0.6230811650057012,30.78120026765658
43.0,-92.52366142623235,80.81506553748426,0.6214363601176677,30.735345711312636
44.0,-91.01077279886097,77.83338775989576,0.6198480305691635,30.691773960414515
45.0,-89.49104795465755,74.93768636512104,0.618322388044599,30.65013288990497
46.0,-87.97237264296773,72.1328766852189,0.6168588646580008,30.610022046592537
47.0,-86.45923342374803,69.42058898769486,0.6154488881484074,30.571013490563026
48.0,-84.95416302710086,66.80063128477842,0.6140771509856019,30.532708854138907
49.0,-83.45825153086548,64.2716008958926,0.612721533989585,30.494701896910936
50.0,-81.97146542848179,61.83154921057001,0.6113554379849863,30.4565900025101
51.0,-80.49307930156607,59.478220898913506,0.6099530019474237,30.417953937950482
52.0,-79.02179313360992,57.209263809520586,0.6084912205789084,30.378410623299562
53.0,-77.55545952883939,55.02220844565169,0.6069537988445077,30.337518894665997
54.0,-76.09112040886411,52.91451821801281,0.6053321233900694,30.294843406168763
55.0,-74.62490089750865,50.88363480627754,0.6036258424275737,30.24998966538414
56.0,-73.15198792287438,48.926977834745884,0.6018425416804696,30.202581843715397
57.0,-71.6664347341157,47.04205992917564,0.5999939101080776,30.15246587502839
58.0,-70.16116360947537,45.226427026621046,0.5980951984664388,30.09977490520963
59.0,-68.62793514878784,43.47772084349857,0.5961630572525489,30.045101767507955
60.0,-67.05712633311437,41.79360969598448,0.5942139632396225,29.98949510784846
61.0,-65.43770457680009,40.171833540043124,0.5922633145464935,29.934296008348802
