day,T,
278.5,301.3500008,
279.5,303.9499992,
280.5,303.15,
281.5,303.15,
282.5,303.65,
283.5,303.15,
284.5,299.15,
285.5,302.7500004,
286.5,303.15,
288.5,304.15,
289.5,304.65,
290.5,303.15,
294.5,303.8500008,
296.5,304.15,
297.5,304.15,
298.5,304.65,
300.5,305.15,
301.5,305.15,
302.5,305.15,
303.5,303.7500004,
306.5,305.65,
307.5,304.9499992,
308.5,305.15,
309.5,306.15,
310.5,305.8500008,
311.5,305.9499992,
312.5,306.15,
314.5,304.15,
316.5,305.15,
317.5,306.65,
318.5,306.15,
320.5,305.65,
324.5,306.15,
325.5,305.65,
326.5,305.15,
327.5,305.4499992,
328.5,304.15,
329.5,306.2499985,
330.5,305.7499985,
334.5,306.2499985,
352.5,305.15,
353.5,305.15,
357.5,305.9499992,
360.5,306.3500008,
361.5,307.65,
362.5,306.15,
365.5,305.65,
368.5,306.2499985,
369.5,305.3500008,
370.5,304.15,
372.5,305.7499985,
373.5,304.7500004,
374.5,304.5499996,
376.5,304.15,
377.5,304.9499992,
378.5,305.65,
380.5,305.65,
381.5,306.0500015,
382.5,306.15,
385.5,305.3500008,
386.5,304.8500008,
387.5,303.9499992,
388.5,304.8500008,
389.5,305.9499992,
390.5,305.5500015,
393.5,306.3500008,
394.5,304.15,
395.5,304.8500008,
397.5,306.15,
398.5,306.15,
399.5,302.0499996,
401.5,307.7499985,
403.5,308.15,
404.5,307.0500015,
405.5,307.15,
406.5,305.65,
409.5,306.7499985,
410.5,307.2499985,
411.5,306.15,
413.5,302.65,
415.5,307.15,
418.5,306.2499985,
419.5,306.8500008,
420.5,307.7499985,
422.5,306.15,
424.5,304.7500004,
425.5,307.15,
426.5,306.65,
427.5,307.15,
428.5,307.15,
429.5,304.9499992,
430.5,305.65,
431.5,306.15,
432.5,306.65,
433.5,305.15,
434.5,306.3500008,
435.5,305.7499985,
436.5,306.15,
437.5,302.65,
438.5,304.8500008,
441.5,307.15,
443.5,306.15,
444.5,306.15,
446.5,304.65,
451.5,307.15,
452.5,307.4499992,
453.5,305.8500008,
457.5,304.15,
459.5,304.15,
460.5,306.15,
461.5,303.65,
462.5,306.65,
463.5,307.65,
469.5,306.65,
471.5,305.65,
474.5,306.15,
475.5,305.7499985,
477.5,303.65,
481.5,305.15,
482.5,301.65,
483.5,299.15,
484.5,305.65,
485.5,302.65,
487.5,304.15,
488.5,305.15,
490.5,305.3500008,
491.5,306.15,
492.5,301.15,
494.5,304.9499992,
496.5,303.15,
497.5,305.15,
500.5,305.65,
501.5,304.15,
502.5,305.2499985,
505.5,302.2500004,
507.5,305.15,
