Species,Location,Latitude,Habitat,subfamily,meanT.h,amplT.h,shiftT.h,delta_mean.h,delta_ampl.h,meanT.f,amplT.f,shiftT.f,delta_mean.f,delta_ampl.f
Clavigralla shadabi Benin,Benin,6.45,Tropical,Heteroptera,300.6,1.41,120.6,0,0,301.5,1.03,117.2,0.000123,2.00E-06
Clavigralla tomentosicollis Benin,Benin,6.45,Tropical,Heteroptera,300.6,1.41,120.6,0,0,301.5,1.03,117.2,0.000123,2.00E-06
Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,Tropical,Heteroptera,302,2.53,44.3,0,0,303.1,-3.42,316.5,0.000177,-2.30E-05
Apolygus lucorum China Dafeng,China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.55,151.9,0,0,291.4,12.77,344.4,0.000125,2.00E-05
Adelphocoris suturalis China Dafeng,China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.55,151.9,0,0,291.4,12.77,344.4,0.000125,2.00E-05
Apolygus lucorum China Langfang,China Langfang,39.88,Temperate,Heteroptera,285.7,15.12,342.9,0,0,284.5,15.69,354.3,0.000156,0
Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,Temperate,Heteroptera,287.6,-13.94,159.8,0,0,288.5,14.61,351.5,0.000157,2.60E-05
Macrosiphum euphorbiae Brazil,Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,293.7,-3.38,364.8,0.000133,0
Aulacorthum solani Brazil,Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,293.7,-3.38,364.8,0.000133,0
Uroleucon ambrosiae Brazil,Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,293.7,-3.38,364.8,0.000133,0
Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,Temperate,Sternorrhyncha,282.1,6.26,337.6,0,0,284.4,5.95,346,4.10E-05,4.60E-05
Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,Subtropical,Sternorrhyncha,296.9,-5.01,86.8,0,0,299.4,4,335.2,8.60E-05,2.30E-05
Aphis nasturtii US Weston,US Weston,26.14,Subtropical,Sternorrhyncha,297.4,4.32,17.3,0,0,299.3,-3.1,270.2,8.20E-05,-1.40E-05
Eriosoma lanigerum Australia Yathroo,Australia Yathroo,30.9,Subtropical,Sternorrhyncha,292,-7.41,334,0,0,293.4,-7.62,104,0.000167,-3.30E-05
Macrosiphum euphorbiae Canada,Canada,42.81,Temperate,Sternorrhyncha,282.1,13.12,261,0,0,285.2,15.29,100.8,0.000173,0
Myzus persicae Canada,Canada,42.81,Temperate,Sternorrhyncha,282.1,13.12,261,0,0,285.2,15.29,100.8,0.000173,0
Hyperomyzus lactucae Australia Acton,Australia Acton,35.27,Subtropical,Sternorrhyncha,286.2,7.4,96.3,0,0,286.3,-7.11,107.7,0.00016,-1.10E-05
Aphis gossypii China Henan,China Henan,36.07,Temperate,Sternorrhyncha,287.6,-13.94,159.8,0,0,286.5,14.2,112.2,0.00016,2.50E-05
Aulacorthum solani US Ithaca,US Ithaca,42.42,Temperate,Sternorrhyncha,281.5,-12.89,144.8,0,0,287.8,15.38,102.2,0.000171,2.10E-05
Brevicoryne brassicae US Columbia,US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.14,300.8,0,0,290.3,15.56,105.3,0.000141,0
Myzus persicae US Columbia,US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.14,300.8,0,0,290.3,15.56,105.3,0.000141,0
Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.14,300.8,0,0,290.3,15.56,105.3,0.000141,0
Toxoptera citricidus on Citrus unshiu Japan Chiba,Japan Chiba,35.38,Subtropical,Sternorrhyncha,288.8,-10.54,147.7,0,0,291.7,-9.2,152.6,9.90E-05,9.00E-06
Toxoptera citricidus on Citrus aurantium Japan Chiba,Japan Chiba,35.38,Subtropical,Sternorrhyncha,288.8,-10.54,147.7,0,0,291.7,-9.2,152.6,9.90E-05,9.00E-06
Aphis citricola Japan Chiba,Japan Chiba,35.38,Subtropical,Sternorrhyncha,288.8,-10.54,147.7,0,0,291.7,-9.2,152.6,9.90E-05,9.00E-06
Aphis gossypii Japan Chiba,Japan Chiba,35.38,Subtropical,Sternorrhyncha,288.8,-10.54,147.7,0,0,291.7,-9.2,152.6,9.90E-05,9.00E-06
Aphis gossypii US Lubbock,US Lubbock,33.69,Subtropical,Sternorrhyncha,289,-11.5,158.1,0,0,293.3,12.16,107.7,0.000111,0
Aphis gossypii Iran,Iran,35.57,Subtropical,Sternorrhyncha,291.2,-13.07,142,0,0,287.4,11.6,107,0.000146,2.90E-05
