Species,Latitude,Habitat,subfamily,rMax,TPC historical,TPC future,Model historical,Model future,r.TPC.h,r.TPC.f,r.model.h,r.model.f,delta.TPC,delta.model,delta.prop.TPC,delta.prop.model,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.134,0.105,0.031,0.078,-0.002,0.784,0.231,0.582,-0.015,-0.552,-0.597,-0.705,-1.026,Extinct in model
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.154,0.149,0.145,0.114,0.141,0.968,0.942,0.740,0.916,-0.026,0.175,-0.027,0.237,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.088,0.146,0.104,0.136,0.041,1.659,1.182,1.545,0.466,-0.477,-1.080,-0.288,-0.699,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.088,0.101,0.082,0.172,-0.043,1.148,0.932,1.955,-0.489,-0.216,-2.443,-0.188,-1.250,Extinct in model
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.165,0.113,-0.070,0.069,0.029,0.685,-0.424,0.418,0.176,-1.109,-0.242,-1.619,-0.580,Including overwintering
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.083,0.051,0.050,0.059,0.030,0.614,0.602,0.711,0.361,-0.012,-0.349,-0.020,-0.492,Including overwintering
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.165,0.119,0.045,0.075,0.054,0.721,0.273,0.455,0.327,-0.448,-0.127,-0.622,-0.280,Including overwintering
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.083,0.054,0.043,0.057,0.028,0.651,0.518,0.687,0.337,-0.133,-0.349,-0.204,-0.509,Including overwintering
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.246,0.186,0.120,0.381,0.146,0.756,0.488,1.549,0.593,-0.268,-0.955,-0.355,-0.617,
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.257,0.138,0.008,0.194,-1.62,0.537,0.031,0.755,-6.304,-0.506,-7.058,-0.942,-9.351,Extinct in model
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.249,0.143,0.007,0.530,0.159,0.574,0.028,2.129,0.639,-0.546,-1.490,-0.951,-0.700,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.100,0.060,-0.026,0.067,-0.018,0.600,-0.260,0.670,-0.180,-0.860,-0.850,-1.433,-1.269,Including overwintering; no future time series data b/c extinct; estimated r in future model using -dA[T]
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.104,0.052,-0.125,0.072,-0.022,0.500,-1.202,0.692,-0.212,-1.702,-0.904,-3.404,-1.306,Including overwintering; no future time series data b/c extinct; estimated r in future model using -dA[T]
Toxoptera citricidus on C. unshiu Japan Chiba,35.38,Subtropical,Sternorrhyncha,0.484,0.234,0.110,0.078,-0.055,0.483,0.227,0.161,-0.114,-0.256,-0.275,-0.530,-1.705,Including overwintering; extinct in model
Toxoptera citricidus on C. aurantium Japan Chiba,35.38,Subtropical,Sternorrhyncha,0.436,0.253,0.162,0.071,0.056,0.580,0.372,0.163,0.128,-0.209,-0.034,-0.360,-0.211,Including overwintering
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.286,0.167,0.195,0.106,0.088,0.584,0.682,0.371,0.308,0.098,-0.063,0.168,-0.170,Including overwintering
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.194,0.163,0.166,0.076,0.091,0.840,0.856,0.392,0.469,0.015,0.077,0.018,0.197,Including overwintering
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.443,0.345,0.340,0.022,-0.102,0.779,0.767,0.050,-0.230,-0.011,-0.280,-0.014,-5.636,Including overwintering; DDE model run for 15 years for historical period; no future time series data b/c extinct; estimated r in future model using -dA[T]
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.306,0.258,0.252,0.168,0.180,0.843,0.824,0.549,0.588,-0.020,0.039,-0.023,0.071,Including overwintering
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.199,0.088,0.071,0.077,0.081,0.442,0.357,0.387,0.407,-0.085,0.020,-0.193,0.052,Including overwintering
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.204,0.057,-0.420,0.038,-0.123,0.279,-2.059,0.186,-0.603,-2.338,-0.789,-8.368,-4.237,Including overwintering; extinct in model
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,1.49,0.930,0.099,1.010,-0.054,0.624,0.066,0.678,-0.036,-0.558,-0.714,-0.894,-1.053,Including overwintering; extinct in model
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,3.42,1.61,-0.492,0.281,-0.423,0.471,-0.144,0.082,-0.124,-0.615,-0.206,-1.306,-2.505,Including overwintering; extinct in model
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.332,0.204,0.034,0.137,0.135,0.614,0.102,0.413,0.407,-0.512,-0.006,-0.833,-0.015,Including overwintering
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.397,0.210,0.148,0.122,0.104,0.529,0.373,0.307,0.262,-0.156,-0.045,-0.295,-0.148,Including overwintering
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,0.464,0.267,0.047,0.177,-0.041,0.575,0.101,0.381,-0.088,-0.474,-0.470,-0.824,-1.232,Including overwintering; extinct in model
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.139,-0.044,-0.528,0.014,-0.049,-0.317,-3.799,0.101,-0.353,-3.482,-0.453,-11.000,-4.500,Including overwintering; extinct in model
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,0.299,0.024,-0.671,0.096,-0.062,0.080,-2.244,0.321,-0.207,-2.324,-0.528,-28.958,-1.646,Including overwintering; extinct in model
