Plot,Date,time,T_K,E,J,A,E_SE_L,E_SE_H,J_SE_L,J_SE_H,A_SE_L,A_SE_H
A,1972/08,225,298,2.16393733,2.58255689,1.4777,2.1264,2.1985,2.5598,2.6042,1.3902,1.5505
A,1972/09,255,298.3,1.31218114,1.71023925,1.0377,1.2039,1.3988,1.6449,1.7670,0.8810,1.1526
A,1972/10,285,299.7,0.09673272,0.09673272,0.0212,0.0000,0.3743,0.0000,0.3743,0.0000,0.3170
A,1972/11,315,300.9,2.6900624,2.08615222,1.5646,2.6700,2.7093,2.0449,2.1238,1.4862,1.6309
A,1972/12,345,300.7,2.72363643,2.08538678,1.6325,2.7043,2.7421,2.0441,2.1231,1.5605,1.6942
A,1973/01,375,301.6,2.14638487,1.93364379,1.4395,2.1080,2.1816,1.8840,1.9782,1.3477,1.5153
A,1973/02,405,303.7,2.13192059,1.41815577,0.8074,2.0929,2.1677,1.3237,1.4957,0.5893,0.9519
A,1973/03,435,303,1.94586452,0.59387644,0.6488,1.8970,1.9898,0.2887,0.7713,0.3700,0.8172
A,1973/04,465,301.9,2.25391678,1.75978206,1.4715,2.2202,2.2852,1.6984,1.8136,1.3833,1.5448
A,1973/05,495,300.9,1.65607737,1.50509983,1.5051,1.5862,1.7162,1.4206,1.5758,1.4206,1.5758
B,1972/10,285,299.1,1.24798028,1.27024491,0.5491,1.1301,1.3406,1.1558,1.3607,0.2198,0.7342
B,1972/11,315,300.3,3.06310433,3.18206107,2.2527,3.0501,3.0757,3.1708,3.1931,2.2190,2.2840
B,1972/12,345,300.2,2.55117684,1.66643607,1.7036,2.5275,2.5736,1.5975,1.7259,1.6378,1.7608
B,1973/01,375,301.1,2.81986323,2.44816317,1.8979,2.8026,2.8364,2.4214,2.4733,1.8461,1.9442
B,1973/02,405,303.3,2.89528467,2.64989663,2.0403,2.8795,2.9105,2.6288,2.6700,1.9967,2.0799
B,1973/03,435,302.5,2.76249205,2.26440045,1.5581,2.7441,2.7802,2.2311,2.2953,1.4791,1.6249
B,1973/04,465,301.4,2.74869593,2.04982506,1.6632,2.7300,2.7667,2.0067,2.0890,1.5940,1.7229
B,1973/05,495,300.3,2.31855121,1.58250636,1.4784,2.2874,2.3477,1.5059,1.6476,1.3910,1.5511
B,1973/06,525,299.2,2.12631997,1.9552799,1.7248,2.0870,2.1623,1.9070,1.9988,1.6607,1.7807
B,1973/07,555,298.2,2.07531011,1.49543575,1.1237,2.0335,2.1134,1.4099,1.5669,0.9844,1.2289
B,1973/08,585,298.3,2.03920961,1.54851304,1.1842,1.9956,2.0789,1.4685,1.6160,1.0559,1.2831
B,1973/09,615,298.7,2.0031091,1.61645992,0.7020,1.9575,2.0444,1.5431,1.6792,0.4458,0.8621
B,1973/10,645,299.3,0.00418257,1.45396788,0.4280,0.0000,0.3042,1.3638,1.5286,0.0180,0.6351
B,1973/11,675,299.5,2.16134701,1.24690681,0.3026,2.1237,2.1960,1.1289,1.3396,0.0000,0.5346
B,1973/12,705,300.1,2.86129135,2.38546438,1.5379,2.8449,2.8771,2.3567,2.4125,1.4569,1.6062
C,1972/09,255,298.1,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,1972/10,285,299.3,1.61896465,1.3106397,0.4459,1.5458,1.6816,1.2021,1.3974,0.0497,0.6496
C,1972/11,315,300.4,2.08881935,1.67511951,0.6753,2.0477,2.1264,1.6069,1.7341,0.4080,0.8395
C,1972/12,345,299.9,2.61894892,2.19021575,1.6265,2.5971,2.6397,2.1538,2.2238,1.5540,1.6886
C,1973/01,375,301,2.72800352,2.50973707,1.8406,2.7088,2.7464,2.4849,2.5332,1.7850,1.8899
C,1973/02,405,303.2,1.16779155,0.65651654,0.6490,1.0366,1.2684,0.3811,0.8237,0.3702,0.8174
C,1973/03,435,302.2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,1973/04,465,301,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,1973/05,495,300.4,2.18663039,1.85575544,1.0889,2.1501,2.2203,1.8012,1.9042,0.9429,1.1980
C,1973/06,525,299.2,2.1903101,1.49849352,1.0475,2.1539,2.2239,1.4133,1.5697,0.8930,1.1612
C,1973/07,555,298.2,2.08123978,1.93842307,1.1866,2.0398,2.1191,1.8891,1.9827,1.0587,1.2853
C,1973/08,585,298.1,1.94976098,1.24291106,0.7694,1.9011,1.9935,1.1242,1.3360,0.5384,0.9193
C,1973/09,615,298.3,1.96847402,1.84069065,0.9534,1.9209,2.0113,1.7851,1.8900,0.7771,1.0785
C,1973/10,645,299.1,1.82947855,1.42329538,0.8370,1.7731,1.8794,1.3295,1.5004,0.6283,0.9773
C,1973/11,675,299.4,2.08134986,1.5099415,0.5550,2.0399,2.1192,1.4260,1.5803,0.2292,0.7391
C,1973/12,705,300.1,2.91966285,2.6113379,1.5287,2.9043,2.9345,2.5893,2.6323,1.4467,1.5976
