Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.7532592699110647,0.33029439377150743,0.7048533721158363,0.23668572636666718,0.8012474522968306,0.38844980771848275,-0.4229648761395573,-0.46816764574916914
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.5837980844827421,0.6129790710501912,0.5082552895295017,0.5138866427250335,0.5192119277999043,0.5220498430111531,0.029180986567449163,0.005631353195531763
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.735060751411997,0.7049329334926175,0.667951230216311,0.6245050891035611,0.6815409978437821,0.635610916,-0.030127817919379463,-0.043446141112749914
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.39754251466202856,0.2596061634537315,0.2538800131990276,0.1111272536897408,0.2998209331681505,0.1837329827739044,-0.13793635120829706,-0.1427527595092868
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.48442937370049627,0.5180390731195519,0.5757331384129549,0.5541902369059895,0.7430536570960161,0.6144950242044591,0.033609699419055616,-0.021542901506965473
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.43874831432820144,0.5263356020358205,0.6013101882971148,0.5738310264605634,0.6992246730318938,0.5982835721747911,0.08758728770761909,-0.027479161836551413
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.48706451645135,0.41984425352940524,0.7160253495883101,0.7480640169566681,0.842404349653548,0.8889127790045998,-0.06722026292194477,0.03203866736835803
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.4388364768307161,0.3531134690032486,0.6399646020926091,0.5218594695483773,0.7350144358275085,0.6951142374124912,-0.0857230078274675,-0.11810513254423183
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.7354529739502507,0.5030234376853213,0.819469399699473,0.805901828491573,0.822854991,0.820047323,-0.23242953626492935,-0.013567571207899976
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.7162875736723558,0.43720786251007393,0.86139074831763,0.7363321321816315,0.903234381,0.843302321,-0.2790797111622819,-0.12505861613599845
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.860514675647217,0.6915041883791171,0.8821780671534578,0.7281920367607704,0.906060888,0.871472826,-0.16901048726809986,-0.15398603039268743
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.5716895678174041,0.4716406893906381,0.5349003175530154,0.47446598323005895,0.6780855643097086,0.7444410859840461,-0.10004887842676602,-0.06043433432295642
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.5733930855840077,0.47769091919768664,0.5333131317039057,0.4662143666853848,0.6782931565165599,0.7408520677550829,-0.09570216638632106,-0.06709876501852091
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.3313255653337974,0.2576523131981195,0.6883910756623268,0.4890111245052484,0.835487397,0.7104704755069445,-0.07367325213567794,-0.1993799511570784
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.6742502879585848,0.6324737120622524,0.566669036463127,0.46166954805267135,0.5900596609950499,0.5196165327703389,-0.041776575896332324,-0.1049994884104557
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.71556449219366,0.44025529650598677,0.6473426721873968,0.3470527967588429,0.774419219,0.5927690340707076,-0.27530919568767326,-0.30028987542855395
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.7217507293498733,0.6853440624659174,0.6453407820399993,0.5643986669495894,0.674687522,0.609648646,-0.036406666883955885,-0.08094211509040994
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.7563452018720189,0.6535667767983064,0.6403668253418789,0.5114098696151588,0.7102627425989528,0.6560161405345231,-0.10277842507371249,-0.12895695572672017
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.8195289955804476,0.5719224984299124,0.8282398714118376,0.5657891443609824,0.9520584077538053,0.9029189236290206,-0.24760649715053518,-0.26245072705085526
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,0.9811019143269039,0.6610308663703754,0.9936717942429378,0.0033336434033816482,0.99999052,0.037734154,-0.3200710479565284,-0.9903381508395562
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,0.7955794818347139,0.5681577946960267,0.9110707548834803,0.0767406959396249,0.971051552,0.3212623543792842,-0.22742168713868727,-0.8343300589438554
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.9231245422148169,0.9506841459739117,0.9564309986402814,0.9715852668882192,0.9765832387160827,0.977397249,0.02755960375909483,0.015154268247937863
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.5853752857708859,0.5631084602703181,0.6773488212403734,0.6935951012702609,0.7359158822854597,0.7583482721279897,-0.0222668255005678,0.016246280029887483
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,0.9718566562745947,0.6733189756385753,0.9900596513436581,0.07504856632416672,0.9984879230904544,0.2716325286423923,-0.2985376806360194,-0.9150110850194915
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.5036111147176686,0.32819450175583825,0.6925660736126968,0.20861849087726045,0.8519153680423338,0.542981892,-0.17541661296183036,-0.48394758273543637
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,0.8019510837665841,0.5792567598637208,0.8697527358374233,0.6017380499835967,0.9699561401325874,0.9591119264950199,-0.22269432390286326,-0.2680146858538266
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.6372326594549456,0.44315113246263726,0.7548907830494627,0.5040503481553704,0.823853616,0.7627108211818642,-0.1940815269923083,-0.25084043489409225
