Species,Latitude,Habitat,subfamily,meanT.h,amplT.h,shiftT.h,delta_mean.h,delta_ampl.h,amplD.h,meanT.f,amplT.f,shiftT.f,delta_mean.f,delta_ampl.f,amplD.f,Tstart,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,303.6,2,126.6,0,0,0,302.7,-1.5,-52,0.000126,0,0,,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,303.6,2,126.6,0,0,0,302.7,-1.5,-52,0.000126,0,0,,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,305,-2.6,-46.4,0,0,0,304.9,-2.5,-46.4,0.000156,0,0,,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,308.5,2.6,89.7,0,0,0,308.5,-2.2,-24.7,0.000162,-0.000031,0,,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,292.8,-12.4,152.4,0,0,0,295.3,12.8,-19.5,0.000138,0.000016,0,295.7,
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,292.8,-12.4,152.4,0,0,0,295.3,12.8,-19.5,0.000138,0.000016,0,295.7,
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,291.1,15.1,-21,0,0,0,289.5,16.2,-10.6,0.000171,0,0,293.2,
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,293,13.9,-21.8,0,0,0,293,15.2,-12.5,0.000174,0.000013,0,292.9,
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,299.3,-2.4,54,0,0,0,298.1,-3,8.7,0.000135,0,0,,Not great resolution for historical temperature data
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,299.3,-2.4,54,0,0,0,298.1,-3,8.7,0.000135,0,0,,Not great resolution for historical temperature data
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,299.3,-2.4,54,0,0,0,298.1,-3,8.7,0.000135,0,0,,Not great resolution for historical temperature data
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,295.5,9.6,-35.5,0,0,0,292,15.7,-11.3,0.000172,0,0,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,295.5,9.6,-35.5,0,0,0,292,15.7,-11.3,0.000172,0,0,,
Toxoptera citricidus on C. unshiu Japan Chiba,35.38,Subtropical,Sternorrhyncha,292.8,10,-36.1,0,0,0,293.3,8.8,-29.6,0.000099,-0.000009,0,,
Toxoptera citricidus on C. aurantium Japan Chiba,35.38,Subtropical,Sternorrhyncha,292.8,10,-36.1,0,0,0,293.3,8.8,-29.6,0.000099,-0.000009,0,,
Aphis citricola Japan Chiba,35.38,Subtropical,Sternorrhyncha,292.8,10,-36.1,0,0,0,293.3,8.8,-29.6,0.000099,-0.000009,0,,
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,286.4,7.2,-25.9,0,0,0,287.2,6.5,-16.2,0.000057,0.000054,0,,
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,302.5,-4,5.1,0,0,0,300.3,3,-35.7,0.000085,0.000013,0,,
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,301.9,3.8,19.3,0,0,0,300.3,3,89.2,0.000085,0.000013,0,,
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,301.9,3.8,19.3,0,0,0,300.3,3,89.2,0.000085,0.000013,0,,
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,301.9,3.8,19.3,0,0,0,300.3,3,89.2,0.000085,0.000013,0,,
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,298.8,8.9,155.5,0,0,0,299,-9.7,106.9,0.000183,-0.000016,0,,
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,286.8,-14,80.3,0,0,0,288.6,16.2,101.9,0.000175,0,0,,
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,286.8,-14,80.3,0,0,0,288.6,16.2,101.9,0.000175,0,0,,
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,292.8,8.2,96.9,0,0,0,290.5,-8,110.7,0.000186,-0.000018,0,,
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,293,13.9,-21.8,0,0,0,291,14.8,113.1,0.000172,0,0,,
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,286.8,13.9,-36.7,0,0,0,287.6,15.5,101.7,0.000176,0.000018,0,,
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,292.2,13.5,-64.6,0,0,0,295.1,16.2,105.6,0.000139,0,0,,
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,292.2,13.5,-64.6,0,0,0,295.1,16.2,105.6,0.000139,0,0,,
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,292.2,13.5,-64.6,0,0,0,295.1,16.2,105.6,0.000139,0,0,,
