Species,Latitude,Habitat,subfamily,bTopt,Toptb,sb,mTR,TR,AmJ,skew,AL,TL,AH,TH,Tmin,dJTR,AdJ,dATR,AdA,qTopt,Toptq,sq,rMax,rTopt,rTmax,rs,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,8.88,300.5,3.69,0.033,298,7185,1,-32190,286.5,277540,305.9,286.3,0.004,35450,0.027,9468,0.2,300.46,3.6893,0.134,301.7,306.8,3.23,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,6.34,305.8,7.2,0.042,298,7600,1,-66162,288.3,235541,309.6,287.2,0.024,5825,0.056,6287,0.2,303.9,5.47,0.154,304.2,313.2,4.05,
Clavigralla tomentosicollis Nigeria,6.45,Tropical,Heteroptera,6.34,305.8,7.2,0.042,298,7600,1,-66162,288.3,235541,309.6,287.2,0.024,5825,0.056,6287,0.2,303.9,5.47,0.154,304.2,313.2,4.05,Using parameters from Clavigralla tomentosicollis in Benin
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,5.14,302.64,5.35,0.11,308,6252,1,-79172,295.2,370764,314.2,290.6,0.002,85850,0.027,3916,0.2,302.64,5.35,0.232,303,321.5,3.37,r calculated from temperature responses; Only 4 points for r
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,2.72,298.82,8.1,0.037,293,2857,1,-40519,285.3,215829,309,283.1,0.02,12310,0.025,3876,0.2,298.82,8.1,0.129,303,308,,Tmin = 10 (temperature reported with zero development); r calculated from temperature responses
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,2.83,300.99,8.91,0.027,293,6754,1,-62876,285.2,30065,308.1,281.1,0.016,10350,0.028,5165,0.2,300.99,8.9,0.106,300,310.1,,r calculated from temperature responses
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,2.72,298.82,8.1,0.037,293,2857,1,-40519,285.3,215829,309,283.1,0.02,12310,0.025,3876,0.2,298.82,8.1,0.129,303,308,,Tmin = 10 (temperature reported with zero development); r calculated from temperature responses
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,2.83,300.99,8.91,0.027,293,6754,1,-62876,285.2,30065,308.1,281.1,0.016,10350,0.028,5165,0.2,300.99,8.9,0.106,300,310.1,,r calculated from temperature responses
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,3.38,292.3,4.65,0.445,293,3262,1,-63454,285.5,36530,299.8,284,0.084,2052,0.06,5975,0.2,292.3,4.645,0.282,295,300.1,,Tmin calculated manually; Only 4 points for r
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,4.08,292.1,5.03,0.478,293,7096,1,-66946,285.2,42437,298.5,280.8,0.058,18870,0.033,50920,0.2,292.1,5.03,0.27,295,300.3,,Only 4 points for r
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,4.94,294.3,4.92,0.478,293,5162,1,-57240,285.4,35138,298.1,286.3,0.061,12080,0.062,14140,0.2,294.3,4.92,0.244,295,302.5,,Tmin calculated manually; Only 4 points for r
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,2.83,297,6.75,0.041,293,5405,1,-112637,285,57840,304.7,279.9,0.023,11240,0.012,5235,0.2,297,6.749,0.098,301,305.2,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,3.1,298.1,6.69,0.043,293,5147,1,-117479,285,61244,304.7,279.3,0.024,10810,0.012,7156,0.2,298.1,6.69,0.104,301,304.4,,
