Time,J,A,S,tau
0,100,100,0.597860281,8.196721311
1,371.794019,266.6157941,0.595258055,8.092992065
2,1011.461106,418.4461326,0.59255664,7.985995791
3,1954.567211,556.6409052,0.589755616,7.87575365
4,3143.993386,682.2646322,0.586854569,7.762285797
5,4529.257194,796.2996433,0.583853167,7.645614211
6,6065.88759,899.6522237,0.580751169,7.525762686
7,7714.85558,993.1582491,0.577548423,7.402756818
8,9421.051285,1111.466359,0.575877176,7.344249647
9,11280.24917,1430.809473,0.575091424,7.323161373
10,13750.77078,1934.805351,0.574296599,7.302364496
11,17184.77785,2584.349004,0.573492748,7.281867027
12,21814.67146,3345.582829,0.57267993,7.261676672
13,27774.8607,4189.316183,0.571858209,7.241800826
14,35120.54028,5090.502784,0.571027659,7.222246571
15,43842.67934,6028.863183,0.570188364,7.203020664
16,53855.82887,7115.735223,0.569340418,7.184129532
17,65398.29705,8618.115544,0.568483925,7.165579266
18,79260.90967,10729.36728,0.567619,7.147375616
19,96557.72521,13566.97919,0.56674577,7.12952398
20,118531.4582,17188.02423,0.565864375,7.112029406
21,146410.1144,21602.24827,0.564974966,7.094896577
22,181305.9286,26782.9401,0.564077708,7.078129814
23,224125.105,32723.76926,0.56317278,7.061733066
24,275640.3692,39688.42268,0.562260374,7.045709909
25,337130.0035,48228.59041,0.561340698,7.030063536
26,410898.9171,59037.61854,0.560413974,7.01479676
27,500440.6976,72838.01935,0.559480441,6.999912004
28,610352.1177,90302.54032,0.558540353,6.985411304
29,746095.5853,112001.7529,0.557593979,6.971296298
30,913670.8692,138389.2583,0.556641608,6.957568233
31,1119257.844,170003.9768,0.555683542,6.944227955
32,1369376.389,207853.6286,0.554720105,6.931275912
33,1671806.207,253613.625,0.553751636,6.918712154
34,2036765.752,309630.6021,0.552778491,6.906536328
35,2477943.151,378803.8516,0.551801047,6.894747681
36,3013162.067,464399.7065,0.550819697,6.883345063
37,3664585.987,569846.3233,0.549834854,6.872326922
38,4458441.869,698677.2474,0.548846948,6.861691314
39,5424635.417,854899.4099,0.54785643,6.851435898
40,6597153.254,1043646.636,0.546863767,6.841557945
41,8015670.534,1271819.232,0.545869445,6.832054338
