Time,J,A,S,tau
0.0,100.0,100.0,0.987967619679315,9.00900900900901
1.0,189.76014434866306,302.2847502413436,0.977407892258208,8.414204018607967
2.0,561.5967858121454,499.6552017702844,0.965925501196421,7.792874659703949
3.0,1192.054335793275,691.555066491607,0.9534722654665958,7.14479540446277
4.0,2055.7633192700087,877.4203622189359,0.9400011459478563,6.469750727786414
5.0,3125.6678133790756,1056.6786556900943,0.9254672863513226,5.767553382441309
6.0,4356.398285418761,1245.7739213306256,0.9156536318075211,5.394960926416884
7.0,5644.733482677605,1680.3085469944447,0.9100351846908173,5.3050794651749325
8.0,7278.336637848504,2381.6969909351005,0.9041035628586067,5.217749914982465
9.0,9532.359618611556,3309.844527518156,0.8978469117599777,5.13301892562378
10.0,12597.36155534906,4424.302825301443,0.8912529208300842,5.05095681522997
11.0,16583.012091682172,5685.48809640889,0.8843085870706797,4.971663014880682
12.0,21415.34664021867,7231.963405427882,0.8769998812968538,4.89527264080233
13.0,27088.588573431345,9379.934455580256,0.8693112900700433,4.82196441271093
14.0,33908.22969129409,12340.618021804967,0.8612252032466775,4.751970060507084
15.0,42332.58532406463,16216.02216661464,0.8527211124681315,4.685585398483517
16.0,52828.225020807,21017.20126493242,0.8437745838032817,4.623183212372571
17.0,65665.99297350421,26830.042066989234,0.8343559695238871,4.565228042431546
18.0,80906.73975336105,34003.299381717596,0.8244288276149545,4.512292875536441
19.0,98694.8397525389,42984.94230630458,0.8139480323437386,4.465077623062719
20.0,119367.54877689088,54151.69539393232,0.8028575839427423,4.424429060004893
21.0,143385.1377072635,67712.58424722418,0.791088168948545,4.391361640126258
22.0,171100.4531216601,83791.82878066032,0.7785545699132064,4.367078409424047
23.0,202596.60442493536,102585.79002877734,0.765153156563666,4.3529904049838235
24.0,237766.34903383805,124332.72787976827,0.7507597492338899,4.3507330297784375
25.0,276432.3009126017,149167.35298558263,0.7352283506384767,4.36217693367793
26.0,318370.65311498434,176979.1597225692,0.7183913146636792,4.389431367421965
27.0,363218.1511572294,207383.78108912252,0.7000619014272006,4.434835217965952
28.0,410358.5122646508,239772.0182099286,0.6800398832497198,4.5009352770373106
29.0,458896.8314057641,273339.2308294003,0.6581212366265922,4.590447148237267
30.0,507704.1074232952,307086.052898265,0.6341124860818494,4.706198102347878
31.0,555472.9849099087,339831.78337972687,0.6078498436311723,4.85105170097568
32.0,600758.4393602558,370277.7425894697,0.5792224531379826,5.027816341478644
33.0,642017.9521302652,397118.65888920194,0.5481979609012944,5.239142311631159
34.0,677676.8109103224,419171.0555935986,0.5148474512424698,5.48741429849656
35.0,706224.0522784378,435490.16913225316,0.4793658042647349,5.774648079571925
36.0,726327.7615776871,445457.1416368518,0.4420831843764332,6.102400612477187
37.0,736951.8762029922,448825.77283668343,0.40346370043172464,6.471702624082451
38.0,737459.4904677825,445725.2667528753,0.3640892994629267,6.883019204021311
39.0,727680.2500158637,436622.27632781945,0.32462861508080676,7.336242467014414
40.0,707939.7213559224,422249.94610380253,0.28579385000407126,7.830716632393292
41.0,679041.491805007,403520.0179216825,0.24829111873028806,8.365288377193654
42.0,642203.1623567048,381430.8226521206,0.21277018930934555,8.938379429015729
43.0,598957.5602712972,356983.65142312413,0.17978100751918188,9.548071830077637
44.0,551030.3969013529,331116.6275965401,0.14974159390789582,10.192197965623542
45.0,500211.3617399864,304659.03028870147,0.1229206227633002,10.86842854695018
46.0,448233.1635192778,278305.88234681106,0.0994351407149955,11.574353083810736
47.0,396670.2586266394,252609.82666570984,0.07926170163649042,12.307549304857435
48.0,346864.7149563267,227985.9993105964,0.0622576929613999,13.065639783200842
49.0,299882.11392185645,204725.4775496069,0.048188809508549584,13.846335431835675
50.0,256495.81693516136,183013.29977185474,0.03675828253443793,14.647466686583767
51.0,217195.5134899579,162947.9415159919,0.02763509089632479,15.46700381252579
52.0,182216.02926470392,144560.12762135584,0.020479416326282925,16.30306829464964
53.0,151576.70977007016,127829.83749196472,0.014961944387296696,17.153936863279807
54.0,125127.58518648331,112700.74672824661,0.010778174185297982,18.018040080794083
55.0,102595.70580657701,99091.98562768793,0.00765718809174895,18.89395701249029
56.0,83628.69855180841,86907.40052101864,0.005366005319928534,19.780407217205425
57.0,67831.95133423468,76042.58293998083,0.003710128202154082,20.6762411157128
58.0,54798.992540383886,66390.07272538492,0.002531587721752084,21.58042951201478
59.0,44133.951477072995,57843.06269614479,0.0017052289747446553,22.492052852917755
60.0,35467.20973310448,50297.96166540569,0.0011341950246587585,23.410290642406636
61.0,28464.889706134618,43656.08483251438,0.0007451608698719781,24.334411291094685
62.0,22833.369257205548,37824.69418720013,0.00048375489960767316,25.26376257048818
63.0,18320.045306556352,32717.56297708243,0.00031044092674878426,26.197762769107147
64.0,14711.663858078371,28255.2134281875,0.00019701061106586483,27.135892595123465
65.0,11830.961242406393,24364.912971894628,0.00012369429139171968,28.077687823855992
66.0,9532.484900360363,20980.50835134996,7.687120185384614e-05,29.022732660432165
67.0,7698.160626602007,18042.15341855381,4.730971094574221e-05,29.970653781028478
68.0,6232.9553089153505,15495.965811839058,2.884962880832372e-05,30.921114996064233
69.0,5060.897715712625,13293.643844320992,1.744120954703058e-05,31.873812478935573
70.0,4121.561339048387,11392.062327576945,1.045961620548644e-05,32.828470503549454
71.0,3367.050084403763,9752.861199030414,0.0,33.78483762990455
72.0,2759.484748561867,8342.039400814012,0.0,34.74268328475008
73.0,2268.937002522963,7129.559383157163,0.0,35.70179468402232
74.0,1871.7624984181277,6088.969078099344,0.0,36.66197404740485
75.0,1549.2678967102129,5197.044175931642,0.0,37.623036060091
76.0,1286.6515780500863,4433.451881179541,0.0,38.584805537903975
77.0,1072.1758016931203,3780.4413481811616,0.0,39.54711525697081
78.0,896.5076451527109,3222.5544208292135,0.0,40.50980390709597
79.0,752.207806710331,2746.3621411721733,0.0,41.472714135421135
80.0,633.3328953739714,2340.2263737404564,0.0,42.435690642819154
81.0,535.1217861831002,1994.0831486131503,0.0,43.39857829773083
82.0,453.7506124909345,1699.2481904108768,0.0,44.36122023105953
83.0,386.14025999335325,1448.2428947632718,0.0,45.32345587486859
84.0,329.8041685428049,1234.6383271260156,0.0,46.28511890229695
85.0,282.72924245190785,1052.9173123637624,0.0,47.246035027406236
86.0,243.28174807243826,898.3528547449644,0.0,48.206019614350424
87.0,210.13257040012368,766.9013547716584,0.0,49.16487503918199
88.0,182.19768050466152,655.1086095142952,0.0,50.1223877306751
89.0,158.59076089233315,560.0268301805919,0.0,51.07832484253787
90.0,138.58541492703478,479.144239648798,0.0,52.03243041905125
91.0,121.58507690869067,410.3218553587979,0.0,52.98442099378876
92.0,107.09833937887221,351.7406548097891,0.0,53.93398045670539
93.0,94.71981797963397,301.8543952143595,0.0,54.880754036076965
94.0,84.11398889385013,259.3500434083681,0.0,55.824341198750204
95.0,75.00283779786382,223.11278774543715,0.0,56.764287254955775
96.0,67.1552372622326,192.19699070698744,0.0,57.70007324070429
97.0,60.378619111289034,165.8006176987325,0.0,58.6311039027154
98.0,54.51237067684393,143.2436090045478,0.0,59.55669303200214
99.0,49.421906268831194,123.94959392465987,0.0,60.476045726933215
100.0,44.9945220829783,107.4299182210977,0.0,61.388236709665456
101.0,41.13538756406054,93.27047624357115,0.0,62.2921834312913
102.0,37.764621194110845,81.12019394574475,0.0,63.186613019203726
103.0,34.81487455307012,70.68139788548595,0.0,64.07002052311057
104.0,32.229053328530654,61.70167522094598,0.0,64.94061644890911
105.0,29.95875956525999,53.96687493126862,0.0,65.79625985870325
