Time,J,A,S,tau
0.0,100.0,100.0,0.6822457903826655,14.492753623188404
1.0,18.672974248071988,203.914311908548,0.6611980499908138,13.692100745785924
2.0,0.0,301.9162765732244,0.6394211832955776,12.85591554222179
3.0,0.0,394.08984920319074,0.6169676603935879,11.984385959336558
4.0,0.0,480.50038508011284,0.5938947758564114,11.077877019716304
5.0,0.0,561.1940285519962,0.5702649873163521,10.137004719310294
6.0,0.0,636.1998570198713,0.5461454722944239,9.16269477593478
7.0,0.0,705.5320749806624,0.5216076314804191,8.156252458874663
8.0,0.0,736.1487320741181,0.5043037394087165,7.508518161526914
9.0,0.0,730.518222448521,0.4967681087096823,7.3743085012684135
10.0,1.256226221893248,733.8547065930109,0.4889520956426152,7.251003787424144
11.0,21.261556541756285,742.460046979289,0.4807873183116054,7.139666730990806
12.0,31.28627079125914,753.5166665289167,0.47219244111985104,7.041569238161584
13.0,34.771204224387226,764.9337877590812,0.46307248164775006,6.958211207959253
14.0,34.21088506472494,775.2141383380174,0.4533188695827052,6.891335206225135
15.0,32.00070677966326,782.7047103517855,0.44281064818395993,6.842934468500859
16.0,31.194594722712083,784.6979744310452,0.4314172719807859,6.815251237940085
17.0,31.082917644234737,782.1440119289125,0.41900346885984685,6.810762221017589
18.0,31.101197510984747,775.977589227238,0.4054365630506791,6.8321480378137265
19.0,31.01964704415172,766.8544233776444,0.3905964508896114,6.882244193263892
20.0,30.77118664904409,755.276147458404,0.3743880933391108,6.963972321661452
21.0,30.356401018680796,741.660432418298,0.3567556871075555,7.080252101255556
22.0,29.79560591213821,726.3765289173003,0.33769766864909023,7.233896111271329
23.0,29.118729206128148,709.7499655538945,0.31727949356074364,7.427497091608656
24.0,28.343995980545905,692.0815496044612,0.29564311061348264,7.663313164545694
25.0,27.46612670547186,673.6620509987924,0.2730103532057537,7.943154447398561
26.0,26.47381502714503,654.7583414093373,0.24967725018181378,8.268300884827894
27.0,25.359413507060243,635.6054920638876,0.2260008880368922,8.639436413823415
28.0,24.123138223849484,616.4039687211675,0.20237781898610205,9.056621494225615
29.0,22.774178547310893,597.3196993342922,0.1792171240244078,9.519301715012997
30.0,21.329861254393034,578.4859006800332,0.15691187439611393,10.026348818024703
31.0,19.81380791214931,560.0060372177998,0.13581252116806605,10.576130446998341
32.0,18.253616399765182,541.9573694341708,0.11620574085995458,11.166599218749557
33.0,16.678459438304913,524.3947754313214,0.09830077825371292,11.795392494396685
34.0,15.116905953876811,507.35454588077727,0.0822243242082202,12.459933751358063
35.0,13.595153018349428,490.8579393854361,0.0680231981696473,13.157527958324488
36.0,12.135752653628737,474.91438317688346,0.05567322353715712,13.885445945348659
37.0,10.756848670348251,459.52424890626344,0.045092198797687354,14.640994795924613
38.0,9.471866089235535,444.6811897983,0.03615465266835233,15.421573014636925
39.0,8.289555888140065,430.3740471873793,0.028706315695072565,16.22471053815448
40.0,7.2143952732807755,416.58834705492126,0.022577895275280667,17.048095875695736
41.0,6.2471452840304,403.3074690797471,0.017596323115310872,17.889591718079796
42.0,5.385506350023131,390.5135290169377,0.013593399636542835,18.74724120132035
43.0,4.62480140213846,378.188027657912,0.01041191394904441,19.619267397880524
44.0,3.958651260130757,366.31231884394293,0.007909591990601227,20.50406760599642
45.0,3.379555636415544,354.86793679690606,0.005960952117414025,21.400204174987476
46.0,2.879417022883093,343.8368181081013,0.00445786792421758,22.306393223536972
47.0,2.4499554033454274,333.2014457163411,0.0033089909141718415,23.221492204758494
48.0,2.0830333520244477,322.944936812258,0.0024385099141302083,24.144487147599747
49.0,1.7708865655879111,313.0510900405002,0.001784481801896596,25.07447999632179
50.0,1.5062882699826796,303.50440551256617,0.001297041675280208,26.010676542892078
51.0,1.2826433816777332,294.2900854855954,0.0009365769368571512,26.952375077535056
52.0,1.0940322535694016,285.39402250657855,0.0006720051157341052,27.898955925364398
53.0,0.9352164458156188,276.80277957969815,0.0004792176532839891,28.84987191261583
54.0,0.801615190907561,268.50356536616164,0.00033971467882954815,29.80463975959634
55.0,0.689264757826735,260.4842068735777,0.00023944553683756742,30.76283237884944
56.0,0.5947662168042585,252.7331209189399,0.000167841980317578,31.724072011538507
57.0,0.5152268545036893,245.23928542081518,0.00011702733385572364,32.68802415176596
58.0,0.44820064829312384,237.9922110527131,8.118190745328697e-05,33.65439217358705
59.0,0.3916304539050335,230.98191383530346,5.6041561026265356e-05,34.62291260575223
60.0,0.3437938752888409,224.19888870991264,3.850662866753132e-05,35.59335097122347
61.0,0.30325385633367025,217.63408438455014,2.634098728593374e-05,36.565498138985035
62.0,0.2688147035019269,211.2788793608291,1.7943150870460243e-05,37.53916711759275
63.0,0.23948342755319796,205.12505927128308,1.2174078104253292e-05,38.51419024480498
64.0,0.21443645367655703,199.16479539980162,0.0,39.49041671616496
65.0,0.19299105986979387,193.39062442547865,0.0,40.46771041486025
66.0,0.17458135699318503,187.79542927916222,0.0,41.44594799807437
67.0,0.15873805180897618,182.37242110155236,0.0,42.4250172089511
68.0,0.14507168837192044,177.11512225960251,0.0,43.40481538130675
69.0,0.1332585231480571,172.01735019860007,0.0,44.385248108902076
70.0,0.1230291487133527,167.073202384285,0.0,45.36622805843631
71.0,0.11415902886402197,162.27704195064922,0.0,46.34767389968484
72.0,0.10646055295000757,157.62348423449782,0.0,47.32950934067261
73.0,0.09977702364568533,153.1073841419399,0.0,48.31166224258112
74.0,0.09397698815199332,148.72382393738195,0.0,49.294063805906575
75.0,0.08894984949754726,144.46810154855137,0.0,50.27664780850371
76.0,0.08460384440299247,140.33572147079474,0.0,51.25934989066846
77.0,0.08086117171931086,136.3223822030358,0.0,52.242106858967745
78.0,0.0776562863390616,132.42396797982246,0.0,53.224856019325806
79.0,0.07493398323663822,128.6365389032879,0.0,54.207534509006145
80.0,0.0726535730953602,124.95632966264031,0.0,55.19007861718825
81.0,0.07077561200399658,121.37972884310103,0.0,56.17242310044881
82.0,0.06926831119449571,117.90327720216924,0.0,57.15450046989036
83.0,0.06810620351095359,114.52366045397127,0.0,58.13624022789758
84.0,0.06726834358048193,111.23770059222835,0.0,59.1175680708284
85.0,0.06674397544083024,108.04236050680451,0.0,60.09840488991131
86.0,0.06652039780422046,104.93471906709898,0.0,61.07866597310442
87.0,0.06659086357626605,101.91197740557902,0.0,62.058259785441834
88.0,0.06695259905934554,98.97145080543963,0.0,63.03708679063332
89.0,0.0676064129854411,96.11056323704285,0.0,64.01503806887396
90.0,0.06855662327670134,93.32684234670563,0.0,64.99199374920728
91.0,0.06981151627685844,90.61791554134214,0.0,65.96782117985266
92.0,0.07138201981750796,87.98150312307995,0.0,66.94237297506851
93.0,0.07328313191872297,85.41541600828505,0.0,67.91548453156709
94.0,0.07553363983182285,82.91755106821627,0.0,68.88697131591066
95.0,0.07815652354721661,80.48588755331875,0.0,69.85662562250721
