Time,J,A,S,tau
0.0,100.0,100.0,0.48822269298937576,23.809523809523807
1.0,1581.052593524882,475.7869661363775,0.4896727305377127,23.472055511374702
2.0,5327.282806861987,822.09761877744,0.4911353788664644,23.132817698485063
3.0,11070.959012533956,1141.3218867920546,0.49261065250010205,22.791827330082725
4.0,18569.016141152275,1435.6618676213109,0.49409857955199626,22.449098212320944
5.0,27600.97990763594,1707.1436734045728,0.4955991854694903,22.104644718351313
6.0,37967.06272344662,1957.6312821356416,0.49711249299131366,21.758481785496876
7.0,49486.403890077105,2188.8393874321523,0.4986385221064393,21.41062491197317
8.0,61995.47682117795,2402.3450441163154,0.5001772900116072,21.061090153740167
9.0,75346.58150227305,2599.598771727031,0.5017288110718201,20.70989412059678
10.0,89406.50347600905,2781.934425002223,0.503293096779021,20.357053972526725
11.0,104055.27564919471,2950.578341645696,0.5048701557115501,20.002587415747605
12.0,119184.9761982074,3106.6583420574216,0.5064599934953642,19.64651269822225
13.0,134698.7825645339,3251.2106388904317,0.5080626127695317,19.28884860454248
14.0,150509.81366954144,3385.188778636372,0.5096780131401814,18.92961445225562
15.0,166540.53905023186,3509.467668988702,0.5113061911447668,18.56883008696872
16.0,182721.65034844444,3624.8525269137876,0.5129471402281645,18.206515874562196
17.0,198991.49531938447,3732.082947861473,0.5146008506924393,17.84269269836595
18.0,215270.51707054963,3898.0423387970095,0.5156680558404384,17.609561708529082
19.0,233620.37697997806,5030.878599142057,0.5157770390335662,17.58819348853937
20.0,260845.24988690624,7244.56887795717,0.5158846413285219,17.567118490019062
21.0,302969.1047915463,10352.179134011309,0.5159908315679509,17.546341902116584
22.0,364659.4534773758,14190.335016256873,0.5160955790811652,17.525868807573733
23.0,449422.18264639366,18616.629175920076,0.5161988536927111,17.50570418247222
24.0,559772.9509675567,23507.293694079694,0.5163006257306706,17.485852896030995
25.0,697388.400755688,28755.10499126388,0.5164008660346828,17.466319710454563
26.0,863238.0067163679,34267.515842745735,0.5164995459639302,17.447109280779664
27.0,1057700.7208828272,39964.96275492186,0.516596637404439,17.42822615485214
28.0,1280665.8402491924,45779.36689165632,0.5166921127766011,17.40967477324498
29.0,1531621.3262866724,51652.7878070528,0.5167859450425285,17.391459469200495
30.0,1809730.6911737185,57536.2061944921,0.5168781077119707,17.373584468837986
31.0,2113899.4856481403,63388.46302895046,0.5169685748503892,17.35605389092387
32.0,2442832.7767826403,69175.27464995945,0.5170573210829095,17.33887174742063
33.0,2795083.955403863,74868.40772468981,0.5171443216038274,17.32204194296031
34.0,3169097.676791665,80444.88445163822,0.5172295521790281,17.30556827563554
35.0,3563246.6588582136,85885.23439852393,0.5173129891527009,17.289454436956557
36.0,3976373.4523457433,91991.14577324821,0.517394609454139,17.273704011781277
37.0,4418575.457945746,102185.75689203483,0.5174743905992564,17.258320479197888
38.0,4921391.52814225,119590.43173254705,0.5175523106982519,17.243307212236687
39.0,5532541.1027236115,146431.73047330405,0.5176283484591245,17.228667478331644
40.0,6310067.633491388,184199.48190620236,0.5177024831918766,17.21440443962388
41.0,7317659.412980699,233782.09820305518,0.5177746948123924,17.20052115329683
42.0,8620944.596036242,295582.15465648554,0.5178449638461289,17.18702057191617
43.0,10284615.728302967,369614.78902490874,0.5179132714314357,17.17390554380614
44.0,12370245.261667866,455591.00763235387,0.5179795993227804,17.16117881341408
45.0,14934682.968161978,552988.0019363561,0.5180439298935277,17.148843021721927
46.0,18028907.892838497,661108.2837016059,0.5181062461387618,17.1369007066212
47.0,21697306.34183545,779128.8354344233,0.5181665316773397,17.12535430338775
48.0,25977240.932324402,906141.9540196607,0.5182247707541119,17.114206145097917
49.0,30898841.420771167,1041189.1193302236,0.5182809482428961,17.10345846289293
50.0,36485118.13902597,1183287.8128907203,0.5183350496456941,17.093113386828126
51.0,42752031.92502092,1331454.4787891102,0.5183870610975853,17.08317294576301
52.0,49708959.26020534,1484712.978773735,0.5184369693635728,17.073639068536565
53.0,57358955.975666635,1642671.3333500049,0.5184847618458771,17.064513583412257
54.0,65712258.653436214,1811659.130945355,0.5185304265770938,17.05579821977873
55.0,74842140.19027302,2008897.9378597215,0.5185739522262721,17.04749460774813
56.0,84943430.0151911,2258987.873791207,0.5186153280977194,17.039604278874055
57.0,96365813.7125821,2590505.334457952,0.518654544131308,17.03212866661432
58.0,109626582.26391082,3033404.563223911,0.5186915909025657,17.02506910679478
59.0,125408304.57398687,3617078.158955016,0.5187264596225932,17.0184268380715
60.0,144545817.61100805,4368954.237963102,0.5187591421378259,17.012203002389107
61.0,168006037.93939286,5313526.453551826,0.5187896309296448,17.006398645434476
62.0,196863399.34797794,6471729.675401187,0.5188179191138252,17.00101471708821
63.0,232272854.6923744,7860590.321824955,0.5188440004399546,16.99605207185341
64.0,275442576.5171012,9493087.227752391,0.518867869290477,16.991511469315594
65.0,327606665.1605739,11378179.103738131,0.5188895206800218,16.987393574531634
66.0,390000263.8005705,13520946.42164862,0.5189089502541346,16.98369895848659
67.0,463835663.37001705,15922830.20409853,0.518926154288422,16.980428098458642
68.0,550281717.9896138,18581925.04603819,0.5189411296870321,16.977581378461725
69.0,650445663.9468504,21493304.53924414,0.5189538739815275,16.975159089603807
70.0,765357517.4953184,24649724.28300175,0.5189643853295937,16.973161430445344
71.0,895971676.1158566,28052404.374628052,0.5189726625135334,16.971588507368146
72.0,1043280063.4612812,31741723.895504422,0.5189787049383996,16.97044033496041
73.0,1208620224.52376,35823006.123382166,0.5189825126305004,16.96971683635545
74.0,1394093707.9170244,40478156.19537738,0.5189840862358464,16.96941784352155
75.0,1603016876.5470634,45966733.121010795,0.5189834270182146,16.969543097598372
76.0,1840350376.763493,52619796.76989735,0.5189805368574524,16.970092249180755
77.0,2113057876.736689,60829118.556414776,0.5189754182475232,16.97106485860957
78.0,2430381392.900676,71033677.09331357,0.5189680742945205,16.97246039624918
79.0,2804019067.966815,83704953.03193031,0.518958508714706,16.97427824273722
80.0,3248206486.5596843,99332067.12648754,0.5189467258324286,16.976517689230743
81.0,3779703690.893166,118407569.27727492,0.5189327305779144,16.979177937647975
82.0,4417698882.268293,141414386.99125543,0.5189165284850239,16.982258100893215
83.0,5183632328.288023,168814338.4665374,0.518898125689096,16.98575720304451
84.0,6100971245.92768,201038194.39812672,0.5188775289246199,16.989674179547777
85.0,7194927609.323332,238477608.7465862,0.5188547455224788,16.994007877449366
86.0,8492138770.423531,281478759.6250819,0.5188297834080401,16.998757055479963
87.0,10020328364.632963,330337789.64302117,0.5188026510980625,17.003920384292904
88.0,11807970237.321283,385309462.4110213,0.5187733576981893,17.009496446593293
89.0,13884115320.223236,446682515.4821076,0.518741912900408,17.015483737246313
90.0,16278905661.18251,514940978.75838906,0.5187083269800425,17.02188066343475
91.0,19025174632.009815,590967532.5420501,0.518672610792833,17.02868554477811
92.0,22161294102.970158,676247007.4461612,0.5186347757719287,17.035896613444816
93.0,25735101751.350544,773043721.4924914,0.5185948339248518,17.043512014240886
94.0,29808803619.5401,884535253.431067,0.5185527978300378,17.051529804747684
95.0,34464300081.71374,1014899081.3469664,0.5185086806337051,17.0599479553743
96.0,39808844714.86441,1169346935.0837436,0.5184624960461878,17.068764349477295
97.0,45980630834.00241,1354111938.93122,0.5184142583385171,17.07797678341632
98.0,53153949346.88222,1576393335.195338,0.5183639823387617,17.08758296662146
99.0,61543772709.546906,1844264149.3954492,0.5183116834279599,17.097580521702877
100.0,71409582064.47891,2166550219.1573224,0.5182573775361422,17.10796698452309
101.0,83058266775.97946,2552688361.3934894,0.5182010811384418,17.118739804230877
102.0,96845916152.36153,3012570259.918743,0.5181428112507217,17.129896343347667
103.0,113178657213.53381,3556377712.132684,0.5180825854250295,17.14143387786091
104.0,132512502763.40312,4194415528.56146,0.518020421745108,17.15334959728552
105.0,155352036395.87372,4936955031.474932,0.5179563388219044,17.16564060470106
106.0,182248327126.63834,5794173974.969605,0.517890355788503,17.178303916862074
107.0,213797210781.23492,6776419606.744296,0.5178224922950636,17.191336464286962
108.0,250640403697.0213,7894976223.180085,0.517752768503789,17.20473509132081
109.0,293472372110.0333,9163373778.992203,0.517681205083719,17.218496556204354
110.0,343056240702.9301,10599157528.134596,0.5176078232050891,17.23261753119753
111.0,400251429552.2211,12225980913.949923,0.5175326445337608,17.247094602673
112.0,466053655710.33496,14075870325.110327,0.5174556912254642,17.26192427122173
113.0,541648022537.56903,16191502083.001392,0.5173769859198815,17.27710295176861
114.0,628474442139.7615,18628345123.06504,0.5172965517345802,17.29262697369728
115.0,728303940081.8035,21456548708.480515,0.5172144122588093,17.30849258098308
116.0,843323436532.2898,24762483442.150036,0.5171305915471581,17.324695932334546
117.0,976226639730.4011,28649863437.381905,0.517045114113034,17.341233101353936
118.0,1130308050259.8972,33240413235.15626,0.5169580049220198,17.358100076706236
119.0,1309557073970.2317,38674063461.6695,0.516869289385098,17.375292762300553
120.0,1518749302786.638,45108679392.03722,0.5167789933517425,17.392806977485186
121.0,1763532176145.9238,52719345057.127335,0.5166871431028796,17.4106384572572
122.0,2050502499955.1487,61697238653.89987,0.5165937653437248,17.428782852487245
123.0,2387273750748.904,72248178907.34416,0.5164988871964953,17.447235730160628
124.0,2782532056537.55,84591210844.0886,0.5164025361930183,17.465992573632562
125.0,3246082384874.6187,98958196581.68707,0.5163047402672213,17.48504878290153
126.0,3788895885099.313,115595728954.42822,0.5162055277474864,17.504399674906725
127.0,4423175286519.247,134770665355.87564,0.5161049273489176,17.52404048384086
128.0,5162463202289.238,156780250232.80984,0.5160029681655086,17.543966361482703
129.0,6021822411363.602,181967317716.6627,0.5158996796622145,17.564172377550268
130.0,7018118365852.026,210740622207.2855,0.5157950916669303,17.584653520075417
131.0,8170432525771.519,243599906487.69263,0.5156892343623825,17.605404695800644
132.0,9500631358956.24,281164949902.93823,0.5155821382779368,17.62642073059906
133.0,11034108832401.158,324207598444.6073,0.5154738342813402,17.647696369914627
134.0,12800711477941.797,373685595830.96106,0.5153643535703725,17.669226279230326
135.0,14835852056340.266,430776901472.18384,0.515253727664416,17.69100504456445
136.0,17181804022908.787,496913265073.09625,0.5151419883959714,17.713027172990017
137.0,19889164018807.63,573811835047.3705,0.5150291679021087,17.73528709318099
138.0,23018462067749.09,663503697098.6473,0.5149152986158609,17.757779155986064
139.0,26641893092237.164,768358386341.6873,0.514800413257559,17.780497635030876
140.0,30845138497232.883,891103585959.4357,0.5146845448261154,17.8034367273493
141.0,35729246122815.45,1034839430986.8706,0.5145677265902586,17.826590554044778
142.0,41412526153844.07,1203047730052.2812,0.5144499920797322,17.84995316097855
143.0,48032432756117.95,1399598349656.1667,0.514331375076431,17.8735185194948
144.0,55747434369200.66,1628758153041.1394,0.5142119096054988,17.89728052717815
145.0,64738899774586.54,1895211135369.9712,0.5140916299263929,17.921233008642066
146.0,75213096416222.83,2204100464366.5933,0.5139705705239147,17.945369716350978
147.0,87403463884014.03,2561104053449.219,0.5138487660992068,17.969684331476703
148.0,101573394497889.31,2972554914253.811,0.5137262515607198,17.99417046479006
149.0,118019815015562.08,3445616052481.496,0.5136030620151487,18.018821657588216
150.0,137077923758617.42,3988517170461.265,0.5134792327583456,18.04363138265831
151.0,159127421098355.75,4610858095729.157,0.5133547992662133,18.068593045275254
152.0,184600642298593.3,5323979552370.815,0.5132297971855592,18.09369998424337
153.0,213992966428329.34,6141399196997.802,0.5131042623249336,18.118945472974943
154.0,247875822169524.94,7079307827258.351,0.5129782306454506,18.144322720606773
155.0,286912580505934.75,8157117592193.794,0.5128517382515904,18.16982487315655
156.0,331877552432025.4,9398051742190.67,0.5127248213819836,18.195445014719507
157.0,383678231091280.25,10829763594603.8,0.5125975164001793,18.22117616870607
158.0,443380834204043.4,12484971037754.402,0.5124698597853978,18.247011299121002
159.0,512239154990902.1,14402091811283.557,0.5123418881232715,18.272943311883793
160.0,591726436795263.0,16625867181213.525,0.5122136380965718,18.29896505619017
161.0,683570211686760.4,19207960030799.938,0.512085146475917,18.325069325921472
162.0,789789802747056.9,22207526473066.57,0.511956450110472,18.351248861095268
163.0,912736229951659.0,25691775397406.977,0.5118275859186399,18.37749634935936
164.0,1055134444822178.4,29736552589060.664,0.5116985908787417,18.403804427530055
165.0,1220128105694955.0,34427012133862.504,0.5115695020196874,18.43016568317506
166.0,1411327562397062.2,39858463327757.74,0.5114403564116378,18.456572656241345
167.0,1632862348610183.5,46137503098265.734,0.511311191156659,18.48301784072831
168.0,1889440278987154.2,53383560124887.086,0.511182043379369,18.509493686405417
169.0,2186415348311961.2,61730992403272.43,0.5110529502175742,18.535992600575838
170.0,2529868721531197.0,71331865278619.52,0.5109239488129013,18.5625069498888
171.0,2926706780284459.0,82359544937029.7,0.5107950763014231,18.589029062196186
172.0,3384781204083441.5,95013220962899.27,0.5106663698042805,18.615551228455157
173.0,3913036611667112.0,109523450119245.4,0.510537866418298,18.642065704676995
174.0,4521691619885527.0,126158786756476.8,0.5104096032065953,18.668564713922265
175.0,5222459337721670.0,145233534242966.53,0.5102816171891948,18.695040448342212
176.0,6028813436460941.0,167116616485492.88,0.510153945333626,18.721485071266383
177.0,6956305625463489.0,192241538640164.34,0.5100266245455252,18.747890719335526
178.0,8022938195083200.0,221117382473655.47,0.5098996916592292,18.77424950468161
179.0,9249598512156950.0,254340707103351.94,0.5097731834283761,18.80055351715429
180.0,1.0660557790949962e+16,292608255662193.9,0.5096471365165001,18.826794826591915
181.0,1.2284037096954276e+16,336730338747109.56,0.5095215874876271,18.85296548513763
182.0,1.415284252264998e+16,387644803777183.4,0.5093965727968692,18.879057529600423
183.0,1.6305070954377076e+16,446431586726974.1,0.5092721287810201,18.905062983860574
184.0,1.8784888077882136e+16,514327986849365.94,0.5091482916491515,18.930973861319128
185.0,2.1643382593722816e+16,592744993998680.5,0.5090250974732118,18.956782167390834
186.0,2.4939501087239932e+16,683285281256798.8,0.5089025821786203,18.98247990204007
187.0,2.8741069928398144e+16,787763737326418.9,0.5087807815348697,19.00805906235988
188.0,3.31259273947974e+16,908231615504588.0,0.508659731146139,19.033511645192135
189.0,3.818318435712575e+16,1047005801962231.5,0.5085394664419073,19.058829649788525
190.0,4.401464709656415e+16,1206704869092705.0,0.5084200226675718,19.084005080511815
191.0,5.073644509220131e+16,1390293805195097.5,0.5083014348750741,19.10902994957641
192.0,5.848091778240286e+16,1601139458706488.0,0.5081837379135321,19.133896279827496
193.0,6.73988259204623e+16,1843078810831342.5,0.5080669664198821,19.158596107557667
194.0,7.766196968897835e+16,2120502139512516.2,0.5079511548095297,19.183121485360047
195.0,8.94662908722154e+16,2438453268774344.0,0.5078363372669981,19.207464485018306
196.0,1.0303555851028907e+17,2802748654065795.5,0.5077225477366056,19.23161720042986
197.0,1.186257582026005e+17,3220116831875694.0,0.5076098199131571,19.255571750561682
198.0,1.3653028500908138e+17,3698359718701951.0,0.5074981872326436,19.27932028243863
199.0,1.5708606003372813e+17,4246536676989946.5,0.5073876828629575,19.3028549741624
200.0,1.806806888528863e+17,4875171939144877.0,0.5072783396946247,19.326168037959885
201.0,2.0776077898646096e+17,5596485636461368.0,0.5071701903315537,19.34925172325943
202.0,2.3884153112937875e+17,6424648494608990.0,0.5070632670818056,19.37209831979352
203.0,2.7451773638840448e+17,7376060148176462.0,0.5069576019483822,19.39470016072662
204.0,3.1547622972279994e+17,8469652500327929.0,0.5068532266200225,19.417049625808993
205.0,3.625099559691878e+17,9727218829667708.0,0.5067501724620492,19.43913914454809
206.0,4.165337795524933e+17,1.1173772107379914e+16,0.5066484705072369,19.460961199400643
207.0,4.786021564824299e+17,1.283793829557805e+16,0.5065481514467017,19.482508328983673
208.0,5.499288574242616e+17,1.4752392867708156e+16,0.5064492456208219,19.503773131301987
209.0,6.319089783538593e+17,1.6954352343074358e+16,0.506351783010188,19.524748266990237
210.0,7.261435525375062e+17,1.9486136509183144e+16,0.506255793226588,19.545426462567633
211.0,8.344671839163471e+17,2.239582113067204e+16,0.5061613055040273,19.565800513703305
212.0,9.589793106544477e+17,2.573800482032702e+16,0.5060683486897821,19.58586328849125
213.0,1.1020795428421715e+18,2.9574721253392132e+16,0.5059769512354781,19.60560773073468
214.0,1.2665081967243494e+18,3.397652537944074e+16,0.5058871411882475,19.625026863228058
215.0,1.455392997460477e+18,3.902379158503299e+16,0.5057989461819161,19.644113791043754
216.0,1.67230317147754e+18,4.480826308876144e+16,0.5057123934282359,19.662861704819356
217.0,1.9213124192520443e+18,5.1434893633499256e+16,0.5056275097081655,19.681263884042703
218.0,2.2070724628840983e+18,5.902402411369112e+16,0.5055443213632038,19.699313700332333
219.0,2.534899083824836e+18,6.771393715647896e+16,0.5054628542867792,19.717004620710963
220.0,2.9108728229130547e+18,7.766383151294549e+16,0.5053831339156966,19.73433021086944
221.0,3.3419568366897464e+18,8.905725645948853e+16,0.5053051852216345,19.751284138421383
222.0,3.8361336277062825e+18,1.0210605312674678e+17,0.5052290327027023,19.76786017614462
