Time,J,A,S,tau
0.0,100.0,100.0,0.6277638455156117,31.25
1.0,11635.686280653772,1485.3728299802392,0.6288398718491971,31.07405890049432
2.0,44962.73658508305,2840.5778328818997,0.6299396996720813,30.89369233097068
3.0,98897.39376359056,4165.973541797408,0.6310610012465975,30.70915631066449
4.0,172282.02129785717,5461.878664763939,0.6322011654209909,30.520735606028268
5.0,263984.818815565,6728.564397536951,0.6333572693635504,30.328746745598014
6.0,372899.5575723427,7966.252173104691,0.6345260555667627,30.13354009015548
7.0,497945.2109631688,9175.111517424879,0.6357039089542125,29.935501874778723
8.0,638065.6818457809,10355.257787974268,0.6368868336093377,29.735056274919614
9.0,792229.4069275592,11506.750148851514,0.638070430529827,29.532667360833265
10.0,959429.0159777438,12629.58961875275,0.6392498763197172,29.328840956749655
11.0,1138681.0174877017,13723.71720442479,0.6404199023109757,29.124126460192617
12.0,1329025.1905314182,14789.012876024242,0.6415747787391575,28.91911817960357
13.0,1529524.6049781744,15825.293838831916,0.6427082969708372,28.71445688417597
14.0,1739264.7564768093,16832.31485015544,0.6438137625973552,28.51083033190843
15.0,1957353.5135695478,17809.767583374753,0.6448839849669619,28.308974190757677
16.0,2182920.7717117327,18757.28144674483,0.6459112775424303,28.10967197583459
17.0,2415117.944732587,19674.425463400505,0.6468874651068651,27.91375440559211
18.0,2653117.881206869,20560.71032823368,0.6478038945947294,27.722098507100384
19.0,2896114.2519926326,21415.592499703063,0.6486514584784446,27.535625626905016
20.0,3143321.923473428,22238.47797312206,0.649420623241433,27.35529909066959
21.0,3393976.124928187,23028.729164124787,0.6501014725801115,27.182120592277737
22.0,3647333.199363347,23785.670861458002,0.6506837563958864,27.017126203195843
23.0,3902669.760080284,24508.599854374217,0.6511569555814286,26.86138102401699
24.0,4159283.6191700944,25196.793611675665,0.6515103536499532,26.715973402786727
25.0,4416493.269386129,25849.522109850073,0.6517331230219552,26.582007862330077
26.0,4673638.534555529,26466.059812274598,0.6518144196056924,26.460597511216996
27.0,4932792.268574054,29078.855551371656,0.6511319085797727,26.4492064100343
28.0,5269320.2934278175,42829.28408875828,0.649854074334763,26.52158650349286
29.0,5820154.27334985,67533.17636651114,0.6484069241350908,26.610489275823525
30.0,6700848.945573254,101758.16318093419,0.6467850731354711,26.716476283198023
31.0,8004008.2148908945,144145.75006172882,0.6449836557112828,26.840075965754526
32.0,9801404.14968512,193413.4753608773,0.6429983945055349,26.981778535586947
33.0,12146021.599188872,248356.76455714743,0.6408256647522965,27.142031131437008
34.0,15074035.064498,307850.37188847386,0.6384625519828102,27.321233367839316
35.0,18606694.87578694,370849.42963779427,0.6359069023096584,27.519733332145204
36.0,22752133.9413552,436389.9375524428,0.6331573627121251,27.737824201151255
37.0,27507079.07280626,503588.7575897688,0.6302134114190022,27.97574147958866
38.0,32858460.18893087,571643.0706212082,0.6270753772004491,28.233660937232866
39.0,38784926.229276694,639829.2260498503,0.6237444465752968,28.51169732734101
40.0,45258253.36508063,707500.9435603605,0.6202226579386454,28.809903957177113
41.0,52244626.15719321,774087.4019730454,0.6165128889119549,29.128272669379587
42.0,59705856.31045415,839090.0357748796,0.6126188235011761,29.46673523027047
43.0,67600443.62493403,902079.8044427142,0.608544919322794,29.825164667037402
44.0,75884562.59247133,962693.3244264757,0.6042963569839876,30.203377839550384
45.0,84512925.89162679,1020628.9244071076,0.5998789844268276,30.601138454566396
46.0,93439554.43519144,1075642.8389581062,0.5952992587494658,31.018160117969007
47.0,102618446.3501875,1127544.4810472701,0.5905641750690132,31.454110528545513
48.0,112004156.11860918,1176192.1336474644,0.5856811975896231,31.90861545665559
49.0,121552270.91129301,1221488.4468228596,0.5806581868711965,32.3812631289128
50.0,131219822.97331616,1263376.0753171167,0.5755033274672604,32.871608602305294
51.0,140965630.76221573,1301833.1528136334,0.5702250546582208,33.3791783390817
52.0,150750542.95584947,1336869.165676729,0.5648319846296765,33.903474644451094
53.0,160537646.47271562,1368520.7876452976,0.5593328469827855,34.44398004130572
54.0,170292400.2410667,1396848.188910289,0.553736421657169,35.0001613983254
55.0,179982741.37800944,1421931.2863153724,0.5480514800670806,35.571473924404366
56.0,189579095.8460619,1443866.570636962,0.54228673187179,36.157364848739505
57.0,199054481.38971895,1462763.8828112015,0.5364507755660997,36.75727680926904
58.0,208384379.10501042,1478743.838107189,0.5305520566383888,37.370651002353
59.0,217546786.04319236,1491935.2143560657,0.5245988263635497,37.99693005460559
60.0,226522011.42786303,1502472.7285740576,0.5185991171629254,38.635560361388656
61.0,235292785.28539097,1510494.8287827221,0.5125607136750044,39.285994218908385
62.0,243844065.27949396,1516142.4312499282,0.5064911178666588,39.94769219342004
63.0,252162803.5419195,1519557.2386502565,0.5003975529488949,40.6201240052425
64.0,260238007.57394534,1520880.30458734,0.4942869446605792,41.302769970286
65.0,268060634.2139506,1520251.001270461,0.48816589326181825,41.995122849412724
66.0,275623286.12693244,1517806.3844185146,0.4820406915913679,42.69668771307381
67.0,282920208.8472384,1513680.258841718,0.47591732233967504,43.40698254456787
68.0,289947252.63632387,1508002.3139964559,0.46980143507413563,44.12553971216287
69.0,296701573.6016036,1500898.1642848826,0.46369836870027503,44.85190526542801
70.0,303181589.06532586,1492488.8688979652,0.4576131622078054,45.58563878482562
71.0,309386951.6817453,1482890.2939037634,0.45155054034815106,46.32631434451469
72.0,315318340.8447914,1472213.2595424987,0.44551492585956043,47.07352003368753
73.0,320977340.2799404,1460563.7567654066,0.4395104755344489,47.82685645737983
74.0,326366488.02016777,1448042.0206309953,0.4335410485710081,48.585938475062605
75.0,331489010.4524673,1434743.4476997615,0.42761024306970874,49.35039324095086
76.0,336348826.0647533,1420758.3986055602,0.42172141447332423,50.119859623478526
77.0,340950498.19591254,1406171.7837021954,0.41587765457543097,50.89398914056849
78.0,345299061.6601192,1391064.0233232405,0.4100818334121053,51.672443684919294
79.0,349400060.7582067,1375516.8007684886,0.40433660076979006,52.45489598587886
80.0,353259985.4980837,1359922.7055554932,0.3986443959994801,53.24102819658446
81.0,356888960.9946546,1344904.2560358567,0.393007459528968,54.03053178170481
82.0,360301076.1999564,1330984.1489470447,0.3874278461581099,54.82310658301672
83.0,363513493.757177,1318587.8026027917,0.3819074353748589,55.61846012601529
84.0,366545688.85939825,1308061.3348174533,0.3764479426480433,56.41630687794075
85.0,369418891.199815,1299686.2689945742,0.37105092922822197,57.216367512389326
86.0,372155596.4512532,1293692.3932539318,0.36571781313323054,58.018368142480696
87.0,374779213.93977916,1290268.387096088,0.3604498790983125,58.822039558830106
88.0,377313777.81810874,1289570.65476798,0.3552482871682983,59.62711649689336
89.0,379783807.188365,1291731.0653972514,0.3501140813946974,60.43333682318177
90.0,382214205.44819474,1296863.776072507,0.34504820055316393,61.24044068944682
91.0,384629964.68224114,1305070.9572857236,0.3400514884174956,62.04816982046261
92.0,387056358.38534313,1316446.9411380705,0.33512469501722925,62.856266662989476
93.0,389518985.77397954,1331082.8872313653,0.3302684893322749,63.66447347989842
94.0,392043397.6855982,1349070.7376191232,0.32548347157044616,64.47253169836725
95.0,394655584.98184574,1370506.3758235932,0.32077016851735635,65.28018067938041
96.0,397381990.19808644,1395491.7955074452,0.31612905091671484,66.08715724334742
97.0,400249218.00867903,1424139.1904851056,0.3115605383026055,66.89319449788259
98.0,403284738.87595075,1456573.0617579774,0.3070649997347079,67.6980206374831
99.0,406516615.0956563,1492931.330547399,0.3026427682305152,68.50135875916715
100.0,409973658.3405845,1533370.4708897467,0.29829414329510723,69.30292475561647
101.0,413685980.64285636,1578065.9021765508,0.2940193947580259,70.10242682656992
102.0,417684625.27145404,1627214.2477961732,0.2898187752969608,70.89956468906114
103.0,422002295.78105754,1681037.7271557082,0.2856925197732544,71.69402744062911
104.0,426673363.3559323,1739785.6667519065,0.2816408545860476,72.4854928758246
105.0,431734103.6779389,1803737.1358756586,0.2776640031924596,73.27362627418725
106.0,437222966.34445435,1873204.6491489483,0.27376219289659637,74.05807869596272
107.0,443181045.16157365,1948538.3839573096,0.26993565997121877,74.8384851343996
108.0,449652338.9656166,2030128.8871908702,0.2661846557742148,75.61446338937014
109.0,456684027.9303676,2118410.755004232,0.2625094537797723,76.38561247115041
110.0,464327097.9543807,2213868.7518559755,0.2589103554467921,77.15151016796781
111.0,472636694.42340255,2317042.2336443965,0.2553876980979457,77.9117112564717
112.0,481672692.1691837,2428531.0327654453,0.25194186159488907,78.66574530254766
113.0,491500271.97511816,2549001.8264513523,0.24857327607506174,79.41311431596749
114.0,502190574.4036222,2679195.2909011245,0.24528243009529735,80.1532901878427
115.0,513821430.179232,2819934.1170214647,0.24206987934585494,80.88571190647636
116.0,526478178.4186047,2972131.9949140386,0.2389362560815831,81.60978251309837
117.0,540254563.4654994,3136803.4996967968,0.23588227958285296,82.32486576429103
118.0,555253840.9583678,3315076.0857932884,0.2329087669334155,83.03028242397494
119.0,571589861.9924192,3508202.114359059,0.2300166458167587,83.72530631188079
120.0,589388395.656163,3717573.264512381,0.2272069680691325,84.40915985804367
121.0,608788592.8384517,3944736.523616987,0.22448092497201128,85.08100919845805
122.0,629944635.5937785,4191412.11774418,0.22183986441818188,85.73995872521587
123.0,653027597.2970014,4459513.6955979625,0.21928531029825551,86.38504500662353
124.0,678227542.1822293,4751171.036862748,0.21681898452625822,87.01522997597645
125.0,705755906.0243609,5068755.668941809,0.21444283230494687,87.62939323361307
126.0,735848145.1076787,5414909.17892703,0.21215905073653554,88.2263234884174
127.0,768766831.6754448,5792576.770580986,0.20997012281939878,88.8047085467304
128.0,804805046.2365334,6205043.007005224,0.20787885603583767,89.36312416589595
129.0,844290274.8200746,6655973.447152866,0.20588842781657185,89.90002116263209
130.0,887588824.4338207,7149461.569131442,0.20400243903752824,90.41371051961508
131.0,935110836.0559849,7690082.2465977585,0.20222497736406292,90.90234608690751
132.0,987316057.2866176,8282953.181805318,0.20056069348194244,91.36390411600107
133.0,1044720344.241298,8933804.090005495,0.1990148914335551,91.79615950115489
134.0,1107903035.0905266,9649056.013207678,0.19759363715872746,92.19665781154089
135.0,1177515409.953358,10435912.638788598,0.1963038904501009,92.56268190727673
136.0,1254290500.594292,11302466.275907567,0.19515366666442818,92.89121173647924
137.0,1339053654.5110457,12257817.719270242,0.1941522300029241,93.17887774643
138.0,1432736273.5319638,13312226.491964232,0.1933103485288697,93.42189965420053
139.0,1536389847.2729602,14477270.369854297,0.19264058812613807,93.6160185724019
140.0,1651202628.9516299,15766040.901465617,0.19215768997279628,93.7564116135156
141.0,1778520417.7981791,17193385.28394179,0.1918790658819175,93.83758203349956
142.0,1919868803.4829633,18776171.49391068,0.19182539327501136,93.85323237653988
143.0,2076979101.4967086,20533608.920486636,0.1920213830122264,93.79610594571561
144.0,2251821243.699435,22487649.93465757,0.19249681132904012,93.6577802008813
145.0,2446639866.0547085,24663432.708973013,0.19328779719009603,93.42842406260354
146.0,2663996358.7891755,27089803.641910043,0.19443847333337516,93.09649599060872
147.0,2906820821.921536,29799946.939809516,0.19600325748294975,92.64835602389839
148.0,3178469227.6513534,32832025.92606653,0.19804967856674535,92.06782255236119
149.0,3482796186.482602,36229927.3696886,0.20066232921846028,91.33560095502688
150.0,3824228149.581601,40043840.28500837,0.20394770220016437,90.42868442644986
151.0,4207858817.0100017,44330698.98387012,0.20804085497072425,89.31965057686502
152.0,4639532924.499693,49153857.18727446,0.2131131676919205,87.9761168889896
153.0,5125946985.15558,54581632.557967946,0.21938205857434445,86.36044672415049
154.0,5674700183.682111,60683257.25472651,0.2271199350790005,84.43043382431094
155.0,6294316734.456323,67520899.28354572,0.23666030240917912,82.14173251124622
156.0,6994110371.700034,75135236.4879839,0.2483908582778932,79.45378258327516
157.0,7783881555.086125,83524351.43566048,0.26272065936301536,76.34087674612245
158.0,8673487716.01466,92699727.1315009,0.2799992674952338,72.80930894753239
159.0,9674174455.609186,102929945.69434747,0.30038042819576255,68.91676691459816
160.0,10802400327.325926,114838902.53804056,0.3236601951111589,64.78341770515291
161.0,12084198279.103537,129364410.7756719,0.3491872472716009,60.57997544889682
162.0,13558793337.610197,147646551.06051815,0.3759461993926118,56.490041810727135
163.0,15280821895.701597,170899018.17422956,0.40280443251614545,52.66523630875822
164.0,17321189098.54812,200323168.52790326,0.42877950920004193,49.19864966654006
165.0,19767181878.508465,237084581.08692262,0.4531891881873089,46.124923263499625
166.0,22722538261.758503,282332326.62681735,0.47566235013157104,43.436500983835955
167.0,26307864810.36863,337233853.6679733,0.4960703637090319,41.10238668218936
168.0,30661485423.41021,403010405.8714351,0.5144420196105955,39.08221533791947
169.0,35940780610.34674,480967883.17575854,0.5308938027218497,37.33460553538508
170.0,42323942832.746284,572524362.4372616,0.5455825929830109,35.82125179853944
171.0,50012092860.92888,679237450.7444569,0.5586772081717384,34.50847108618911
172.0,59231890305.07466,802832831.2976402,0.570342834891235,33.36742889987486
173.0,70238584788.95801,945236534.7083863,0.5807333947949307,32.37377064709077
174.0,83319556142.8211,1108613370.880272,0.5899884625009105,31.507047170285905
175.0,98798697225.4961,1295410304.1673605,0.5982326903051662,30.750106596490866
176.0,117041352576.76184,1508409463.0581827,0.605576440472714,30.08854307452669
177.0,138460337526.57794,1750787079.183644,0.6121170111902815,29.510216724180633
178.0,163522906248.1124,2026180060.0427032,0.6179400213698916,29.004856702682368
179.0,192758867348.69595,2338752197.888474,0.6231208142870535,28.563731881520713
180.0,226769894408.935,2693248812.6774096,0.6277257546528915,28.179383971121222
181.0,266239583741.39856,3095015310.9961925,0.6318133890917644,27.845411185128544
182.0,311943425708.47437,3549930375.841779,0.6354354758514362,27.556291370384088
183.0,364756926125.24005,4064177633.842689,0.6386378734950251,27.30723885317016
184.0,425658776316.34467,4643750714.540959,0.6414613097889073,27.094087338956793
185.0,495724364181.8147,5293870832.78023,0.6439420412393115,26.913194129965945
186.0,576121349514.6228,6020744658.737631,0.6461124199904609,26.761361231082144
187.0,668156828101.9429,6836184951.085011,0.6480013809327603,26.635770093749862
188.0,773397584782.0978,7761339029.3778,0.6496348593050557,26.533927541448236
189.0,893837549877.1719,8828127852.38827,0.6510361509534988,26.453620566448258
