Time,J,A,S,tau
0.0,100.0,100.0,0.931459433325456,10.0
1.0,169925141.92375806,160606.4625479358,0.9153097175843742,9.456710323198065
2.0,587436783.3016988,294818.46715999587,0.89823756532044,8.888283281087764
3.0,1137467291.1311631,405271.96787230286,0.8802434489317692,8.294443105174064
4.0,1733560095.8808298,494403.83739957196,0.8613330321441011,7.674917301576461
5.0,2314252766.182862,564535.5733619628,0.841517723684752,7.029440466192478
6.0,2838977569.7290773,617860.7201998129,0.8208150861091377,6.357754748125909
7.0,26392691196.627094,102257146.46716449,0.8114351943548851,6.130532241255896
8.0,202000416278.81253,416077696.8193168,0.8051210853302645,6.029386896613365
9.0,552696120576.3065,794693704.3271708,0.7986717855775188,5.930648551579181
10.0,1004390738863.3119,1141433595.1133468,0.7920898540234635,5.834277831027128
11.0,1468820025483.233,1405015935.872573,0.7853782088510098,5.7402352690396
12.0,1880058603375.5793,1688154736.825832,0.7785401312276617,5.6484813707248005
13.0,6415289878679.102,57613747636.71555,0.7715792674623443,5.55897667263102
14.0,34794118531990.98,250709565300.08643,0.7644996292829638,5.471681799901618
15.0,93677471700832.06,518798887072.8144,0.7573055926192792,5.386557522198549
16.0,169313923367614.25,768892348769.3657,0.7500018944137079,5.303564806022413
17.0,243026732121712.62,939804281742.9144,0.7425936275677503,5.222664865274383
18.0,326392559298025.44,2888557530318.2305,0.7350862337248252,5.1438192169649595
19.0,842420470125241.9,20603922728497.504,0.7274854917059369,5.066989788761378
20.0,2385089849428236.0,57303927079056.46,0.7197974879530021,4.992139394075121
21.0,4741225436169018.0,97954460824685.39,0.7120284747839264,4.919234617162018
22.0,7183507480382631.0,127328006738746.95,0.7041839961857629,4.848264083545691
23.0,9217843883916068.0,183590537249824.3,0.6962632836121404,4.779352611619864
24.0,1.2959868232266784e+16,665981330277486.8,0.6882238700352626,4.713457378564477
25.0,2.25094231872853e+16,1753335026168233.0,0.6797660547208684,4.656461899735064
26.0,3.665049925364164e+16,2891917542029894.5,0.6691498540503787,4.640953524678248
27.0,4.991448557533913e+16,3364097888909671.5,0.649062005634855,4.801435103528081
28.0,5.7829944828062e+16,2948056974335056.0,0.6083396450257432,5.354431636668848
29.0,5.9730619159675416e+16,2182329075238661.2,0.5533801134396896,6.223088979173293
30.0,5.758580694889279e+16,1508799751911649.5,0.4969498988178411,7.195358866197595
31.0,5.340098018651799e+16,1016467201242526.8,0.44349640484455244,8.189929367973486
32.0,4.841176230374464e+16,675304898675513.0,0.39387574569668055,9.188861123337796
33.0,4.326907484971986e+16,443764762182752.8,0.3481793732307392,10.188646261736492
34.0,3.8294285256810024e+16,288672223336274.7,0.3063408006450538,11.188569339514446
35.0,3.3636941851553816e+16,185928186233687.78,0.26824308033538674,12.188492966563802
36.0,2.9359060113790604e+16,118566776474474.6,0.2337408749989611,13.188416593688107
37.0,2.54783774380366e+16,74861093843471.66,0.20266820990585574,14.18834022088736
38.0,2.199022143788634e+16,46798651994637.836,0.17484201578046016,15.188263848161561
39.0,1.8878502014135412e+16,28967935291176.906,0.150065809950341,16.188187475510713
40.0,1.612129149496858e+16,17756295487308.258,0.1281334294341538,17.1881111029348
41.0,1.3693736136629966e+16,10779574342439.107,0.10883269236919561,18.188034730433845
42.0,1.1569664619198896e+16,6482836500106.482,0.09194895089876756,19.187958358007823
43.0,9722547145762452.0,3863563221034.4277,0.0772683855160193,20.187881985656748
44.0,8126126007264923.0,2282864488305.8076,0.06458101002092599,21.187805613380615
45.0,6754864038589945.0,1338260241662.759,0.05368331487817087,22.187729241179426
46.0,5584279858729777.0,779098078973.3145,0.044380513287829264,23.187652869053178
47.0,4591201778239826.0,451057189327.9509,0.036488371058412905,24.18757649700186
48.0,3753953204563248.5,260185319605.50327,0.02983459646233709,25.18750012502548
49.0,3052481558839118.0,149924582517.6679,0.024259828083430208,26.187423753124044
50.0,2468433360151937.5,86596551661.82372,0.019618215733890536,27.187347381297542
51.0,1985183002491670.0,50359762728.940506,0.015777642579278224,28.18727100954598
52.0,1587820377141945.2,29643865890.80083,0.0126196242263272,29.187194637869354
