Time,J,A,S,tau
0,100,100,0.862990352,2.092050209
1,691.2340823,445.2396386,0.839351119,2.019212843
2,2355.013117,752.2108637,0.818026238,1.950665101
3,4962.51025,1525.248784,0.81903343,1.951903182
4,10642.12522,3160.473143,0.820047541,1.953216393
5,21886.50539,6053.393351,0.821067955,1.954606506
6,43905.16263,12347.20709,0.822094067,1.956075226
7,89007.75108,24536.70109,0.823125279,1.957624185
8,178660.9697,49050.0322,0.824161008,1.959254944
9,359656.6467,98619.048,0.82520068,1.960968983
10,724745.3925,197480.68,0.826243735,1.962767709
11,1460278.428,397137.582,0.827289623,1.964652445
12,2947999.086,798800.7857,0.828337807,1.966624432
13,5955834.118,1608356.809,0.829387763,1.968684826
14,12046783.09,3243335.092,0.830438982,1.970834698
15,24395491.53,6545509.465,0.831490964,1.97307503
16,49452121.34,13225675.13,0.832543227,1.975406717
17,100354471.9,26750812.92,0.833595298,1.977830563
18,203857681.3,54160487.13,0.83464672,1.98034728
19,414520632.1,109765508.5,0.83569705,1.982957492
20,843690443.3,222665739.6,0.836745857,1.985661726
21,1718770075,452104620.1,0.837792724,1.988460421
22,3504589198,918769255.3,0.838837247,1.991353919
23,7151943053,1868695809,0.839879038,1.994342472
24,14607019478,3803832421,0.840917718,1.997426238
25,29856111698,7748853812,0.841952924,2.00060528
26,61069065405,15796851998,0.842984306,2.003879572
27,1.24999E+11,32225804521,0.844011526,2.007248992
28,2.56021E+11,65783907400,0.845034259,2.010713329
29,5.24693E+11,1.3437E+11,0.846052192,2.014272278
30,1.07592E+12,2.74618E+11,0.847065023,2.017925445
31,2.20738E+12,5.61549E+11,0.848072466,2.021672347
32,4.53088E+12,1.14883E+12,0.849074242,2.02551241
33,9.30411E+12,2.35136E+12,0.850070087,2.029444972
34,1.91133E+13,4.81456E+12,0.851059746,2.033469287
35,3.92775E+13,9.86165E+12,0.852042976,2.037584521
36,8.07386E+13,2.0206E+13,0.853019545,2.041789754
37,1.66008E+14,4.14121E+13,0.853989229,2.046083985
38,3.41402E+14,8.48937E+13,0.854951817,2.050466131
39,7.02221E+14,1.74062E+14,0.855907106,2.054935027
40,1.44455E+15,3.56939E+14,0.856854903,2.059489428
41,2.97183E+15,7.32027E+14,0.857795025,2.064128013
42,6.11402E+15,1.50136E+15,0.858727296,2.068849384
43,1.26E+16,3.07927E+15,0.85965155,2.073652068
44,2.59E+16,6.31536E+15,0.86056763,2.078534517
45,5.32E+16,1.30E+16,0.861475385,2.083495113
46,1.09E+17,2.66E+16,0.862374674,2.088532167
47,2.25E+17,5.44E+16,0.863265361,2.093643922
48,4.63E+17,1.12E+17,0.864147319,2.098828551
49,9.51E+17,2.29E+17,0.865020427,2.104084164
50,1.95E+18,4.69E+17,0.865884573,2.109408807
51,4.01E+18,9.60E+17,0.866739647,2.11480046
52,8.24E+18,1.96E+18,0.86758555,2.120257046
53,1.69E+19,4.02E+18,0.868422185,2.125776427
54,3.47E+19,8.23E+18,0.869249464,2.131356404
55,7.11E+19,1.68E+19,0.870067302,2.136994726
56,1.46E+20,3.44E+19,0.87087562,2.142689084
57,2.98E+20,7.02E+19,0.871674345,2.148437116
58,6.11E+20,1.43E+20,0.872463408,2.154236408
59,1.25E+21,2.92E+20,0.873242744,2.160084495
60,2.55E+21,5.96E+20,0.874012294,2.165978862
61,5.21E+21,1.21E+21,0.874772003,2.171916945
62,1.06E+22,2.47E+21,0.875521818,2.177896136
63,2.17E+22,5.03E+21,0.876261694,2.183913779
64,4.42E+22,1.02E+22,0.876991586,2.189967174
65,9.00E+22,2.08E+22,0.877711454,2.196053579
66,1.83E+23,4.22E+22,0.878421261,2.202170209
67,3.72E+23,8.55E+22,0.879120976,2.208314238
68,7.55E+23,1.73E+23,0.879810568,2.214482801
69,1.53E+24,3.51E+23,0.880490011,2.220672995
70,3.10E+24,7.10E+23,0.88115928,2.22688188
71,6.28E+24,1.43E+24,0.881818355,2.233106478
72,1.27E+25,2.89E+24,0.882467218,2.239343777
73,2.57E+25,5.84E+24,0.883105853,2.245590732
74,5.18E+25,1.18E+25,0.883734248,2.251844263
75,1.04E+26,2.37E+25,0.884352392,2.25810126
76,2.10E+26,4.76E+25,0.884960278,2.264358581
77,4.23E+26,9.56E+25,0.885557899,2.270613054
78,8.51E+26,1.92E+26,0.886145252,2.27686148
79,1.71E+27,3.84E+26,0.886722335,2.283100632
80,3.42E+27,7.70E+26,0.88728915,2.289327255
81,6.86E+27,1.54E+27,0.887845699,2.295538071
82,1.37E+28,3.08E+27,0.888391986,2.301729777
83,2.74E+28,6.14E+27,0.888928017,2.307899048
84,5.47E+28,1.22E+28,0.889453802,2.314042536
85,1.09E+29,2.44E+28,0.889969348,2.320156875
86,2.17E+29,4.84E+28,0.890474669,2.326238679
87,4.32E+29,9.62E+28,0.890969776,2.332284545
88,8.59E+29,1.91E+29,0.891454684,2.338291056
89,1.70E+30,3.79E+29,0.89192941,2.344254777
90,3.38E+30,7.50E+29,0.892393969,2.350172266
91,6.69E+30,1.48E+30,0.89284838,2.356040067
92,1.32E+31,2.93E+30,0.893292664,2.361854716
93,2.61E+31,5.78E+30,0.893726841,2.367612743
94,5.15E+31,1.14E+31,0.894150933,2.373310673
95,1.02E+32,2.24E+31,0.894564963,2.378945031
96,2.00E+32,4.42E+31,0.894968955,2.384512338
97,3.93E+32,8.68E+31,0.895362934,2.390009121
98,7.73E+32,1.70E+32,0.895746925,2.395431912
99,1.52E+33,3.34E+32,0.896120955,2.400777248
100,2.97E+33,6.54E+32,0.896485051,2.406041681
101,5.82E+33,1.28E+33,0.89683924,2.411221773
102,1.14E+34,2.50E+33,0.897183552,2.416314104
103,2.22E+34,4.89E+33,0.897518014,2.421315275
104,4.34E+34,9.53E+33,0.897842657,2.42622191
105,8.47E+34,1.86E+34,0.898157509,2.431030659
106,1.65E+35,3.62E+34,0.8984626,2.435738203
107,3.21E+35,7.04E+34,0.898757961,2.440341257
108,6.25E+35,1.37E+35,0.899043621,2.444836574
109,1.21E+36,2.66E+35,0.899319611,2.449220948
110,2.36E+36,5.16E+35,0.89958596,2.45349122
111,4.57E+36,9.99E+35,0.899842698,2.457644281
