Time,J,A,S,tau
0.0,100.0,100.0,0.5775961119100297,31.25
1.0,2650.48673486485,882.2758535000336,0.5749811558863814,30.86583015096476
2.0,10232.372936767233,1613.0237295500763,0.5723780184872305,30.481657853269944
3.0,22368.95077881092,2295.380644535167,0.569788172458208,30.0975728110097
4.0,38620.97777387355,2932.3111174153983,0.5672130408817783,29.71366235172743
5.0,58584.12178682435,3526.612160744899,0.5646540155049857,29.330013946753166
6.0,81886.57266913282,4080.921747062886,0.5621124549007996,28.946715282070112
7.0,108186.76459436286,4597.727118109168,0.5595896827569055,28.56385432778238
8.0,137171.31264295394,5079.372333979078,0.5570869862483399,28.181519406223696
9.0,168552.99949229055,5528.06592701194,0.5546056145731257,27.79979925751124
10.0,202068.93902212128,5945.887944345159,0.5521467775596582,27.418783103129652
11.0,237478.7865667272,6334.797063352414,0.5497116444282243,27.038560706228647
12.0,274563.2216439736,6696.636476158904,0.5473013427052223,26.65922242813826
13.0,313122.3017313377,7033.140812119917,0.5449169570787654,26.280859283957078
14.0,352974.21038517245,7345.941062855954,0.5425595286350022,25.903562990358317
15.0,393953.7738048584,7636.571101794201,0.5402300541124901,25.527426010188734
16.0,435911.11725120735,7906.473609076999,0.5379294850962456,25.15254159566847
17.0,478710.88877568877,8157.002960028107,0.5356587275177068,24.77900382392706
18.0,522230.8971540886,8389.431683590661,0.5334186413582063,24.406907624956858
19.0,566360.9773552681,8604.955737509967,0.5312100401203615,24.036348810690736
20.0,611002.2629464377,8804.697683418588,0.5290336908551296,23.66742409019853
21.0,656066.3317172556,8989.710718642753,0.5268903141433129,23.300231081635236
22.0,701475.3212565866,9160.97699061677,0.5247805827961091,22.93486834616961
23.0,747109.6613566637,9339.98606565454,0.5234395971565652,22.690324355737154
24.0,796281.2220163904,11287.625874836203,0.5237284351727585,22.706780804783627
25.0,864735.7391854594,15605.533212862272,0.524041127956173,22.724759280745555
26.0,968344.795224614,21986.269069854818,0.5243772256337815,22.74427412118383
27.0,1120694.3867533193,30154.172029280046,0.5247362521071853,22.76534079156848
28.0,1333346.7569108217,39862.448497321326,0.5251177062868305,22.787975825587054
29.0,1616075.492137443,50890.50711759729,0.5255210633871837,22.812196763199346
30.0,1977076.4685840877,63041.52441960255,0.5259457762683096,22.838022087081463
31.0,2423158.1830854183,76140.20422333336,0.5263912768376885,22.865471156895758
32.0,2959909.7329341616,90030.75763797031,0.5268569774710616,22.894564142902983
33.0,3591854.5311684534,104575.0256348374,0.5273422724935013,22.925321957555774
34.0,4322585.35187787,119650.77881793908,0.527846539686489,22.957766185984653
35.0,5154885.112446611,135150.19456677514,0.5283691417777224,22.991919017656173
36.0,6090837.961178723,150978.37931892945,0.5289094280542666,23.027803173148314
37.0,7131921.5721977,167052.15975652816,0.52946673583626,23.0654418365372
38.0,8279095.203104084,183298.8616467222,0.5300403920870519,23.104858582470325
39.0,9532875.646364776,199655.24343601815,0.5306297149729069,23.146077305475828
40.0,10893403.899129147,216066.53870934274,0.5312340154050074,23.189122150125897
41.0,12360504.631806122,232485.5715026684,0.5318525985815011,23.234017440978455
42.0,13933738.756481448,248871.96301595867,0.5324847655116631,23.280787613285934
43.0,15612449.157460107,265191.4088891931,0.5331298145284159,23.329457144258498
44.0,17395798.37631776,281415.0013126189,0.5337870427814785,23.380050486287743
45.0,19282806.50550972,297518.5712942784,0.5344557475732187,23.43259200614028
46.0,21272409.29709984,313482.3495971787,0.5351352279587569,23.487105896773866
47.0,23363462.061028536,329675.45188707946,0.5358247858458077,23.543616156102352
48.0,25570371.70024946,351381.8474084924,0.5365237275126512,23.602146494969098
49.0,27963080.145020716,385901.8180023374,0.5372313647613669,23.662720286376054
50.0,30668542.768844422,439291.1883408547,0.5379470161410536,23.72536050862089
51.0,33860836.518492155,516498.3946178844,0.5386700080903188,23.79008969037255
52.0,37752498.61081736,621512.5887500303,0.5393996760170332,23.856929858039326
53.0,42587028.31060892,757494.1627076085,0.5401353653152131,23.925902485429898
54.0,48632379.07665379,926889.9209141042,0.5408764323153684,23.997028445815143
55.0,56175318.71896986,1131534.4788691995,0.5416222451683066,24.070327966353748
56.0,65516595.873184636,1372739.3549604798,0.5423721846575622,24.14582058519145
57.0,76966730.23339574,1651371.3204121897,0.5431256449429869,24.223525110959763
58.0,90842439.05331582,1967920.7552525736,0.543882034242071,24.30345958443454
59.0,107463580.24047631,2322561.816519235,0.5446407754201823,24.385641243874172
60.0,127150521.56896774,2715204.5063114692,0.545401306539789,24.47008649128137
61.0,150221906.60815713,3145540.4982443373,0.5461630813162575,24.55681086251556
62.0,176992801.2619145,3613082.5538705047,0.5469255695118144,24.645828999580733
63.0,207773081.77895078,4117198.8421221813,0.5476882572732104,24.737154624725783
64.0,242866136.2676979,4657142.515642689,0.5484506473897246,24.830800517784176
65.0,282567735.7416304,5232077.361495924,0.5492122594762299,24.92677849651035
66.0,327165026.7757129,5841099.734971187,0.5499726301658495,25.02509939508399
67.0,376936096.06316024,6483256.372884594,0.5507313130972552,25.125773053476717
68.0,432148876.66261595,7157561.692197039,0.551487879048212,25.228808296797812
69.0,493060984.8698024,7863010.28220226,0.552241915780384,25.3342129309151
70.0,559919448.5447493,8598587.429621948,0.5529930280522403,25.441993726809923
71.0,632959939.339564,9363280.186955113,0.5537408374527627,25.552156414633746
72.0,712406888.502262,10156066.657680571,0.5544849822300439,25.664705677242907
73.0,798473154.8878484,10976884.198278686,0.5552251170871543,25.779645144913584
74.0,891402997.6665475,11837669.462808225,0.5559609127917808,25.8969774007566
75.0,991632311.2268442,12770498.197774868,0.5566920560551293,26.016703968461133
76.0,1099973523.972612,13824285.763067748,0.5574182491185496,26.138825317975567
77.0,1217763252.9870603,15061211.275464496,0.558139209410191,26.2633408661401
78.0,1346976952.6533992,16553648.16744908,0.5588546691534213,26.39024897985801
79.0,1490313663.0429347,18381560.66214271,0.5595643749599406,26.519546979964318
80.0,1651255707.9832046,20630299.38458844,0.5602680874095566,26.651231145563536
81.0,1834106254.355993,23388732.83258454,0.5609655805904099,26.785296720900792
82.0,2044009622.3168187,26747686.30986497,0.5616566416516888,26.921737921019847
83.0,2286953465.049323,30798638.667142503,0.5623410703246323,27.06054793977309
84.0,2569759693.178272,35632639.20833986,0.5630186784431758,27.20171895768207
85.0,2900062322.271042,41339423.27956093,0.563689289464341,27.34524214993619
86.0,3286276710.4543805,48006688.790446505,0.564352737973245,27.4911076956935
87.0,3737560623.9536414,55719517.40263408,0.5650088691932555,27.639304787240086
88.0,4263769664.692568,64559914.70453032,0.5656575384967458,27.78982163936958
89.0,4875406014.2978,74606458.34707233,0.5662986109230563,27.942645498611036
90.0,5583563419.233462,85934033.99247777,0.566931960696351,28.097762652991857
91.0,6399871576.767587,98613637.27582087,0.5675574707514698,28.2551584415131
92.0,7336433120.069127,112712256.44434856,0.5681750322719108,28.414817263572996
93.0,8405766817.419721,128292781.94026862,0.5687845442329,28.57672258820429
94.0,9620739017.047422,145413994.81526417,0.5693859129682786,28.740856962475693
95.0,10994509504.747366,164130545.62272322,0.569979051734049,28.90720202036253
96.0,12540464688.96374,184493004.41342634,0.5705638802995238,29.075738490649435
97.0,14272156703.883898,206547923.03913772,0.5711403245430579,29.246446205566162
98.0,16203242806.653591,230337900.27756178,0.5717083160932678,29.419304104253555
99.0,18347434639.481476,255901677.21594664,0.5722677919256127,29.594290244918962
100.0,20718429015.296432,283274247.80322397,0.572818694067824,29.77138180300254
101.0,23329863483.577335,312486977.7978478,0.5733609692260511,29.950555083551077
102.0,26195266954.55152,343567677.39589256,0.573894568504425,30.131785520082865
103.0,29327997465.43986,376540729.3818393,0.5744194471234169,30.31504767739466
104.0,32741219006.52593,411434987.4076521,0.5749355641308668,30.50031525768216
105.0,36448039630.48442,448316290.0417852,0.5754428821719875,30.68756109840434
106.0,40462022550.41542,487325499.3806681,0.5759413672528468,30.876757173950423
107.0,44798022292.90831,528708704.40985143,0.5764309885388446,31.067874593310307
108.0,49473237264.06921,572840122.7127416,0.5769117181762257,31.260883598045137
109.0,54508485534.36442,620238028.7287083,0.5773835311096447,31.455753559064103
110.0,59929464575.19407,671575503.996808,0.5778464049429599,31.652452974913952
111.0,65768165580.550674,727687814.5600954,0.5783003198242721,31.850949460273867
112.0,72064181227.89584,789574118.1083934,0.5787452583235755,32.05120974454617
113.0,78866054998.8716,858398007.8977201,0.5791812053585059,32.253199658483595
114.0,86232454941.53345,935483708.5565375,0.579608148113061,32.45688412962328
115.0,94233347569.45096,1022312156.2186564,0.5800260760007225,32.6622271657895
116.0,102951019060.43654,1120513256.1773515,0.5804349806144038,32.869191847579856
117.0,112480912984.00522,1231859009.0732837,0.5808348557241405,33.07774031127149
118.0,122932501510.71054,1358253882.9178798,0.5812256972657776,33.28783373474257
119.0,134429762480.46664,1501725636.81962,0.5816075033594816,33.49943232241469
120.0,147111825945.30542,1664415219.0607774,0.5819802743417097,33.71249528357454
121.0,161133205027.8468,1848566005.192156,0.5823440127984072,33.926980818608534
122.0,176664067762.36972,2056514004.5230973,0.5826987236353036,34.14284609229866
123.0,193890386881.681,2290676366.2876053,0.5830444141295777,34.36004721745289
124.0,213013775178.20105,2553542008.6249166,0.5833810940231491,34.57853922794129
125.0,234251586946.59128,2847660413.862378,0.5837087756028524,34.798276055443736
126.0,257836432453.5202,3175632477.1685715,0.5840274738011227,35.01921050544326
