Time,J,A,S,tau
0,100,100,0.822802806,2.247191011
1,751.0483687,440.4339528,0.821021193,2.229600031
2,2551.399736,756.6777084,0.819303932,2.211919824
3,5310.150203,1348.623753,0.819060144,2.208088507
4,10804.47271,2879.11841,0.819193173,2.207943422
5,22153.93856,5338.528003,0.819325389,2.207834449
6,42931.70121,10304.13349,0.819456653,2.207763039
7,84071.03882,20430.42224,0.819586823,2.207730595
8,165116.5939,39211.60738,0.819715767,2.207738474
9,321251.0249,76366.05781,0.819843352,2.207787981
10,628131.9101,149319.351,0.819969451,2.207880372
11,1229179.736,290198.7172,0.820093939,2.208016847
12,2403095.12,566746.1759,0.820216698,2.208198555
13,4708179.396,1107806.016,0.820337611,2.208426586
14,9231159.862,2164509.552,0.820456567,2.208701978
15,18110240.54,4237457.942,0.820573458,2.209025706
16,35572974.54,8301787.31,0.820688181,2.209398692
17,69930837.15,16275352.33,0.820800637,2.209821796
18,137587844.8,31943522.43,0.820910732,2.21029582
19,270953494.7,62745126.23,0.821018376,2.210821503
20,534023910.6,123348247.6,0.821123483,2.211399528
21,1053364477,242700365.2,0.821225972,2.212030514
22,2079437357,477911737.1,0.821325766,2.212715023
23,4108101823,941812235.5,0.821422793,2.213453552
24,8121889809,1857442936,0.821516984,2.214246543
25,16068764657,3665911356,0.821608277,2.215094372
26,31812876821,7240283784,0.821696611,2.215997361
27,63024152611,14309522828,0.821781931,2.216955767
28,1.24934E+11,28299367640,0.821864188,2.217969793
29,2.47807E+11,56001389207,0.821943334,2.219039581
30,4.91801E+11,1.10886E+11,0.822019327,2.220165215
31,9.76552E+11,2.19686E+11,0.822092129,2.221346724
32,1.94007E+12,4.35469E+11,0.822161704,2.222584079
33,3.85604E+12,8.63636E+11,0.822228024,2.223877196
34,7.6675E+12,1.71359E+12,0.822291061,2.225225937
35,1.52524E+13,3.40153E+12,0.822350792,2.226630111
36,3.03516E+13,6.75485E+12,0.822407199,2.228089473
37,6.04184E+13,1.3419E+13,0.822460266,2.229603727
38,1.20305E+14,2.66668E+13,0.82250998,2.231172527
39,2.39615E+14,5.30095E+13,0.822556334,2.232795477
40,4.77356E+14,1.05403E+14,0.822599322,2.234472131
41,9.5116E+14,2.09632E+14,0.822638942,2.236202
42,1.89554E+15,4.17014E+14,0.822675195,2.237984543
43,3.77803E+15,8.2969E+14,0.822708086,2.239819179
44,7.53069E+15,1.65097E+15,0.822737621,2.241705279
45,1.50E+16,3.28554E+15,0.822763811,2.243642174
46,2.99E+16,6.53887E+15,0.822786668,2.245629151
47,5.97E+16,1.30E+16,0.822806209,2.247665457
48,1.19E+17,2.59E+16,0.822822451,2.249750299
49,2.37E+17,5.15E+16,0.822835415,2.251882845
50,4.72E+17,1.03E+17,0.822845124,2.254062226
51,9.41E+17,2.04E+17,0.822851605,2.256287534
52,1.87E+18,4.06E+17,0.822854883,2.258557827
53,3.73E+18,8.08E+17,0.822854991,2.260872127
54,7.43E+18,1.61E+18,0.822851959,2.263229423
55,1.48E+19,3.19E+18,0.822845823,2.265628668
56,2.95E+19,6.35E+18,0.822836619,2.268068784
57,5.86E+19,1.26E+19,0.822824385,2.270548662
58,1.17E+20,2.51E+19,0.822809161,2.273067158
59,2.32E+20,4.98E+19,0.82279099,2.275623102
60,4.60E+20,9.88E+19,0.822769917,2.278215289
61,9.14E+20,1.96E+20,0.822745986,2.280842488
62,1.81E+21,3.89E+20,0.822719245,2.283503437
63,3.60E+21,7.71E+20,0.822689744,2.286196846
64,7.13E+21,1.53E+21,0.822657535,2.288921395
65,1.41E+22,3.02E+21,0.822622669,2.291675738
66,2.80E+22,5.99E+21,0.822585202,2.294458499
67,5.54E+22,1.18E+22,0.822545189,2.297268277
68,1.10E+23,2.34E+22,0.822502689,2.30010364
69,2.17E+23,4.62E+22,0.822457761,2.302963133
70,4.28E+23,9.13E+22,0.822410466,2.305845269
71,8.44E+23,1.80E+23,0.822360866,2.308748538
72,1.66E+24,3.55E+23,0.822309027,2.311671401
73,3.28E+24,7.00E+23,0.822255014,2.314612293
74,6.46E+24,1.38E+24,0.822198894,2.31756962
75,1.27E+25,2.71E+24,0.822140738,2.320541765
76,2.50E+25,5.33E+24,0.822080616,2.323527079
77,4.91E+25,1.05E+25,0.8220186,2.326523891
78,9.63E+25,2.05E+25,0.821954766,2.3295305
79,1.89E+26,4.02E+25,0.821889189,2.332545179
80,3.70E+26,7.88E+25,0.821821946,2.335566175
81,7.24E+26,1.54E+26,0.821753117,2.338591707
82,1.42E+27,3.02E+26,0.821682783,2.341619969
83,2.77E+27,5.90E+26,0.821611027,2.344649127
84,5.40E+27,1.15E+27,0.821537934,2.347677322
85,1.05E+28,2.25E+27,0.821463588,2.350702669
