Time,J,A,S,tau
0.0,100.0,100.0,0.9639140432183335,10.0
1.0,169.58638622196443,139.69189063506596,0.9619044108475566,9.776025054716746
2.0,266.40597692950973,178.0034426264975,0.960122056789869,9.57030084287818
3.0,384.922703150081,214.9902664993596,0.958554347739625,9.382773943731722
4.0,520.1870326596476,250.70599913447927,0.9571890476089363,9.213389981151076
5.0,667.8036534716451,285.20074536079187,0.9560144067135687,9.06210955115267
6.0,823.9009699109489,318.5211375314269,0.9550191248155913,8.928911584315731
7.0,985.0993956291703,350.71037267042425,0.954192313962099,8.813797143617215
8.0,1148.4791739362743,381.8082223093138,0.9535234611736215,8.716793729011654
9.0,1296.627493363801,428.0730383773803,0.9536121135535939,8.705829516083407
10.0,1416.0185465135244,519.256824400579,0.9549149241338141,8.836368722984465
11.0,1541.6438741941615,627.3629873038514,0.956175146058822,8.970758496625335
12.0,1676.7968053301267,748.6282184121438,0.957392330408617,9.109347827410815
13.0,1822.264956903377,879.6803264344375,0.9585659397511568,9.252545404526442
14.0,1977.1210982077143,1017.5158293147534,0.9596953346665001,9.400829104674292
15.0,2139.3531327693618,1159.477090508458,0.9607797606280902,9.554756458010543
16.0,2306.3521711437074,1303.2296803693541,0.9618183355495774,9.7149760985005
17.0,2475.2808128075912,1446.7400147544033,0.9628100387326034,9.882240037550856
18.0,2643.340408770482,1588.2532245745622,0.9637537021864014,10.057416349475895
19.0,2807.8585191583684,1726.3692917127262,0.9646480054624772,10.241502009383558
20.0,2957.837766315104,1869.1724340277233,0.9654914750274485,10.435634826948657
21.0,3086.1777736406884,2022.9092514791998,0.9662824898713781,10.641103996938138
22.0,3192.829969419351,2187.0759310049784,0.9670192968487907,10.859359068022986
23.0,3278.754616800777,2360.017842293072,0.9677000343176929,11.092010871981232
24.0,3345.5192965203114,2539.323453842744,0.9683227689068313,11.340831489984337
25.0,3395.0263487398583,2722.164707127162,0.9688855468906314,11.60774195694189
26.0,3429.344287843085,2905.557507665828,0.9693864587808939,11.894792045816223
27.0,3450.594727445975,3086.56645298146,0.9698237217206047,12.204128087370751
28.0,3460.8736808777376,3262.4564152169114,0.970195772548154,12.537947035697359
29.0,3462.1937048278223,3430.8013502067215,0.9705013724513717,12.898438435197354
30.0,3456.4388687563023,3589.5556838373277,0.9707397190067668,13.287713813847775
31.0,3445.330477432603,3737.091493594136,0.9709105521972193,13.707727992383582
32.0,3430.401631873602,3872.210262951269,0.9710142487054365,14.160196755294042
33.0,3412.979714118742,3994.134186576408,0.9710519007328917,14.646515142023357
34.0,3394.1805002312503,4102.4763738454,0.9710253585125677,15.167686607819189
35.0,3374.8791367319586,4197.230448577221,0.9709372356362477,15.724270375932539
36.0,3355.6358886304683,4278.806983977431,0.9707908783904295,16.31634608885712
37.0,3336.8707409033464,4347.819852331468,0.970590284986671,16.943513808262853
38.0,3318.919341529563,4404.994490393453,0.9703400047217805,17.604910976044277
39.0,3302.0293584372102,4451.1417938218665,0.9700449970951891,18.299254813760914
40.0,3286.3645830791775,4487.130321847889,0.9697104758263817,19.02491407022862
41.0,3272.0128024629125,4513.86121863662,0.9693417610151773,19.779984170304505
42.0,3258.996989034771,4532.244395024247,0.9689441380349464,20.562366765908624
43.0,3247.288686930581,4543.175610690788,0.9685227248365607,21.369850519609052
44.0,3236.822761823412,4547.517685179354,0.9680823661787062,22.200187187718594
45.0,3227.5098126951866,4546.0868329993045,0.9676275602393162,23.051154315661762
46.0,3219.246411484007,4539.642920582086,0.9671624079685656,23.920604257910377
47.0,3211.9234629605353,4528.8829106129215,0.9666905817204724,24.806502529447084
48.0,3205.432724470535,4514.437117503009,0.966215310647192,25.70695602987119
49.0,3199.6711253661097,4496.8702236597355,0.9657393955692305,26.62022581062143
50.0,3194.5433045801183,4476.683576484775,0.9652652304525404,27.544732470999634
51.0,3189.9630456124473,4454.318625933721,0.9647948300093669,28.47905544622688
52.0,3185.853953646311,4430.160363852087,0.9643298567024492,29.421930469296115
53.0,3182.1495987323283,4404.541526133788,0.9638716524394366,30.372242801689676
54.0,3178.7920963634315,4377.7516866059905,0.9634212984897271,31.32900444703238
55.0,3175.7321142094506,4350.038325825183,0.9629796261302203,32.29135380977276
56.0,3172.9281324714493,4321.611060519037,0.9625472474799359,33.25854543964589
57.0,3170.3442226571187,4292.652277489654,0.9621246197547534,34.22991863444714
58.0,3167.951221628473,4263.311118815031,0.9617120170288542,35.20491806223009
59.0,3165.723702152829,4233.718058398818,0.9613096137224161,36.183048282278975
60.0,3160.0917205407545,1979.4762743702327,0.9609174657777505,37.16388800015733
61.0,3153.981630372874,731.1603545824571,0.9605355436918379,38.14707288759129
62.0,3148.497384893204,271.57691128391235,0.9601637468060422,39.13228889370901
63.0,3143.5586717753436,102.19638708051659,0.9598019171102019,40.119265419149784
64.0,3139.0962484519087,39.615697370383195,0.9594498509867087,41.10776933771764
65.0,3135.050376671313,16.35969859080406,0.959107309142046,42.097599787122086
66.0,3131.3694732319386,7.600998334765271,0.9587740249558144,43.08858364995126
67.0,3128.008949978306,4.201970786981482,0.9584497114589935,44.08057164724238
68.0,3124.9302184565695,2.797451189062523,0.9581340671326565,45.07343497104876
69.0,3122.099837096287,2.146338234869796,0.9578267806973543,46.06706238795096
70.0,3119.48878127042,1.7893736005391376,0.9575275350429368,47.061357751807066
71.0,3117.0718189985023,1.555303172299096,0.9572360104294496,48.05623787070539
72.0,3114.8269770724046,1.3791467492686729,0.9569518870721666,49.05163067881153
73.0,3112.735084863163,1.2352999746678681,0.9566748472082787,50.047473671434766
74.0,3110.7793842373085,1.1129059796512508,0.9564045767289614,51.043712565038675
75.0,3108.945196197835,1.006725480733767,0.956140766448017,52.04030015095197
76.0,3107.219634022391,0.9137129345450418,0.9558831130615729,53.03719530835452
77.0,3105.591361301909,0.831884138731532,0.9556313198701306,54.03436217137103
78.0,3104.050380093757,0.7596704303630345,0.9553850972711895,55.03176940000191
79.0,3102.5878522123166,0.6958048830012822,0.9551441630924382,56.02938956517921
80.0,3101.1959451022185,0.6392308098065044,0.9549082427807554,57.02719861876201
81.0,3099.867699485602,0.58904972002324,0.9546770694770486,58.025175438810756
82.0,3098.596914921317,0.544479611763094,0.9544503839907774,59.02330143693958
83.0,3097.3780514637774,0.5048456276508959,0.9542279346997156,60.02156022142531
84.0,3096.20614485221,0.46956409738168897,0.9540094773887933,61.01993730721257
85.0,3095.076733183833,0.43813027669601545,0.95379477503986,62.01841986574578
86.0,3093.985793495767,0.4101098770523616,0.9535835975844273,63.016996509151376
87.0,3092.929686507223,0.3851204184229184,0.9533757216219535,64.01565710277276
88.0,3091.9051086083496,0.36282885300660184,0.9531709301146674,65.01439260284012
89.0,3090.9090501090895,0.34294569604532665,0.9529690120662375,66.0131949158264
90.0,3089.93875875683,0.32521928637240616,0.9527697621873386,67.0120567760637
91.0,3088.99170781548,0.3094330830603591,0.9525729805530778,68.01097163914541
92.0,3088.065567954124,0.29539670206716345,0.9523784722526111,69.00993358852857
93.0,3087.1581823990214,0.28294314568474327,0.9521860470328399,70.00893725344257
