Time,J,A,S,tau
0.0,100.0,10.0,0.9586549551313899,10.3426999637961
1.0,93.93025809895693,19.132430862819625,0.9600544927025649,10.77825658405232
2.0,89.8653813338212,28.001185924577072,0.9614460047634352,11.221077363165856
3.0,87.60129316529344,36.615236934134714,0.9628290720616149,11.670956553472243
4.0,86.9554598427322,44.983602417768154,0.9642034265483911,12.127716548332607
5.0,87.76527871214721,53.1150604891963,0.9655688667700041,12.59117205149065
6.0,89.88616487322197,61.01816735337539,0.9669252559608966,13.061130132992842
7.0,93.1898291173565,68.7012734163001,0.9682725200507931,13.537390329573235
8.0,97.56272381986476,76.17253761676362,0.9696106455802269,14.019744787304942
9.0,102.90462175050466,83.43994032281363,0.9709396774365551,14.507978454761924
10.0,109.12733505817435,90.51129404781067,0.9722597164652321,15.001869317428058
11.0,116.15359297462447,97.39425336837802,0.9735709171980458,15.501188640007339
12.0,123.91599444289572,104.09632255095602,0.9748734852567358,16.00570126871099
13.0,132.35607414563881,110.62486321685924,0.9761676747633607,16.51516594958965
14.0,141.4234966195121,116.98710030864225,0.977453785883,17.029335643957676
15.0,151.07532337504918,123.19012603294378,0.9787321622159246,17.547957873493925
16.0,161.27534036241605,129.24090488117747,0.9800031881010381,18.070775085308117
17.0,171.99348031303953,135.14627698006453,0.9812672860178142,18.59752501053321
18.0,183.20528887426778,140.91296144045614,0.9825249138526945,19.12794104292086
19.0,194.8915206720962,146.54755660577797,0.9837765625792673,19.66175256867186
20.0,207.03786626421626,152.05653854686756,0.9850227544580351,20.198685239966135
21.0,222.6813667649868,154.29134836985529,0.9855983899000907,20.538175813529296
22.0,239.51702700709313,155.1381758414582,0.9856652883691442,20.72342348501524
23.0,255.05632400199136,157.19562920456363,0.9857274972872845,20.904172359029335
24.0,269.56133047418746,160.36141156549147,0.985785229368173,21.079929433015337
25.0,283.26875273738676,164.54373824343728,0.9858386857750766,21.250189046211364
26.0,296.3938160412365,169.66043697604073,0.985888056012692,21.41443408427019
27.0,309.1337592378094,175.63810631353357,0.9859335178166654,21.572137386365192
28.0,321.6709237794048,182.4113551136649,0.9859752370256588,21.72276333506469
29.0,334.1754443747282,189.92216120924965,0.9860133673324893,21.865769615789272
