Time,J,A,S,tau
0.0,100.0,10.0,0.9353911237873713,11.61109059047352
1.0,139.1500707327651,26.452484699113214,0.9193535101580437,10.906445450030038
2.0,228.55988948936297,41.5922440149494,0.9026635291340708,10.17693104974003
3.0,362.5954337291283,55.48691040054138,0.8853310069553205,9.422369948763809
4.0,535.5999433054395,68.20033278179434,0.8673685621957035,8.642576122270912
5.0,741.9367912480891,79.79251794304066,0.84879217393056,7.837372868606429
6.0,976.0318117030648,90.31991293992051,0.8296212939981764,7.006593215776021
7.0,1228.1248112095384,110.911272202804,0.816812663310886,6.499457764012268
8.0,1559.2563621508366,179.0104216000455,0.8120799556465849,6.403939065701725
9.0,2110.001040531191,287.3276194527153,0.8072839008473846,6.3106665257419206
10.0,2984.636306555558,427.6549991237614,0.8024270980664094,6.219605776229259
11.0,4253.464803757169,592.5283780066667,0.7975123113375245,6.130722385950534
12.0,5956.116301987147,775.2098187652794,0.792542467377147,6.0439819206621195
13.0,8101.266046594409,976.2867229976689,0.787520652732421,5.959349999417182
14.0,10717.318241470168,1290.4346667577238,0.7824501102288928,5.876792346595396
15.0,14149.206032297907,1838.6625022673197,0.7773342349213367,5.796274841131895
16.0,19019.43475170836,2695.980726579635,0.7721765694735268,5.717763562434206
17.0,26065.674134660134,3899.623913798305,0.7669807988583213,5.641224832361269
18.0,36015.16751986745,5456.191819693926,0.7617507445206882,5.566625254230022
19.0,49480.5673388312,7374.713152517649,0.7564903580115095,5.49393174887239
20.0,67007.88729669468,9900.507822231866,0.7512037140499654,5.423111587517666
21.0,89782.43690581557,13566.18309027205,0.7458950030981523,5.354132421992261
22.0,120170.88595147357,19008.437792216508,0.7405685235116743,5.286962312494062
23.0,161711.68929559804,26829.540386189703,0.735228673218843,5.221569752685503
24.0,218756.87735087852,37512.03135612431,0.729879941024887,5.157923692530844
25.0,295909.2758794885,51583.445346772634,0.7245268975457455,5.095993558838425
26.0,398059.9394010431,70294.16585562857,0.719174185876622,5.03574927392964
27.0,531967.9816304487,95987.03398584534,0.7138265119300199,4.9771612720423875
28.0,708146.7185216254,131926.30484286358,0.7084886346238464,4.9202005142162655
29.0,941859.014492548,181850.05314979248,0.7031653558803144,4.864838501336923
30.0,1252759.1603259942,249650.90248788008,0.697861510522719,4.811047285654562
31.0,1663727.4350879635,340189.55580096185,0.69258195609469,4.758799480754242
32.0,2201549.282364724,461020.9830968328,0.6873315626815568,4.708068270210044
33.0,2900581.435680277,623591.707171471,0.6821152027637293,4.658827414892594
34.0,3807533.81336244,843248.3467022583,0.6769377411613844,4.611051259162804
35.0,4984683.260108118,1138435.7496139384,0.6718040251253774,4.564714735943806
36.0,6510061.999696698,1531064.9561914457,0.6667188746024194,4.519793370733197
37.0,8477352.762591619,2049452.7075680478,0.6616870727335421,4.47626328476176
38.0,10999901.823503273,2732355.869167058,0.6567133566319204,4.434101197236027
39.0,14219584.844220715,3631723.884234298,0.6518024084626964,4.393284426781919
40.0,18316910.056632638,4813283.124373926,0.64695884687253,4.353790892226421
