Time,J,A,S,tau
0.0,100.0,10.0,0.9700621990585158,10.034405603513928
1.0,117.0584349548425,27.533614856685134,0.9705838517936621,9.631916055942346
2.0,166.7541237537133,44.4336457861343,0.9710988721420424,9.22421387709694
3.0,247.8571709555151,60.703638160327955,0.9716056343112925,8.811858828180858
4.0,359.0939768229216,76.34812152602781,0.9721025529646901,8.395392783772575
5.0,499.15337215825446,91.37226996090023,0.972588076871815,7.975347802325691
6.0,666.6927604125681,105.78190176809741,0.9730606933352862,7.552244743124023
7.0,860.3444148808361,119.583473016841,0.9735189323092122,7.126591995213907
8.0,1072.7528434677179,146.7590099746423,0.973474980163406,7.072506544149342
9.0,1332.6094365128713,204.8781378258435,0.9733749857141927,7.056944959371823
10.0,1696.9315595491935,291.31749375650105,0.9732663947204582,7.044014004784278
11.0,2217.0410427924226,403.3966347922874,0.973149482666869,7.033607294134922
12.0,2938.494866461142,538.5083306574272,0.9730245271711461,7.025620728679852
13.0,3901.1867826006433,694.1251939188855,0.9728918080063889,7.019952437013938
14.0,5139.488438043948,867.8048206357851,0.9727516071209024,7.01650271503137
15.0,6678.022527724939,1064.692747352085,0.9726042086552572,7.015173965463424
16.0,8545.413789836375,1328.1081329270726,0.972449898950944,7.015870638814792
17.0,10852.343229260077,1707.3593414364768,0.9722889665591602,7.01849917469599
18.0,13795.23504596943,2243.626723325218,0.9721224928995431,7.022761966119093
19.0,17639.1591653477,2971.581185165189,0.9719559375501692,7.027233864876861
20.0,22704.20206454923,3918.7164891480083,0.9717906203234955,7.031587574774968
21.0,29350.46846252467,5106.212178598619,0.9716276766075479,7.03555013047954
22.0,37963.43643343747,6551.990775542396,0.9714682182616726,7.038860346489597
23.0,48932.9536624538,8311.826504545936,0.9713133335600448,7.0412684343207825
24.0,62719.813651400094,10524.07626185172,0.9711640870042673,7.04253566479677
25.0,79997.76787943646,13397.090543730164,0.9710207623894705,7.0426240366351
26.0,101764.77703953136,17186.235481967204,0.970879128404508,7.042624036635099
27.0,129409.00561063024,22183.70811080209,0.9707388967148551,7.042624036635099
28.0,164756.54172709942,28700.87485965707,0.9706001290335112,7.042624036635099
29.0,210085.1511473929,37055.33752660345,0.9704628868814452,7.042624036635099
30.0,268102.2210676761,47587.24752546826,0.9703272315433756,7.042624036635099
31.0,341931.6264557716,60763.30553157334,0.9701932240231927,7.042624036635099
32.0,435276.2983649933,77297.18948534517,0.9700609249991053,7.042624036635099
33.0,552771.9443115884,98224.81752417907,0.9699303947785028,7.042624036635099
34.0,700441.8954833265,124943.19079630448,0.9698016932527111,7.042624036635099
35.0,886195.9824017652,159222.42313887287,0.9696748798514577,7.042624036635099
36.0,1120325.27250543,203187.87105823113,0.9695500134974553,7.042624036635099
37.0,1415939.8782935413,259294.72409659438,0.9694271525607252,7.042624036635099
38.0,1789306.4361201008,330392.21958311205,0.9693063548131476,7.042624036635099
39.0,2260215.7275778092,419970.8135905729,0.9691876773829503,7.042624036635099
40.0,2852674.263800984,532541.5901352509,0.9690711767093599,7.042624036635099
41.0,3596105.407989505,674062.1764488749,0.9689569084975385,7.042624036635099
42.0,4527114.56115585,852358.4525493996,0.9688449276735344,7.042624036635099
43.0,5691786.3679242,1077492.4282732932,0.9687352883398614,7.042624036635099
44.0,7148419.3105531875,1362048.1977948544,0.9686280437310563,7.042624036635099
45.0,8970529.299456077,1721384.7486883148,0.9685232461699963,7.042624036635099
46.0,11249983.14900487,2174074.1084751002,0.9684209470244299,7.042624036635099
47.0,14100477.180156076,2742750.582451247,0.9683211966641257,7.042624036635099
48.0,17661875.146407627,3455458.5428473176,0.9682240444186858,7.042624036635099
49.0,22106093.54443882,4347473.4653392285,0.9681295385357132,7.042624036635099
50.0,27645101.672926664,5463497.237034837,0.96803772614009,7.042624036635099
51.0,34541525.234783165,6860090.0017301105,0.9679486531934851,7.042624036635099
52.0,43122088.79230102,8608196.816445105,0.9678623644551484,7.042624036635099
53.0,53793851.39766983,10795845.863601746,0.9677789034431653,7.042624036635099
54.0,67063276.99586334,13531402.675285794,0.9676983123968194,7.042624036635099
55.0,83558498.00159347,16947972.03444625,0.9676206322397299,7.042624036635099
56.0,104056145.63241668,21209484.47402252,0.9675459025442962,7.042624036635099
57.0,129514657.7541741,26518904.33879909,0.9674741614967154,7.042624036635099
58.0,161116485.49136356,33128746.01928048,0.9674054458634413,7.042624036635099
59.0,200321983.03616747,41354051.67813254,0.96733985363979,7.042610198500492
60.0,253861560.79703298,43669120.00602986,0.9646104890539554,7.631565915381918
61.0,309672654.6475751,41039225.97550898,0.9600323043385117,8.631565844386742
62.0,361528874.96196,38561751.94441921,0.9554693085268241,9.631565773964208
63.0,409694732.72061527,36228625.90710916,0.9509219478588942,10.631565703541673
64.0,454417471.75288725,34032136.23741783,0.9463906628358835,11.631565633119138
65.0,495928399.15153474,31964908.408170015,0.941875887979874,12.631565562696602
66.0,534443434.7950969,30019912.04959794,0.9373780515880038,13.631565492274072
67.0,570164280.8527408,28190441.232244972,0.9328975755184424,14.631565421851537
68.0,603279287.8691034,26470105.302321363,0.9284348749934843,15.631565351429003
69.0,633964203.9039345,24852821.035957955,0.9239903583571039,16.63156528100647
70.0,662383112.2354925,23332797.047183674,0.9195644269107014,17.631565210583936
71.0,688688978.6176354,21904530.88883643,0.9151574746747665,18.631565140161406
72.0,713024516.5785203,20562792.953687727,0.9107698882465549,19.631565069738873
73.0,735522825.2401202,19302616.863749772,0.9064020466006573,20.63156499931634
74.0,756308000.064548,18119290.16969271,0.9020543209239806,21.63156492889381
75.0,775495724.9567653,17008344.268383875,0.8977270744544701,22.631564858471275
76.0,793193829.0971892,15965544.468733944,0.8934206623280563,23.631564788048745
77.0,809502810.0931909,14986880.227127738,0.8891354314338916,24.631564717626212
78.0,824516325.0334191,14068555.571355008,0.8848717202779255,25.63156464720368
79.0,838321651.0134503,13206979.729679497,0.8806298588548572,26.631564576781148
80.0,851000115.7679077,12398758.018844118,0.8764101685284394,27.631564506358618
81.0,862627495.1476774,11640683.204826834,0.8722129619189843,28.631564435936085
82.0,873274405.8021287,10929726.19246174,0.8680385428004908,29.631564365513555
83.0,883006653.8983204,10263027.817880826,0.8638872060074705,30.63156429509102
84.0,891885563.196737,9637890.777179964,0.8597592373489847,31.63156422466849
85.0,899968283.5034788,9051771.720947796,0.8556549135309794,32.63156415424596
86.0,907308078.5702705,8502273.61524292,0.8515745020869173,33.63156408382343
87.0,913954594.6727769,7987138.371222485,0.8475182613166468,34.6315640134009
88.0,919954111.0436732,7504239.744330897,0.8434864402334425,35.63156394297837
89.0,925349773.2828518,7051576.502510544,0.8394792785190431,36.63156387257956
90.0,930181727.4135884,6627304.87591645,0.8354970195741509,37.631560450987976
91.0,929908177.0431852,15029403.777407052,0.8344638702500332,37.882876934982654
92.0,940229709.2123965,28279934.58484666,0.8344288634522484,37.88287693497954
93.0,967046941.2258022,44205880.52532073,0.8344092538040225,37.88287693497954
94.0,1013812695.6250362,63489230.430224136,0.8344050504120417,37.88287693497954
95.0,1084908315.8324728,86970509.11138351,0.834416255118193,37.88287693497954
96.0,1185872039.744952,115687490.73028791,0.8344428624980401,37.88287693497954
97.0,1323685797.2665167,150924368.18278423,0.8344848524512997,37.882878806249806
98.0,1509792601.931021,853577504.0627037,0.9673589342496514,7.0425966228849175
99.0,2673018156.6706967,830612481.5586374,0.9674254854452258,7.042596622884134
100.0,3801647885.4687467,827970122.9462733,0.9674950858716269,7.042596622884134
101.0,4923082853.146634,848571579.6464124,0.9675676997335835,7.042596622884134
102.0,6069099982.043003,896258289.9211364,0.96764328979426,7.042596622884134
103.0,7277262742.049998,976006452.7416228,0.9677218174083567,7.042596622884134
104.0,8592677268.590582,1094198966.4593313,0.9678032425558281,7.042596622884134
105.0,9754452077.235178,1875963829.628171,0.9678875238770845,7.042596622884134
106.0,12154193062.05509,2899756220.9170284,0.9679746187096059,7.042596622884134
107.0,16081752171.857765,3856402077.0952244,0.9680644831242108,7.042596622884134
108.0,21448595697.764046,4779748407.188228,0.9681570719635362,7.042596622884134
109.0,28214544683.907604,5706970145.874493,0.9682523388807196,7.042596622884134
110.0,36393902567.96193,6680019900.879489,0.968350236379237,7.042596622884134
