Time,J,A,S,tau
0.0,100.0,10.0,0.5360353654792245,17.327481028024454
1.0,222.97812024570584,59.437159683562705,0.535472961275437,16.946664615613855
2.0,578.4513361256894,104.68974656756569,0.5349078061089029,16.563869042695035
3.0,1132.8364961118382,146.10434928912392,0.5343399447522802,16.179117776162506
4.0,1856.0894543841514,183.99945710461222,0.5337694090173625,15.792426023462564
5.0,2721.37641605071,218.667424807492,0.5331962318316643,15.403809629702756
6.0,3704.7729434860717,250.37658950168444,0.5326204472295015,15.013285074669076
7.0,4784.989352580845,279.3732184046428,0.5320420903423807,14.620869469554616
8.0,5943.121601995024,305.8832871016047,0.5314611973885099,14.226580553289251
9.0,7162.420359735288,330.1141557070457,0.5308778056622122,13.830436688913899
10.0,8428.086381910112,352.2560504627259,0.5302919535222117,13.43245685941774
11.0,9727.077733180447,372.48349255653187,0.5297036803792907,13.032660663304316
12.0,11047.940038637731,390.95655116051006,0.5291130266827057,12.631068309536934
13.0,12373.900178956197,416.0885855325072,0.5288306022351538,12.440844142348585
14.0,13866.041299207864,548.1565629610118,0.5288009892378802,12.424073308804065
15.0,16062.43287519653,789.7384333137144,0.5287717139784353,12.407516487633378
16.0,19406.929752547145,1119.9278446559233,0.5287427850974377,12.391177738117735
17.0,24221.757160409772,1520.6193316669223,0.5287142111212381,12.375061040714481
18.0,30727.670972640193,1976.1837179137028,0.528686000459439,12.359170296896808
19.0,39061.371707028215,2473.1787938567695,0.5286581614024425,12.34350932901226
20.0,49290.5981101427,3000.089856542971,0.528630702119095,12.328081880205286
21.0,61427.04641742715,3547.1000572851026,0.52860363065428,12.31289161430316
22.0,75437.54444719185,4105.883340809648,0.5285769549267197,12.297942115833978
23.0,91253.53497566427,4669.422093884711,0.5285506827266785,12.283236889976637
24.0,108779.16959608978,5231.844520756717,0.528524821713703,12.26877936253413
25.0,127898.69648953692,5787.139735882345,0.5284993794146272,12.254572880057921
26.0,148497.0631157936,6415.4242551068955,0.5284743632213924,12.240620709854923
27.0,171169.95538699528,7401.991089903638,0.5284497803891384,12.226926040148618
28.0,197751.98172608812,8981.26690491835,0.5284256380340677,12.213491980096645
29.0,230917.97130777835,11311.378855615709,0.5284019431315731,12.200321559954231
30.0,273806.5264345721,14488.853007410487,0.5283787025143598,12.1874177312228
31.0,329730.6808918604,18561.04593393225,0.5283559228706262,12.174783366819668
32.0,401960.15766338515,23536.6119906291,0.5283336107422794,12.162421261255636
33.0,493562.52684094,29394.282200024714,0.5283117725232341,12.150334130844218
34.0,607291.6782399743,36090.18329096202,0.5282904144577328,12.138524613908913
35.0,745514.8564220907,43563.904765504376,0.5282695426387284,12.126995271009932
36.0,910169.5454175307,51743.507082304306,0.5282491630063595,12.115748585202077
37.0,1102744.1153260567,60549.10435464486,0.5282292813463361,12.104786962233783
38.0,1324266.3728110478,69933.49637385343,0.5282099032885303,12.094112730833038
39.0,1575839.7477355544,80296.3201703112,0.5281910343057492,12.083728143063249
40.0,1861117.2586517495,92681.920880172,0.5281726797122099,12.07363537451748
41.0,2188682.59158752,108530.51692462036,0.5281548446622577,12.063836524611563
42.0,2573191.0788845117,129462.06027472824,0.5281375341491729,12.054333616901317
43.0,3035577.391190227,157117.08157394532,0.5281207530039473,12.045128599365555
44.0,3602615.9294242626,193043.13603569267,0.5281045058941897,12.036223344729054
45.0,4306065.27705693,238617.47628392777,0.5280887973230156,12.027619650757497
46.0,5181572.661486726,294998.1294412858,0.5280736316280354,12.019319240575756
47.0,6267460.556995994,363097.10276048136,0.5280590129803803,12.011323762981768
48.0,7603499.10405172,443570.33214908594,0.5280449453837804,12.003634792761371
49.0,9229727.12982065,536820.1149599655,0.5280314326737204,11.99625383101371
50.0,11185352.270201486,643020.8272170473,0.528018478516567,11.989182305442004
51.0,13508107.527481148,762648.007606815,0.5280060864088986,11.98242157070844
52.0,16237206.34762779,897909.3264808248,0.5279942596766429,11.975972908680983
53.0,19422278.358260278,1053813.3251782332,0.5279830014746281,11.96983752883395
54.0,23135461.72622697,1238551.825104041,0.5279723147858231,11.964016568490733
55.0,27483808.59407266,1463395.9787708346,0.5279622024208634,11.958511093161162
56.0,32620116.9103696,1742285.3316160538,0.527952667017511,11.953322096825534
57.0,38751193.59278394,2091235.3711751832,0.5279437110402189,11.948450502237208
58.0,46143026.65605769,2527660.750626955,0.5279353367797355,11.943897161214222
59.0,55122789.83528297,3069681.9837198807,0.5279275463527592,11.939662854925393
60.0,66077858.940469146,3735463.0264895605,0.5279203417016437,11.935748294170391
61.0,79452186.29642734,4542610.531691345,0.5279137245941556,11.932154119653694
62.0,95740501.47071458,5507657.981067143,0.5279076966232836,11.928880902252551
63.0,115480795.07075202,6646157.008560282,0.5279022592070971,11.925929143276374
64.0,139250169.16185942,7975311.410872995,0.5278974135886237,11.923299274707796
65.0,167675865.87138635,9519370.711667469,0.5278931608358554,11.920991659466095
66.0,201470358.60496205,11316003.379762944,0.5278895018417341,11.919006591634632
67.0,241492169.80976802,13422241.09954632,0.5278864373241713,11.917344296675134
68.0,288827187.1483902,15919155.578561157,0.5278839678262489,11.916004931684142
69.0,344884439.9372846,18914921.549324207,0.5278820937162366,11.914988585549946
70.0,411498465.30961704,22546068.17322052,0.527880815187928,11.914295279207419
71.0,491029355.5322714,26977109.989892054,0.5278801322607971,11.91392496579289
72.0,586456668.2820727,32398652.093549304,0.5278800447803212,11.91387753083851
73.0,701457620.3745617,39024305.921147525,0.5278805524183741,11.914152792463925
74.0,840469805.5971131,47086675.99516283,0.5278816546735066,11.91475050149839
75.0,1008733200.3745334,56833140.78860994,0.5278833508715232,11.915670341689534
76.0,1212313973.115333,68525361.11040455,0.5278856401658408,11.916911929799555
77.0,1458139680.3929448,82448594.04245587,0.5278885215380954,11.918474815772555
78.0,1754083808.225057,98933885.40700422,0.5278919937987109,11.92035848285758
79.0,2109163520.260841,118392062.06301916,0.5278960555874554,11.922562347701836
80.0,2533883733.4685707,141356245.30118465,0.5279007053742227,11.925085760504576
81.0,3040757719.9959607,168529096.75201583,0.5279059414596069,11.927928005062945
82.0,3645016884.2372355,200830026.42925557,0.5279117619757702,11.931088298908422
83.0,4365482697.408219,239439291.32296237,0.5279181648871814,11.93456579336423
