Time,J,A,S,tau
0.0,100.0,10.0,0.8435628530744184,2.375296912114014
1.0,89.74525623422393,41.38726281759031,0.7907906277304403,2.375296912114014
2.0,120.01379084744104,67.55274860030232,0.7413209897005868,2.375296912114014
3.0,181.40064269309946,83.61720542454856,0.7236057474785016,2.375296912114014
4.0,244.8914377265628,117.95201488734818,0.7236478429369747,2.375296912114014
5.0,336.22964829680905,172.63901108525314,0.7237111781732358,2.375296912114014
6.0,477.92832858849926,238.92344220451972,0.7237957231875801,2.375296912114014
7.0,670.4090263175874,334.1206046098943,0.7239014382266217,2.375296912114014
8.0,939.2301600584881,473.25190856851583,0.7240282738116888,2.375296912114014
9.0,1324.9460458880446,665.5081656817351,0.7241761707744256,2.375296912114014
10.0,1868.6964951083596,935.754766053999,0.724345060299453,2.375296912114014
11.0,2635.5523391956194,1319.6647516594353,0.7245348639737305,2.375296912114014
12.0,3723.8392161206475,1860.7921289066671,0.7247454938427647,2.375296912114014
13.0,5266.708798968402,2624.5885995751137,0.7249768524737537,2.375296912114014
14.0,7454.793125050129,3706.1151251055376,0.7252288330254448,2.375296912114014
15.0,10564.217157936539,5237.427345016892,0.725501319324688,2.375296912114014
16.0,14987.74482034304,7407.33213112946,0.7257941859496158,2.375296912114014
17.0,21287.616174319017,10486.775884427898,0.7261072983193446,2.375296912114014
18.0,30272.93562907768,14861.722469983726,0.7264405127902603,2.375296912114014
19.0,43106.689558502694,21084.3452453013,0.7267936767586873,2.375296912114014
20.0,61463.491983451466,29946.950161712382,0.7271666287698575,2.375296912114014
21.0,87760.79272400125,42586.67183902775,0.727559198633098,2.375296912114014
22.0,125493.56075358513,60638.47246617714,0.7279712075431001,2.375296912114014
23.0,179723.41090409705,86457.9078394417,0.7284024682072574,2.375296912114014
24.0,257795.7859004165,123444.10056047495,0.72885278497893,2.375296912114014
25.0,370390.9275356832,176510.79683235064,0.7293219539964546,2.375296912114014
26.0,533068.4528644459,252774.91398908594,0.7298097633278106,2.375296912114014
27.0,768543.4671032854,362563.8871009308,0.730315993120784,2.375296912114014
28.0,1110045.9810173016,520893.1635661637,0.7308404157585349,2.375296912114014
29.0,1606291.5607263758,749638.1789333951,0.7313827960204634,2.375296912114014
30.0,2328852.9190294314,1080733.716458915,0.7319428912481327,2.375296912114014
31.0,3383117.063009497,1560897.1662647922,0.7325204515161261,2.375296912114014
32.0,4924612.009221633,2258617.5970067736,0.7331152198076721,2.375296912114014
33.0,7183387.316954741,3274521.5123927407,0.7337269321948617,2.375296912114014
34.0,10500513.863146985,4756781.500478832,0.7343553180233768,2.375296912114014
35.0,15382860.220008133,6924075.999711081,0.735000100101447,2.375296912114014
36.0,22585499.142299443,10099882.568863368,0.7356609948928731,2.375296912114014
37.0,33236003.700922117,14763823.186407002,0.7363377127139382,2.375296912114014
38.0,49022380.081015274,21628733.516203787,0.7370299579339841,2.375296912114014
39.0,72477941.2312709,31756626.820549253,0.7377374291795439,2.375296912114014
40.0,107414278.57023051,46733622.12927446,0.7384598195417559,2.375296912114014
41.0,159581010.68841004,68934493.7349149,0.7391968167868438,2.375296912114014
42.0,237673793.59883413,101923786.27589941,0.7399481035694723,2.375296912114014
43.0,354878544.65638334,151065597.38536128,0.7407133576487347,2.375296912114014
44.0,531243115.5623316,224453010.44651228,0.74149225210661,2.375296912114014
45.0,797330182.2636702,334328464.60288894,0.742284455568644,2.375296912114014
46.0,1199858469.7494757,499260240.79569525,0.743089632426596,2.375296912114014
47.0,1810438724.3649154,747486560.1627645,0.7439074430628388,2.375296912114014
48.0,2739140602.068977,1122067760.1213179,0.7447375440762738,2.375296912114014
49.0,4155616614.688276,1688846091.6443782,0.7455795885095426,2.375296912114014
50.0,6322088974.294786,2548776549.6183157,0.7464332260773159,2.375296912114014
51.0,9644999022.376379,3857083163.464348,0.7472981033953703,2.375296912114014
52.0,14756117488.593777,5853100464.264321,0.7481738642102556,2.375296912114014
53.0,22640336077.506306,8906891140.869997,0.7490601496292878,2.375296912114014
54.0,34837360571.7992,13592286773.725967,0.7499565983506216,2.375296912114014
55.0,53761265911.66565,20801637635.481396,0.750862846893203,2.375296912114014
56.0,83208038199.8437,31926612462.21157,0.7517785298263252,2.375296912114014
57.0,129164061280.64743,49143895577.82154,0.7527032799985582,2.375296912114014
58.0,201097729398.38797,75867927752.24281,0.7536367287658143,2.375296912114014
59.0,314028844859.6296,117470439598.88922,0.7545785062183104,2.375296912114014
60.0,491853785067.06604,182427322321.75632,0.7555282414061972,2.375296912114014
61.0,772704011765.8046,284151946116.6806,0.7564855625636168,2.375296912114014
62.0,1217606417534.9648,443934339432.52155,0.7574500973309617,2.375296912114014
63.0,1924520784898.724,695667062138.8207,0.75842147297511,2.375296912114014
64.0,3051159198164.6787,1093466111553.876,0.7593993166074124,2.375296912114014
65.0,4852189452779.012,1723996326328.3499,0.760383255399212,2.375296912114014
66.0,7740065754390.221,2726463868294.2495,0.7613729167946819,2.375296912114014
67.0,12384781189367.314,4325140177704.5713,0.7623679287207739,2.375296912114014
68.0,19877920550005.57,6882427301282.402,0.7633679197940704,2.375296912114014
69.0,32003243596362.72,10985691635570.777,0.7643725195243419,2.375296912114014
70.0,51684267257469.76,17589770570297.982,0.7653813585146187,2.375296912114014
71.0,83726765469155.19,28251529750334.24,0.7663940686575853,2.375296912114014
72.0,136053953007346.69,45517060952470.97,0.7674102833281271,2.375296912114014
73.0,221767574265833.56,73562708645526.9,0.7684296375718471,2.375296912114014
74.0,362596791389221.0,119259338837406.89,0.76945176828936,2.375296912114014
75.0,594684377658021.9,193944647038708.34,0.7704763144162894,2.375296912114014
76.0,978324461075764.6,316382741922981.75,0.7715029170987234,2.375296912114014
77.0,1614394796424550.2,517720749933515.06,0.7725312198640307,2.375296912114014
78.0,2672163969522664.0,849813816015642.4,0.7735608687868929,2.375296912114014
79.0,4436479560728645.5,1399247182803807.5,0.7745915126504309,2.375296912114014
80.0,7388067143426608.0,2311021151653803.0,0.7756228031023045,2.375296912114014
81.0,1.2340549687437936e+16,3828670819135230.0,0.7766543948056767,2.375296912114014
82.0,2.06748937810243e+16,6362415438603094.0,0.7776859455849443,2.375296912114014
83.0,3.474165607628424e+16,1.0605242082471636e+16,0.7787171165661346,2.375296912114014
84.0,5.855298036465047e+16,1.7731187758843108e+16,0.7797475723118911,2.375296912114014
85.0,9.897626141538018e+16,2.9734955895799896e+16,0.7807769809509784,2.375296912114014
86.0,1.677986320748327e+17,5.001519786471724e+16,0.7818050143022373,2.375296912114014
87.0,2.8530697006907706e+17,8.437899798210954e+16,0.782831347992936,2.375296912114014
88.0,4.865121445511256e+17,1.4277638930673339e+17,0.7838556615714791,2.375296912114014
89.0,8.31998796723819e+17,2.423034291367868e+17,0.7848776386144186,2.375296912114014
90.0,1.426886207653675e+18,4.1241535918494464e+17,0.7858969668277532,2.375296912114014
91.0,2.4540481761711683e+18,7.040000402192781e+17,0.7869133381424963,2.375296912114014
92.0,4.232461016558114e+18,1.2052110796809884e+18,0.7879264488045024,2.375296912114014
93.0,7.319941137479417e+18,2.0691675342488689e+18,0.7889359994585475,2.375296912114014
94.0,1.2694485327073313e+19,3.5625374060878295e+18,0.7899416952266828,2.375296912114014
95.0,2.207513426160717e+19,6.150963683230306e+18,0.7909432457808564,2.375296912114014
96.0,3.849105883204341e+19,1.0649645073259506e+19,0.7919403654098447,2.375296912114014
97.0,6.729325701642051e+19,1.8489420063044645e+19,0.7929327730805267,2.375296912114014
98.0,1.1795738488120834e+20,3.2188081682184397e+19,0.7939201924935283,2.375296912114014
99.0,2.073039545395735e+20,5.618722402515248e+19,0.7949023521332927,2.375296912114014
100.0,3.6526234034361264e+20,9.834167167765437e+19,0.7958789853126647,2.375296912114014
101.0,6.45212662453271e+20,1.7257645581241942e+20,0.7968498302119932,2.375296912114014
102.0,1.1425811214228804e+21,3.036375892942629e+20,0.7978146299128698,2.375296912114014
103.0,2.0283488873547754e+21,5.3560596153469554e+20,0.7987731324265595,2.375296912114014
104.0,3.6095644955166795e+21,9.471890783258913e+20,0.799725090717214,2.375296912114014
105.0,6.438850360299179e+21,1.6792471327607795e+21,0.8006702627199597,2.375296912114014
106.0,1.1512982818325657e+22,2.9844492115386255e+21,0.8016084113539574,2.375296912114014
107.0,2.063373253716297e+22,5.317042709155175e+21,0.8025393045305331,2.375296912114014
108.0,3.706486031147938e+22,9.495481345086262e+21,0.8034627151564933,2.375296912114014
