Time,J,A,S,tau
0.0,100.0,10.0,0.9256619260159312,9.530282669439194
1.0,113.93188388247796,28.041471933468895,0.9055826419209375,8.576543029330281
2.0,159.3713157624266,45.37036314834875,0.8842484717168465,7.601504086121826
3.0,232.33826477916517,61.94615030323392,0.8616748221567638,6.606174191594908
4.0,328.63158325646873,77.73103869977339,0.8378871710630347,5.591498115890872
5.0,443.3992825874533,93.26031241443634,0.8168529808175827,4.7732535130025795
6.0,567.0476704711031,128.22866377346585,0.8093916813798493,4.7265587992296645
7.0,730.1976433877865,189.35518946190354,0.8016326430844154,4.683024300085713
8.0,966.2337592656841,272.6340200562507,0.7935743578522475,4.642406216219683
9.0,1296.150161079503,374.09797574985146,0.7852161537830091,4.604480734395522
10.0,1728.335826191086,491.5531633628913,0.7765582551671283,4.569042310083606
11.0,2254.5195105821485,645.7014179822563,0.7676018393108488,4.535902103396119
12.0,2891.1789283473126,866.5507739369774,0.7583490905847248,4.504886566021492
13.0,3685.47700470946,1173.0451577084507,0.7488032501092796,4.475836154137323
14.0,4693.082611594845,1574.0357336383972,0.7389686602589111,4.448604156169949
15.0,5958.802277697137,2073.762150653747,0.7288508034252975,4.423055626235436
16.0,7499.537793582826,2696.476876795808,0.7184563338207278,4.3990664095261005
17.0,9327.728977162122,3488.6135478683027,0.7077931018135742,4.376522253887685
18.0,11474.408678309128,4500.586571958271,0.6968701698404379,4.355317997516922
19.0,13987.31574388511,5773.603302460913,0.6856978191821262,4.335356826219311
20.0,16911.728051529702,7338.1054513517665,0.6742875473850005,4.316549596163813
21.0,20266.183187482886,9231.139294291712,0.6626520544410435,4.298814208378784
22.0,24042.463023948454,11505.464545156288,0.6508052191667173,4.2820750413265705
23.0,28219.922070939967,14221.660242263764,0.6387620639837748,4.2662624276934125
24.0,32780.47713177909,17425.875900344134,0.62642018980297,4.253211019632083
25.0,37692.58876283755,21145.40092872733,0.6136945663199459,4.2443059672277315
26.0,42895.89415913908,25402.112498733044,0.6006172494385182,4.2390403160169585
27.0,48304.572876187,30210.26186200453,0.5872053118055558,4.2372067006942284
28.0,53806.20362415322,35582.489006077136,0.5735459581849782,4.2376231100002775
29.0,59275.58433989132,41529.11235599556,0.5598385372390908,4.2376231100002775
30.0,64603.22759360345,48020.775138185076,0.5460782287935252,4.2376231100002775
31.0,69672.49588383816,55009.81154529419,0.532288630593211,4.2376231100002775
32.0,74366.00588961986,62430.02712612881,0.5184936859969937,4.2376231100002775
33.0,78567.95731274993,70202.66855017927,0.5047175377119482,4.2376231100002775
34.0,82174.61566052151,78236.08258842902,0.4909843777165994,4.2376231100002775
35.0,85102.76552360492,86423.87506346797,0.47731829525096003,4.2376231100002775
36.0,93643.10238349398,87248.26657569408,0.41966012238950823,4.843016247647325
37.0,101431.17142395483,83352.27678038007,0.3436778721525302,5.843016205274433
38.0,104425.73173999607,79588.1415077783,0.2794050598106256,6.843016162901548
39.0,103753.80511082726,75954.1130900551,0.22547261155628887,7.843016120528665
40.0,100375.5025267658,72448.3071130939,0.18058487706372797,8.843016078155776
41.0,95094.38186422997,69068.7104862128,0.14353302621083697,9.843016035782894
42.0,88569.98439316954,65813.18983921784,0.11320464159220786,10.843015993410015
43.0,81331.87999360042,62679.50000938556,0.08858943807699479,11.843015951037138
44.0,73794.53564436846,59665.29273255534,0.06878167680878082,12.84301590866426
45.0,66272.44413741335,56768.12556941642,0.05297966534800875,13.843015866291381
46.0,58995.033910974,53985.470976896126,0.040482711171792356,14.843015823918503
47.0,52120.90549955989,51314.72517795781,0.030685769277598512,15.843015781545622
48.0,45751.04151458196,48753.21713586509,0.02307273500547075,16.843015739172742
49.0,39940.80460448628,46298.21776547977,0.01720878373706267,17.843015696799863
50.0,34710.52142843657,43946.94878428881,0.012731861500433223,18.843015654426985
51.0,30054.528043159058,41696.59118781118,0.009343944884327876,19.843015612054106
52.0,25948.843418777924,39544.29400693705,0.006802645202748936,20.843015569681228
53.0,22357.405762714105,37487.18266184525,0.004913083571154022,21.84301552730835
54.0,19237.01807716875,35522.367033823466,0.0035203498144411737,22.84301548493547
55.0,16541.15936590627,33646.94932840222,0.002502693728202484,23.84301544256259
56.0,14222.7668119049,31858.03139027003,0.0017654621337959905,24.843015400189703
57.0,12236.265838747791,30152.722112577776,0.001235906448633598,25.84301535781682
58.0,10538.862997450738,28528.14416195656,0.0008587043840137115,26.84301531544394
59.0,9091.33086835913,26981.440440076665,0.000592235250973184,27.843015273071053
60.0,7858.391790448564,25509.780172877247,0.0004055147997896364,28.84301523069817
61.0,6808.802669466908,24110.364566280343,0.0002757136193225186,29.843015188325293
62.0,5915.234556729114,22780.432009016044,0.00018617903095540224,30.843015145952414
63.0,5154.0359169057065,21517.263009698097,0.0001248862652654255,31.843015103579532
64.0,4504.905726544315,20318.184601960504,8.323524353154097e-05,32.84301506120665
65.0,3950.5365016830374,19180.574369813025,5.5133127241593945e-05,33.84301501883373
66.0,3476.2515768350668,18101.86406375796,3.630292372821524e-05,34.843014976460815
67.0,3069.6559711602886,17079.542813491345,2.376903094133986e-05,35.843014934087904
68.0,2720.3127101509826,16111.159945266225,1.5479103551873353e-05,36.84301489171499
69.0,2419.4508988977377,15194.327413509473,1.0029380776969788e-05,37.84301484934207
70.0,2159.708004237698,14326.721860499005,0.0,38.84301480696916
71.0,1934.9054688117055,13506.08629947947,0.0,39.84301476459627
72.0,1739.8581685194372,12730.231509799,0.0,40.843014722223394
73.0,1570.2095871221645,11997.037011320554,0.0,41.84301467985049
74.0,1422.295912593953,11304.451816189572,0.0,42.8430146374776
75.0,1293.030557216125,10650.494836597949,0.0,43.84301459510473
76.0,1179.808889619399,10033.255051063554,0.0,44.84301455273186
77.0,1080.4263658983111,9450.891264796768,0.0,45.843014510358984
78.0,993.0167257453802,8901.631994316249,0.0,46.8430144679861
79.0,915.994149961904,8383.774737487767,0.0,47.84301442561322
80.0,848.0045992888561,7895.684881500553,0.0,48.84301438324034
81.0,787.9083087789867,7435.796507026202,0.0,49.84301434086746
82.0,734.7130965195757,7002.6083596034305,0.0,50.84301429849459
83.0,687.5757764354321,6594.6849592804265,0.0,51.843014256121705
84.0,645.7767915064702,6210.654720650999,0.0,52.84301421374882
85.0,608.685718312207,5849.206727256782,0.0,53.84301417137595
86.0,575.7694754690799,5509.091981774074,0.0,54.84301412900307
87.0,546.5659432410613,5189.120046214578,0.0,55.84301408663019
88.0,520.6741180741457,4888.157121465329,0.0,56.843014044257316
89.0,497.7496674965431,4605.125250731267,0.0,57.84301400188444
90.0,477.49279979013914,4338.9995855301395,0.0,58.84301395951156
91.0,459.6452213753973,4088.8072284622754,0.0,59.843013917138684
92.0,443.983387424706,3853.6249401945174,0.0,60.8430138747658
93.0,430.31431188124867,3632.5775626071168,0.0,61.84301383239292
94.0,418.47155674980576,3424.836111449757,0.0,62.84301379002004
95.0,408.3115765182205,3229.615660187065,0.0,63.84301374764716
96.0,399.7112973074605,3046.17365374732,0.0,64.84301370527429
97.0,392.5660560242741,2873.807792111003,0.0,65.8430136629014
98.0,386.78660052901057,2711.855131730207,0.0,66.84301362052851
99.0,382.2983016683951,2559.689460183033,0.0,67.84301357815563
100.0,379.0394260745091,2416.7198346577616,0.0,68.84301353578275
101.0,376.9606123138345,2282.3886392571803,0.0,69.84301349340987
102.0,376.02134760233,2156.1708643266816,0.0,70.84301345103698
103.0,376.1918239749862,2037.5715830066072,0.0,71.8430134086641
104.0,377.4512840160582,1926.1247195623746,0.0,72.84301336629123
105.0,379.7873056146012,1821.3915922625654,0.0,73.84301332391834
106.0,383.1952944794985,1722.9594855583248,0.0,74.84301328154547
107.0,387.6780669989681,1630.4402755146452,0.0,75.84301323917259
108.0,393.24551123799,1543.46910884346,0.0,76.8430131967997
109.0,399.91431514078647,1461.7031355707159,0.0,77.84301315442683
110.0,407.7077520698948,1384.8202950868238,0.0,78.84301311205395
111.0,416.6553616189659,1312.518181222073,0.0,79.84301306968108
112.0,426.7929854278302,1244.5129091626065,0.0,80.84301302730819
113.0,438.16286125844687,1180.5380240130241,0.0,81.84301298493531
114.0,450.8133562668076,1120.343524706722,0.0,82.84301294256244
115.0,464.7989119458513,1063.6949056825547,0.0,83.84301290018955
116.0,480.18000003244595,1010.3722461724481,0.0,84.84301285781667
117.0,497.02308183908457,960.1693457268871,0.0,85.8430128154438
118.0,515.4005636438683,912.8929044920097,0.0,86.84301277307091
119.0,535.3907406299103,868.3617466972311,0.0,87.84301273069804
120.0,557.0777216738068,826.4060857732269,0.0,88.84301268832516
121.0,580.5513500708014,786.8668255742385,0.0,89.84301264595227
122.0,605.9077511802128,749.5948305964158,0.0,90.8430126035794
123.0,633.246646201994,714.450562879081,0.0,91.84301256120652
124.0,662.6738212909453,681.3032542652423,0.0,92.84301251883365
125.0,694.3002595844023,650.0303780167744,0.0,93.84301247646076
126.0,728.2414023014295,620.5171685285682,0.0,94.84301243408788
127.0,764.6167184662653,592.656134093267,0.0,95.843012391715
128.0,803.5490327536114,566.3466181142278,0.0,96.84301266277332
129.0,845.1626257680809,541.4944418078543,0.0,96.93315291793294
130.0,889.5886514542631,518.0110689103142,0.0,96.93315291793294
131.0,936.9552340163141,495.8138899752715,0.0,96.93315291793294
132.0,987.3911433557695,474.82552248337754,0.0,96.93315291794775
133.0,1038.4703667467911,458.93529276448726,0.004408275270956997,4.237359150645144
134.0,1096.979299836551,440.868007059284,0.004533628015267345,4.237359150645144
135.0,1159.171321124134,423.8256388140977,0.004659532364611578,4.237359150645144
136.0,1225.2199279820893,407.75056074459906,0.004785767492477471,4.237359150645144
137.0,1295.2938159820908,392.5920174820667,0.0049121120147784456,4.237359150645144
138.0,1369.5635886950702,378.3031068756769,0.005038345388034098,4.237359150645144
139.0,1448.2033264006982,364.8318635186908,0.005164248777280665,4.237359816478517
140.0,1531.3761707543174,352.13433802854155,0.0052895963161761995,4.237375905021507
141.0,1619.235495635153,340.16950982679157,0.005414236407594127,4.237328546492234
142.0,1711.9402838531607,328.8944490421651,0.005535913433926617,4.240060192715777
143.0,1809.6303939141558,318.27105307586834,0.005654094353422724,4.246229135180816
144.0,1912.430908377841,308.26406249989145,0.005768645123043724,4.256004351583178
145.0,2020.4568737348652,298.8394639728064,0.005879194492647194,4.269951410593674
146.0,2133.8086302611996,289.9699102177373,0.0059873446245689525,4.285708393520459
147.0,2252.573309665792,281.6281987734643,0.006093626279711968,4.302360349607895
148.0,2376.8174052676763,273.7873300432542,0.006197909395455419,4.319970810558649
149.0,2506.592383201844,266.42169896792143,0.00630007445227246,4.338608191346484
150.0,2641.927732390641,259.5070193567123,0.0064000122961233126,4.35834590071827
151.0,2782.8239430228728,253.0203520762343,0.006497625259407135,4.379263180373979
152.0,2929.2621615106254,246.9398191754618,0.006592826666807961,4.40144521940975
153.0,3081.1959659585573,241.24455781844614,0.006685540447885723,4.424983303454514
154.0,3238.5427574959863,235.91472392584348,0.006775701853050293,4.449975699488788
155.0,3401.194194068298,230.93128316819664,0.0068632570081328306,4.476527989582609
156.0,3569.0107380028808,226.2759506025013,0.006948162109615174,4.504753089958299
157.0,3741.8133678263957,221.93119164472975,0.007030383719474392,4.534772087252307
158.0,3919.388697619145,217.8801146698179,0.007109898709517283,4.566715127193429
159.0,4101.493094945706,214.10634714052492,0.007186692583049895,4.60072070967265
160.0,4287.836030494217,210.59411932268972,0.007260760353765909,4.636937310492366
161.0,4478.098171720645,207.32809401734235,0.007332105559324906,4.675523716280299
162.0,4671.923989305648,204.29335883162423,0.0074007391320349974,4.7166484619702365
163.0,4868.914732578487,201.47546126885956,0.00746668012512309,4.760491955917487
164.0,5068.645729219566,198.86027644655894,0.007529954137241483,4.8072459418939975
165.0,5270.656373335381,196.43404460205684,0.007590592893027074,4.857113487359593
166.0,5474.45300600538,194.1833767686447,0.007648634452156191,4.910311176563178
167.0,5679.521068886734,192.09517583715956,0.0077041216019479684,4.967067736658401
168.0,5885.316941598252,190.15669529345146,0.007757101984799364,5.027624852959275
169.0,6091.2791570256895,188.35553164137974,0.007807627621989728,5.0922387215194345
