Time,J,A,S,tau
0.0,100.0,10.0,0.8897001149109326,16.46160375133715
1.0,127.25227059747306,24.07662804509537,0.872060973595943,15.871521511091721
2.0,189.01658838520444,37.67026133613904,0.8535076197847549,15.255627237986191
3.0,281.8723274239302,50.760060616692314,0.8340500079327352,14.61365328204961
4.0,402.05947591217307,63.32588070026957,0.8137035700957898,13.945321322611356
5.0,545.5446407687349,75.34808732936776,0.7924901831985632,13.250360364891566
6.0,708.0926210011465,86.80772278059962,0.7704385220471088,12.528507210035587
7.0,885.341870834292,97.68668206524546,0.7475843535988288,11.779506926570678
8.0,1072.8819959565676,107.96789835931057,0.7239707615544023,11.003113324352494
9.0,1266.331680395448,117.63553694643781,0.699648291481523,10.199089435950196
10.0,1458.1925599014,131.4881478477233,0.6799821714533874,9.600108113173501
11.0,1658.27862196838,175.61063782459524,0.6701529652386873,9.439416801696469
12.0,1924.555475747511,247.91731715380575,0.6601896201139025,9.282782982836293
13.0,2298.0560350248425,343.8555438325312,0.6501010847451333,9.130130129209173
14.0,2802.1082245304106,458.87422082618593,0.6398968153717024,8.981382042063629
15.0,3444.282633836791,588.5160999112192,0.6295867502920467,8.83646296357428
16.0,4218.716893711878,728.5010109896364,0.6191812809162349,8.695297682583535
17.0,5108.68012128628,874.7980051518115,0.6086912190857002,8.557811631866974
18.0,6089.231978189864,1023.6824829562505,0.5981277614170593,8.423930979200087
19.0,7121.673124998915,1185.8449710446503,0.5875024501081202,8.293582708483266
20.0,8178.854632613579,1407.4141211927688,0.5768271304197102,8.166694691647699
21.0,9296.316497674059,1720.7485707173576,0.5661139069557007,8.043195759770878
22.0,10536.3736659182,2140.7266939991337,0.5553750967464116,7.923015762560533
23.0,11957.616505930877,2668.186234330283,0.544623180354664,7.806085621161149
24.0,13597.644203274847,3292.139143769042,0.5338112922713278,7.6939688075535555
25.0,15465.80771327305,3985.3132293380118,0.5225196310728611,7.597968944148585
26.0,17527.476104213336,4721.7937988381955,0.5106889329080965,7.518813982386374
27.0,19710.270873175643,5489.617205508492,0.49831671380263903,7.455815318417022
28.0,21918.20272516954,6312.330485588758,0.4854063153344886,7.40832103202489
29.0,24078.16085820132,7225.040688008054,0.4719672858320117,7.3757133840071285
30.0,26152.381427479573,8253.064859234357,0.4580156770284283,7.35740649710479
31.0,28127.66025051579,9403.070668786795,0.44356531801026755,7.35305757793849
32.0,29988.007743203514,10678.530814376925,0.4290299621204158,7.353057577938913
33.0,31730.384636300532,12060.97117422592,0.41461671654241145,7.353057577938913
34.0,33346.65927110028,13514.08851945399,0.4003514956059085,7.353057577938913
35.0,34809.65583807003,15002.08703745444,0.38625947614722395,7.353057577938913
36.0,37155.55738268489,15163.172816138916,0.34733976500680214,7.958444536910156
37.0,38964.73991738694,14472.908233635904,0.2971510584625159,8.958444463380749
38.0,39530.48655392929,13807.47196509581,0.25282050132567674,9.958444389851337
39.0,39110.64148392646,13166.400554338783,0.21390620962080323,10.958444316321923
40.0,37931.824736419425,12549.214084985115,0.1799604275800146,11.958444242792508
41.0,36190.45924111826,11955.417675918003,0.15053672265664939,12.958444169263093
42.0,34054.25926613314,11384.502919531902,0.1251963572022237,13.958444095733675
43.0,31664.007383963894,10835.9494850519,0.10351431347806453,14.95844402220426
44.0,29135.683861171172,10309.226464625894,0.08508381471173014,15.958443948674843
45.0,26562.71387043464,9803.794013134506,0.06952068076541221,16.958443875145424
46.0,24018.402341987217,9319.104732170767,0.056466130840935366,17.958443801616003
47.0,21558.363703062798,8854.605068011806,0.04558883670804997,18.958443728086582
48.0,19222.94459866553,8409.736859021885,0.03658643937805377,19.95844365455717
