Time,J,A,S,tau
0.0,100.0,10.0,0.889030934430583,10.736651250558793
1.0,94.76145912926884,19.124943479488103,0.8583399186599103,10.338632264297567
2.0,94.75122457663545,27.51828813308965,0.8265199501769033,9.942867601725238
3.0,98.81022769196575,35.197792877806215,0.7937056568073757,9.547102939152554
4.0,105.88574303698138,42.16831958521561,0.7600201713787474,9.151338276579875
5.0,115.02058128132381,48.43755166579618,0.7255982030018945,8.755573614007194
6.0,125.35967551162469,54.016032677983326,0.6905850878550522,8.35980895143451
7.0,136.15428968232166,58.91717621507066,0.6551355766641102,7.964044288861831
8.0,147.40399927297764,62.46244206810959,0.6259953006473635,7.691351064783297
9.0,156.74528135871628,66.21844241410861,0.6113418320199026,7.692465065695942
10.0,162.71971474763654,72.35333231886017,0.5964690583299969,7.692465065695942
11.0,166.69954481574612,80.09229354706741,0.5813636119891892,7.692465065695942
12.0,169.53114156374056,88.77112129212182,0.566048711938784,7.692465065695942
13.0,171.67571471303273,97.82709755278825,0.5505492435097147,7.692465065695942
14.0,173.32241645866486,106.794748337694,0.5348916530919846,7.692465065695942
15.0,174.4816685999205,115.30013744809773,0.5191038222503302,7.692465065695942
16.0,175.13956398955025,122.96805756619499,0.5032149195204518,7.692465065695942
17.0,175.08225198320164,129.61990228162603,0.4872552326736416,7.692465065695942
18.0,173.68613698474445,135.6656402773654,0.4712559829622121,7.692465065695942
19.0,170.72336058255635,141.3002681420003,0.45524912065688156,7.692465065695942
20.0,166.23228532040912,146.5409412996174,0.43926711012173064,7.692465065695942
21.0,160.39219806174484,151.30154129416766,0.423342696512662,7.692465065695942
22.0,153.4442403019447,155.44797190752834,0.40750866558022963,7.692465065695942
23.0,145.6437655676528,158.83746280468984,0.39179759749462467,7.692465065695942
24.0,137.2395196139564,161.33869919011937,0.37624162075462053,7.692465065695942
25.0,128.45445579166213,162.85186389549227,0.36087216171210035,7.692465065695942
26.0,119.44373218637315,163.35864227418105,0.34571970051126366,7.692465065695942
27.0,110.3308699166018,162.89255628251777,0.3308135413826142,7.692465065695942
28.0,101.23242606658103,161.51034107332723,0.3161815806526945,7.692465065695942
29.0,92.2635440646081,159.2787327677272,0.3018501082081958,7.692465065695942
30.0,83.53483889184632,156.26948548532903,0.2878436145965949,7.692465065695942
31.0,75.14635643535262,152.55810785979986,0.2741846202223958,7.692465065695942
32.0,67.18305649810807,148.2235266174971,0.2608935439123985,7.692465065695942
33.0,59.7111177983203,143.34786271696072,0.24798857083409107,7.692465065695942
34.0,53.14111438898519,137.64848642380676,0.23257950713396194,7.768994154472559
35.0,50.56499710556363,127.65125353441286,0.18695599272433658,8.768991952487964
36.0,47.05897960937756,118.25060141380891,0.14918332025408498,9.768991183257198
37.0,43.00643245638631,109.42320038713697,0.11816167290596993,10.768990414026433
38.0,38.70418661528395,101.14555582914713,0.092891166764553,11.768989644795667
39.0,34.375078668224525,93.39411999476086,0.07247426503342867,12.768988875564903
40.0,30.179900653796643,86.1453902524714,0.05611507033825453,13.768988106334136
41.0,26.22847980862188,79.37600215005062,0.04311624115652448,14.768987337103372
42.0,22.589727764242983,73.06281677563193,0.03287398256546545,15.768986567872606
43.0,19.300558468997586,67.18300221531129,0.024871590016162983,16.768985798641843
44.0,16.373631589110232,61.71410900935886,0.01867199573254684,17.768985029411084
45.0,13.80388325377941,56.63413450355579,0.013909545536230998,18.76898426018033
46.0,11.574001504657591,51.92158915546121,0.010281987587718009,19.76898349094957
47.0,9.658782149929642,47.555547642894474,0.007542143494042593,20.76898272171881
48.0,8.02858683496518,43.515698678045155,0.005490173910624266,21.768981952488048
49.0,6.6519183508553255,39.78238260667154,0.003966204395997276,22.76898118325728
50.0,5.497337345253168,36.33662698362563,0.002843757066239759,23.768980414026515
51.0,4.5347704561007065,33.160173784296006,0.0020238388385787963,24.768979644795753
52.0,3.7363467805587978,30.235500148937508,0.001429780950944995,25.768978875564986
53.0,3.0768717325383728,27.545833572284305,0.0010028233465162895,26.76897810633422
54.0,2.5340240928938442,25.07516125770296,0.0006983918441552941,27.76897733710346
55.0,2.088353588044017,22.808233599115546,0.00048301049536541776,28.768976567872702
56.0,1.7231553309231948,20.73056443216869,0.00033179343086466224,29.76897579864194
57.0,1.4242510190121618,18.82842534267952,0.0002264176933229461,30.76897502941118
58.0,1.1797298811414942,17.088836459686203,0.00015352114766036895,31.768974260180418
59.0,0.9796732199765592,15.499553660748887,0.00010345030751070102,32.76897349094967
60.0,0.8158819082489867,14.049052571559844,6.929444744549396e-05,33.768972721718924
61.0,0.681619276414141,12.726509642150262,4.614995026710866e-05,34.76897195248818
62.0,0.5713780202316089,11.521781051256982,3.056744618863367e-05,35.76897118325744
63.0,0.4806736451680166,10.42537963195655,2.0140834777924198e-05,36.7689704140267
64.0,0.4058651764325988,9.428450116521104,1.3205269361967901e-05,37.76896964479595
65.0,0.34400249546162476,8.522743139174707,0.0,38.76896887556517
66.0,0.2926982567100435,7.700588413374515,0.0,39.76896810633439
