Time,J,A,S,tau
0.0,100.0,10.0,0.756318736455271,26.220371154253822
1.0,412.0802469327532,78.8639535144177,0.7542863888336228,26.16136542651426
2.0,1297.434545730276,145.01934192534767,0.7521875570509058,26.10051971504123
3.0,2723.6292551067772,208.55075673271563,0.7500228968251574,26.03785007986063
4.0,4659.274329372935,269.5406794427102,0.7477931014756041,25.973372771297225
5.0,7074.005572674004,328.0691972745875,0.7454989169933132,25.907104661537467
6.0,9938.465412584585,384.2140751139319,0.7431411416914029,25.83906324129089
7.0,13224.286766625244,438.0508170782355,0.7407206257762398,25.769266616371176
8.0,16904.073544088238,489.65273670496305,0.738238270805521,25.697733503675547
9.0,20951.384839291186,539.0910150808455,0.7356950290803769,25.62448322724964
10.0,25340.717301438104,586.4347634143636,0.7330919029557506,25.549535714148835
11.0,30047.483279918997,631.7510954069993,0.7304299439424964,25.472911488521696
12.0,35048.00778432801,675.1051448800083,0.7277102519793591,25.39463166892225
13.0,40319.48631137592,716.5601953727805,0.7249339742019186,25.31471795946061
14.0,45839.99508713684,756.1776569078647,0.7221023041792707,25.23319264860289
15.0,51588.46251383655,794.017151316904,0.7192164805337878,25.150078600352476
16.0,57544.64262781845,830.1365939312418,0.7162777856717965,25.06539924741682
17.0,63689.117752407576,864.5921869589737,0.713287544629377,24.979178587389764
18.0,70003.25763196398,897.438542369346,0.7102471235701755,24.89144117411262
19.0,76469.23497484726,928.7286288525537,0.707157928329232,24.802212111825252
20.0,83069.9689701383,958.5139430750068,0.7040214028221942,24.711517046180855
21.0,89789.15500793429,986.8444087274158,0.7008390274616684,24.61938215847795
22.0,96611.19810887241,1013.768577463875,0.6976123173962692,24.525834155177552
23.0,103521.25064020866,1039.3335045454337,0.6943428210133177,24.430900265267482
24.0,110505.16943927771,1063.584871444999,0.6910321180086284,24.33460822973555
25.0,117643.2167666729,1189.8343255383743,0.6889965450981201,24.27889480876856
26.0,126890.66595349177,1715.2904383416262,0.687566740144893,24.242534224309818
27.0,141517.80216629233,2624.7179716654427,0.6861556337723367,24.206823687995204
28.0,164464.44960419036,3882.4911192165605,0.6847638736397497,24.17177081828161
29.0,198322.79230658375,5455.146827319668,0.6833921003966499,24.137383011573974
30.0,245361.61937988535,7311.284256124151,0.6820409471841109,24.103667443749067
31.0,307549.3112814609,9421.468178664545,0.6807110391426612,24.07063107172755
32.0,386575.8297961077,11758.135397714674,0.6794029929271962,24.038280635098285
33.0,483873.6600824307,14295.504117780696,0.6781174162328365,24.006622657856216
34.0,600637.3464750983,17009.488566805,0.6768549073218382,23.975663450005072
35.0,737842.5115259324,19877.61436395536,0.6756160545654113,23.945409109361755
36.0,896263.5961289812,22878.937307926542,0.6744014360080789,23.91586552359632
37.0,1076490.1865183127,25993.970789893297,0.6732116188858334,23.887038371265724
38.0,1278944.0061156692,29204.602430086365,0.6720471592700488,23.858933125005866
39.0,1503892.9117277865,32494.03196135654,0.6709086015633244,23.83155505186964
40.0,1751465.4352601315,35846.697173787514,0.6697964781540555,23.804909216266914
41.0,2021664.169989162,39248.20911194366,0.668711308999082,23.77900048149384
42.0,2314378.4645952866,42685.2869044862,0.6676536012682494,23.753833512060375
43.0,2629395.621856667,46145.702093384156,0.6666238489149747,23.729412774679307
44.0,2966412.3419679636,49618.216021562206,0.6656225323787579,23.705742541131418
45.0,3325045.0636902107,53092.526095312554,0.6646501181945973,23.68282688946491
46.0,3704839.290238033,56559.21039476253,0.663707058743397,23.660669707048502
47.0,4105279.144361077,60009.67924607426,0.6627937918207828,23.639274690912348
48.0,4525795.961438673,63436.22439653953,0.6619107401167894,23.618645347188465
49.0,4966378.779458551,67343.68364615043,0.6610583117199362,23.598785002629494
50.0,5436223.906998433,73792.09772534996,0.6602368990269561,23.579696796489497
51.0,5961790.620642426,84865.4009932436,0.6594468788054332,23.561383686353558
52.0,6584800.908259833,102329.53239834096,0.658688611910099,23.543848449537574
53.0,7359474.686957738,127662.65638871705,0.657962443049812,23.52709368489891
54.0,8350060.476814091,162083.1648137044,0.657268700567163,23.5111218146033
55.0,9628644.032777192,206575.6149026116,0.656607696235478,23.49593508589648
56.0,11273207.269251997,261914.68130009176,0.6559797250672301,23.481535572814657
57.0,13365912.001271592,328687.31073257985,0.6553850651383132,23.467925177879295
58.0,15991602.495597882,407313.1121361778,0.6548239774269217,23.45510563376087
59.0,19236493.61197138,498063.15916899196,0.6542967056678092,23.443078504917096
60.0,23187033.72880997,601077.2404861558,0.6538034762149639,23.431845189139196
61.0,27928939.75294274,716379.6897467186,0.6533444979289003,23.421406919159484
62.0,33546353.965936452,843893.9154046556,0.6529199620656861,23.41176476410243
63.0,40121151.16989422,983455.6704578475,0.6525300421943426,23.402919631028382
64.0,47732354.83461696,1134825.1351687692,0.6521748941154855,23.394872266317993
65.0,56455657.43325636,1297697.9499876068,0.6518546557963846,23.387623257039817
66.0,66363046.54531645,1471715.1993347513,0.6515694473223957,23.38117303229871
67.0,77522510.7996883,1656472.5816972284,0.6513193708964362,23.375521864833907
68.0,89997782.58221382,1851528.5015560654,0.651104510728559,23.370669871507328
69.0,103848231.41835722,2056411.638958292,0.6509249331592025,23.366617015644987
70.0,119128767.33582382,2270627.276472949,0.6507806865435669,23.363363107167782
71.0,135889711.4921981,2493663.7521755374,0.6506718012998179,23.36090780396679
