Time,J,A,S,tau
0.0,100.0,10.0,0.9430676344135882,15.655816260011393
1.0,103.25286913699783,15.145426567309023,0.9432905509886971,15.56155364419362
2.0,110.7851671036006,20.250112219079934,0.9435505505114006,15.451132088636692
3.0,122.9713867624804,25.31126929774042,0.9438467829865611,15.324788520369816
4.0,140.19333731844281,30.326580120680973,0.9441784665504626,15.182740457583508
5.0,162.83825592692878,35.29384664561513,0.9445448669917783,15.02519455087145
6.0,191.296912281953,40.21099032651449,0.9449452966747637,14.852346856531243
7.0,225.96160805898432,45.07605160160771,0.9453791132178678,14.664383188997563
8.0,267.22407916621995,49.88718893572269,0.9458457179104219,14.461479552638906
9.0,315.4733256471167,54.642677496299726,0.9463445539336631,14.243802634187027
10.0,371.09338998600975,59.34090755651725,0.9468751044286502,14.01151034281285
11.0,434.4611089600314,63.98038253076046,0.9474368905313515,13.76475236850952
12.0,505.943802765494,68.5597175938519,0.9480294691970753,13.503670795608016
13.0,585.897082263445,73.07763656558528,0.9486524311024779,13.228400703571586
14.0,672.9509080299227,80.50367535407156,0.9490876684105319,13.030548993312093
15.0,771.2870318984893,93.47605783589749,0.949460833501962,12.857821553397875
16.0,889.2818133405598,112.16623741470012,0.9498153856229293,12.692148173137445
17.0,1036.3672151480812,136.9107204275796,0.9501529153328144,12.532996175752922
18.0,1223.2672975540986,168.03492045965842,0.9504748457894147,12.379890415674922
19.0,1462.0256000419135,205.8499732693849,0.9507824515932215,12.232406428273979
20.0,1766.0175821114344,250.6495540756192,0.9510768752882602,12.090164471028416
21.0,2149.94659271009,302.7067474334201,0.9513591418237045,11.952824335998626
22.0,2629.8215599861196,362.2710256668636,0.9516301713000848,11.820080809756027
23.0,3222.917115699674,429.56535854327996,0.9518907902083137,11.691659698262798
24.0,3947.7143928575197,504.7835188445274,0.9521417413718833,11.567314336102791
25.0,4823.673014921303,588.2726682679967,0.9523836927556236,11.446822516512594
26.0,5870.085898602795,685.3260296825277,0.9526172452905773,11.329983784832507
27.0,7117.9363536492565,806.182832999922,0.9528429398422679,11.216617047162938
28.0,8619.654325451836,962.3602772644525,0.953061263397842,11.106558463383081
29.0,10453.12806755964,1166.7033425993657,0.9532726546074747,10.999659575431597
30.0,12725.92958482634,1433.3479669429767,0.953477508716651,10.895785654577075
31.0,15579.524132280803,1777.6583585384287,0.9536761819877247,10.794814232166646
32.0,19193.35859884524,2216.1387119793135,0.9538689956525591,10.696633797133167
33.0,23788.741838049336,2766.3193961940574,0.954056239448724,10.601142640460935
34.0,29632.387409106253,3446.6181007360337,0.9542381747981035,10.508247825511315
35.0,37039.52735113716,4276.177910481768,0.9544150376489061,10.417864275253777
36.0,46375.760750374626,5276.049048376259,0.9545870410321965,10.329913958387996
37.0,58061.18667161782,6481.828338693375,0.9547543773531889,10.244325166325524
38.0,72608.56713814617,7955.615466793067,0.9549172204549765,10.161031867803793
39.0,90688.00924513231,9790.66117422411,0.9550757274659718,10.079973136302472
40.0,113204.70288843836,12115.678319793598,0.9552300404665516,10.001092638201868
41.0,141389.23243257508,15098.828550337126,0.9553802879858302,9.924338177285492
42.0,176899.3959907708,18951.247844953243,0.9555265863456673,9.849661289526384
43.0,221931.85196822518,23929.94059615018,0.9556690408744671,9.777016880480845
44.0,279341.9981328664,30339.946807455526,0.9558077469953171,9.706362903286125
45.0,352769.14747231646,38535.652133117015,0.9559427912071389,9.637660071031988
46.0,446763.1175863447,48924.51079769034,0.956074251968911,9.570871599950298
47.0,566918.5742639177,62000.71562007457,0.956202200493009,9.505962981250988
48.0,720105.2381204882,78418.00463731865,0.9563267014624878,9.442901776705709
49.0,914887.1536609533,99079.13747354668,0.9564478136754824,9.381657436785392
50.0,1162171.1446209736,125237.40467865315,0.9565655906253041,9.322201138523647
51.0,1476115.3593760417,158607.7282611448,0.956680081024616,9.264505640311516
52.0,1875323.8930627676,201484.82032692456,0.9567913292757354,9.20854515294858
53.0,2384339.004534586,256864.73940850372,0.9568993758955545,9.154295224159599
54.0,3035439.1528033135,328566.0805629338,0.9570042578983329,9.101732635522065
55.0,3870735.819963196,421348.68315492466,0.9571060091396949,9.05083531077551
56.0,4944543.991942555,541062.727615456,0.9572046606279065,9.00158223347861
57.0,6326130.38209723,694947.4911149816,0.9573002408034471,8.953953373805879
58.0,8103244.608129564,892168.1034331999,0.9573927757911833,8.907929623069485
59.0,10387051.187782226,1144623.011241265,0.9574822896281181,8.863492735009
60.0,13319161.141058587,1468043.5473293185,0.9575688044678724,8.820625273626366
61.0,17081467.1602943,1883390.171892759,0.9576523407656916,8.779310566234042
62.0,21909545.927936815,2418539.092550335,0.9577329174449342,8.73953266155131
63.0,28110312.10249455,3110241.1452247365,0.9578105520469513,8.701276292282715
64.0,36084533.89393397,4006315.189752395,0.9578852608666849,8.664526841343502
65.0,46354801.6281992,5168122.517130838,0.9579570590744174,8.629270311819976
66.0,59599507.56754519,6673664.747717392,0.9580259608257926,8.595493299874967
67.0,76694562.17692834,8621939.238136332,0.9580919793610291,8.56318297036986
68.0,98766194.69458808,11139290.200217118,0.9581551270940915,8.53232703511358
69.0,127259798.43606766,14388464.286571747,0.9582154156934083,8.502913733054337
70.0,164032018.06305024,18581071.413538493,0.9582728561543843,8.474931812564474
71.0,211474436.52517444,23994065.0799648,0.958327458864811,8.44837051542816
72.0,272678862.59739095,30990679.62118482,0.958379233663925,8.423219562230315
73.0,351655733.1183196,40046233.11587925,0.9584281898954068,8.399469139294453
74.0,453616661.7703097,51779226.27116751,0.9584743364553179,8.377109886659985
75.0,585334930.8710304,66989223.80893474,0.9585176818351552,8.35613288718055
76.0,755600931.8339368,86704831.1114254,0.9585582341605763,8.336529656652345
77.0,975797281.925892,112246598.42661743,0.9585960012263495,8.31829213461526
78.0,1260634441.2050314,145311652.43124023,0.9586309905276029,8.301412676064489
79.0,1629100143.3801336,188088003.44139662,0.9586632092880039,8.285884043745504
80.0,2105699540.8994114,243407183.1735844,0.9586926644849748,8.271699400994741
81.0,2722086499.094148,314945071.66360855,0.9587193628722063,8.25885230524163
82.0,3519201914.2435155,407479917.5460176,0.9587433109998783,8.24733670180993
83.0,4550071726.258879,527218220.3825231,0.9587645152325285,8.237146918234128
84.0,5883432373.458782,682203652.015176,0.9587829817649856,8.228277658953969
85.0,7608390013.583665,882830618.3159322,0.9587987166364202,8.220724000225625
86.0,9840399040.394714,1142499263.7720795,0.9588117257425867,8.214481385480639
87.0,12728901588.65738,1478461407.4333498,0.9588220148465827,8.20954562083475
88.0,16467138332.139305,1912923534.6360164,0.9588295895879841,8.205912870856647
89.0,21304805713.01068,2474494936.3107915,0.9588344554906004,8.203579654645125
90.0,27564408932.088703,3200077686.2020016,0.9588366179689235,8.202542841961815
91.0,35662519590.19063,4137319171.8408656,0.9588360823331675,8.20279964968027
92.0,46137333806.029976,5347765532.172477,0.9588328537931781,8.204347638372111
93.0,59684330333.3516,6910874012.792231,0.9588269374610427,8.207184709004194
94.0,77202349811.22803,8929114726.527456,0.9588183383524705,8.211309099934624
95.0,99852715213.57924,11534445094.598278,0.9588070613870675,8.21671938394195
96.0,129135124614.47214,14896556621.357063,0.9587931113872673,8.22341446548599
97.0,166984871474.83804,19233453792.26298,0.9587764930761129,8.231393578180361
98.0,215897178527.55405,24825030802.597122,0.958757211073762,8.240656282326416
99.0,279086889862.53375,32030573364.550457,0.9587352698925962,8.251202462769125
100.0,360693070838.38983,41311281343.695175,0.9587106739310755,8.263032326878296
101.0,466041607654.22296,53259103274.56767,0.9586834274660584,8.27614640273222
102.0,601982478626.3754,68633612692.055954,0.958653534643594,8.290545537643807
103.0,777320771462.2358,88408841209.1942,0.9586209994681683,8.30623089681324
104.0,1003368318909.5477,113832661410.11761,0.9585858257900924,8.323203962361314
105.0,1294646599758.5347,146502102295.8018,0.9585480172911085,8.341466532680814
106.0,1669779819893.1558,188458572981.30725,0.9585075774679754,8.361020722053393
107.0,2152630977859.0452,242308754709.10965,0.9584645096138035,8.381868960787068
108.0,2773739558938.9014,311377935136.2272,0.9584188167971551,8.404013995689555
109.0,3572143623402.538,399904318688.7153,0.9583705018385172,8.427458891044516
