Time,J,A,S,tau
0.0,100.0,10.0,0.8608107093425663,2.118729104309101
1.0,144.00920084359848,47.362210746460136,0.8332855798767697,1.917419638168587
2.0,292.635689551914,79.35071151990451,0.8125105134445209,1.763698278370062
3.0,532.5786268344091,168.0820621766488,0.8119594678760137,1.763698278370062
4.0,1064.026588801442,332.38143386976134,0.8114326025111818,1.763698278370062
5.0,2077.7309540733413,652.7743138376546,0.8109302532424311,1.763698278370062
6.0,4102.376163048566,1307.0876280026612,0.8104527413668017,1.763698278370062
7.0,8110.444659274501,2569.7928965199853,0.8100003732270172,1.763698278370062
8.0,15994.882304109842,5101.761356394772,0.809573439868499,1.763698278370062
9.0,31599.630429030964,10067.51536662033,0.8091722167128254,1.763698278370062
10.0,62313.27598993031,19893.119543160417,0.8087969632480553,1.763698278370062
11.0,122892.68048296536,39259.188670372634,0.8084479227364798,1.763698278370062
12.0,242170.0960128068,77427.01855646209,0.8081253219401916,1.763698278370062
13.0,477009.3228810917,152636.0936806961,0.8078293708648456,1.763698278370062
14.0,939144.9296153426,300695.4606405031,0.8075602625220454,1.763698278370062
15.0,1848205.820696238,592138.3318322091,0.8073181727107014,1.763698278370062
16.0,3635953.740947216,1165498.4709232107,0.8071032598176326,1.763698278370062
17.0,7150676.393433118,2293201.1583816195,0.8069156646377342,1.763698278370062
18.0,14059400.64561777,4510530.8120738845,0.8067555102140177,1.763698278370062
19.0,27637407.303232256,8869384.25327256,0.8066229016976793,1.763698278370062
20.0,54320436.86823094,17436664.950179875,0.8065179262284209,1.763698278370062
21.0,106754876.50953434,34273607.06834327,0.8064406528352634,1.763698278370062
22.0,209794504.35484934,67360730.54804604,0.8063911323579182,1.763698278370062
23.0,412293125.3457563,132381515.80210671,0.8063693973888295,1.763698278370062
24.0,810302143.9580103,260162804.98318046,0.8063754622360501,1.763698278370062
25.0,1592722990.2781427,511309301.1040379,0.8064093229069401,1.763698278370062
26.0,3131189492.706545,1005000521.1056316,0.8064709571126939,1.763698278370062
27.0,6157119610.785597,1975679263.2066507,0.8065603242937531,1.763698278370062
28.0,12110668854.667883,3884699811.679962,0.8066773656660471,1.763698278370062
29.0,23828911270.97006,7640338835.907037,0.8068220042879473,1.763698278370062
30.0,46903882237.234436,15031597032.078663,0.8069941451478868,1.763698278370062
31.0,92364410627.07616,29584076458.345207,0.8071936752725377,1.763698278370062
32.0,181976193386.90762,58249763736.73387,0.8074204638553222,1.763698278370062
33.0,358724502334.53796,114745691321.73453,0.8076743624050982,1.763698278370062
34.0,707564861318.9727,226155546651.87827,0.8079552049148557,1.763698278370062
35.0,1396536556452.8025,445994045438.9088,0.8082628080501049,1.763698278370062
36.0,2758297230132.0493,880083822694.5769,0.808596971356683,1.763698278370062
37.0,5451976689290.437,1737857287838.6174,0.8089574774877497,1.763698278370062
38.0,10784805642476.357,3434162823305.2505,0.8093440924495694,1.763698278370062
39.0,21351928807729.156,6791500991435.393,0.8097565658657029,1.763698278370062
40.0,42310576089060.664,13442185762320.467,0.8101946312592927,1.763698278370062
41.0,83920494378241.4,26628946914209.598,0.8106580063529741,1.763698278370062
42.0,166615134906481.9,52800558738650.195,0.8111463933859404,1.763698278370062
43.0,331137012762016.1,104795739517158.73,0.8116594794477419,1.763698278370062
44.0,658820288926301.9,208203981909686.38,0.8121969368283071,1.763698278370062
45.0,1312233258756338.2,414089359907129.3,0.812758423383617,1.763698278370062
46.0,2616726431761789.0,824475539927648.0,0.8133435829165151,1.763698278370062
47.0,5224282428323594.0,1643458316946281.2,0.8139520455720964,1.763698278370062
48.0,1.044319918382903e+16,3279857041781570.5,0.8145834282470212,1.763698278370062
49.0,2.0902398864622196e+16,6553664337994303.0,0.8152373350121486,1.763698278370062
50.0,4.189197392743095e+16,1.3111844319819152e+16,0.8159133575478794,1.763698278370062
51.0,8.407245184472715e+16,2.626699589893062e+16,0.816611075591492,1.763698278370062
52.0,1.6895865597781824e+17,5.269148096530106e+16,0.8173300573957829,1.763698278370062
53.0,3.400368753810697e+17,1.0584482169364142e+17,0.8180698601983483,1.763698278370062
54.0,6.853381610217139e+17,2.1291844681109558e+17,0.8188300307007461,1.7636982783700614
55.0,1.383347397540512e+18,4.2892981802449395e+17,0.8196101056611291,1.7636982772460925
56.0,2.796582938858437e+18,8.652806258017893e+17,0.820397707055255,1.7638269994485296
57.0,5.661533870180538e+18,1.7457840990645627e+18,0.8210503942112585,1.7656271338295848
58.0,1.146854899368984e+19,3.5226538460853023e+18,0.8215665356344724,1.7691324652561653
59.0,2.3243895496727794e+19,7.11358478477342e+18,0.8220835989337363,1.772855179560733
60.0,4.714015242244401e+19,1.437078930066153e+19,0.8226120338815356,1.7766787007377502
61.0,9.565642068972621e+19,2.9048039135072514e+19,0.823151585029192,1.7806026198447769
62.0,1.942217420196435e+20,5.874545519203457e+19,0.8237019950543558,1.7846264875742917
63.0,3.945755581372034e+20,1.188646720701162e+20,0.8242630028046014,1.7887498373910125
64.0,8.02067774976159e+20,2.4063297319237203e+20,0.8248343435015577,1.7929721851181957
65.0,1.631311274881251e+21,4.873873457464567e+20,0.8254157489463622,1.7972930285177284
66.0,3.319730115649976e+21,9.876664463434121e+20,0.8260069477262024,1.8017118468644744
67.0,6.759350077742807e+21,2.0024343783841333e+21,0.8266076654216873,1.8062281005151455
68.0,1.377012850343308e+22,4.06176674665444e+21,0.8272176248148077,1.8108412304720725
69.0,2.8067037266388726e+22,8.24282188710413e+21,0.82783654609725,1.8155506579423237
70.0,5.723669342839484e+22,1.6735402566124738e+22,0.8284641470788185,1.8203557838925062
71.0,1.1677921127781517e+23,3.3993079589250307e+22,0.8291001433957208,1.825255988599606
72.0,2.3837605098119353e+23,6.907695496787022e+22,0.829744248718489,1.8302506311983142
73.0,4.868086574689506e+23,1.4042937394397364e+23,0.8303961749593006,1.8353390492252482
74.0,9.945916472050328e+23,2.8559995507660246e+23,0.8310556324784617,1.8405205581603847
75.0,2.032890030155123e+24,5.81067614347544e+23,0.831722330289831,1.8457944509661721
76.0,4.1567770392109464e+24,1.1826494044991523e+24,0.832395976264963,1.8511599976247541
77.0,8.502845042815268e+24,2.4078984928043937e+24,0.8330762773357404,1.8566164446736297
78.0,1.7399108618445237e+25,4.904162474896568e+24,0.8337629396952936,1.8621630147401944
79.0,3.5615162741929656e+25,9.991421686315913e+24,0.8344556689969892,1.8677989060756386
80.0,7.292522235526779e+25,2.03618058332312e+25,0.8351541705512847,1.8735232920885214
81.0,1.4936364118099549e+26,4.150710090544296e+25,0.8358581495202506,1.8793353208784305
82.0,3.060026899656364e+26,8.463222668482094e+25,0.8365673111095677,1.885234114770245
83.0,6.27057561320571e+26,1.7260211640351233e+26,0.8372813607578099,1.891218769849322
84.0,1.2852268845643273e+27,3.5208127600872005e+26,0.8380000043228345,1.897288355497982
85.0,2.634695303075586e+27,7.183157410339295e+26,0.8387229482651049,1.903441913933811
86.0,5.40190370127596e+27,1.465724218750463e+27,0.8394498998277774,1.9096784597501293
87.0,1.1076859753318598e+28,2.9911770166332045e+27,0.8401805672133947,1.915996979458969
88.0,2.2715747564822403e+28,6.104825711945273e+27,0.8409146597570337,1.9223964310370445
89.0,4.658700855985694e+28,1.2460449701984195e+28,0.8416518880957573,1.9288757434751196
90.0,9.554694563404956e+28,2.5433797241962873e+28,0.8423919643342404,1.935433816331073
91.0,1.9596094369588988e+29,5.191505973629498e+28,0.8431346022064374,1.9420695192870998
92.0,4.018918561301076e+29,1.0596623837925627e+29,0.8438795172331663,1.9487816917115082
93.0,8.24179914528474e+29,2.1628220787636313e+29,0.8446264268755,1.955569142225379
94.0,1.6900285244481806e+30,4.414080413244474e+29,0.8453750506838625,1.9624306482744858
95.0,3.465062122722031e+30,9.007674887736261e+29,0.846125110442723,1.9693649557069703
96.0,7.103276297631084e+30,1.837912448909865e+30,0.8468763303108057,1.976370778357031
97.0,1.4558706918365063e+31,3.749412419105e+30,0.8476284369567375,1.983446797634974
98.0,2.9832443502748784e+31,7.647410287197154e+30,0.8483811596900522,1.9905916621241577
99.0,6.111421074332644e+31,1.5594257006614203e+31,0.8491342305874896,1.9978039871850883
100.0,1.2516084272413621e+32,3.179072588245564e+31,0.8498873846145407,2.0050823545670053
101.0,2.562436100633919e+32,6.479000049800233e+31,0.8506403597421816,2.012425312027467
102.0,5.2442240298339976e+32,1.3199987037454199e+32,0.8513928970587519,2.019831372960275
103.0,1.0728488540993598e+33,2.688333990613821e+32,0.8521447408769606,2.027299016032029
104.0,2.1938676269736472e+33,5.472974565207863e+32,0.8528956388359833,2.034826684827839
105.0,4.484172217366979e+33,1.1137311142982138e+33,0.8536453419986247,2.042412787506599
106.0,9.160933292657451e+33,2.2653757145024655e+33,0.8543936049435562,2.050055696466158
107.0,1.8705460529150262e+34,4.605634818995458e+33,0.8551401858526156,2.0577537480188512
108.0,3.817279865629349e+34,9.35867879226944e+33,0.8558848465931614,2.0655052420779696
109.0,7.7854253867522555e+34,1.9006485219261394e+34,0.8566273527955088,2.0733084418554912
110.0,1.58686316593852e+35,3.857784568563078e+34,0.8573674739254624,2.081161573571598
111.0,3.232298608297194e+35,7.825457930278317e+34,0.858104983351955,2.0890628261766375
112.0,6.579373957061594e+35,1.5863681611965238e+35,0.8588396584098298,2.0970103510859817
113.0,1.3382748236565806e+36,3.213717433923645e+35,0.8595712804578118,2.105002261928312
114.0,2.720071483219761e+36,6.505910539731113e+35,0.8602996349316866,2.1130366343081692
115.0,5.524289103689958e+36,1.3161109226868193e+36,0.8610245113927414,2.1211115055833054
116.0,1.1210389693122988e+37,2.660409378697254e+36,0.8617457035715278,2.129224874657528
117.0,2.273005991876039e+37,5.373581464860721e+36,0.8624630094069868,2.1373747017899296
118.0,4.604723108899329e+37,1.0844925072837928e+37,0.8631762310809941,2.1455589084213225
119.0,9.32003234695266e+37,2.186879406358033e+37,0.8638851750484006,2.1537753770186545
120.0,1.884648795988084e+38,4.406027642338471e+37,0.864589652062629,2.1620219509384597
121.0,3.807421078425936e+38,8.869158919429841e+37,0.8652894771968833,2.170296434310427
122.0,7.684357948326337e+38,1.7836903916462048e+38,0.8659844698610598,2.1785965919420556
123.0,1.5493500428418652e+39,3.583832434993236e+38,0.8666744538144378,2.186920149245601
124.0,3.1206575455602676e+39,7.193772869224776e+38,0.8673592571742011,2.1952647921887127
125.0,6.278949002376318e+39,1.4425684220361816e+39,0.868038712419898,2.2036281672699474
126.0,1.262008249718564e+40,2.8898618601841044e+39,0.8687126563939158,2.2120078815206
127.0,2.5337409419600806e+40,5.783214599563446e+39,0.8693809302980375,2.220401502534523
128.0,5.08133382415656e+40,1.1561227990929416e+40,0.8700433796861792,2.228806558527442
129.0,1.0178879427891527e+41,2.3087257490124534e+40,0.8706998544533964,2.2372205384274224
130.0,2.0366690856565638e+41,4.605386904770819e+40,0.8713502088212373,2.2456408919984843
131.0,4.0703439059657515e+41,9.176503869260232e+40,0.871994301319526,2.254065029999187
132.0,8.125016581180907e+41,1.8264092906208406e+41,0.8726319947646848,2.262490324378129
133.0,1.619916710483687e+42,3.6309602903027874e+41,0.873263156234662,2.2709141085085935
134.0,3.225740996378308e+42,7.210087813217231e+41,0.8738876570405594,2.2793336774645874
135.0,6.415467123984261e+42,1.4300419951066143e+42,0.8745053726950552,2.287746288340426
136.0,1.274333494314992e+43,2.832958530278285e+42,0.8751161828777099,2.2961491606163897
137.0,2.528065535078841e+43,5.60543327263784e+42,0.8757199713972263,2.304539476573006
138.0,5.008859384823516e+43,1.1077721237924557e+43,0.8763166261507739,2.312914381756421
139.0,9.911285820852744e+43,2.1865489139357936e+43,0.8769060390804589,2.3212709854975326
140.0,1.9586531663364518e+44,4.310534370368937e+43,0.8774881061270143,2.329606361487779
141.0,3.865606354122122e+44,8.487155849945169e+43,0.8780627271808085,2.3379175484142167
142.0,7.619158003443083e+44,1.6689714271548894e+44,0.8786298060302641,2.3462015506567657
143.0,1.499763211204525e+45,3.2778435798405694e+44,0.8791892503077563,2.354455339050634
144.0,2.948236303404018e+45,6.4295037564511405e+44,0.8797409714330837,2.3626758517167685
145.0,5.787937484652856e+45,1.2595470223608568e+45,0.8802848845546061,2.3708599949632307
146.0,1.134764667970797e+46,2.4643210415491134e+45,0.8808209084881177,2.379004644260541
147.0,2.221810890340846e+46,4.815315996314195e+45,0.8813489656535457,2.387106645293926
148.0,4.3443730669299007e+46,9.397146622421256e+45,0.8818689820095664,2.39516281509526
149.0,8.483317904764291e+46,1.8315151645658018e+46,0.8823808869862139,2.4031699432576503
150.0,1.6543341616964372e+47,3.565072130708371e+46,0.8828846134155615,2.411124793235448
151.0,3.2218132697480094e+47,6.93058375859845e+46,0.8833800974605746,2.4190241037323044
152.0,6.26611526152394e+47,1.3455998598448588e+47,0.8838672785422081,2.426864590179858
153.0,1.2170793942140488e+48,2.609203750494558e+47,0.8843460992648337,2.4346429463095536
154.0,2.360826395007111e+48,5.052981608907883e+47,0.8848165053400839,2.4423558458197916
155.0,4.573370834103888e+48,9.773212453969738e+47,0.8852784455092094,2.44999994414046
156.0,8.84787531528151e+48,1.887902271952336e+48,0.8857318714640143,2.457571880296824
157.0,1.709523939556948e+49,3.642312879727995e+48,0.8861767377664773,2.4650682788743197
158.0,3.298746391628253e+49,7.018334695665951e+48,0.8866130017671425,2.4724857520855985
159.0,6.357180311103501e+49,1.350684560348495e+49,0.8870406235223661,2.4798209019409585
160.0,1.2235639908171007e+50,2.5962178973604423e+49,0.8874595657105123,2.487070322522873
161.0,2.352017795697474e+50,4.984257229783602e+49,0.8878697935471995,2.4942306023650156
162.0,4.515562683493813e+50,9.557340822596384e+49,0.8882712746996846,2.501298326935835
163.0,8.658575649381273e+50,1.8304445688670822e+50,0.8886639792004817,2.5082700812263217
164.0,1.6582530807269257e+51,3.501587099604993e+50,0.8890478793603247,2.515142452441194
165.0,3.171989339128365e+51,6.690653356052405e+50,0.889422949680566,2.5219120327922657
166.0,6.060330398831385e+51,1.2769509121903993e+51,0.8897891667651193,2.5285754223923584
167.0,1.1565175860725987e+52,2.4343842011407414e+51,0.8901465092320517,2.5351292322475847
168.0,2.2044864651289577e+52,4.635758199615055e+51,0.8904949576249318,2.5415700873453204
169.0,4.1973024804642165e+52,8.818143769567413e+51,0.8908344943240553,2.5478946298348157
170.0,7.982694060599909e+52,1.675585509204001e+52,0.8911651034576433,2.554099522296602
171.0,1.5165407479704035e+53,3.180516575563729e+52,0.8914867708131436,2.5601814510965983
172.0,2.878018324881482e+53,6.030863043978311e+52,0.8917994837487527,2.566137129820202
173.0,5.456041395429577e+53,1.142408218099207e+53,0.8921032311052661,2.571963302780857
174.0,1.0332762470220993e+54,2.1618867363470123e+53,0.8923980031183956,2.577656748597559
175.0,1.9548814528494278e+54,4.087186036788181e+53,0.892683791331669,2.5832142838347325
176.0,3.694879682842577e+54,7.719799582717546e+53,0.8929605885100372,2.5886327666975286
177.0,6.976974396063816e+54,1.45676174310642e+54,0.8932283885543271,2.593909100775438
178.0,1.316231642001523e+55,2.7465209122763503e+54,0.8934871864166586,2.599040238825892
179.0,2.4808898322287616e+55,5.173690090048002e+54,0.8937369780169637,2.6040231865896644
180.0,4.672018647135411e+55,9.737616768840121e+54,0.8939777601607425,2.6088550066293803
181.0,8.790950214924836e+55,1.8312664905259625e+55,0.89420953045818,2.6135328221813188
182.0,1.6527746756130097e+56,3.441193866075817e+55,0.8944322872447675,2.618053821011332
183.0,3.1049231331443697e+56,6.461567906856489e+55,0.8946460295035588,2.6224152592646406
184.0,5.828548046939214e+56,1.212412673240085e+56,0.8948507567891937,2.6266144652987458
185.0,1.0933404367144651e+57,2.2733155778670857e+56,0.8950464691538259,2.6306488434894484
186.0,2.049507153484515e+57,4.25969850717784e+56,0.8952331670750862,2.634515877998447
187.0,3.839335421874127e+57,7.976661602370694e+56,0.8954108513862132,2.638213136491466
188.0,7.187686475740375e+57,1.4927953695093285e+57,0.8955795232084818,2.6417382737961796
189.0,1.3448155695435996e+58,2.7920935894077905e+57,0.8957391838860588,2.6450890354876804
190.0,2.514728022013765e+58,5.2194432343271004e+57,0.895889834923409,2.648263261390735
191.0,4.6998982061744257e+58,9.752077086224644e+57,0.8960314779253771,2.6512588889875066
192.0,8.779495860497051e+58,1.8212229257003502e+58,0.8961641145400648,2.6540739567186593
193.0,1.6392645768704198e+59,3.3996688866958653e+58,0.8962877464046173,2.6567066071677132
194.0,3.059438943412212e+59,6.343549914162868e+58,0.8964023750940341,2.6591550901171015
195.0,5.707720854731963e+59,1.183218810237335e+59,0.8965080020731101,2.6614177654649964
196.0,1.0644540811022399e+60,2.2062244309832377e+59,0.8966046286516066,2.6634931059934974
197.0,1.9844934035232195e+60,4.1124563089244475e+59,0.896692255942756,2.665379699977127
198.0,3.69867471485107e+60,7.663638008144571e+59,0.8967708848251847,2.667076253622576
199.0,6.891785733930878e+60,1.427795657754431e+60,0.896840515908343,2.668581593331163
200.0,1.283872852005325e+61,2.6595602883380617e+60,0.8969011495015203,2.669894667774325
201.0,2.3912904171522332e+61,4.953152649815449e+60,0.8969527855865168,2.671014549775393
202.0,4.4532625700583714e+61,9.223531025316528e+60,0.8969954237940352,2.671940437990151
203.0,8.292310055060086e+61,1.7174014460276613e+61,0.8970290633838544,2.672671658378926
204.0,1.543972597457531e+62,3.197577846692908e+61,0.8970537032288258,2.673207665465712
205.0,2.8746578824360987e+62,5.953341032952741e+61,0.897069341802745,2.6735480433783723
206.0,5.352181795666373e+62,1.108424942908291e+62,0.8970759771721234,2.673692506665778
207.0,9.965274938834826e+62,2.0638274555909257e+62,0.897073606991887,2.673640900889496
208.0,1.8555689967417882e+63,3.8430645599035077e+62,0.8970622285050229,2.6733932029862237
209.0,3.45549155052053e+63,7.157061220166376e+62,0.8970418385461764,2.6729495214002146
210.0,6.435807470664373e+63,1.3330922004542457e+63,0.8970124335492006,2.672310095985246
211.0,1.1988703749098793e+64,2.4835308742379203e+63,0.8969740095586525,2.6714752976751477
212.0,2.233740642327372e+64,4.627840010277788e+63,0.8969265622452088,2.6704456279252873
213.0,4.162938557923755e+64,8.625851909847725e+63,0.8968700869249874,2.6692217179264492
214.0,7.760491427810294e+64,1.608258504818518e+64,0.8968045785827309,2.667804327593444
215.0,1.4471566292754896e+65,2.999543842704297e+64,0.89673003189881,2.6661943443333884
216.0,2.699566641139085e+65,5.596484253760111e+64,0.8966464412800017,2.6643927815971256
217.0,5.037785102840515e+65,1.0446025709209198e+65,0.8965538008939764,2.6624007772194354
218.0,9.40517973234112e+65,1.9506423253660836e+65,0.8964521047074291,2.6602195915549296
219.0,1.7566738151028282e+66,3.6442635292058915e+65,0.8963413465277841,2.657850605415232
220.0,3.2826618772081157e+66,6.811803880796463e+65,0.8962215200483856,2.6552953178160377
221.0,6.137430070369239e+66,1.2739410610765254e+66,0.8960926188970915,2.6525553435422284
222.0,1.1481179453026324e+67,2.3838873014021077e+66,0.8959546366881708,2.649632410539012
223.0,2.1490173179646768e+67,4.4636023186420556e+66,0.8958075670774069,2.646528357139656
224.0,4.0249513353933376e+67,8.363012370938612e+66,0.8956514038203008,2.643245129138977
225.0,7.543314201358103e+67,1.5679464630166377e+67,0.8954861408332583,2.6397847767227316
226.0,1.4146791262533959e+68,2.9417423546214644e+67,0.8953117722576462,2.636149451264465
227.0,2.654978853355095e+68,5.523271470339324e+67,0.8951282925266001,2.632341401999809
228.0,4.986368731983245e+68,1.0378142505163183e+68,0.8949356964344497,2.628362972589943
229.0,9.372179420085604e+68,1.9515845775991076e+68,0.8947339792086418,2.6242165975859573
230.0,1.7629585457395628e+69,3.6729272690842423e+68,0.8945231365840228,2.6199047988048014
231.0,3.3189519546519116e+69,6.918419759944908e+68,0.894303164879345,2.6154301816291974
232.0,6.2535857131965995e+69,1.3043176686755386e+69,0.8940740610758683,2.6107954312429222
233.0,1.1793374341925781e+70,2.4612379638018557e+69,0.8938358228979056,2.606003308812517
234.0,2.226071588567944e+70,4.648675568091354e+69,0.8935884488951803,2.601056647627613
235.0,4.205748349708552e+70,8.788639753902436e+69,0.8933319385268553,2.595958349210549
236.0,7.953552857479385e+70,1.6631899607520867e+70,0.8930662922470824,2.5907113794063257
237.0,1.50557756838922e+71,3.150653137686563e+70,0.89279151159194,2.5853187644641022
238.0,2.852852069036536e+71,5.974592605658861e+70,0.892507599267613,2.579783587120007
239.0,5.41126914161844e+71,1.1341617284365233e+71,0.8922145592396684,2.5741089826917243
240.0,1.0274771484709337e+72,2.1553136686586667e+71,0.8919123968232987,2.5682981351945515
241.0,1.9530230878841272e+72,4.100380395213347e+71,0.8916011187743766,2.5623542734877325
242.0,3.716321831456201e+72,7.809531957242292e+71,0.8912807333811973,2.5562806674602623
243.0,7.07943072555228e+72,1.4890929465415708e+72,0.890951250556765,2.5500806242642162
244.0,1.3501136075409132e+73,2.8426461450377674e+72,0.8906126819314855,2.5437574846032045
245.0,2.5777259006708323e+73,5.432953093120286e+72,0.8902650409461408,2.5373146190834843
246.0,4.927252439352187e+73,1.0396062005256595e+73,0.889908342945009,2.530755424634107
247.0,9.429338688102086e+73,1.991721501194763e+73,0.8895426052689962,2.5240833210022755
248.0,1.8066430957347871e+74,3.8205161685724565e+73,0.8891678473486712,2.517301747329598
249.0,3.465646067327233e+74,7.337625019050618e+73,0.8887840907970578,2.510414158813987
250.0,6.656136540851848e+74,1.411025728968117e+74,0.8883913595020767,2.503424023461797
251.0,1.2799458698594462e+75,2.716851628947328e+74,0.887989679718523,2.496334818934035
252.0,2.464319855043377e+75,5.237856023040935e+74,0.8875790801594411,2.4891500294898923
253.0,4.750538755366772e+75,1.0111195998937956e+75,0.8871595920868109,2.4818731430304948
254.0,9.169231268659881e+75,1.9544167240064913e+75,0.8867312494014182,2.474507648245075
255.0,1.7720283430546186e+76,3.782694257816698e+75,0.8862940887317932,2.4670570318613643
256.0,3.4289334796212724e+76,7.330914892652974e+75,0.8858481495221361,2.459524776001491
257.0,6.643558567449819e+76,1.422626721534199e+76,0.8853934741190992,2.4519143556442398
258.0,1.2888365660121585e+77,2.764407257980626e+76,0.8849301078573315,2.4442292361940634
259.0,2.5035255694903336e+77,5.378900412867773e+76,0.8844580991437,2.436472871156797
260.0,4.869278526842943e+77,1.0480137611313812e+77,0.8839774995400611,2.4286486999217844
261.0,9.482794262230951e+77,2.0446716701515725e+77,0.8834883638445084,2.4207601456495653
262.0,1.8491307162305746e+78,3.994515104673008e+77,0.8829907501709983,2.412810613264053
263.0,3.61042552617708e+78,7.81427384741547e+77,0.8824847200272363,2.4048034875479485
264.0,7.05842940321415e+78,1.5307245574418875e+78,0.8819703383907689,2.3967421313395287
265.0,1.3817064794870722e+79,3.002539404848814e+78,0.8814476737831589,2.3886298838290845
266.0,2.7081959362312843e+79,5.897424671267926e+78,0.8809167983421553,2.3804700589528642
267.0,5.314948613933941e+79,1.159889389409924e+79,0.8803777878917943,2.372265943882053
268.0,1.0444088396930227e+80,2.284279226659447e+79,0.8798307220103031,2.364020797604572
269.0,2.0549045622946605e+80,4.504614777648441e+79,0.8792756840957405,2.3557378495969177
270.0,4.048175143539681e+80,8.894859563263177e+79,0.8787127614292944,2.3474202985832426
271.0,7.984907189948885e+80,1.758693016570414e+80,0.8781420452361087,2.339071311379151
272.0,1.5769548003602691e+81,3.481822117499609e+80,0.8775636307435944,2.3306940218169934
273.0,3.1181932631159453e+81,6.90215123812185e+80,0.876977617237116,2.322291529749877
274.0,6.1732845761496345e+81,1.3699946123093372e+81,0.8763841081129473,2.313866900131547
275.0,1.2236399973029894e+82,2.7227298779725607e+81,0.8757832109284515,2.3054231621688532
276.0,2.428339971031332e+82,5.417962005819885e+81,0.8751750374493534,2.2969633085441323
277.0,4.824780296162546e+82,1.0794607843406287e+82,0.8745597036940291,2.2884902947044816
278.0,9.597348531969185e+82,2.1533313501465095e+82,0.8739373299747478,2.280007038214802
279.0,1.9112776452616177e+83,4.3007181876484425e+82,0.8733080409357301,2.2715164181721184
280.0,3.8105495922504827e+83,8.599828872679852e+82,0.8726719655879689,2.263021274678095
281.0,7.605628582276718e+83,1.7216690110294182e+83,0.872029237340725,2.2545244083669878
282.0,1.5197010738459282e+84,3.450740575286001e+83,0.8713799940295684,2.2460285799866937
283.0,3.039822315982756e+84,6.924193135310853e+83,0.8707243779409299,2.2375365100299174
284.0,6.086904070972012e+84,1.390949527168944e+84,0.8700625358330367,2.2290508784131804
285.0,1.2200951578888479e+85,2.7972383568399797e+84,0.8693946189531452,2.2205743242013902
286.0,2.448106680637119e+85,5.631366995778829e+84,0.8687207830510183,2.2121094453753
287.0,4.916959047530831e+85,1.1348916665264222e+85,0.8680411883885097,2.2036587986400633
288.0,9.885124943007994e+85,2.289500225929934e+85,0.8673559997452018,2.195224899272592
289.0,1.9891913488506785e+86,4.6234059343765074e+85,0.8666653864200206,2.1868102210055738
290.0,4.0065359520871304e+86,9.345602398892195e+85,0.8659695222287026,2.178417195946619
291.0,8.076968314724819e+86,1.8908847520455712e+86,0.865268585497077,2.1700482145304107
292.0,1.629683533482241e+87,3.829337973903687e+86,0.8645627590500667,2.161705625502187
293.0,3.2909561833648595e+87,7.761955318248134e+86,0.8638522301963094,2.1533917359312467
294.0,6.65109031065717e+87,1.5746901580667382e+87,0.8631371907083674,2.145108811252495
295.0,1.3452515321106626e+88,3.1972982105035085e+87,0.8624178367984185,2.13685907533495
296.0,2.7229623073116068e+88,6.497141582252301e+87,0.8616943690893626,2.128644710575829
297.0,5.5156237803622006e+88,1.3212947525724367e+88,0.8609669925813085,2.1204678580186602
298.0,1.1180207222887273e+89,2.6890695509428993e+88,0.8602359166133341,2.1123306174946563
299.0,2.267744987481636e+89,5.476659564420547e+88,0.8595013548204926,2.1042350477859477
300.0,4.6027210123385047e+89,1.1161621423925986e+89,0.8587635250860153,2.096183166809586
301.0,9.347553441547971e+89,2.2762647429611852e+89,0.8580226494886223,2.0881769518216697
302.0,1.8994619254362772e+90,4.645026111535533e+89,0.8572789542449469,2.080218339640274
303.0,3.8618833413297167e+90,9.484389905322085e+89,0.8565326696470054,2.072309226886485
304.0,7.85579242056241e+90,1.9376356515651388e+90,0.8557840299946695,2.0644514702428767
