Time,J,A,S,tau
0.0,100.0,10.0,0.9988378823624765,21.304290344154374
1.0,189.05905297156832,75.74231935773712,0.9964553034627277,20.819856809505513
2.0,507.11934056631725,137.39575736198373,0.9939870807597235,20.329773641560678
3.0,1035.4144955384756,195.16338295079663,0.9914334989967334,19.834202104428638
4.0,1756.3879997075574,249.2412131417465,0.9887950295635113,19.333299108661123
5.0,2653.6356096093555,299.8179490841115,0.9860723971109584,18.827224765913712
6.0,3711.849056621613,347.07506874359296,0.9832665855594559,18.316142310043013
7.0,4916.761045794551,391.1869327862289,0.980378842586839,17.800218013197522
8.0,6255.091805507939,432.3209170051957,0.9774106828763367,17.279621101078792
9.0,7714.498239358205,470.6375309798868,0.9743638895837089,16.75452366233181
10.0,9283.523506367346,506.2905808929013,0.9712405143183581,16.225100556023236
11.0,10951.549499032655,539.4273136054313,0.9680428751749542,15.691529313207631
12.0,12708.755245463033,570.1885267816484,0.9647735541971811,15.153990046222873
13.0,14546.062327219408,598.7089026270388,0.9614353906910618,14.612665331354554
14.0,16455.115704441032,625.1168069719092,0.958031476818237,14.067740127017831
15.0,18416.237059211846,732.6215434008869,0.9568469199118939,14.003741167717456
16.0,20843.64486975538,1061.0339592848086,0.9557797232412815,13.962547393639067
17.0,24415.041134133,1576.2761104124506,0.954735747189149,13.923295997479652
18.0,29687.078288013803,2246.5989047637677,0.9537179438345582,13.885976532502436
19.0,37109.54950715282,3043.839664313934,0.9527292376459965,13.850578793844598
20.0,47039.63141913682,3943.1123784123406,0.951772510780647,13.817092824734871
21.0,59754.618719737526,4922.517492780213,0.9508505883917019,13.785508922077547
22.0,75463.28092840916,5962.870864530163,0.9499662240397784,13.755817641470326
23.0,94315.974666996,7047.450464408935,0.9491220853593167,13.728009801464657
24.0,116413.62906333976,8161.760786004125,0.9483207400582948,13.702076487402097
25.0,141815.66216453878,9293.315551707177,0.9475646423053614,13.678009054670195
26.0,170546.98934183875,10431.436015876552,0.9468561196443726,13.65579913165783
27.0,202604.23241946063,11567.061330721142,0.9461973609860722,13.635438620846603
28.0,237960.97217916994,12691.905983828126,0.9455904038244681,13.616919702294119
29.0,276552.59126417094,14025.838026629533,0.945037125118221,13.600234832681863
30.0,319340.93372925784,16198.094924625571,0.9445392300385536,13.585376748251562
