Time,J,A,S,tau
0.0,100.0,100.0,0.7667039399393523,24.390243902439025
1.0,99.85270117188882,36.78870704330404,0.7655778283383983,25.38984249068006
2.0,99.70674022788049,13.533656523894932,0.764461965009864,26.389473147769962
3.0,99.56200395395344,4.978705775713475,0.7633554819524385,27.38910380485986
4.0,99.41838617780581,1.8315534785223206,0.7622575652440756,28.388734461949763
5.0,99.27578304027377,0.6737952551679495,0.7611674186842718,29.38836511903967
6.0,99.13409259607117,0.24788507539778648,0.760084260733244,30.387995776129568
7.0,98.99321448318334,0.0912033436593966,0.7590073219773548,31.38762643321947
8.0,98.85304988873058,0.03356404933114973,0.757935844867615,32.38725709030935
9.0,98.71350161236386,0.012359984988648175,0.7568690842060632,33.386887747399214
10.0,98.57447353612854,0.004559523071387333,0.7558063030812745,34.386518404489074
11.0,98.43587046896806,0.001689910659296517,0.7547467716762281,35.386149061578934
12.0,98.29759832185779,0.0006342347773839639,0.7536897686113226,36.38577971866879
13.0,98.15956376478216,0.0002458605619052873,0.7526345783144648,37.38541037575866
14.0,98.02167370058649,0.00010296964138442784,0.7515804869869109,38.38504103284858
15.0,97.88383556167257,5.038609336633689e-05,0.7505267848782344,39.38467168993844
16.0,97.7459615969401,3.102437122554725e-05,0.7494727991568624,40.38430234702832
17.0,97.60795964404099,2.388410331451563e-05,0.7484178231561526,41.3839330041182
18.0,97.46973773685494,2.1239790362914382e-05,0.7473611517019695,42.38356366120807
19.0,97.33116469767432,2.024939121265778e-05,0.7463017789482334,43.38319431829795
20.0,97.19226110711698,1.986746091223248e-05,0.7452398626659877,44.382824975387834
21.0,97.05256896667163,1.970930996285737e-05,0.7441718910214107,45.38245563247771
22.0,96.91256475685562,1.9633352842689155e-05,0.7431015174683564,46.38208628956759
23.0,96.77180885379815,1.9587535866942356e-05,0.7420253710374746,47.381716946657455
24.0,96.6301047325523,1.955269401825836e-05,0.7409419447374356,48.381347603747344
25.0,96.48776828626198,1.952178095121222e-05,0.7398536606963125,49.38097826083721
26.0,96.34435087453788,1.949220501181508e-05,0.7387570787329047,50.38060891792708
27.0,96.19969941218139,1.9462971246853252e-05,0.7376510248967686,51.38023957501696
28.0,96.05412961624555,1.9433724598968628e-05,0.7365379199692683,52.37987023210683
29.0,95.9072166496983,1.9404324952406637e-05,0.7354145062198579,53.379500889196706
30.0,95.75890879412182,1.9374694474490655e-05,0.7342803869409966,54.37913154628658
31.0,95.60909299250461,1.934479234369963e-05,0.7331346950710262,55.378762203376446
32.0,95.45756088186089,1.931459094675868e-05,0.7319758327203822,56.37839286046633
33.0,95.30448456591728,1.928405124922679e-05,0.7308051194302827,57.378023517556194
34.0,95.1496077897062,1.9253185870146114e-05,0.7296205900526723,58.37765417464608
35.0,94.9928024802534,1.9221957622433788e-05,0.7284212623266983,59.377284831735956
36.0,94.83394356205777,1.919033942555666e-05,0.7272061769596324,60.37691548882585
37.0,94.67295014623203,1.915831058434297e-05,0.7259747134770821,61.376546145915725
38.0,94.50965804849467,1.9125844533867227e-05,0.7247256126621917,62.376176803005606
39.0,94.34396505373641,1.9092916223389692e-05,0.72345809047499,63.375807460095466
40.0,94.1757227570492,1.905949977827953e-05,0.7221710086635376,64.37543811718533
41.0,94.00481527105144,1.902556899476399e-05,0.7208634783128905,65.3750687742752
42.0,93.83108999642222,1.89910971214198e-05,0.7195343289713593,66.37469943136506
43.0,93.65442443261293,1.895605631715663e-05,0.71818262097776,67.37433008845493
44.0,93.47465411916849,1.892041872450415e-05,0.7168070928871031,68.37396074554479
