Time,J,A,S,tau
0.0,100.0,100.0,0.7552638742599681,27.027027027027028
1.0,99.78314102576309,36.788728161827414,0.7539528787661655,27.98529530664444
2.0,99.57040243512671,13.533683601309788,0.7526546459524859,28.945781110794826
3.0,99.36158901570921,4.978733375376867,0.7513691327505023,29.90828507864664
4.0,99.15651663008605,1.8315797291075322,0.7500962517693236,30.87265456867415
5.0,98.95500789796036,0.6738195880374656,0.7488358678246609,31.838748034177936
6.0,98.75689157418597,0.24790739225686698,0.7475878013338703,32.80643414174626
7.0,98.56200205542764,0.09122371098446563,0.7463518319051333,33.77559097323836
8.0,98.37017926405045,0.03358258668213423,0.745127703638415,34.7461053606626
9.0,98.1812694644585,0.012376799735542265,0.7439151435438869,35.71787142436073
10.0,97.9951190296354,0.004574771895518058,0.7427138795944177,36.69078224110627
11.0,97.8115861126778,0.0017037285721753614,0.7415234345334308,37.664768047677256
12.0,97.6305270774777,0.0006467293505709194,0.7403434891863833,38.639736059213824
13.0,97.45181192926786,0.00025713970142185,0.7391737511998931,39.61560260528853
14.0,97.27530500619073,0.00011313107516492514,0.7380137859074688,40.592296196432294
15.0,97.10087693425845,5.9522633553422205e-05,0.7368631790942435,41.569748228488855
16.0,96.92840146397654,3.9223541153783826e-05,0.7357215037277363,42.54789424410367
17.0,96.7577571532317,3.122773938610177e-05,0.7345883317664245,43.52667411274613
18.0,96.58882493296781,2.780460390333696e-05,0.7334632228858255,44.50603113946057
19.0,96.42148861032292,2.6107432683540926e-05,0.732345730385771,45.485911833950205
20.0,96.25563479386366,2.5086393864449054e-05,0.7312354022687871,46.46626573394785
21.0,96.09115250504429,2.4353005774607994e-05,0.730131781593382,47.44704500681755
22.0,95.92793301348144,2.376230580815488e-05,0.7290344075521829,48.42820417431038
23.0,95.76586997266963,2.3259114728847122e-05,0.7279428182513685,49.409699910292225
24.0,95.6048587694774,2.2821541855497307e-05,0.7268565486551346,50.39149068443975
25.0,95.44479663994184,2.244009162396928e-05,0.7257751326809474,51.37353662304427
26.0,95.28558264365569,2.2110033256615615e-05,0.7246981051730434,52.35579924116672
27.0,95.12711714664552,2.1828575786378864e-05,0.7236249998432863,53.33824121051556
28.0,94.96930192652724,2.1593795182853403e-05,0.7225553515141315,54.3208261814324
29.0,94.81203989679163,2.1404240152897287e-05,0.7214886956580905,55.303518576691566
30.0,94.65523512304837,2.1258791126025485e-05,0.7204245698700146,56.28628342110835
31.0,94.49879254066065,2.1156621894374832e-05,0.7193625135652697,57.26908610227347
32.0,94.34261791586474,2.1097138750519285e-05,0.7183020688174003,58.251892223896164
33.0,94.18661746713478,2.107998608817668e-05,0.7172427790944124,59.23466739206135
34.0,94.03069805046765,2.1105037255678118e-05,0.7161841917932432,60.21737706534991
35.0,93.87476695410977,2.1172381501388612e-05,0.7151258581193977,61.1999863601677
36.0,93.71873154217288,2.1282363718282472e-05,0.7140673320570932,62.18245982099591
37.0,93.56249935452094,2.1435548420164408e-05,0.7130081722563472,63.164761263183586
38.0,93.40597789709598,2.1632717323072488e-05,0.7119479418252536,64.14685357810781
39.0,93.24907456623968,2.187488522503698e-05,0.7108862090653371,65.12869854636537
40.0,93.09169638525543,2.216334960745271e-05,0.7098225474972821,66.11025655073357
41.0,92.93375012372428,2.2499617973564925e-05,0.7087565376059579,67.09148644834961
42.0,92.77514198691664,2.2885464678801522e-05,0.7076877663496514,68.07234529933923
43.0,92.61577748490188,2.3323010964920097e-05,0.7066158284369665,69.05278803784418
44.0,92.45556140283313,2.381459562898612e-05,0.7055403269665195,70.03276733108639
45.0,92.29439763626839,2.4362880520882747e-05,0.7044608744101118,71.01223324865087
46.0,92.13218906746819,2.4970855967617908e-05,0.7033770936148961,71.99113296763682
47.0,91.96883750987737,2.564185018816916e-05,0.7022886193559633,72.9694104696857
48.0,91.80424341146835,2.6379572729660063e-05,0.7011950985070996,73.94700617075218
49.0,91.63830593497164,2.7188104014689112e-05,0.700096192696445,74.9238565997309
50.0,91.47092267552493,2.8072020006099474e-05,0.6989915794972239,75.89989389297493
51.0,91.30198965603424,2.9036232221577794e-05,0.6978809536803147,76.87504556586846
52.0,91.13140121274506,3.0086184638633555e-05,0.6967640302248614,77.84923392161312
53.0,90.95904974608295,3.122783074624333e-05,0.6956405451573409,78.82237561002098
54.0,90.7848257181645,3.24676604377985e-05,0.6945102586865561,79.79438112239468
55.0,90.60861749968132,3.381271227960651e-05,0.6933729572501297,80.76515427008296
56.0,90.43031121789681,3.527072982823761e-05,0.6922284569055065,81.73459146904162
57.0,90.24979062357026,3.685004182270525e-05,0.6910766051551706,82.70258125204188
58.0,90.06693705804497,3.855969765448044e-05,0.6899172852539758,83.66900353298257
59.0,89.88162922205215,4.040949183435756e-05,0.6887504187366564,84.63372889644782
60.0,89.69374313638038,4.240999527574699e-05,0.6875759694905276,85.59661786483971
61.0,89.50315198442819,4.4572543916963586e-05,0.6863939468211485,86.5575201674977
62.0,89.30972597234937,4.690944278422745e-05,0.6852044104088386,87.51627375067699
63.0,89.11333220005683,4.943378455763768e-05,0.6840074730481427,88.47270409459988
64.0,88.91383467671923,5.215961096736354e-05,0.6828033063286643,89.42662325962364
65.0,88.71109398186665,5.5101969244771716e-05,0.6815921438964635,90.37782887292441
66.0,88.50496730908253,5.827676187167004e-05,0.6803742856517104,91.3261033803562
67.0,88.2953083140178,6.170095130112756e-05,0.6791501027960589,92.27121294983847
68.0,88.08196701281541,6.539234377230114e-05,0.6779200406235241,93.21290673008183
69.0,87.86478963751868,6.936979263025694e-05,0.6766846235459113,94.15091572824815
70.0,87.64361855245195,7.365300612921907e-05,0.6754444577733274,95.08495206745432
71.0,87.41829212827066,7.826256774709543e-05,0.6742002346162872,96.01470809187688
72.0,87.18864578180076,8.468645337053811e-05,0.6729527323678192,96.93985581476386
73.0,86.95451129417629,9.414281734884374e-05,0.6717028169488495,97.86004630004733
74.0,86.71571383568087,0.00010409876555020102,0.67045144559736,98.77490839250379
75.0,86.47207518743575,0.00011448962201390777,0.6691996627647071,99.68404955088764
76.0,86.22341278042195,0.00012545609060103424,0.6679485992836468,100.58705507605463
77.0,85.96953949510961,0.00013714223720530125,0.6666994708342021,101.48348778209433
78.0,85.71026378856045,0.00014967996269046722,0.6654535702294384,102.37288886604473
79.0,85.44538976024928,0.00016318201641332954,0.6642122603259693,103.25477862070021
80.0,85.17471684275047,0.00017775107823240975,0.662976968581829,104.12865647358718
81.0,84.89803993645317,0.00019349872756411842,0.6617491736179036,104.99400266205673
82.0,84.61514952226995,0.000210503042781369,0.6605303929151243,105.85027977169827
83.0,84.32583135817099,0.0002288446385608393,0.6593221686483117,106.696934024553
84.0,84.02986665566286,0.0002486865214610385,0.6581260531841844,107.53339712414932
85.0,83.72703246948379,0.0002700983025269687,0.6569435871488694,108.359089580455
86.0,83.41710119322055,0.000293205412074117,0.6557762854843268,109.17342170385436
87.0,83.0998411112304,0.0003180901068011639,0.6546256115033577,109.97579768833612
88.0,82.77501613382579,0.00034488624622570023,0.6534929630640643,110.76561686804514
89.0,82.44238640245081,0.00037372688546068655,0.6523796430485258,111.54227836752871
90.0,82.1017078127858,0.00040472860189573055,0.6512868498878649,112.30518153952619
91.0,81.75273278307205,0.00043803433868371954,0.6502156473548862,113.0537308610502
92.0,81.39521020378503,0.00047378726726355356,0.6491669517938525,113.78733731964566
93.0,81.02888597016485,0.0005121575422862782,0.6481415079266918,114.50542213993965
94.0,80.65350302846726,0.000553309318503405,0.6471398789044296,115.20741781450893
95.0,80.26880165142589,0.0005974178780337678,0.6461624347543763,115.89276962013408
96.0,79.87451981919193,0.0006447171621623928,0.6452093394054114,116.56093733066807
97.0,79.4703941530621,0.0006954124779019586,0.6442805312065513,117.21139868039674
98.0,79.05615928968852,0.0007497567086681376,0.6433757404459536,117.84364523975076
99.0,78.63154967689181,0.000808093698064831,0.6424944579500889,118.45718844587354
100.0,78.19629933952194,0.00087074098341271,0.6416359501366389,119.0515562879898
101.0,77.7501423180545,0.0009381057878811655,0.6407992567723256,119.6262931982738
102.0,77.29281436190385,0.001010618078179947,0.6399831768632823,120.18096324427032
103.0,76.82405287778597,0.0010888081609560245,0.6391862816973648,120.71514699957463
104.0,76.3435978106322,0.0011734407129275054,0.6384069148374157,121.22844126908109
105.0,75.851192505694,0.0012651228525472772,0.6376432088715501,121.72045667634796
106.0,75.34658513549397,0.0013648197398847882,0.6368930530176108,122.1908224917509
107.0,74.82952962995941,0.001473768842873722,0.636154115220686,122.6391830721273
108.0,74.29978681545681,0.0015933155432571,0.6354238385996053,123.06519807380705
109.0,73.75712593257363,0.0017252664662120263,0.6346994367649398,123.46854322313595
110.0,73.20132626556409,0.0018719295865092527,0.6339778901436478,123.84891070512691
111.0,72.6321790034742,0.0020363574590137132,0.633255941261014,124.20600975523772
112.0,72.04948995505839,0.0022224573949215154,0.6325300770952224,124.53956991318961
113.0,71.45308228006924,0.0024364028993234554,0.6317965249850136,124.84934101208604
114.0,70.8428021999539,0.00268715932967388,0.631051275747171,125.13509142211878
115.0,70.21852185867743,0.0029885926807627877,0.6302899676228878,125.39662091548287
116.0,69.58015944144334,0.003366760882932253,0.6295079945174993,125.63375481165632
117.0,68.92770674142528,0.0038947514215343384,0.6287004199889775,125.84634460500826
118.0,68.26129649166671,0.004625302580038486,0.6278619560292564,126.03428326668676
119.0,67.58102158344889,0.005451311812185406,0.6269870003558408,126.19749156484261
120.0,66.88680681781666,0.0062857872435521525,0.6260695621400095,126.33593810426221
121.0,66.17862977383824,0.007128057710747544,0.6251032406222805,126.44963378589404
122.0,65.45650105367432,0.007977398362820683,0.6240813987810659,126.53862830653968
123.0,64.72044448252086,0.00883302281109799,0.6229969332564604,126.60301655426159
124.0,63.97050842666785,0.00969408246793961,0.6218423734568885,126.64294004546473
125.0,63.20676748027788,0.010559661042103598,0.6206098622905951,126.65859320682664
126.0,62.42933811547758,0.011428783814688714,0.6192913673948207,126.65021590011646
127.0,61.63861804904727,0.011886304504034172,0.629963312451716,115.40828955217711
128.0,60.833944576625356,0.01163233222156147,0.6774443987628094,67.60626093830713
129.0,60.01436760816789,0.011408253577837136,0.6958363786934646,52.419827215281096
130.0,59.18007726216309,0.011322002376456959,0.7041409416900599,45.423732223238645
131.0,58.33150117233802,0.01136524567517971,0.7090911151592619,40.70834701267611
132.0,57.46908962829346,0.011553201417946636,0.7113608170248722,37.62295664743357
133.0,56.593360805447,0.011897284530357847,0.7119536161590053,35.4365906174806
134.0,55.704911228189744,0.012403229504901607,0.7121126273556592,33.44316746916761
135.0,54.80441202373813,0.01309276125429742,0.7118675683842413,31.60596517637139
136.0,53.892586321324266,0.01402193373731439,0.7104246058116133,30.398504587256934
137.0,52.97028818992585,0.015212918971265825,0.7087492552307715,29.2137817627625
138.0,52.038578882933216,0.016631716087079005,0.7071939072569289,27.925272967922584
139.0,51.098412017896756,0.018477695692210912,0.7046615736717206,27.093561526909234
140.0,50.151170763461735,0.020698686425392222,0.7020519093121492,26.284575116710002
141.0,49.198274575514965,0.023493085676604988,0.6993305790411279,25.43318852111187
142.0,48.241553115096465,0.02714986507567369,0.6961405004408763,24.621117924734314
143.0,47.28334667836205,0.03234242918326633,0.6926729430431356,24.137378033293913
144.0,46.32743798781566,0.03916656386007315,0.6891835277134686,23.485491439439414
145.0,45.37803320089585,0.04749146700654786,0.6853653248553147,22.888805593115258
146.0,44.43878407809399,0.05736919070399155,0.681337456540568,22.475910309439946
147.0,43.51390286369191,0.06864151063978016,0.6770429510534891,22.04310569452883
148.0,42.60684792605555,0.08122697948193247,0.6724681920897834,21.578458099382107
149.0,41.72117076983611,0.09503876395876804,0.6683713937860499,21.29156641353041
150.0,40.859699272251895,0.10732508323685525,0.6631524581849925,20.81545283260667
151.0,40.01986393424037,0.11969561607414735,0.6583598618980874,20.536746063276237
152.0,39.201796396503056,0.1321793310276999,0.6539102254316537,20.2950968541321
153.0,38.406444785058,0.1440228945808441,0.6482595860117633,19.933963713110213
154.0,37.63322321973052,0.1565366408031777,0.6426431533017831,19.65246617208754
155.0,36.883341639737786,0.17056658276090378,0.6380220502268779,19.451842881495487
156.0,36.15970183335576,0.1857612787914122,0.6329321364446179,19.247424246088077
157.0,35.46556197253614,0.2018813663653409,0.6268129391049869,18.969605353185983
158.0,34.80338851338637,0.22039075197941388,0.6206777929897902,18.72721350571756
159.0,34.17727802096071,0.24281573712781415,0.6154262888729337,18.554014998654633
160.0,33.593954361656074,0.2694837586610233,0.6105717097169171,18.39704081436187
161.0,33.06101573921,0.30181376619533407,0.6050306180956536,18.23038372494643
162.0,32.589586027920596,0.3413906085782025,0.5986824221450605,18.026989024713384
163.0,32.19325956098576,0.3914936580721972,0.5922020020514605,17.82256987725948
164.0,31.888211929360377,0.45651821759009725,0.5862535373779503,17.66731178816946
165.0,31.695677493779673,0.5377460290308194,0.5810432989156179,17.536077350814452
166.0,31.636263973184935,0.6363405132537047,0.5760623687774805,17.412880282629875
167.0,31.72828082029532,0.7527295181890357,0.5706591310937458,17.28611102481471
