Time,J,A,S,tau
0.0,100.0,100.0,0.0,277.77777777777777
1.0,95.98434383695316,98.09051842252735,0.0,277.94259035181705
2.0,92.1079290572566,96.21341045704958,0.0,278.1050691657188
3.0,88.36935050671946,94.36978372685394,0.0,278.26493556791013
4.0,84.76415139352203,92.55904688720479,0.0,278.422138169459
5.0,81.28810509664166,90.78062551554137,0.0,278.5766260332963
6.0,77.93699761053513,89.03394935795153,0.0,278.72834854433637
7.0,74.70688883659983,87.31846727632025,0.0,278.87725556167226
8.0,71.59382027704187,85.63363105018072,0.0,279.02329733041057
9.0,68.59409752052773,83.97891056586857,0.0,279.16642454736444
10.0,65.70402649554052,82.35378013532008,0.0,279.3065883862616
11.0,62.92011346169929,80.75772828393684,0.0,279.44374043894345
12.0,60.238932243922974,79.19025195002135,0.0,279.5778328657235
13.0,57.65715529764037,77.65085650750177,0.0,279.70881822798196
14.0,55.17161256514488,76.13906068599779,0.0,279.8366497174324
15.0,52.77914167994109,74.65438674120247,0.0,279.961280956946
16.0,50.476788087853365,73.19637274466173,0.0,280.08266620759986
17.0,48.261567670661215,71.7645585639282,0.0,280.2007602458664
18.0,46.1307007624807,70.35849919444964,0.0,280.3155184518438
19.0,44.08139281010291,68.97775265244987,0.0,280.426896837308
20.0,42.11100493223371,67.62188883704776,0.0,280.53485196837477
21.0,40.216939160470446,66.29048411760893,0.0,280.6393411588238
22.0,38.39667131458441,64.98312176418453,0.0,280.7403222492782
23.0,36.64779448319609,63.699395907501746,0.0,280.8377539040934
24.0,34.967900678209595,62.4389032476701,0.0,280.93159534829
25.0,33.3547441035966,61.201253649593106,0.0,281.0218066356515
26.0,31.806046686028253,59.98605794670835,0.0,281.10834848409894
27.0,30.319693002810727,58.79293969449192,0.0,281.1911823901437
28.0,28.893547536209113,57.62152441728032,0.0,281.2702706580593
29.0,27.525599615466458,56.47144764347485,0.0,281.3455763017645
30.0,26.213865583714266,55.342349870823014,0.0,281.41706328481484
31.0,24.956420393799227,54.23387728511771,0.0,281.48469623920886
32.0,23.75143135010935,53.14568495365553,0.0,281.54844083674607
33.0,22.59706304201729,52.07742979898867,0.0,281.6082634535764
34.0,21.491612450793042,51.028779774586525,0.0,281.6641315055909
35.0,20.43334872021342,49.99940321356379,0.0,281.7160132355824
36.0,19.420676366200034,48.988979221464895,0.0,281.76387785671244
37.0,18.451983721974845,47.99718810610672,0.0,281.80769558027606
38.0,17.525765232939886,47.023718660472035,0.0,281.8474374954595
39.0,16.640540830748552,46.06826350116166,0.0,281.88307585704786
40.0,15.794883115061934,45.130519977998524,0.0,281.9145837394524
41.0,14.987448043355506,44.210192755844076,0.0,281.94193548550595
42.0,14.216894757474371,43.30698783608379,0.0,281.96510629320517
43.0,13.482002863994902,42.42062052963211,0.0,281.9840726211181
44.0,12.781536763558266,41.550806130936785,0.0,281.9988119227656
45.0,12.114386774893248,40.697269120528674,0.0,282.00930282035586
46.0,11.479442049960763,39.85973464449476,0.0,282.0155251279155
47.0,10.875694934103121,39.03793510160547,0.0,282.01745970889
48.0,10.302177757257471,38.23160585331965,0.0,282.0150888090495
49.0,9.757981528822944,37.44048624485784,0.0,282.0083956452064
50.0,9.242293678465517,36.66432169958646,0.0,281.99736492898967
51.0,8.754318876399608,35.90285861468847,0.0,281.9819823750564
52.0,8.293396269820407,35.155851303884184,0.0,281.96223517429326
53.0,7.858869141143599,34.423053822330544,0.0,281.93811167385513
54.0,7.450223238529959,33.70422811347949,0.0,281.90960158022705
55.0,7.066966357600192,32.99913643286017,0.0,281.8766959740402
56.0,6.708727846979489,32.30754728317957,0.0,281.83938714716146
57.0,6.3752044386324345,31.629231488840972,0.0,281.79766897347326
58.0,6.066140647681424,30.963961987974994,0.0,281.7515363629432
59.0,5.78145827774969,30.311518849118354,0.0,281.7009861696669
60.0,5.5211530215890985,29.67168536910126,0.0,281.6460161102572
61.0,5.285255912687843,29.044244907003474,0.0,281.58662569849537
62.0,5.0739114073980405,28.428985382488847,0.0,281.52281567070764
63.0,4.887394913547564,27.82569913515186,0.0,281.4545884004899
64.0,4.726036113135239,27.23418006372093,0.0,281.38194766926284
