Time,J,A,S,tau
0,100,100,0.98796762,9.009009009
1,99.64843014,98.48489301,0.986117423,8.782203758
2,99.26774534,96.93376794,0.983998891,8.534311485
3,98.85631444,95.34870459,0.981592845,8.265440969
4,98.41202688,93.73030443,0.97887676,7.975414014
5,97.93266101,92.07932862,0.97582673,7.664054215
6,97.41591449,90.39662569,0.972417863,7.331187109
7,96.8594175,88.68318203,0.968658436,6.981004407
8,96.26073414,86.94010523,0.966505959,6.860832578
9,95.61733952,85.16866229,0.964226322,6.743923853
10,94.92667348,83.37022604,0.961814496,6.630172221
11,94.18614152,81.54632762,0.959265498,6.51948266
12,93.39312735,79.69859307,0.956574406,6.411767341
13,92.54503374,77.82881824,0.95373639,6.306946359
14,91.63927005,75.93889391,0.950746749,6.20494595
15,90.67333007,74.0308649,0.947600927,6.105698012
16,89.64476289,72.10687433,0.94429457,6.009139978
17,88.55127882,70.16919803,0.940823513,5.915213742
18,87.39072015,68.22021113,0.937183876,5.823866618
19,86.1611808,66.26239579,0.933372001,5.735049903
20,84.86100715,64.29833211,0.929384594,5.648720716
21,83.48890716,62.33068012,0.925218601,5.564840181
22,82.04403409,60.36219684,0.920871401,5.483376223
23,80.5260409,58.39569595,0.916340608,5.404301139
24,78.93533475,56.43409789,0.91162431,5.327595658
25,77.27299375,54.48036906,0.906720798,5.253245511
26,75.54131974,52.53763097,0.901628824,5.181247228
27,73.74351828,50.60908213,0.896347307,5.111603603
28,71.88438767,48.69815312,0.890875476,5.044329397
29,69.9701866,46.80851872,0.885212691,4.979449709
30,68.00879712,44.94421733,0.87935841,4.917001791
31,66.00989442,43.10985484,0.873312079,4.857037435
32,63.98461668,41.31068995,0.867072982,4.799622687
33,61.9453385,39.55286826,0.860640116,4.74484006
34,59.90508875,37.84357912,0.854012017,4.692789513
35,57.87676514,36.19119672,0.84718658,4.643589797
36,55.87211168,34.60530828,0.840160848,4.597379603
37,53.90066368,33.09652794,0.832930831,4.55431778
38,51.96876133,31.67620378,0.825491286,4.5145844
39,50.07888164,30.3558155,0.817835533,4.478380696
40,48.2294827,29.14614832,0.809955282,4.445928761
41,46.41552185,28.05628376,0.80184051,4.417470689
42,44.62963013,27.0925339,0.793479378,4.39326707
43,42.86385428,26.25744863,0.784858221,4.373594944
44,41.11152484,25.54916696,0.775961637,4.358744762
45,39.36888223,24.9612905,0.766772701,4.3490167
46,37.63597874,24.48308866,0.757273221,4.34471639
47,35.91707871,24.10047176,0.747444226,4.346149574
48,34.2200767,23.79716919,0.737266521,4.353616256
49,32.55547917,23.55608482,0.726721415,4.367404204
50,30.93511032,23.36052437,0.715791545,4.387781993
51,29.37087493,23.19517389,0.704461845,4.414991555
52,27.87374784,23.04670255,0.692720557,4.449240786
53,26.45308483,22.90402867,0.680560286,4.490696157
54,25.11623137,22.75831832,0.667979054,4.539475597
55,23.86840092,22.602815,0.654981314,4.595641435
56,22.7127183,22.43256068,0.641578813,4.659194452
57,21.65037547,22.2441002,0.627791276,4.730068691
58,20.68085146,22.03521014,0.613646933,4.808126694
59,19.80213769,21.80467169,0.599183,4.893153849
60,19.01098227,21.55203603,0.584445015,4.984861359
61,18.30305189,21.277519,0.569487041,5.082880273
62,17.67327712,20.98185978,0.554370971,5.186761551
63,17.11588507,20.66624042,0.539165493,5.295978226
64,16.62472611,20.33220324,0.52394511,5.409925735
65,16.19341169,19.98159173,0.508788851,5.527924518
66,15.81547763,19.61649715,0.493778902,5.64922304
67,15.48453313,19.2392096,0.478999194,5.773001517
68,15.19439232,18.85217288,0.464534021,5.898376254
69,14.93918691,18.45794216,0.450466736,6.024404576
70,14.71345875,18.05914445,0.436878594,6.150090356
71,14.51223136,17.65844211,0.423847776,6.274390154
72,14.33106073,17.25849996,0.411448623,6.396220065
73,14.16606565,16.86195637,0.399751101,6.514463349
74,14.01393783,16.47139903,0.388820502,6.627979011
75,13.87192858,16.08934743,0.378717343,6.735611515
76,13.73785814,15.71822954,0.369497514,6.836201631
77,13.61005886,15.36037802,0.361212509,6.928598962
78,13.48732779,15.01802605,0.353909836,7.011676197
79,13.36888425,14.69330417,0.347633498,7.084345051
80,13.25431425,14.38824302,0.342424472,7.14557394
81,13.14351419,14.10477908,0.338321133,7.194408377
82,13.03664603,13.84475965,0.335359598,7.229990354
83,12.93408503,13.60995314,0.333573818,7.251583891
84,12.83633069,13.40206819,0.332995541,7.258598888
85,12.74397045,13.22276114,0.333653922,7.250613376
86,12.65763335,13.07364657,0.335574812,7.227395562
87,12.57795226,12.95630669,0.338779657,7.188925097
88,12.50550503,12.8723026,0.343283932,7.135413583
89,12.4407463,12.82318103,0.349095381,7.067312999
90,12.38397569,12.81047344,0.356211965,6.985318911
91,12.33528956,12.83569285,0.364619716,6.890367204
92,12.29453411,12.90032682,0.3742904,6.78362417
93,12.26122087,13.00581857,0.385179462,6.666464691
94,12.23448057,13.15353664,0.397224759,6.540437872
95,12.21302288,13.34473714,0.410346107,6.407228096
96,12.19506126,13.58050296,0.424445015,6.268613077
97,12.17828911,13.86167477,0.439406245,6.126413393
98,12.15985289,14.18875664,0.455100118,5.982443557
99,12.13635854,14.56180393,0.471385879,5.838464738
100,12.1039162,14.98029363,0.488115833,5.696141993
101,12.05823556,15.44298051,0.505139982,5.557008213
102,11.99477862,15.94774982,0.522310783,5.422436132
103,11.9089733,16.4914782,0.539487687,5.293618994
104,11.79648503,17.06991886,0.556541115,5.171559856
105,11.65353202,17.6776311,0.573355658,5.057068896
106,11.47721943,18.30797441,0.589832353,4.950767326
107,11.26584511,18.95319336,0.605889818,4.853098513
108,11.01916469,19.60458313,0.621464732,4.764340396
109,10.73852203,20.2527792,0.636511211,4.684623535
110,10.42685315,20.88812401,0.650999618,4.613949532
111,10.08853043,21.50110174,0.664914864,4.552210248
112,9.729061624,22.08279794,0.678254395,4.499206772
113,9.354680261,22.62533626,0.691026026,4.454667476
114,8.971874893,23.12224269,0.703245782,4.41826471
115,8.586954057,23.56870117,0.714935813,4.389630067
116,8.205635861,23.96166691,0.72612252,4.368367637
117,7.832779286,24.29984481,0.736834887,4.354065648
118,7.472234323,24.58355133,0.747103082,4.346306311
119,7.126785285,24.81448166,0.756957311,4.344673983
120,6.798221105,24.99541851,0.766426903,4.348761905
121,6.487472459,25.12992856,0.775539651,4.358177441
122,6.194727459,25.22206898,0.784321347,4.372546022
123,5.919672706,25.27614069,0.792795448,4.391514569
124,5.661635303,25.29647536,0.800982956,4.414753196
125,5.419716805,25.28728314,0.80890239,4.441956405
126,5.192905998,25.2525469,0.816569845,4.472843698
127,4.980163676,25.19595275,0.823999096,4.507159866
128,4.780493163,25.12085873,0.831201772,4.544674604
129,4.592971485,25.03029077,0.838187585,4.585181494
130,4.416767776,24.92695296,0.844964554,4.628496992
131,4.251151939,24.8132481,0.851539228,4.674459244
132,4.095494925,24.69130284,0.857916909,4.722926914
133,3.949264214,24.56299817,0.864101865,4.77377771
134,3.812011408,24.43000147,0.870097552,4.826906677
135,3.683361977,24.29379232,0.875906789,4.882224872
136,3.563002503,24.15569161,0.881531934,4.939657559
137,3.450676868,24.01687467,0.886975013,4.999143765
138,3.346169364,23.87839933,0.892237861,5.060633895
139,3.249300826,23.74122491,0.897322227,5.124088435
140,3.159927461,23.60620981,0.902229861,5.189478384
141,3.07792114,23.47414776,0.90696256,5.25678133
142,3.003192497,23.34575092,0.911522293,5.325984048
143,2.93565324,23.22168485,0.91591112,5.397077629
144,2.875258021,23.10254814,0.920131387,5.470060936
145,2.821960391,22.98890815,0.924185544,5.544935581
146,2.7757512,22.88127486,0.928076358,5.621709394
147,2.736629663,22.78013697,0.931806716,5.700392288
148,2.704627596,22.68593544,0.935379804,5.780998995
149,2.679813401,22.59909757,0.938798973,5.863546487
150,2.662260388,22.52001649,0.942067742,5.94805442
151,2.652089552,22.44906913,0.94518982,6.03454512
152,2.649449905,22.38661182,0.948169063,6.12304336
153,2.654533728,22.3329911,0.951009454,6.213576076
154,2.667570513,22.28854009,0.953715086,6.306172643
155,2.688832705,22.25358599,0.956290133,6.400864696
156,2.71864504,22.22845228,0.958738841,6.497686467
157,2.757385172,22.21346164,0.961065498,6.59667509
158,2.805482753,22.20893899,0.963274415,6.697870584
159,2.863427982,22.21521443,0.965369908,6.801316514
160,2.93177624,22.23262632,0.967356283,6.907060482
161,3.011150063,22.2615237,0.969237815,7.015154733
162,3.102242961,22.30226867,0.971018736,7.125656891
163,3.205823221,22.35523856,0.972703221,7.238630856
164,3.322738814,22.42082799,0.974295375,7.354147905
165,3.453918454,22.49945014,0.975799219,7.472287967
166,3.600376611,22.59153817,0.977218686,7.593141118
167,3.763215548,22.69754565,0.978557608,7.716809318
168,3.943627658,22.81794664,0.979819712,7.843408438
169,4.142897451,22.95323495,0.981008612,7.973070606
170,4.362403096,23.10392253,0.982127802,8.105946912
171,4.603617638,23.27053686,0.983180656,8.242210521
172,4.868109946,23.45361717,0.984170426,8.382060213
173,5.157545549,23.65370918,0.985100233,8.525724426
174,5.473687562,23.87135826,0.985973073,8.673465802
175,5.818397988,24.10710067,0.986791812,8.825586295
176,6.193639713,24.36145274,0.987559188,8.98243284
177,6.601479569,24.63489758,0.988277814,9.14440359
178,7.044092886,24.9278692,0.988950175,9.311954694
179,7.523769918,25.24073377,0.989578632,9.48560755
180,8.042924507,25.57376784,0.990165427,9.665956408
181,8.604105294,25.92713345,0.990712684,9.8536762
182,9.210009108,26.30085029,0.991222413,10.04953022
183,9.863496697,26.69476518,0.991696517,10.25437739
184,10.56760991,27.10851936,0.992136792,10.46917862
185,11.32558905,27.54151452,0.99254494,10.69500163
186,12.14088851,27.99287891,0.992922568,10.93302363
187,13.01718814,28.46143524,0.9932712,11.18453083
188,13.95839688,28.94567266,0.993592285,11.4509141
189,14.96864464,29.44372554,0.9938872,11.73365958
190,16.05225795,29.95336205,0.994157264,12.0343336
191,17.21371431,30.47198589,0.994403743,12.35456098
192,18.45757108,30.99665408,0.994627862,12.69599645
193,19.78836523,31.52411335,0.99483081,13.0602892
194,21.21048197,32.05085673,0.995013751,13.44904124
195,22.72799344,32.57319988,0.995177828,13.86376105
196,24.34447163,33.0873757,0.995324172,14.30581522
197,26.06278454,33.5896408,0.995453904,14.77637906
198,27.88485978,34.07639833,0.995568135,15.27638664
199,29.81151472,34.54430519,0.995667971,15.80650257
200,31.84228152,34.99037192,0.995754506,16.36709328
201,33.97517106,35.4120852,0.99582882,16.95819073
202,36.20668044,35.80744187,0.995891973,17.5795167
203,38.53175501,36.17498918,0.995944998,18.23048744
204,40.94375859,36.51386184,0.995988895,18.91022604
205,43.43463789,36.82374109,0.99602462,19.61761102
206,45.99507591,37.10481967,0.996053084,20.35131429
207,48.61471402,37.3577394,0.996075141,21.10984911
208,51.28240338,37.58351955,0.996091588,21.89161773
209,53.9864802,37.78347877,0.996103162,22.69495761
210,56.71504852,37.95915624,0.996110533,23.51818418
211,59.45625351,38.11223613,0.996114311,24.35962755
212,62.19852875,38.24448175,0.996115043,25.21766246
213,64.93081211,38.35767967,0.996113215,26.0907315
214,67.64272609,38.45359413,0.99610926,26.9773622
215,70.32472332,38.53393103,0.996103553,27.87617884
216,72.96818745,38.60031228,0.996096425,28.78590858
217,75.5655118,38.6542565,0.99608816,29.70538518
218,78.11010581,38.69717146,0.996079001,30.63354552
219,80.59637596,38.73035161,0.996069159,31.56942483
220,83.01980546,38.75496552,0.996058809,32.51216131
221,85.37676802,38.772076,0.9960481,33.46097643
222,87.66455603,38.78263415,0.996037157,34.4151769
223,89.88133359,38.78748407,0.996026083,35.37414907
224,92.02595174,38.78738302,0.996014962,36.33734252
225,94.09797443,38.78299716,0.996003865,37.30427255
226,96.09763446,38.77490267,0.995992846,38.27451797
227,97.61909087,31.4587033,0.995981949,39.24769178
228,97.57862016,11.5970895,0.99597121,40.22346148
229,97.54187336,4.28822484,0.995960654,41.20153214
230,97.50843948,1.597455683,0.995950302,42.18164368
231,97.47795465,0.605793542,0.995940167,43.16356681
232,97.45009673,0.239388313,0.995930258,44.14709929
233,97.42458055,0.103174782,0.995920581,45.13206276
234,97.40115359,0.051797828,0.995911136,46.11829976
235,97.37959212,0.031767184,0.995901924,47.10567127
236,97.35969781,0.023389405,0.995892942,48.09405437
237,97.34129472,0.019405978,0.995884184,49.08334034
238,97.32422657,0.017134529,0.995875646,50.07343288
239,97.30835444,0.015577629,0.995867321,51.06424658
240,97.29355465,0.014358894,0.995859199,52.05570561
241,97.27971697,0.013331515,0.995851275,53.04774254
242,97.26674296,0.012434707,0.995843537,54.04029731
243,97.25454461,0.011639147,0.995835978,55.03331633
244,97.24304302,0.010928787,0.995828588,56.02675168
245,97.23216739,0.010292918,0.995821358,57.02056045
246,97.22185399,0.009722906,0.995814278,58.0147041
247,97.21204533,0.009211763,0.995807339,59.00914797
248,97.20268943,0.008753805,0.995800532,60.00386076
249,97.1937391,0.008343766,0.995793847,60.99881413
250,97.18515144,0.007977126,0.995787276,61.99398238
251,97.17688724,0.007650125,0.995780808,62.98934208
252,97.16891057,0.007359222,0.995774437,63.98487178
253,97.16118832,0.007101395,0.995768152,64.9805518
254,97.1536899,0.00687415,0.995761945,65.97636397
255,97.14638683,0.006675132,0.995755808,66.97229141
256,97.1392525,0.006502371,0.995749733,67.9683184
257,97.13226187,0.006354283,0.995743711,68.96443017
258,97.12539122,0.006229379,0.995737734,69.96061275
259,97.11861793,0.006126467,0.995731794,70.95685285
260,97.11192025,0.006044657,0.995725884,71.95313771
261,97.10527711,0.005983127,0.995719994,72.94945499
262,97.09866793,0.005941305,0.995714119,73.94579265
263,97.09207242,0.005918875,0.995708249,74.94213883
264,97.08547041,0.005915579,0.995702378,75.93848176
265,97.07884165,0.005931387,0.995696496,76.93480963
266,97.07216567,0.005966516,0.995690597,77.93111048
267,97.06542154,0.006021239,0.995684673,78.92737211
268,97.05858772,0.006096073,0.995678715,79.92358195
