Time,J,A,S,tau
0,100,100,0.972604477,5.555555556
1,99.96460641,87.61444352,0.972384882,5.298644701
2,99.92870748,76.4220267,0.972120205,5.015123256
3,99.91435521,66.35751364,0.971803796,4.704849444
4,100.0312324,57.35069203,0.971428046,4.367597721
5,100.7235172,49.32719655,0.971155339,4.205389573
6,103.4535175,42.22043533,0.970913112,4.117307821
7,112.216719,35.98098269,0.970641225,4.032220508
8,135.7418011,30.65381157,0.970336409,3.949970485
9,186.8579868,26.67494782,0.969995099,3.870416549
10,263.6580397,25.7352796,0.969613409,3.793431285
11,309.8929849,32.60831448,0.969187122,3.718899222
12,285.4375018,57.18451825,0.968711668,3.646715267
13,217.4428598,109.1093682,0.96818211,3.576783375
14,135.3170498,163.1476766,0.967593131,3.509015417
15,105.6903342,158.3944726,0.966939018,3.44333022
16,104.5903193,128.8398569,0.966213656,3.379652759
17,104.3060949,103.5630304,0.965410522,3.317913487
18,103.988159,82.7082886,0.964522674,3.258047778
19,103.6997763,65.61916337,0.96354276,3.199995477
20,104.2771109,51.71290563,0.962463015,3.143700557
21,111.3463771,40.47818481,0.961275276,3.089110864
22,146.6361028,31.52324534,0.95997099,3.036177965
23,255.4104171,25.24479104,0.958541241,2.984857095
24,420.1946238,26.85821389,0.956976769,2.935107198
25,429.7996613,57.21189745,0.955268005,2.886891092
26,303.054677,153.4164381,0.9534051,2.840175748
27,136.4283599,256.4157409,0.951377974,2.794932718
28,107.6664597,212.6643789,0.949176348,2.751138712
29,106.4670337,157.0090129,0.94678979,2.708776362
30,105.1674599,115.0158498,0.944207751,2.66783518
31,103.8019558,83.59845899,0.9414196,2.628312752
32,104.1389291,60.28618863,0.938414637,2.590216177
33,123.7582499,43.13533392,0.935182094,2.553563784
34,231.3472208,30.93386131,0.931711108,2.518387146
35,481.9732276,28.02222934,0.927990648,2.484733406
36,536.5231349,66.99679097,0.924009407,2.452667907
37,332.1846815,212.982407,0.919755618,2.422277139
38,113.9590627,317.590136,0.91521681,2.393671945
39,99.54261298,224.5883068,0.910379472,2.366990959
40,96.34009734,151.7986078,0.905228617,2.342404178
41,93.07543037,101.7623466,0.899747255,2.320116558
42,94.73951471,67.66277981,0.893915751,2.300371477
43,150.574622,44.64690938,0.887711097,2.283453868
44,396.0564722,30.96744141,0.881106103,2.269692796
45,668.881402,47.55579916,0.874068549,2.259463195
46,489.0421143,174.8278837,0.866560355,2.253186469
47,148.7317026,369.6813781,0.858536835,2.251329654
48,80.02545922,277.8343164,0.849946135,2.25440281
49,74.78719627,174.6115439,0.84072897,2.262954398
50,70.17509561,108.8810093,0.830818793,2.277564392
51,86.45606583,67.37331629,0.820142519,2.298835029
52,250.7271548,41.46745665,0.808621951,2.327379176
53,706.5507169,30.48971782,0.796175994,2.363806454
54,915.2223177,75.60511901,0.782723725,2.408707411
55,582.0835081,259.6537942,0.7681883,2.462636198
56,149.6296568,459.8309276,0.752501605,2.526092321
57,54.4457191,330.3451513,0.735609462,2.599502146
58,48.26356196,194.4298879,0.717477079,2.683200904
59,45.0426354,113.6500099,0.698094375,2.777415899
60,99.43946899,66.01005837,0.677480729,2.882251587
61,417.813429,38.1094733,0.655688691,2.997677053
62,1081.442322,22.69816083,0.63280623,3.123516247
63,1759.538728,29.39852363,0.608957191,3.259441164
64,1710.185486,107.2520627,0.58429976,3.40496796
65,1195.850488,278.9068004,0.559022915,3.559455814
66,639.8719962,463.0063008,0.533341063,3.722108233
67,185.5786854,546.0800946,0.507487178,3.891976364
68,37.89943981,393.0492523,0.481704976,4.067963896
69,28.90889932,219.5675233,0.45624067,4.248833071
70,29.48315213,121.1659734,0.431334954,4.433211447
71,131.6713278,66.61803321,0.40721575,4.619599102
72,568.2745569,36.50309097,0.384092206,4.80637613
73,1271.46958,19.93997789,0.362150276,4.991810406
74,1872.132663,10.86388418,0.341550068,5.174065807
75,2165.758741,6.254607818,0.322424991,5.351211243
76,2339.120437,11.2323788,0.304882594,5.521231074
77,2573.289746,52.12484045,0.289006901,5.682037694
78,2060.117705,141.839035,0.274861966,5.831487311
79,1455.035523,236.8331135,0.262496338,5.967400118
80,968.8547123,285.9247602,0.251948119,6.087586276
81,619.6416369,279.3592428,0.243250311,6.189879187
82,368.8435539,254.4559337,0.236436152,6.27217756
83,117.9417592,284.5473053,0.231544157,6.332497521
84,20.58993499,210.4183838,0.228622551,6.369035498
85,24.89358474,115.7430701,0.227732746,6.380241735
86,174.3139444,62.53726099,0.228951431,6.364902888
87,676.8335628,33.82249854,0.232370771,6.322230298
88,1380.060438,18.33018698,0.238096082,6.2519483
89,1932.025344,9.96171587,0.246240366,6.154374565
90,2183.248438,5.446406365,0.256915149,6.030482504
91,2254.379361,7.269894782,0.270217389,5.881934847
92,2434.788928,68.90400136,0.286212808,5.711078261
93,1783.293815,243.9400328,0.304916842,5.520891941
94,1136.58696,407.9718849,0.326275428,5.314888243
95,661.7421968,453.275838,0.3501487,5.096970163
96,318.291005,446.1246569,0.376301059,4.871257237
97,28.9624344,430.9752032,0.404400674,4.641896717
98,23.33146292,242.1793825,0.434030057,4.412879167
99,21.16137722,136.3545232,0.464707357,4.187876383
100,60.11336097,77.16914579,0.49591581,3.970115187
101,316.1576951,43.90993399,0.527137119,3.762294443
102,917.4853293,25.16395423,0.557883947,3.566546136
103,1657.606049,22.27864483,0.587727206,3.384436023
104,1688.719481,123.0085417,0.61631521,3.216995889
105,1051.115062,438.9320704,0.643383558,3.064777969
106,280.1441573,794.2234261,0.668756216,2.92792237
107,40.4952282,621.3706232,0.692339453,2.806229624
108,36.28562878,369.4035063,0.71411085,2.699232396
109,32.72912188,221.1435401,0.734105639,2.606262222
110,29.92311203,133.3372588,0.752402321,2.526508883
111,37.29065521,80.98342936,0.769109022,2.45907129
112,130.8103416,49.57178157,0.784351499,2.402999722
113,458.4575867,32.89061984,0.798263273,2.357329863
114,728.6464399,58.65071987,0.810977995,2.321109414
115,477.4679241,221.2101077,0.822623922,2.293418215
116,89.04908534,433.134611,0.833320235,2.273382862
117,34.53439894,311.2276518,0.843174884,2.260186722
