Time,J,A,S,tau
0,100,100,0.635504069,2.092050209
1,69.4386479,53.25909148,0.476508634,2.556535188
2,51.78277207,28.44964681,0.357638352,3.019779797
3,40.63331282,15.2473325,0.268712828,3.481628573
4,31.97944283,8.235139059,0.208564168,3.891474941
5,24.14533361,5.037506775,0.21013425,3.880811103
6,17.5020359,3.824242465,0.211848766,3.869239304
7,12.59646219,3.240848626,0.213708194,3.856774305
8,9.305750359,2.677478298,0.215712986,3.843432074
9,7.084094292,2.106904447,0.217863572,3.829229756
10,5.4585401,1.655291818,0.22016034,3.814185629
11,4.21602337,1.345954688,0.222603629,3.798319069
12,3.283318885,1.122620158,0.225193719,3.781650497
13,2.599445995,0.937981849,0.227930818,3.764201341
14,2.092150041,0.780264712,0.230815054,3.745993978
15,1.702877941,0.652210263,0.233846459,3.727051688
16,1.398153898,0.55167427,0.237024958,3.707398596
17,1.159652718,0.47123481,0.240350361,3.68705962
18,0.973064957,0.404635046,0.243822346,3.666060408
19,0.825412613,0.349029563,0.247440452,3.644427284
20,0.706706109,0.303088971,0.251204064,3.622187185
21,0.610370777,0.265291483,0.255112405,3.599367599
22,0.531923056,0.233922324,0.259164522,3.575996504
23,0.467777112,0.207636422,0.263359279,3.552102304
24,0.414958458,0.185565948,0.267695347,3.52771377
25,0.371187553,0.167068932,0.272171195,3.502859969
26,0.334794057,0.151562392,0.27678508,3.477570208
27,0.304498672,0.138533855,0.281535045,3.451873968
28,0.279263119,0.127584188,0.28641891,3.425800843
29,0.258249386,0.118411542,0.291434268,3.399380478
30,0.240802973,0.110771314,0.296578481,3.372642508
31,0.22641648,0.104457352,0.301848678,3.345616501
32,0.214687726,0.099302966,0.307241756,3.318331897
33,0.20529683,0.095179615,0.312754378,3.290817956
34,0.197997423,0.091988941,0.318382976,3.263103701
35,0.192606641,0.089656429,0.324123756,3.235217863
36,0.188994538,0.08812933,0.329972698,3.207188836
37,0.187079855,0.087375554,0.335925566,3.179044626
38,0.186826394,0.087382818,0.341977917,3.150812802
39,0.18823738,0.088159246,0.348125105,3.122520457
40,0.191366214,0.089731336,0.354362296,3.094194165
41,0.196308118,0.09214823,0.360684473,3.065859939
42,0.203212927,0.095482225,0.367086459,3.037543202
43,0.212286723,0.099833868,0.37356292,3.009268744
44,0.223810178,0.105334679,0.380108385,2.981060701
45,0.23813954,0.112156577,0.386717264,2.952942518
46,0.255734797,0.120518813,0.393383857,2.92493693
47,0.277181824,0.130699308,0.400102379,2.897065935
48,0.303219573,0.143050616,0.406866971,2.869350777
49,0.334779882,0.158019929,0.413671722,2.841811924
50,0.373046097,0.176173378,0.420510687,2.814469058
51,0.41951569,0.198230757,0.427377902,2.787341061
52,0.476086616,0.225110532,0.434267407,2.760446
53,0.545164667,0.257988875,0.441173259,2.733801128
54,0.629825585,0.298374155,0.448089556,2.707422873
55,0.733976757,0.348212207,0.455010447,2.681326834
56,0.862598944,0.410019538,0.461930156,2.655527787
57,1.022022791,0.487060197,0.468842995,2.630039677
58,1.220260667,0.583578324,0.475743378,2.60487563
59,1.467397402,0.705097038,0.482625841,2.580047951
60,1.775947686,0.85880657,0.48948505,2.555568135
61,2.161155757,1.054046943,0.496315818,2.531446876
62,2.641030911,1.30289296,0.503113116,2.507694071
63,3.23582128,1.620823998,0.509872084,2.484318841
64,3.96643232,2.027410287,0.51658804,2.461329535
65,4.851077999,2.546860032,0.523256489,2.43873375
66,5.899333612,3.208120997,0.529873132,2.416538345
67,7.103034512,4.044003659,0.536433871,2.394749453
68,8.424650878,5.08852077,0.542934814,2.373372504
69,9.786395018,6.371451555,0.549372281,2.352412241
70,11.06712298,7.909365372,0.555742806,2.331872738
71,12.11655543,9.693514204,0.562043139,2.311757418
72,12.79201348,11.6776176,0.568270246,2.292069077
73,13.00906249,13.77194309,0.574421311,2.272809901
74,12.77991878,15.85153281,0.580493736,2.253981488
75,12.21194265,17.78180971,0.586485135,2.235584868
76,11.46291359,19.45363982,0.592393335,2.217620526
77,10.68112647,20.8105962,0.598216372,2.200088421
78,9.965246062,21.85446213,0.603952487,2.18298801
79,9.35723731,22.62966738,0.60960012,2.166318268
80,8.857936246,23.19924935,0.615157906,2.150077708
81,8.447928938,23.62502477,0.620624669,2.134264405
82,8.102941266,23.95699188,0.625999416,2.118876016
83,7.801843206,24.23068442,0.63128133,2.103909801
84,7.529208094,24.46896996,0.636469762,2.089362641
85,7.275032101,24.68537625,0.641564228,2.075231063
86,7.033438729,24.88729652,0.646564395,2.061511256
87,6.80127353,25.07847841,0.651470081,2.048199093
88,6.577016286,25.26068348,0.656281241,2.035290149
89,6.360018232,25.43470155,0.66099796,2.02277972
90,6.150030219,25.60090779,0.665620453,2.010662843
